508000 华安张江产业园RE 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/06/21	3.200	3.200	3.050	3.166	64708153	204138032.00
2021/06/22	3.159	3.159	2.990	3.121	19410059	59265320.00
2021/06/23	3.110	3.110	3.050	3.059	6699489	20536248.00
2021/06/24	3.059	3.072	3.041	3.062	5437790	16614125.00
2021/06/25	3.061	3.061	3.045	3.051	3533664	10777688.00
2021/06/28	3.054	3.054	3.029	3.031	4519466	13715778.00
2021/06/29	3.030	3.030	3.013	3.016	2105275	6355915.00
2021/06/30	3.018	3.025	3.013	3.020	1291786	3899893.00
2021/07/01	3.020	3.130	3.020	3.107	2970224	9076304.00
2021/07/02	3.097	3.097	3.020	3.056	2682540	8170754.00
2021/07/05	3.055	3.064	3.051	3.055	1431710	4378275.00
2021/07/06	3.056	3.060	3.037	3.039	1818542	5535045.00
2021/07/07	3.039	3.044	3.022	3.024	2364535	7163181.00
2021/07/08	3.027	3.030	3.013	3.014	2438816	7355041.00
2021/07/09	3.013	3.014	3.005	3.010	1954458	5883203.00
2021/07/12	3.010	3.011	3.002	3.004	2658327	7984626.00
2021/07/13	3.004	3.009	3.000	3.009	1576547	4737951.00
2021/07/14	3.009	3.010	3.004	3.007	1355078	4072801.00
2021/07/15	3.007	3.020	3.005	3.012	1186529	3573422.00
2021/07/16	3.014	3.029	3.012	3.027	1870298	5658379.00
2021/07/19	3.024	3.031	3.023	3.028	2104469	6371550.00
2021/07/20	3.028	3.030	3.024	3.029	1039433	3146385.00
2021/07/21	3.033	3.033	3.023	3.024	807728	2443771.00
2021/07/22	3.025	3.026	3.021	3.023	686666	2075673.00
2021/07/23	3.022	3.027	3.020	3.026	780998	2360841.00
2021/07/26	3.026	3.027	3.003	3.008	2430297	7315270.00
2021/07/27	3.008	3.013	3.002	3.002	1456431	4377568.00
2021/07/28	3.002	3.006	3.001	3.003	1594918	4789438.00
2021/07/29	3.003	3.010	3.003	3.009	1577675	4744590.00
