508001 浙商沪杭甬REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/06/21	8.750	9.700	8.750	9.153	24724550	227877264.00
2021/06/22	9.150	9.150	8.244	8.807	5389248	47288672.00
2021/06/23	8.808	8.815	8.800	8.814	3182598	28026040.00
2021/06/24	8.814	8.818	8.803	8.808	1034360	9111075.00
2021/06/25	8.810	8.814	8.807	8.814	1632518	14381699.00
2021/06/28	8.814	8.817	8.805	8.817	1346422	11861555.00
2021/06/29	8.816	8.816	8.808	8.809	814193	7173412.00
2021/06/30	8.811	8.818	8.807	8.812	596997	5259461.00
2021/07/01	8.813	9.000	8.812	8.999	1060416	9429083.00
2021/07/02	8.995	8.995	8.910	8.917	791869	7071367.00
2021/07/05	8.919	8.920	8.900	8.910	501756	4472058.00
2021/07/06	8.911	8.914	8.891	8.899	608035	5412639.00
2021/07/07	8.910	8.910	8.872	8.882	690785	6139221.00
2021/07/08	8.882	8.885	8.830	8.831	694359	6138775.00
2021/07/09	8.831	8.831	8.807	8.810	946363	8337015.00
2021/07/12	8.810	8.812	8.804	8.807	827918	7291941.00
2021/07/13	8.807	8.809	8.798	8.801	734163	6461506.00
2021/07/14	8.801	8.801	8.761	8.771	657556	5768898.00
2021/07/15	8.771	8.807	8.768	8.803	822649	7232604.00
2021/07/16	8.773	8.861	8.773	8.860	729396	6444724.00
2021/07/19	8.860	8.882	8.854	8.881	937492	8318875.00
2021/07/20	8.881	8.898	8.880	8.897	1159461	10312402.00
2021/07/21	8.898	8.898	8.861	8.897	535035	4756545.00
2021/07/22	8.897	8.907	8.875	8.906	309339	2751630.00
2021/07/23	8.906	8.926	8.888	8.924	342685	3050003.00
2021/07/26	8.924	8.924	8.912	8.918	928148	8275836.00
2021/07/27	8.918	8.925	8.888	8.915	560396	4995439.00
2021/07/28	8.915	8.915	8.873	8.884	677215	6014180.00
2021/07/29	8.883	8.900	8.875	8.888	443542	3944032.00
2021/07/30	8.888	8.893	8.876	8.888	491224	4364693.00
2021/08/02	8.888	9.060	8.870	8.976	1737114	15541425.00
2021/08/03	8.980	8.995	8.941	8.993	631653	5674359.00
2021/08/04	8.994	9.013	8.971	9.012	570156	5132616.00
2021/08/05	9.012	9.015	9.002	9.013	633688	5710244.00
2021/08/06	9.013	9.030	9.000	9.030	1431948	12917793.00
2021/08/09	9.030	9.033	9.019	9.030	427554	3860267.00
2021/08/10	9.028	9.035	9.025	9.031	405820	3664241.00
