508002 华安百联消费REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/08/16	2.360	2.421	2.352	2.410	31679630	75077568.00
2024/08/19	2.413	2.413	2.365	2.390	1839090	4403472.00
2024/08/20	2.383	2.413	2.360	2.377	5405144	12931713.00
2024/08/21	2.361	2.369	2.324	2.339	4529593	10596881.00
2024/08/22	2.330	2.347	2.323	2.344	1161831	2712756.00
2024/08/23	2.342	2.346	2.330	2.345	1025732	2399947.00
2024/08/26	2.346	2.346	2.339	2.345	985965	2310174.00
2024/08/27	2.365	2.365	2.332	2.338	231673	541713.00
2024/08/28	2.336	2.347	2.336	2.346	610153	1426735.00
2024/08/29	2.347	2.348	2.333	2.334	537950	1257418.00
2024/08/30	2.332	2.337	2.323	2.334	1075680	2504203.00
2024/09/02	2.331	2.331	2.322	2.323	457788	1063986.00
2024/09/03	2.323	2.335	2.318	2.332	573424	1333812.00
2024/09/04	2.330	2.334	2.318	2.333	306531	712846.00
2024/09/05	2.339	2.341	2.329	2.338	353552	826468.00
2024/09/06	2.339	2.343	2.330	2.343	537395	1257575.00
2024/09/09	2.324	2.354	2.324	2.329	276745	646644.00
2024/09/10	2.331	2.346	2.330	2.334	217982	509317.00
2024/09/11	2.334	2.341	2.327	2.335	327100	764058.00
2024/09/12	2.340	2.340	2.331	2.334	153329	357913.00
2024/09/13	2.334	2.334	2.329	2.332	30588	71344.00
2024/09/18	2.333	2.346	2.329	2.332	244101	570326.00
2024/09/19	2.339	2.339	2.329	2.331	251882	588203.00
2024/09/20	2.339	2.339	2.305	2.307	418900	969819.00
2024/09/23	2.302	2.312	2.287	2.303	240800	554758.00
2024/09/24	2.308	2.318	2.288	2.311	154532	356702.00
2024/09/25	2.307	2.307	2.280	2.301	353029	810684.00
2024/09/26	2.310	2.311	2.290	2.304	420462	965818.00
2024/09/27	2.292	2.300	2.285	2.290	282740	648080.00
2024/09/30	2.287	2.287	2.232	2.277	854398	1932997.00
2024/10/08	2.276	2.316	2.219	2.264	2195935	4988877.00
2024/10/09	2.261	2.265	2.248	2.250	777536	1755821.00
2024/10/10	2.328	2.328	2.230	2.238	395052	888008.00
2024/10/11	2.245	2.269	2.229	2.247	489074	1095552.00
2024/10/14	2.231	2.255	2.231	2.255	230382	518449.00
2024/10/15	2.254	2.255	2.232	2.254	494176	1106695.00
2024/10/16	2.253	2.253	2.246	2.248	128990	290038.00
2024/10/17	2.236	2.251	2.231	2.237	394546	882676.00
2024/10/18	2.238	2.247	2.238	2.240	360894	808972.00
2024/10/21	2.236	2.243	2.230	2.240	308866	689931.00
