508003 中金联东科创REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/11/05	3.234	3.367	3.234	3.249	4894473	15849439.00
2024/11/06	3.241	3.244	3.235	3.238	203109	657784.00
2024/11/07	3.227	3.242	3.227	3.241	541008	1751413.00
2024/11/08	3.240	3.243	3.212	3.240	1371827	4431709.00
2024/11/11	3.211	3.239	3.203	3.234	279855	905194.00
2024/11/12	3.204	3.240	3.204	3.239	1237362	4003620.00
2024/11/13	3.209	3.235	3.209	3.231	66077	213420.00
2024/11/14	3.204	3.234	3.204	3.233	309231	999868.00
2024/11/15	3.207	3.234	3.207	3.227	56195	181569.00
2024/11/18	3.202	3.234	3.202	3.232	39131	126224.00
2024/11/19	3.222	3.235	3.222	3.230	452388	1462524.00
2024/11/20	3.222	3.234	3.222	3.234	61076	197267.00
2024/11/21	3.230	3.234	3.204	3.232	138841	448087.00
2024/11/22	3.202	3.230	3.202	3.230	35905	115777.00
2024/11/25	3.221	3.230	3.212	3.218	32651	105162.00
2024/11/26	3.204	3.234	3.204	3.221	123573	397462.00
2024/11/27	3.212	3.221	3.212	3.221	89552	288354.00
2024/11/28	3.203	3.230	3.203	3.223	41637	134134.00
2024/11/29	3.204	3.223	3.204	3.217	139422	447321.00
2024/12/02	3.212	3.235	3.212	3.231	566911	1831679.00
2024/12/03	3.216	3.235	3.216	3.232	170597	551339.00
2024/12/04	3.231	3.234	3.208	3.231	105612	340752.00
2024/12/05	3.224	3.238	3.223	3.234	179698	581161.00
2024/12/06	3.218	3.238	3.218	3.234	893715	2890279.00
2024/12/09	3.222	3.234	3.222	3.232	216056	698282.00
2024/12/10	3.230	3.235	3.213	3.234	794379	2569011.00
2024/12/11	3.230	3.241	3.229	3.238	651773	2110153.00
2024/12/12	3.234	3.239	3.230	3.238	1162735	3762322.00
2024/12/13	3.238	3.240	3.230	3.239	596272	1929851.00
2024/12/16	3.238	3.276	3.238	3.264	2458604	8010328.00
2024/12/17	3.265	3.269	3.255	3.263	170087	554926.00
2024/12/18	3.258	3.270	3.254	3.270	140366	458516.00
2024/12/19	3.234	3.270	3.234	3.248	137819	447905.00
2024/12/20	3.248	3.270	3.216	3.236	65473	212224.00
