508006 富国首创水务REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/06/21	3.730	4.070	3.730	3.883	35033334	138462464.00
2021/06/22	3.840	3.908	3.700	3.888	9632223	36672896.00
2021/06/23	3.885	3.929	3.847	3.892	4114733	15998963.00
2021/06/24	3.892	3.900	3.847	3.881	3088634	11942945.00
2021/06/25	3.881	3.891	3.870	3.883	2209823	8560542.00
2021/06/28	3.889	3.889	3.860	3.873	2430708	9408536.00
2021/06/29	3.872	3.872	3.838	3.839	1919394	7387897.00
2021/06/30	3.839	3.840	3.815	3.819	1650908	6308032.00
2021/07/01	3.819	3.879	3.818	3.878	1599858	6140966.00
2021/07/02	3.879	3.897	3.826	3.890	1220026	4699525.00
2021/07/05	3.886	3.888	3.852	3.865	1298172	5014984.00
2021/07/06	3.866	3.866	3.838	3.846	1139976	4383641.00
2021/07/07	3.846	3.846	3.830	3.836	1064870	4082658.00
2021/07/08	3.836	3.837	3.818	3.818	1566949	5993542.00
2021/07/09	3.820	3.850	3.810	3.837	1522330	5823495.00
2021/07/12	3.838	3.859	3.834	3.843	1689097	6494586.00
2021/07/13	3.840	3.846	3.832	3.842	979820	3762292.00
2021/07/14	3.839	3.840	3.822	3.835	683870	2617705.00
2021/07/15	3.835	3.852	3.822	3.850	1011435	3880245.00
2021/07/16	3.851	3.859	3.848	3.858	1517015	5846153.00
2021/07/19	3.856	3.871	3.853	3.868	1645813	6364217.00
2021/07/20	3.869	3.878	3.861	3.876	1059019	4099996.00
2021/07/21	3.877	3.888	3.870	3.877	665854	2580319.00
2021/07/22	3.877	3.885	3.875	3.880	640129	2483257.00
2021/07/23	3.881	3.896	3.881	3.896	806132	3137286.00
2021/07/26	3.896	3.896	3.882	3.889	1256929	4884276.00
2021/07/27	3.889	3.900	3.882	3.891	1525560	5937884.00
2021/07/28	3.890	3.890	3.868	3.881	846366	3285727.00
2021/07/29	3.881	3.887	3.875	3.879	812481	3153943.00
2021/07/30	3.879	3.888	3.875	3.882	735192	2853545.00
2021/08/02	3.883	3.910	3.880	3.908	1385848	5395079.00
2021/08/03	3.903	3.935	3.886	3.931	1113267	4363605.00
2021/08/04	3.931	3.973	3.923	3.968	1421293	5631882.00
2021/08/05	3.969	3.985	3.969	3.984	1069308	4254546.00
2021/08/06	3.985	4.044	3.985	3.995	2316932	9287826.00
2021/08/09	3.994	3.994	3.960	3.976	1047282	4155591.00
2021/08/10	3.976	3.984	3.975	3.980	759476	3023663.00
2021/08/11	3.980	3.980	3.963	3.970	840017	3337614.00
2021/08/12	3.966	3.970	3.954	3.956	963811	3817261.00
2021/08/13	3.956	3.958	3.946	3.949	613257	2423986.00
