508007 中金山东高速REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2023/10/27	7.471	7.490	7.470	7.490	4441644	33215592.00
2023/10/30	7.488	7.488	7.460	7.475	1216128	9081153.00
2023/10/31	7.470	7.474	7.462	7.470	436763	3260180.00
2023/11/01	7.470	7.470	7.320	7.396	2908676	21363228.00
2023/11/02	7.400	7.400	7.272	7.351	884441	6470692.00
2023/11/03	7.311	7.360	7.277	7.359	538031	3933856.00
2023/11/06	7.319	7.319	7.284	7.305	397290	2898233.00
2023/11/07	7.305	7.305	7.201	7.214	234489	1692060.00
2023/11/08	7.220	7.220	7.140	7.209	385756	2770980.00
2023/11/09	7.200	7.200	7.150	7.183	197273	1418636.00
2023/11/10	7.179	7.179	7.147	7.148	194444	1390867.00
2023/11/13	7.145	7.169	7.120	7.151	103701	741694.00
2023/11/14	7.150	7.162	7.150	7.162	124376	890232.00
2023/11/15	7.162	7.162	7.092	7.110	253439	1805247.00
2023/11/16	7.110	7.110	7.071	7.071	185664	1318395.00
2023/11/17	7.068	7.068	6.980	7.014	380735	2667818.00
2023/11/20	6.975	6.975	6.890	6.899	288145	2004307.00
2023/11/21	6.897	6.897	6.750	6.800	504816	3431157.00
2023/11/22	6.770	6.770	6.702	6.716	194191	1303242.00
2023/11/23	6.716	6.716	6.530	6.606	582546	3843104.00
2023/11/24	6.590	6.590	6.460	6.483	393636	2558343.00
2023/11/27	6.450	6.450	6.296	6.347	283534	1800612.00
2023/11/28	6.307	6.500	6.307	6.500	239862	1549346.00
2023/11/29	6.500	6.529	6.500	6.529	288755	1882073.00
2023/11/30	6.529	6.529	6.476	6.500	238596	1547855.00
2023/12/01	6.470	6.480	6.462	6.476	190634	1234821.00
2023/12/04	6.477	6.549	6.477	6.488	245323	1590753.00
2023/12/05	6.494	6.529	6.400	6.430	298092	1933660.00
2023/12/06	6.400	6.420	6.381	6.388	165196	1056292.00
2023/12/07	6.387	6.387	6.380	6.383	176054	1124188.00
2023/12/08	6.384	6.385	6.330	6.355	174998	1108458.00
2023/12/11	6.355	6.590	6.355	6.590	320787	2055953.00
2023/12/12	6.550	6.599	6.320	6.578	549488	3572057.00
2023/12/13	6.526	6.590	6.329	6.590	654067	4267019.00
2023/12/14	6.550	6.610	6.550	6.610	204044	1343837.00
2023/12/15	6.573	6.650	6.573	6.650	152742	1010584.00
2023/12/18	6.622	6.790	6.622	6.725	199623	1353977.00
2023/12/19	6.700	6.819	6.700	6.812	235709	1605349.00
2023/12/20	6.778	6.872	6.778	6.868	153908	1057252.00
2023/12/21	6.890	7.027	6.890	7.000	406461	2830865.00
2023/12/22	7.001	7.106	6.919	7.090	665532	4680830.00
2023/12/25	7.088	7.127	7.050	7.120	379203	2684491.00
2023/12/26	6.717	6.717	6.345	6.522	317452	2061271.00
2023/12/27	6.510	6.510	6.382	6.451	104978	676618.00
2023/12/28	6.450	6.475	6.390	6.452	226634	1461510.00
2023/12/29	6.452	6.530	6.412	6.526	323855	2089587.00
2024/01/02	6.500	6.500	6.450	6.450	333460	2156033.00
2024/01/03	6.441	6.441	6.316	6.322	295579	1889836.00
2024/01/04	6.322	6.322	6.201	6.251	157938	985743.00
2024/01/05	6.251	6.260	6.220	6.239	149776	934938.00
2024/01/08	6.239	6.300	6.239	6.282	212067	1334343.00
2024/01/09	6.282	6.341	6.261	6.340	92129	581940.00
2024/01/10	6.340	6.445	6.340	6.445	391353	2513805.00
2024/01/11	6.445	6.639	6.445	6.635	341881	2244130.00
2024/01/12	6.650	6.712	6.526	6.541	181181	1196956.00
2024/01/15	6.530	6.530	6.350	6.497	252256	1620907.00
2024/01/16	6.478	6.500	6.400	6.463	309899	2000070.00
2024/01/17	6.477	6.600	6.448	6.583	212777	1385712.00
2024/01/18	6.594	6.594	6.420	6.484	183007	1193059.00
2024/01/19	6.444	6.476	6.421	6.427	144872	934228.00
2024/01/22	6.412	6.434	6.410	6.428	99380	638201.00
2024/01/23	6.400	6.400	6.368	6.393	47739	304821.00
2024/01/24	6.390	6.398	6.303	6.397	75356	479343.00
2024/01/25	6.376	6.410	6.357	6.409	148672	951403.00
2024/01/26	6.419	6.424	6.410	6.420	88422	567332.00
2024/01/29	6.420	6.550	6.420	6.544	307266	1990330.00
2024/01/30	6.524	6.548	6.524	6.548	115350	754106.00
2024/01/31	6.549	6.665	6.508	6.644	561919	3690016.00
2024/02/01	6.604	6.703	6.604	6.675	579507	3854711.00
2024/02/02	6.669	6.741	6.665	6.687	515674	3450169.00
2024/02/05	6.647	6.737	6.647	6.687	254359	1704028.00
2024/02/06	6.685	6.709	6.656	6.656	225556	1507610.00
2024/02/07	6.656	6.747	6.543	6.678	673479	4461347.00
2024/02/08	6.678	6.750	6.670	6.706	209742	1403400.00
2024/02/19	6.715	6.860	6.704	6.850	229863	1552603.00
2024/02/20	6.860	6.918	6.810	6.888	384154	2650158.00
2024/02/21	6.888	6.925	6.870	6.889	589115	4065249.00
2024/02/22	6.874	6.979	6.874	6.941	862519	5975150.00
2024/02/23	6.941	6.966	6.880	6.930	882714	6118845.00
2024/02/26	6.903	7.123	6.903	6.967	1750232	12235251.00
2024/02/27	6.965	6.965	6.939	6.945	733966	5097644.00
2024/02/28	6.905	6.943	6.870	6.918	848781	5871799.00
2024/02/29	6.904	6.961	6.878	6.929	782158	5415835.00
2024/03/01	6.979	6.998	6.902	6.948	1086128	7554050.00
2024/03/04	6.914	7.100	6.914	7.057	1405770	9872715.00
2024/03/05	7.043	7.230	7.043	7.150	1738460	12464217.00
2024/03/06	7.126	7.250	7.114	7.158	1640258	11787621.00
2024/03/07	7.158	7.200	7.091	7.162	1134859	8101442.00
2024/03/08	7.185	7.250	7.100	7.150	1799776	12863349.00
2024/03/11	7.143	7.238	7.077	7.149	1751413	12524237.00
2024/03/12	7.149	7.200	7.080	7.103	1749924	12429310.00
2024/03/13	7.080	7.172	7.021	7.057	1611497	11421221.00
2024/03/14	7.041	7.175	6.981	7.141	1877038	13283602.00
2024/03/15	7.141	7.188	7.082	7.100	1587307	11271550.00
2024/03/18	7.116	7.166	7.040	7.101	1679931	11926371.00
2024/03/19	7.101	7.137	7.034	7.069	1425186	10077753.00
2024/03/20	7.069	7.083	6.990	7.029	1612573	11349527.00
2024/03/21	7.000	7.054	6.900	6.914	1436780	10016722.00
2024/03/22	6.905	6.967	6.860	6.895	1229370	8489140.00
2024/03/25	6.871	6.952	6.850	6.927	1481309	10197642.00
2024/03/26	6.954	6.978	6.887	6.974	1609880	11166850.00
2024/03/27	6.970	7.118	6.970	7.021	1510267	10616508.00
2024/03/28	7.021	7.033	6.999	7.009	1347992	9461437.00
2024/03/29	7.009	7.069	7.009	7.025	1484418	10424702.00
2024/04/01	7.025	7.080	7.020	7.080	1604318	11298811.00
2024/04/02	7.059	7.100	6.981	7.098	2050064	14458772.00
2024/04/03	7.070	7.203	7.059	7.180	3025910	21570820.00
2024/04/08	7.180	7.249	7.150	7.222	2116106	15245251.00
2024/04/09	7.221	7.249	7.221	7.241	2025911	14670360.00
2024/04/10	7.241	7.249	7.200	7.234	1652758	11938563.00
2024/04/11	7.194	7.282	7.194	7.280	2199825	15954379.00
2024/04/12	7.280	7.280	7.250	7.265	1743696	12659281.00
2024/04/15	7.264	7.305	7.245	7.290	1790738	13006174.00
2024/04/16	7.260	7.348	7.260	7.301	2015271	14711810.00
2024/04/17	7.301	7.351	7.279	7.324	1796692	13140026.00
2024/04/18	7.350	7.396	7.301	7.338	1888492	13836379.00
2024/04/19	7.338	7.389	7.300	7.354	1792325	13138742.00
2024/04/22	7.354	7.428	7.354	7.408	1856584	13759983.00
2024/04/23	7.400	7.409	7.302	7.396	2037856	15082456.00
2024/04/24	7.410	7.431	7.198	7.424	1922245	14230263.00
2024/04/25	7.468	7.668	7.390	7.604	2117963	15897710.00
2024/04/26	7.293	7.450	7.200	7.345	2697273	19827382.00
2024/04/29	7.335	7.335	7.260	7.329	1840320	13416714.00
2024/04/30	7.289	7.369	7.289	7.331	1743415	12774966.00
2024/05/06	7.331	7.405	7.281	7.340	1076326	7883709.00
2024/05/07	7.340	7.375	7.269	7.314	436984	3206914.00
2024/05/08	7.310	7.324	7.177	7.299	736647	5341869.00
2024/05/09	7.259	7.321	7.198	7.321	648148	4731684.00
2024/05/10	7.321	7.386	7.282	7.380	904945	6661429.00
2024/05/13	7.379	7.450	7.350	7.360	1056211	7792527.00
2024/05/14	7.360	7.388	7.320	7.385	842058	6215074.00
2024/05/15	7.370	7.387	7.300	7.369	1254805	9235505.00
2024/05/16	7.361	7.400	7.361	7.385	1121778	8282157.00
2024/05/17	7.385	7.434	7.344	7.353	843500	6217421.00
2024/05/20	7.345	7.391	7.345	7.383	694033	5120234.00
2024/05/21	7.343	7.416	7.343	7.415	745357	5523263.00
2024/05/22	7.415	7.418	7.360	7.372	255955	1892239.00
2024/05/23	7.365	7.371	7.299	7.334	418283	3070648.00
2024/05/24	7.294	7.400	7.294	7.390	400346	2945420.00
2024/05/27	7.468	7.468	7.390	7.438	173043	1285465.00
2024/05/28	7.438	7.459	7.438	7.452	712955	5311991.00
2024/05/29	7.440	7.440	7.398	7.424	1015269	7531970.00
2024/05/30	7.424	7.438	7.391	7.407	1121943	8305633.00
2024/05/31	7.401	7.420	7.401	7.415	780846	5788800.00
2024/06/03	7.376	7.435	7.376	7.408	812386	6022856.00
2024/06/04	7.390	7.413	7.320	7.365	752091	5554249.00
2024/06/05	7.365	7.365	7.305	7.347	737891	5414753.00
2024/06/06	7.341	7.350	7.341	7.345	667836	4904530.00
2024/06/07	7.322	7.343	7.280	7.300	412849	3014325.00
2024/06/11	7.280	7.305	7.241	7.278	992358	7216382.00
2024/06/12	7.240	7.325	7.240	7.279	746501	5439168.00
2024/06/13	7.240	7.327	7.240	7.285	750600	5467905.00
2024/06/14	7.285	7.338	7.241	7.286	790249	5756074.00
2024/06/17	7.286	7.352	7.271	7.310	310633	2270754.00
2024/06/18	7.308	7.308	7.258	7.297	737041	5371068.00
2024/06/19	7.297	7.300	7.226	7.289	667047	4857079.00
2024/06/20	7.289	7.318	7.241	7.286	567290	4130547.00
2024/06/21	7.301	7.360	7.245	7.270	728339	5301721.00
2024/06/24	7.270	7.278	7.226	7.275	598491	4349434.00
2024/06/25	7.261	7.324	7.261	7.272	570626	4151169.00
