508008 国金中国铁建REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/07/08	9.650	9.657	9.585	9.613	23428824	224989056.00
2022/07/11	9.618	9.618	9.592	9.606	4536287	43551496.00
2022/07/12	9.605	9.623	9.595	9.619	3474007	33376916.00
2022/07/13	9.621	9.622	9.608	9.616	1824913	17546140.00
2022/07/14	9.616	9.617	9.594	9.600	2590275	24880978.00
2022/07/15	9.600	9.604	9.595	9.603	1699099	16312521.00
2022/07/18	9.603	9.605	9.596	9.602	1407139	13509742.00
2022/07/19	9.602	9.603	9.596	9.601	1152747	11067155.00
2022/07/20	9.601	9.608	9.598	9.605	1863103	17889036.00
2022/07/21	9.605	9.630	9.600	9.614	2391589	22991392.00
2022/07/22	9.614	9.634	9.603	9.629	3477026	33473640.00
2022/07/25	9.629	9.636	9.611	9.626	2659377	25599968.00
2022/07/26	9.624	9.634	9.615	9.628	2800967	26956428.00
2022/07/27	9.628	9.631	9.623	9.627	1296727	12483429.00
2022/07/28	9.627	9.629	9.620	9.628	1694779	16313565.00
2022/07/29	9.628	9.634	9.618	9.630	2552205	24579536.00
2022/08/01	9.631	9.631	9.621	9.626	2290044	22041104.00
2022/08/02	9.626	9.626	9.597	9.619	1961568	18851046.00
2022/08/03	9.615	9.615	9.606	9.612	1497143	14391977.00
2022/08/04	9.613	9.615	9.601	9.615	1455568	13986322.00
2022/08/05	9.606	9.625	9.606	9.616	2085936	20058500.00
2022/08/08	9.619	9.619	9.609	9.614	1038962	9989950.00
2022/08/09	9.615	9.619	9.607	9.609	1347487	12949055.00
2022/08/10	9.608	9.682	9.605	9.618	1713082	16494556.00
2022/08/11	9.617	9.639	9.612	9.617	1850240	17794040.00
2022/08/12	9.617	9.638	9.612	9.631	3754332	36156544.00
2022/08/15	9.631	9.690	9.625	9.680	4106475	39712920.00
2022/08/16	9.672	9.681	9.656	9.665	3342274	32319564.00
2022/08/17	9.668	9.737	9.665	9.714	4002102	38831296.00
2022/08/18	9.713	9.789	9.685	9.782	3301697	32208128.00
2022/08/19	9.799	9.999	9.799	9.947	5275717	52398768.00
2022/08/22	9.955	10.024	9.859	9.862	3601911	35892024.00
2022/08/23	9.862	9.882	9.803	9.861	4149317	40872464.00
2022/08/24	9.853	9.920	9.808	9.872	2600606	25630932.00
2022/08/25	9.860	10.000	9.813	9.999	3035464	30116624.00
2022/08/26	9.996	10.051	9.915	10.028	3267762	32691664.00
2022/08/29	9.999	10.031	9.966	10.010	2595560	25953428.00
2022/08/30	10.006	10.065	9.969	10.058	1840679	18491024.00
2022/08/31	10.057	10.169	10.020	10.167	3873473	39089740.00
2022/09/01	10.157	10.157	10.045	10.122	2759524	27819900.00
2022/09/02	10.039	10.140	10.039	10.135	2634770	26580616.00
2022/09/05	10.128	10.135	10.070	10.079	1856646	18735660.00
2022/09/06	10.073	10.112	10.050	10.111	1408192	14199140.00
2022/09/07	10.111	10.164	10.056	10.157	2009027	20366856.00
2022/09/08	10.158	10.209	10.158	10.206	2151806	21934530.00
2022/09/09	10.206	10.217	10.160	10.197	2342611	23870108.00
2022/09/13	10.197	10.197	10.113	10.131	1741995	17679260.00
2022/09/14	10.129	10.129	10.099	10.107	2502452	25300440.00
2022/09/15	10.099	10.099	10.044	10.047	1794194	18057492.00
2022/09/16	10.042	10.042	9.935	9.967	2284771	22868896.00
2022/09/19	9.967	10.060	9.967	9.995	2023847	20240118.00
2022/09/20	9.995	10.043	9.965	10.038	1552901	15566811.00
2022/09/21	10.098	10.098	10.006	10.039	1541173	15454579.00
2022/09/22	10.038	10.080	9.994	10.073	2282066	22950002.00
2022/09/23	10.073	10.076	9.951	9.978	4754882	47537756.00
2022/09/26	9.968	9.969	9.842	9.892	3644255	35972388.00
2022/09/27	9.889	9.985	9.766	9.977	2530191	25027632.00
2022/09/28	9.977	10.051	9.930	10.008	3066971	30643816.00
2022/09/29	9.998	9.998	9.921	9.948	3822052	38062608.00
2022/09/30	9.948	9.957	9.905	9.917	2624170	26046640.00
2022/10/10	9.918	9.939	9.860	9.897	2837208	28122684.00
2022/10/11	9.897	9.897	9.844	9.855	1662883	16385563.00
2022/10/12	9.850	9.904	9.752	9.870	2357808	23152564.00
2022/10/13	9.869	9.930	9.771	9.928	2044058	20156080.00
2022/10/14	9.930	9.955	9.831	9.947	1369783	13582808.00
2022/10/17	9.947	9.955	9.908	9.940	1908664	18960364.00
2022/10/18	9.930	9.955	9.881	9.946	1988820	19764052.00
2022/10/19	9.946	9.946	9.871	9.916	2772459	27470684.00
