508009 中金安徽交控REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/11/22	10.730	10.730	10.037	10.390	14318011	147672880.00
2022/11/23	10.200	10.215	10.050	10.143	3948275	40034440.00
2022/11/24	10.120	10.299	10.090	10.215	2600910	26596404.00
2022/11/25	10.213	10.279	10.200	10.247	2084826	21360484.00
2022/11/28	10.250	10.265	10.172	10.239	2695965	27550686.00
2022/11/29	10.230	10.257	10.201	10.228	1596494	16350625.00
2022/11/30	10.227	10.236	10.210	10.228	1546193	15815887.00
2022/12/01	10.226	10.245	10.211	10.241	2872564	29406774.00
2022/12/02	10.290	10.290	10.250	10.258	1329525	13638517.00
2022/12/05	10.259	10.409	10.259	10.405	1629519	16897228.00
2022/12/06	10.407	10.607	10.406	10.600	3427518	36102852.00
2022/12/07	10.605	10.645	10.547	10.560	1858856	19657416.00
2022/12/08	10.560	10.603	10.558	10.595	1274018	13484931.00
2022/12/09	10.596	10.615	10.590	10.602	1379066	14630341.00
2022/12/12	10.610	10.619	10.600	10.604	1718936	18239424.00
2022/12/13	10.604	10.604	10.430	10.432	2344897	24600372.00
2022/12/14	10.390	10.397	10.331	10.391	1422793	14771635.00
2022/12/15	10.392	10.421	10.380	10.388	1585526	16496995.00
2022/12/16	10.392	10.476	10.370	10.375	1701367	17673846.00
2022/12/19	10.392	10.392	10.350	10.364	1227786	12726412.00
2022/12/20	10.392	10.392	10.261	10.286	937677	9654300.00
2022/12/21	10.319	10.319	10.262	10.264	1275357	13103798.00
2022/12/22	10.294	10.294	10.262	10.278	1131571	11627681.00
2022/12/23	10.314	10.314	10.260	10.296	2074002	21331234.00
2022/12/26	10.324	10.330	10.309	10.322	624346	6444074.00
2022/12/27	10.322	10.349	10.260	10.348	921137	9511780.00
2022/12/28	10.349	10.400	10.331	10.365	493122	5105696.00
2022/12/29	10.370	10.396	10.332	10.396	654764	6793284.00
2022/12/30	10.397	10.500	10.373	10.499	592790	6189673.00
2023/01/03	10.499	10.500	10.482	10.486	813274	8531555.00
2023/01/04	10.486	10.486	10.325	10.468	1451232	15194530.00
2023/01/05	10.357	10.470	10.357	10.468	1384478	14486417.00
2023/01/06	10.468	10.517	10.405	10.516	1783393	18714352.00
2023/01/09	10.516	10.516	10.418	10.500	965254	10137761.00
2023/01/10	10.500	10.525	10.436	10.515	1315553	13812349.00
2023/01/11	10.515	10.515	10.468	10.489	1331667	13961708.00
2023/01/12	10.488	10.491	10.441	10.490	884258	9269558.00
2023/01/13	10.490	10.490	10.456	10.461	674116	7056712.00
2023/01/16	10.464	10.470	10.433	10.436	937683	9801759.00
2023/01/17	10.422	10.433	10.350	10.378	1278103	13296242.00
2023/01/18	10.380	10.409	10.339	10.381	1013402	10516046.00
2023/01/19	10.381	10.381	10.351	10.360	1177916	12203982.00
2023/01/20	10.360	10.382	10.360	10.367	1153188	11955501.00
2023/01/30	10.367	10.418	10.367	10.408	1225219	12739892.00
2023/01/31	10.408	10.538	10.408	10.505	2050524	21462946.00
2023/02/01	10.505	10.515	10.466	10.466	1540106	16147571.00
2023/02/02	10.465	10.465	10.407	10.430	1870629	19506504.00
2023/02/03	10.430	10.495	10.411	10.448	2095355	21892088.00
2023/02/06	10.448	10.489	10.428	10.487	2114647	22121146.00
2023/02/07	10.489	10.500	10.467	10.481	2252823	23615016.00
2023/02/08	10.481	10.491	10.458	10.479	1645770	17248788.00
2023/02/09	10.479	10.487	10.440	10.478	2389426	25037984.00
2023/02/10	10.479	10.487	10.468	10.473	3205239	33583464.00
2023/02/13	10.473	10.487	10.453	10.465	1401673	14671854.00
2023/02/14	10.459	10.467	10.445	10.449	2122315	22210086.00
2023/02/15	10.447	10.456	10.440	10.450	1726906	18044492.00
2023/02/16	10.450	10.464	10.440	10.456	3013293	31505380.00
2023/02/17	10.456	10.496	10.449	10.483	2555832	26790660.00
2023/02/20	10.483	10.518	10.452	10.507	2201836	23111556.00
2023/02/21	10.506	10.550	10.461	10.528	3799915	40020296.00
2023/02/22	10.540	10.540	10.500	10.526	1526306	16055514.00
2023/02/23	10.525	10.540	10.506	10.514	2683821	28262044.00
2023/02/24	10.507	10.520	10.467	10.473	835776	8783701.00
2023/02/27	10.468	10.477	10.450	10.452	2956634	30927180.00
2023/02/28	10.467	10.467	10.452	10.454	3604417	37693896.00
2023/03/01	10.467	10.480	10.448	10.459	3363878	35164428.00
2023/03/02	10.459	10.464	10.415	10.450	1871109	19555872.00
2023/03/03	10.450	10.468	10.450	10.450	1283850	13420643.00
2023/03/06	10.450	10.456	10.443	10.451	542706	5672217.00
2023/03/07	10.450	10.461	10.420	10.456	1073403	11221246.00
2023/03/08	10.456	10.463	10.430	10.458	416387	4354824.00
2023/03/09	10.458	10.461	10.451	10.453	1848440	19328488.00
2023/03/10	10.453	10.460	10.453	10.453	1723591	18019590.00
2023/03/13	10.450	10.460	10.433	10.455	794766	8304089.00
2023/03/14	10.450	10.456	10.426	10.433	986437	10300417.00
2023/03/15	10.433	10.445	10.420	10.438	1319048	13768805.00
2023/03/16	10.436	10.436	10.428	10.434	1610594	16805984.00
2023/03/17	10.434	10.438	10.404	10.409	1556592	16223149.00
2023/03/20	10.409	10.417	10.370	10.397	1739889	18102532.00
2023/03/21	10.382	10.390	10.345	10.352	1924896	19965406.00
2023/03/22	10.352	10.380	10.327	10.330	1178733	12201272.00
2023/03/23	10.380	10.380	10.300	10.320	2740185	28292592.00
2023/03/24	10.321	10.344	10.300	10.311	1471599	15185784.00
2023/03/27	10.311	10.311	10.265	10.268	1528411	15718276.00
2023/03/28	10.268	10.268	10.100	10.101	1675729	17068514.00
2023/03/29	10.108	10.136	10.100	10.100	1680825	16998020.00
2023/03/30	10.098	10.099	10.001	10.003	1180500	11848255.00
2023/03/31	10.055	10.055	9.988	10.049	1416543	14206520.00
2023/04/03	10.110	10.138	10.038	10.042	1723686	17332422.00
2023/04/04	10.040	10.040	9.973	9.982	1338932	13378054.00
2023/04/06	9.987	10.040	9.911	9.914	1104227	10974167.00
2023/04/07	9.920	9.926	9.876	9.907	1386019	13727821.00
2023/04/10	9.907	9.920	9.901	9.905	1705478	16897796.00
2023/04/11	9.905	9.905	9.872	9.873	1074635	10614185.00
2023/04/12	9.872	9.872	9.769	9.769	1914570	18741700.00
2023/04/13	9.790	9.790	9.559	9.561	1743843	16730618.00
2023/04/14	9.561	9.595	9.501	9.531	1846466	17628046.00
2023/04/17	9.530	9.631	9.530	9.631	3008609	28931776.00
2023/04/18	9.630	9.769	9.602	9.766	2089943	20321872.00
2023/04/19	9.770	9.846	9.770	9.843	1535243	15072722.00
2023/04/20	9.845	9.855	9.832	9.835	1710734	16832676.00
2023/04/21	9.835	9.846	9.580	9.669	1317671	12845463.00
2023/04/24	9.669	9.740	9.669	9.730	1196296	11643056.00
2023/04/25	9.734	9.753	9.701	9.729	1008580	9814916.00
