508010 中金重庆两江REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/12/11	2.559	2.559	2.460	2.551	5299232	13500948.00
2024/12/12	2.552	2.601	2.532	2.580	2488791	6420553.00
2024/12/13	2.570	2.596	2.550	2.589	2409346	6210355.00
2024/12/16	2.580	2.650	2.580	2.619	8599581	22402284.00
2024/12/17	2.611	2.649	2.611	2.621	1818516	4767840.00
2024/12/18	2.621	2.647	2.605	2.609	2178148	5721876.00
2024/12/19	2.600	2.639	2.500	2.610	2277225	5904860.00
2024/12/20	2.603	2.618	2.572	2.608	1160482	3026712.00
2024/12/23	2.562	2.860	2.562	2.642	812857	2114200.00
2024/12/24	2.630	2.695	2.598	2.620	688415	1802519.00
2024/12/25	2.619	2.638	2.581	2.600	179124	465856.00
2024/12/26	2.598	2.617	2.582	2.606	472683	1231725.00
2024/12/27	2.609	2.630	2.590	2.629	1356980	3550783.00
2024/12/30	2.602	2.650	2.602	2.638	1196555	3142283.00
2024/12/31	2.650	2.720	2.602	2.700	995746	2656110.00
2025/01/02	2.712	2.749	2.700	2.726	1415395	3847057.00
2025/01/03	2.705	2.888	2.705	2.840	3303724	9303249.00
2025/01/06	2.840	2.880	2.780	2.870	2296120	6573315.00
2025/01/07	2.870	2.888	2.813	2.859	538064	1526729.00
2025/01/08	2.858	2.888	2.831	2.874	383561	1101916.00
2025/01/09	2.873	3.030	2.845	2.918	928175	2709844.00
2025/01/10	2.918	2.963	2.886	2.957	2369597	6964948.00
2025/01/13	2.927	3.046	2.927	2.961	610916	1814960.00
2025/01/14	2.960	3.000	2.944	2.974	3073541	9129064.00
2025/01/15	3.019	3.019	2.930	2.979	126882	377110.00
2025/01/16	3.018	3.018	2.932	2.960	810121	2396412.00
2025/01/17	3.000	3.000	2.950	2.961	312338	924471.00
2025/01/20	2.999	2.999	2.911	2.962	673308	1982898.00
2025/01/21	2.947	2.980	2.932	2.967	1007317	2981601.00
2025/01/22	2.952	2.971	2.944	2.970	244264	723667.00
2025/01/23	2.960	2.980	2.950	2.970	429912	1273134.00
2025/01/24	2.969	3.000	2.966	2.981	172960	515298.00
2025/01/27	2.966	3.200	2.966	3.027	628704	1895698.00
2025/02/05	3.027	3.100	2.810	3.045	1204190	3568153.00
2025/02/06	3.044	3.044	2.984	3.016	1515152	4568563.00
2025/02/07	3.000	3.034	2.986	2.997	874297	2622731.00
2025/02/10	2.997	3.072	2.996	3.025	862473	2594322.00
2025/02/11	3.024	3.191	3.024	3.170	2907668	9083478.00
2025/02/12	3.160	3.200	3.123	3.168	2968254	9387067.00
2025/02/13	3.168	3.199	3.105	3.160	828347	2615729.00
2025/02/14	3.190	3.250	3.130	3.160	1012306	3198241.00
2025/02/17	3.160	3.400	3.141	3.174	1203186	3819651.00
2025/02/18	3.175	3.182	3.142	3.177	935828	2960901.00
2025/02/19	3.162	3.249	3.155	3.245	2648796	8426041.00
2025/02/20	3.270	3.300	3.196	3.289	757982	2464037.00
2025/02/21	3.260	3.386	3.247	3.353	1574399	5203633.00
2025/02/24	3.395	3.395	3.286	3.305	1361704	4514473.00
2025/02/25	3.303	3.336	3.215	3.249	2391319	7809577.00
2025/02/26	3.266	3.266	3.190	3.242	1743522	5606702.00
