508011 嘉实物美消费REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/03/12	2.500	2.501	2.314	2.399	10379629	24705810.00
2024/03/13	2.343	2.407	2.343	2.407	1617815	3848112.00
2024/03/14	2.395	2.413	2.380	2.409	1851820	4448524.00
2024/03/15	2.410	2.419	2.396	2.418	471377	1134526.00
2024/03/18	2.416	2.440	2.395	2.400	2362476	5674089.00
2024/03/19	2.390	2.390	2.365	2.367	520753	1238615.00
2024/03/20	2.369	2.370	2.349	2.359	733264	1726235.00
2024/03/21	2.347	2.347	2.318	2.326	1431253	3334749.00
2024/03/22	2.328	2.340	2.230	2.231	2453387	5536883.00
2024/03/25	2.220	2.260	2.195	2.248	2039161	4497242.00
2024/03/26	2.248	2.256	2.223	2.240	437589	979179.00
2024/03/27	2.256	2.326	2.226	2.297	3988263	9117176.00
2024/03/28	2.297	2.345	2.260	2.267	834057	1900214.00
2024/03/29	2.260	2.263	2.254	2.261	932272	2106634.00
2024/04/01	2.254	2.290	2.221	2.279	619147	1403135.00
2024/04/02	2.277	2.345	2.277	2.310	3912504	9084884.00
2024/04/03	2.307	2.350	2.298	2.310	1907413	4425012.00
2024/04/08	2.305	2.360	2.305	2.333	1063370	2484543.00
2024/04/09	2.331	2.350	2.325	2.347	2226573	5215557.00
2024/04/10	2.354	2.355	2.319	2.346	654798	1533319.00
2024/04/11	2.346	2.375	2.342	2.356	1974921	4653792.00
2024/04/12	2.364	2.364	2.355	2.356	770198	1816348.00
2024/04/15	2.348	2.365	2.315	2.330	2063084	4828214.00
2024/04/16	2.312	2.342	2.304	2.316	1171899	2709481.00
2024/04/17	2.297	2.385	2.297	2.357	2207350	5173228.00
2024/04/18	2.359	2.399	2.345	2.360	2803911	6653820.00
2024/04/19	2.358	2.400	2.358	2.383	4303285	10256356.00
2024/04/22	2.383	2.408	2.383	2.401	2061042	4946241.00
2024/04/23	2.401	2.450	2.393	2.400	1104693	2651330.00
2024/04/24	2.394	2.417	2.376	2.411	2853919	6809340.00
2024/04/25	2.407	2.474	2.407	2.473	2156000	5275748.00
2024/04/26	2.473	2.562	2.473	2.508	3945626	9911384.00
2024/04/29	2.510	2.539	2.487	2.516	2151171	5396176.00
2024/04/30	2.512	2.561	2.512	2.515	1262724	3198300.00
2024/05/06	2.492	2.512	2.484	2.508	1285610	3216510.00
2024/05/07	2.508	2.580	2.500	2.569	2891710	7343289.00
2024/05/08	2.568	2.619	2.561	2.595	3371361	8743221.00
2024/05/09	2.569	2.629	2.569	2.620	4017425	10450481.00
2024/05/10	2.620	2.655	2.620	2.650	1435454	3790241.00
2024/05/13	2.650	2.658	2.598	2.651	2798309	7371052.00
2024/05/14	2.641	2.691	2.614	2.677	4021912	10745442.00
2024/05/15	2.677	2.700	2.640	2.653	1671093	4465060.00
2024/05/16	2.642	2.652	2.609	2.621	1571795	4126382.00
2024/05/17	2.622	2.622	2.520	2.559	3243709	8301375.00
2024/05/20	2.555	2.567	2.520	2.525	1649841	4176254.00
2024/05/21	2.522	2.540	2.507	2.529	1363486	3435077.00
2024/05/22	2.530	2.533	2.514	2.529	209955	530769.00
2024/05/23	2.511	2.567	2.510	2.534	886790	2254990.00
2024/05/24	2.529	2.553	2.529	2.552	1200319	3059206.00
2024/05/27	2.552	2.580	2.540	2.554	2410299	6164365.00
2024/05/28	2.551	2.559	2.541	2.549	793914	2024853.00
2024/05/29	2.549	2.585	2.543	2.572	1065789	2737652.00
2024/05/30	2.564	2.584	2.543	2.581	1106438	2839001.00
2024/05/31	2.582	2.593	2.567	2.581	1829394	4716017.00
2024/06/03	2.567	2.589	2.557	2.568	2564685	6585297.00
2024/06/04	2.560	2.570	2.547	2.568	894473	2290875.00
2024/06/05	2.571	2.571	2.560	2.568	70415	180659.00
2024/06/06	2.568	2.568	2.560	2.564	278725	714210.00
2024/06/07	2.564	2.589	2.564	2.587	1335197	3433917.00
2024/06/11	2.588	2.614	2.573	2.594	2286271	5912110.00
2024/06/12	2.594	2.622	2.571	2.589	2482899	6416086.00
2024/06/13	2.581	2.594	2.579	2.586	183099	473765.00
2024/06/14	2.586	2.599	2.567	2.599	1574237	4075353.00
2024/06/17	2.582	2.596	2.580	2.585	370856	959775.00
2024/06/18	2.569	2.585	2.555	2.580	2303593	5917514.00
2024/06/19	2.580	2.580	2.565	2.575	339142	871986.00
2024/06/20	2.554	2.583	2.554	2.581	448489	1151199.00
2024/06/21	2.568	2.582	2.568	2.578	424066	1091778.00
2024/06/24	2.567	2.575	2.550	2.563	3209340	8209422.00
2024/06/25	2.555	2.577	2.537	2.548	1560357	3992392.00
2024/06/26	2.540	2.540	2.508	2.518	4806556	12125110.00
2024/06/27	2.518	2.571	2.508	2.550	2655415	6724675.00
2024/06/28	2.542	2.560	2.542	2.554	1239687	3162713.00
2024/07/01	2.542	2.586	2.540	2.559	1435573	3677525.00
2024/07/02	2.550	2.575	2.545	2.565	2993042	7667039.00
2024/07/03	2.552	2.586	2.552	2.581	2965641	7646697.00
2024/07/04	2.572	2.589	2.566	2.584	1356698	3499028.00
2024/07/05	2.577	2.582	2.575	2.581	633430	1634691.00
2024/07/08	2.589	2.589	2.578	2.580	111396	287409.00
2024/07/09	2.585	2.588	2.545	2.584	4371574	11266221.00
2024/07/10	2.584	2.657	2.570	2.599	1571360	4085068.00
2024/07/11	2.570	2.638	2.570	2.616	1067697	2783198.00
2024/07/12	2.646	2.646	2.597	2.621	686486	1797936.00
2024/07/15	2.620	2.649	2.587	2.623	2036097	5327278.00
2024/07/16	2.623	2.651	2.605	2.626	955691	2518713.00
2024/07/17	2.626	2.656	2.626	2.653	977997	2584530.00
2024/07/18	2.653	2.673	2.616	2.652	1769900	4701847.00
2024/07/19	2.645	2.650	2.640	2.645	819916	2167226.00
2024/07/22	2.609	2.648	2.609	2.641	1058779	2794580.00
2024/07/23	2.613	2.636	2.574	2.615	2304696	6007150.00
2024/07/24	2.598	2.618	2.596	2.605	1008695	2623599.00
2024/07/25	2.598	2.604	2.587	2.591	457799	1187026.00
2024/07/26	2.592	2.632	2.591	2.611	1571895	4099915.00
2024/07/29	2.607	2.666	2.607	2.629	1634399	4304868.00
2024/07/30	2.638	2.681	2.616	2.671	1933643	5137735.00
2024/07/31	2.667	2.752	2.667	2.694	2758143	7436428.00
2024/08/01	2.665	2.739	2.660	2.672	896395	2425193.00
2024/08/02	2.670	2.686	2.670	2.679	604383	1620645.00
2024/08/05	2.679	2.798	2.679	2.771	1500397	4099312.00
2024/08/06	2.768	2.799	2.737	2.775	2516785	6917905.00
2024/08/07	2.755	2.880	2.755	2.854	1282987	3633629.00
2024/08/08	2.850	2.905	2.850	2.865	767963	2215355.00
2024/08/09	2.818	2.989	2.804	2.858	1213389	3454561.00
2024/08/12	2.830	2.866	2.823	2.844	1120096	3181389.00
2024/08/13	2.806	2.885	2.806	2.824	1075198	3030992.00
2024/08/14	2.822	2.826	2.802	2.825	687191	1931666.00
2024/08/15	2.827	2.899	2.824	2.886	446028	1272187.00
2024/08/16	2.847	2.897	2.806	2.816	3470398	9834086.00
2024/08/19	2.800	2.808	2.721	2.765	2119589	5863716.00
2024/08/20	2.748	2.760	2.708	2.728	1304976	3553329.00
2024/08/21	2.720	2.733	2.696	2.720	1386997	3760690.00
2024/08/22	2.719	2.786	2.718	2.786	924980	2539944.00
2024/08/23	2.784	2.840	2.736	2.840	1048791	2958665.00
2024/08/26	2.859	2.862	2.790	2.797	795000	2232628.00
2024/08/27	2.758	2.795	2.735	2.744	941702	2591337.00
2024/08/28	2.738	2.769	2.737	2.769	2432498	6678106.00
