508012 招商科创REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/12/31	3.208	3.230	3.177	3.223	5359930	17172180.00
2025/01/02	3.223	3.223	3.164	3.164	1131190	3609447.00
2025/01/03	3.163	3.220	3.160	3.200	1277814	4083268.00
2025/01/06	3.206	3.220	3.182	3.190	618225	1976934.00
2025/01/07	3.189	3.199	3.170	3.185	287119	915360.00
2025/01/08	3.181	3.199	3.181	3.199	195806	625073.00
2025/01/09	3.199	3.201	3.190	3.199	279147	892675.00
2025/01/10	3.192	3.205	3.192	3.201	388635	1243192.00
2025/01/13	3.200	3.200	3.192	3.198	59031	188582.00
2025/01/14	3.186	3.193	3.165	3.173	370048	1176622.00
2025/01/15	3.166	3.178	3.166	3.178	163933	520328.00
2025/01/16	3.172	3.185	3.172	3.179	83718	266147.00
2025/01/17	3.173	3.188	3.172	3.183	69774	221785.00
2025/01/20	3.179	3.186	3.174	3.185	202333	643730.00
2025/01/21	3.192	3.192	3.183	3.186	90592	288635.00
2025/01/22	3.175	3.195	3.175	3.191	157991	503480.00
2025/01/23	3.189	3.194	3.179	3.194	163143	519648.00
2025/01/24	3.194	3.210	3.188	3.210	631298	2020253.00
2025/01/27	3.213	3.263	3.213	3.239	2128674	6878187.00
2025/02/05	3.229	3.250	3.212	3.239	718717	2327736.00
2025/02/06	3.216	3.246	3.216	3.237	711273	2299179.00
2025/02/07	3.237	3.237	3.216	3.233	340155	1097784.00
2025/02/10	3.223	3.270	3.218	3.261	2456903	7986006.00
2025/02/11	3.262	3.364	3.260	3.332	1852277	6132627.00
2025/02/12	3.332	3.430	3.332	3.395	4933131	16702270.00
2025/02/13	3.394	3.395	3.355	3.360	1225339	4137343.00
2025/02/14	3.355	3.380	3.320	3.370	1523404	5121774.00
2025/02/17	3.371	3.398	3.336	3.370	2297681	7749478.00
2025/02/18	3.368	3.388	3.336	3.346	1148876	3861619.00
2025/02/19	3.330	3.349	3.326	3.336	1127506	3759858.00
2025/02/20	3.330	3.350	3.330	3.345	1293717	4324030.00
2025/02/21	3.345	3.367	3.338	3.355	1211832	4057152.00
2025/02/24	3.367	3.367	3.316	3.316	1370275	4568281.00
2025/02/25	3.316	3.330	3.230	3.269	2072967	6773641.00
2025/02/26	3.263	3.299	3.241	3.257	607329	1985169.00
2025/02/27	3.250	3.252	3.201	3.214	903194	2911252.00
2025/02/28	3.201	3.230	3.167	3.194	824416	2622579.00
2025/03/03	3.212	3.227	3.165	3.214	824604	2650695.00
2025/03/04	3.214	3.264	3.200	3.260	1462271	4758382.00
2025/03/05	3.243	3.294	3.234	3.281	759806	2491088.00
2025/03/06	3.281	3.296	3.277	3.284	958604	3148865.00
2025/03/07	3.290	3.290	3.253	3.264	534730	1747508.00
2025/03/10	3.240	3.275	3.230	3.275	148955	486218.00
2025/03/11	3.276	3.276	3.262	3.271	666157	2178089.00
2025/03/12	3.248	3.267	3.248	3.260	199253	650080.00
2025/03/13	3.250	3.264	3.249	3.260	42516	138539.00
2025/03/14	3.257	3.268	3.236	3.268	174231	567665.00
2025/03/17	3.251	3.261	3.250	3.258	97897	318517.00
2025/03/18	3.259	3.259	3.234	3.240	624388	2022250.00
2025/03/19	3.233	3.258	3.233	3.252	935762	3031960.00
2025/03/20	3.255	3.260	3.239	3.250	1192273	3874643.00
2025/03/21	3.246	3.246	3.233	3.244	296097	958914.00
2025/03/24	3.245	3.249	3.230	3.243	145002	468981.00
