508015 中信建投明阳智能 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/07/23	7.500	7.500	7.121	7.145	6968080	50402392.00
2024/07/24	7.142	7.200	6.930	7.174	2254713	15921165.00
2024/07/25	7.166	7.175	7.115	7.156	998859	7153246.00
2024/07/26	7.140	7.155	7.035	7.081	3038919	21498108.00
2024/07/29	7.069	7.145	7.009	7.087	1673004	11851246.00
2024/07/30	7.056	7.145	7.056	7.115	851236	6046024.00
2024/07/31	7.145	7.145	7.080	7.116	344861	2455712.00
2024/08/01	7.117	7.190	7.117	7.186	1196159	8571860.00
2024/08/02	7.171	7.240	7.120	7.231	796947	5747666.00
2024/08/05	7.222	7.396	7.222	7.388	810821	5958677.00
2024/08/06	7.355	7.500	7.355	7.493	522774	3906098.00
2024/08/07	7.493	7.668	7.493	7.653	1388745	10555910.00
2024/08/08	7.690	7.690	7.577	7.626	2103646	16066952.00
2024/08/09	7.612	7.651	7.560	7.648	753617	5732109.00
2024/08/12	7.620	7.680	7.606	7.641	466869	3565982.00
2024/08/13	7.607	7.695	7.573	7.619	1862491	14187303.00
2024/08/14	7.620	7.640	7.593	7.640	459817	3503911.00
2024/08/15	7.635	7.639	7.578	7.589	546946	4160946.00
2024/08/16	7.556	7.622	7.556	7.598	210080	1598171.00
2024/08/19	7.624	7.628	7.538	7.590	519228	3932710.00
2024/08/20	7.595	7.599	7.540	7.585	348771	2640166.00
2024/08/21	7.585	7.616	7.557	7.591	166806	1264959.00
2024/08/22	7.593	7.640	7.574	7.600	222210	1690032.00
2024/08/23	7.660	7.685	7.590	7.599	360420	2738138.00
2024/08/26	7.619	7.619	7.550	7.593	402801	3052768.00
2024/08/27	7.588	7.645	7.560	7.614	269622	2046843.00
2024/08/28	7.614	7.621	7.551	7.613	385152	2925946.00
2024/08/29	7.650	7.650	7.530	7.595	1046629	7932785.00
2024/08/30	7.595	7.620	7.595	7.618	159900	1217381.00
2024/09/02	7.650	7.650	7.605	7.621	301067	2294233.00
2024/09/03	7.610	7.650	7.562	7.613	396997	3018366.00
2024/09/04	7.517	7.647	7.517	7.645	493381	3737672.00
2024/09/05	7.640	7.739	7.609	7.689	588524	4511210.00
2024/09/06	7.691	7.728	7.678	7.727	361173	2781225.00
2024/09/09	7.727	7.800	7.717	7.728	158700	1227423.00
2024/09/10	7.770	7.770	7.700	7.757	270900	2093988.00
2024/09/11	7.759	7.788	7.727	7.749	91613	709892.00
2024/09/12	7.770	7.771	7.671	7.680	171814	1325853.00
2024/09/13	7.699	7.771	7.654	7.770	571484	4409233.00
2024/09/18	7.925	7.925	7.731	7.779	157919	1229408.00
2024/09/19	7.779	7.809	7.665	7.679	646933	4996230.00
2024/09/20	7.681	7.739	7.650	7.679	108818	835115.00
2024/09/23	7.700	7.700	7.605	7.660	59848	457906.00
2024/09/24	7.760	7.760	7.500	7.659	165241	1257237.00
2024/09/25	7.734	7.734	7.575	7.676	152015	1166980.00
2024/09/26	7.636	7.700	7.612	7.673	153412	1176722.00
2024/09/27	7.666	7.673	7.641	7.665	116935	896540.00
2024/09/30	7.627	7.645	7.217	7.645	232415	1764690.00
2024/10/08	7.632	7.632	7.371	7.580	275655	2088900.00
2024/10/09	7.373	7.580	7.373	7.546	164827	1239193.00
2024/10/10	7.500	7.560	7.450	7.520	166215	1246170.00
2024/10/11	7.371	7.687	7.371	7.539	281923	2123608.00
2024/10/14	7.518	7.560	7.495	7.550	345193	2598021.00
2024/10/15	7.580	7.592	7.503	7.584	320612	2424441.00
2024/10/16	7.551	7.640	7.523	7.624	434099	3290750.00
2024/10/17	7.620	7.752	7.604	7.669	440140	3370852.00
2024/10/18	7.750	7.750	7.605	7.680	361815	2770812.00
2024/10/21	7.679	7.698	7.615	7.658	238332	1825196.00
2024/10/22	7.657	7.699	7.628	7.674	431900	3308743.00
2024/10/23	7.680	7.680	7.641	7.671	187187	1435736.00
2024/10/24	7.680	7.694	7.576	7.647	350247	2678584.00
2024/10/25	7.665	7.665	7.570	7.595	245800	1872627.00
2024/10/28	7.555	7.693	7.223	7.579	765849	5792194.00
2024/10/29	7.619	7.619	7.521	7.523	216536	1631703.00
2024/10/30	7.580	7.580	7.480	7.509	185433	1393569.00
2024/10/31	7.658	7.658	7.305	7.495	503486	3777309.00
2024/11/01	7.550	7.593	7.455	7.501	398201	2988804.00
2024/11/04	7.658	7.658	7.461	7.554	505200	3797775.00
2024/11/05	7.650	7.650	7.551	7.618	240737	1831179.00
2024/11/06	7.617	7.658	7.612	7.615	18100	137872.00
2024/11/07	7.615	7.668	7.576	7.618	69101	525424.00
2024/11/08	7.649	7.649	7.578	7.613	59393	452392.00
2024/11/11	7.711	7.711	7.573	7.678	453574	3465120.00
2024/11/12	7.689	7.760	7.638	7.751	311684	2403154.00
2024/11/13	7.778	7.778	7.731	7.750	260937	2022387.00
2024/11/14	7.731	7.905	7.710	7.726	219949	1702376.00
2024/11/15	7.772	7.772	7.700	7.734	669144	5169405.00
2024/11/18	7.816	7.816	7.710	7.727	207600	1603884.00
2024/11/19	7.730	7.730	7.590	7.678	349000	2677290.00
2024/11/20	7.775	7.775	7.583	7.593	1266800	9651234.00
2024/11/21	7.596	7.688	7.518	7.614	507501	3857871.00
2024/11/22	7.750	7.750	7.620	7.693	221300	1699002.00
2024/11/25	7.653	7.687	7.550	7.642	362700	2766108.00
2024/11/26	7.638	7.780	7.602	7.690	295803	2268854.00
2024/11/27	7.650	7.750	7.574	7.705	140800	1082291.00
2024/11/28	7.729	7.730	7.665	7.720	116601	897357.00
2024/11/29	7.720	7.945	7.720	7.755	444704	3456196.00
2024/12/02	7.778	7.778	7.722	7.770	163285	1268074.00
2024/12/03	7.776	7.780	7.741	7.772	285709	2215612.00
2024/12/04	7.760	7.869	7.662	7.862	788801	6156176.00
2024/12/05	7.863	7.964	7.859	7.964	371858	2940648.00
2024/12/06	7.924	8.180	7.924	7.980	129284	1033089.00
2024/12/09	7.965	8.110	7.940	7.985	684625	5483541.00
2024/12/10	7.945	8.042	7.945	7.998	87511	699819.00
2024/12/11	7.989	8.094	7.927	8.045	663624	5327161.00
2024/12/12	8.005	8.461	8.005	8.239	975172	7979029.00
2024/12/13	8.239	8.400	8.111	8.271	1781000	14689064.00
2024/12/16	8.270	8.570	8.270	8.443	1385908	11663866.00
2024/12/17	8.433	8.446	8.350	8.374	502500	4216701.00
2024/12/18	8.363	8.374	8.001	8.159	1335700	10925109.00
2024/12/19	7.798	7.798	7.530	7.670	590088	4533759.00
2024/12/20	7.650	7.784	7.630	7.690	344465	2651810.00
2024/12/23	7.775	7.777	7.665	7.720	364020	2811467.00
2024/12/24	7.715	7.784	7.710	7.770	275858	2136352.00
2024/12/25	7.843	7.843	7.731	7.809	139600	1084434.00
2024/12/26	7.811	7.813	7.734	7.780	145500	1129670.00
2024/12/27	7.779	7.836	7.770	7.824	394100	3078540.00
2024/12/30	7.790	7.900	7.777	7.814	143829	1121937.00
2024/12/31	7.885	7.885	7.759	7.840	100500	786829.00
2025/01/02	7.917	7.917	7.840	7.915	176300	1389782.00
2025/01/03	7.875	7.994	7.742	7.953	1913115	15159827.00
2025/01/06	7.985	7.985	7.900	7.962	807544	6405778.00
2025/01/07	7.970	7.970	7.922	7.938	277800	2207995.00
2025/01/08	7.900	8.170	7.900	8.153	206100	1648303.00
2025/01/09	8.150	8.150	8.089	8.140	163516	1330113.00
2025/01/10	8.120	8.120	8.011	8.070	300602	2422849.00
2025/01/13	8.060	8.133	7.902	8.011	209917	1685086.00
2025/01/14	8.013	8.049	7.985	7.990	290782	2326137.00
2025/01/15	7.981	8.021	7.851	7.996	166700	1325741.00
2025/01/16	7.999	8.059	7.901	7.934	444169	3534184.00
2025/01/17	7.901	7.961	7.886	7.899	328984	2605036.00
2025/01/20	7.987	7.987	7.810	7.985	212361	1676431.00
2025/01/21	8.000	8.022	7.959	7.971	100600	803221.00
2025/01/22	7.973	8.000	7.960	7.973	62700	500466.00
2025/01/23	8.000	8.000	7.863	7.990	129701	1028980.00
2025/01/24	7.950	7.999	7.914	7.991	121001	964670.00
2025/01/27	8.025	8.025	7.882	8.000	377101	3013646.00
2025/02/05	8.000	8.000	7.900	7.910	269500	2138725.00
2025/02/06	7.902	7.979	7.876	7.880	211600	1674476.00
2025/02/07	7.845	7.900	7.757	7.877	212832	1662799.00
2025/02/10	7.874	7.979	7.801	7.876	206000	1618159.00
2025/02/11	7.877	7.943	7.846	7.933	595502	4704657.00
2025/02/12	7.968	8.011	7.894	7.927	151500	1203211.00
2025/02/13	7.899	7.968	7.899	7.938	231000	1831376.00
2025/02/14	7.910	7.971	7.812	7.890	565054	4456423.00
2025/02/17	7.889	7.980	7.860	7.953	275100	2172183.00
2025/02/18	7.918	7.982	7.918	7.940	224900	1787467.00
2025/02/19	7.953	7.964	7.858	7.930	242101	1917466.00
2025/02/20	7.929	7.960	7.859	7.910	253700	2006414.00
2025/02/21	7.929	7.930	7.862	7.930	163826	1293938.00
2025/02/24	7.950	7.950	7.835	7.880	305743	2410262.00
2025/02/25	7.877	7.885	7.738	7.881	315100	2478082.00
2025/02/26	7.882	7.970	7.845	7.961	219229	1733025.00
2025/02/27	7.976	7.986	7.845	7.852	461600	3656596.00
2025/02/28	7.887	7.919	7.723	7.752	395907	3086374.00
2025/03/03	7.759	7.841	7.657	7.761	338443	2615409.00
2025/03/04	7.721	7.836	7.721	7.797	124613	971409.00
2025/03/05	7.804	7.877	7.757	7.861	333100	2607399.00
2025/03/06	7.863	7.933	7.863	7.913	601004	4738916.00
2025/03/07	7.931	7.998	7.874	7.875	825600	6521249.00
2025/03/10	7.899	7.900	7.822	7.852	584197	4589819.00
2025/03/11	7.853	7.945	7.853	7.938	536603	4241755.00
2025/03/12	7.945	8.030	7.903	7.990	811775	6488400.00
2025/03/13	8.000	8.107	7.951	7.997	759400	6094586.00
2025/03/14	8.004	8.137	7.990	8.002	592900	4745599.00
2025/03/17	8.040	8.055	7.997	8.021	86600	694642.00
2025/03/18	8.000	8.151	7.969	8.150	294603	2375492.00
2025/03/19	8.113	8.175	8.069	8.174	393500	3186466.00
2025/03/20	8.137	8.271	8.137	8.183	324500	2657599.00
2025/03/21	8.175	8.377	8.175	8.377	484200	3973816.00
2025/03/24	8.377	8.880	8.377	8.414	98101	826993.00
2025/03/25	8.413	8.459	8.334	8.426	270907	2277378.00
2025/03/26	8.416	8.554	8.416	8.554	604605	5136341.00
2025/03/27	8.514	8.695	8.483	8.683	494200	4257653.00
2025/03/28	8.680	8.855	8.680	8.838	323500	2851314.00
2025/03/31	9.015	9.498	8.887	8.888	1555038	13997148.00
2025/04/01	8.890	9.068	8.760	8.790	787781	6994551.00
2025/04/02	8.793	9.002	8.793	8.969	991125	8813765.00
2025/04/03	8.494	8.494	8.180	8.336	395601	3296152.00
2025/04/07	8.296	8.347	8.000	8.133	335910	2761952.00
2025/04/08	8.128	8.229	8.031	8.040	501881	4081781.00
2025/04/09	8.025	8.400	7.994	8.000	238900	1920642.00
2025/04/10	8.050	8.200	7.979	8.038	136253	1094115.00
2025/04/11	8.078	8.142	7.903	8.038	328910	2647656.00
2025/04/14	8.001	8.076	7.998	8.035	93509	751833.00
2025/04/15	8.040	8.055	7.937	8.055	227113	1820009.00
2025/04/16	8.040	8.097	8.030	8.075	155100	1249306.00
2025/04/17	8.076	8.125	8.046	8.117	248803	2013588.00
2025/04/18	8.117	8.214	8.117	8.201	291110	2378483.00
2025/04/21	8.214	8.214	8.082	8.190	404103	3282477.00
2025/04/22	8.144	8.206	8.120	8.139	182634	1488686.00
2025/04/23	8.139	8.178	8.042	8.137	277500	2246432.00
2025/04/24	8.104	8.199	8.081	8.133	294500	2392591.00
2025/04/25	8.150	8.189	8.079	8.110	182600	1484020.00
2025/04/28	8.142	8.180	8.028	8.100	181400	1467218.00
2025/04/29	8.099	8.099	7.989	8.049	357000	2868681.00
2025/04/30	8.049	8.163	8.041	8.055	159921	1294643.00
2025/05/06	8.087	8.119	7.970	8.058	142700	1144771.00
2025/05/07	8.057	8.117	8.019	8.081	96600	780334.00
2025/05/08	8.083	8.124	8.043	8.117	79200	642319.00
2025/05/09	8.149	8.149	8.051	8.140	84900	687811.00
2025/05/12	8.140	8.212	8.120	8.202	249000	2038096.00
2025/05/13	8.202	8.208	8.121	8.190	103502	844981.00
2025/05/14	8.157	8.222	8.150	8.178	147100	1205468.00
2025/05/15	8.179	8.199	8.080	8.168	86800	706872.00
2025/05/16	8.167	8.167	8.081	8.122	91700	743808.00
2025/05/19	8.121	8.186	8.100	8.179	129225	1052816.00
