508016 华夏华电清洁能源 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2025/08/01	4.926	4.926	4.801	4.830	44078585	213664000.00
2025/08/04	4.798	4.831	4.761	4.771	15465160	74177544.00
2025/08/05	4.761	4.793	4.739	4.769	10116725	48256176.00
2025/08/06	4.766	4.806	4.764	4.804	3444612	16501392.00
2025/08/07	4.804	4.825	4.791	4.814	5053342	24313712.00
2025/08/08	4.813	4.822	4.761	4.813	10632469	51112184.00
2025/08/11	4.806	4.812	4.770	4.795	4456097	21336050.00
2025/08/12	4.793	4.810	4.769	4.788	3366028	16109160.00
2025/08/13	4.784	4.790	4.773	4.777	2002888	9575450.00
2025/08/14	4.777	4.786	4.752	4.768	2123737	10136626.00
2025/08/15	4.766	4.774	4.728	4.730	3186311	15117734.00
2025/08/18	4.733	4.733	4.605	4.606	6790242	31505922.00
2025/08/19	4.610	4.617	4.558	4.605	2917097	13348898.00
2025/08/20	4.589	4.666	4.589	4.610	2269324	10514604.00
2025/08/21	4.610	4.635	4.609	4.618	1807632	8357746.00
2025/08/22	4.617	4.625	4.610	4.620	1544588	7135762.00
2025/08/25	4.620	4.655	4.610	4.631	1927376	8921422.00
2025/08/26	4.632	4.648	4.621	4.630	2096797	9716592.00
2025/08/27	4.628	4.630	4.591	4.621	4796377	22156230.00
2025/08/28	4.616	4.620	4.583	4.613	3140128	14478932.00
2025/08/29	4.614	4.624	4.595	4.600	2805617	12923137.00
2025/09/01	4.600	4.605	4.596	4.604	1642026	7555642.00
2025/09/02	4.604	4.620	4.599	4.606	2163258	9964262.00
2025/09/03	4.606	4.622	4.602	4.619	1562366	7202591.00
2025/09/04	4.619	4.652	4.613	4.644	1946007	9021184.00
2025/09/05	4.646	4.659	4.624	4.640	1797042	8342209.00
2025/09/08	4.636	4.664	4.621	4.660	5583621	25972510.00
2025/09/09	4.660	4.692	4.646	4.681	2642736	12332803.00
2025/09/10	4.684	4.684	4.653	4.660	1391111	6489435.00
2025/09/11	4.660	4.660	4.611	4.631	1931457	8959659.00
2025/09/12	4.633	4.633	4.621	4.629	1382205	6391315.00
2025/09/15	4.620	4.628	4.606	4.618	1511926	6986593.00
2025/09/16	4.617	4.643	4.604	4.610	973152	4490726.00
2025/09/17	4.610	4.618	4.609	4.614	1065019	4913488.00
2025/09/18	4.610	4.621	4.606	4.611	1341928	6190454.00
2025/09/19	4.610	4.614	4.602	4.609	3049383	14053185.00
2025/09/22	4.609	4.610	4.593	4.598	2032919	9359385.00
2025/09/23	4.596	4.601	4.588	4.600	2326575	10700510.00
2025/09/24	4.600	4.605	4.565	4.586	1733642	7968910.00
2025/09/25	4.581	4.583	4.532	4.547	2137700	9756732.00
2025/09/26	4.549	4.558	4.537	4.548	1461079	6647885.00
2025/09/29	4.551	4.555	4.510	4.515	1741482	7881052.00
2025/09/30	4.511	4.518	4.493	4.495	1852309	8356015.00
2025/10/09	4.494	4.494	4.480	4.481	637123	2857049.00
2025/10/10	4.480	4.504	4.473	4.480	1578007	7072260.00
2025/10/13	4.480	4.498	4.457	4.464	1641681	7359362.00
