508017 华夏金茂商业REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/03/12	2.671	2.689	2.571	2.685	8756910	23317308.00
2024/03/13	2.673	2.688	2.630	2.686	1723433	4605943.00
2024/03/14	2.674	2.687	2.674	2.685	1433837	3842730.00
2024/03/15	2.672	2.685	2.670	2.683	2750138	7354678.00
2024/03/18	2.673	2.680	2.669	2.673	2953779	7892107.00
2024/03/19	2.670	2.675	2.629	2.646	676400	1788740.00
2024/03/20	2.610	2.650	2.610	2.629	1033659	2712775.00
2024/03/21	2.629	2.629	2.548	2.550	1276562	3283251.00
2024/03/22	2.548	2.548	2.475	2.490	996944	2488945.00
2024/03/25	2.478	2.490	2.418	2.435	1216251	2981358.00
2024/03/26	2.430	2.485	2.401	2.411	1718535	4165878.00
2024/03/27	2.419	2.458	2.398	2.453	1696941	4139978.00
2024/03/28	2.453	2.502	2.447	2.474	513666	1267184.00
2024/03/29	2.474	2.474	2.450	2.451	545821	1340310.00
2024/04/01	2.454	2.457	2.445	2.450	163467	400250.00
2024/04/02	2.450	2.456	2.440	2.456	473147	1157995.00
2024/04/03	2.451	2.460	2.445	2.454	887973	2176009.00
2024/04/08	2.446	2.460	2.440	2.449	917833	2250050.00
2024/04/09	2.449	2.464	2.444	2.457	1925918	4721773.00
2024/04/10	2.451	2.516	2.451	2.515	1626378	4009718.00
2024/04/11	2.512	2.566	2.512	2.550	1483054	3758510.00
2024/04/12	2.554	2.556	2.521	2.551	1055472	2687245.00
2024/04/15	2.550	2.550	2.537	2.537	464380	1179545.00
2024/04/16	2.539	2.543	2.496	2.525	323402	814263.00
2024/04/17	2.520	2.541	2.519	2.532	342404	866206.00
2024/04/18	2.529	2.537	2.529	2.533	420700	1065521.00
2024/04/19	2.530	2.531	2.520	2.529	126093	318413.00
2024/04/22	2.521	2.532	2.513	2.520	116622	294177.00
2024/04/23	2.520	2.529	2.506	2.527	356108	897102.00
2024/04/24	2.519	2.533	2.519	2.521	38917	98339.00
2024/04/25	2.530	2.547	2.516	2.539	972041	2465293.00
2024/04/26	2.539	2.644	2.539	2.640	4924458	12906349.00
2024/04/29	2.642	2.695	2.642	2.688	2314933	6201074.00
2024/04/30	2.690	2.690	2.650	2.680	383287	1026253.00
2024/05/06	2.661	2.696	2.648	2.692	773641	2073148.00
2024/05/07	2.692	2.780	2.667	2.760	1623382	4437453.00
2024/05/08	2.760	2.784	2.736	2.762	382062	1054445.00
2024/05/09	2.723	2.769	2.723	2.748	1340364	3695753.00
2024/05/10	2.748	2.760	2.711	2.746	655964	1803466.00
2024/05/13	2.740	2.790	2.739	2.765	1221374	3381014.00
2024/05/14	2.765	2.780	2.754	2.779	818264	2262675.00
2024/05/15	2.764	2.776	2.759	2.769	299592	829617.00
2024/05/16	2.747	2.775	2.731	2.766	203473	562974.00
2024/05/17	2.766	2.769	2.729	2.764	170508	471223.00
2024/05/20	2.755	2.779	2.729	2.769	1030705	2850266.00
2024/05/21	2.768	2.776	2.734	2.768	350029	969266.00
2024/05/22	2.768	2.768	2.750	2.756	826597	2278281.00
2024/05/23	2.731	2.754	2.684	2.694	1724384	4677831.00
2024/05/24	2.680	2.710	2.677	2.695	645527	1741195.00
2024/05/27	2.700	2.709	2.696	2.697	809257	2187593.00
2024/05/28	2.696	2.797	2.690	2.718	1622820	4394307.00
2024/05/29	2.678	2.754	2.672	2.711	1517497	4107168.00
2024/05/30	2.685	2.711	2.685	2.697	1403733	3796965.00
2024/05/31	2.680	2.711	2.675	2.694	571561	1533292.00
2024/06/03	2.656	2.709	2.656	2.708	1018162	2755788.00
2024/06/04	2.669	2.736	2.669	2.735	1396941	3781301.00
2024/06/05	2.734	2.734	2.708	2.721	857321	2330312.00
2024/06/06	2.703	2.731	2.701	2.715	1380625	3753242.00
2024/06/07	2.680	2.712	2.680	2.691	228860	615845.00
2024/06/11	2.688	2.693	2.675	2.675	132226	353972.00
2024/06/12	2.665	2.681	2.633	2.680	486752	1290492.00
2024/06/13	2.668	2.719	2.668	2.690	672231	1809415.00
2024/06/14	2.678	2.730	2.652	2.730	2043221	5523301.00
2024/06/17	2.731	2.731	2.691	2.724	1290718	3501182.00
2024/06/18	2.700	2.773	2.700	2.729	1603185	4371125.00
2024/06/19	2.703	2.717	2.700	2.705	317311	858816.00
2024/06/20	2.693	2.713	2.683	2.704	1027625	2777629.00
2024/06/21	2.697	2.710	2.690	2.705	582875	1571617.00
2024/06/24	2.690	2.709	2.690	2.694	913395	2463463.00
2024/06/25	2.692	2.702	2.678	2.689	1129865	3037562.00
2024/06/26	2.680	2.681	2.655	2.661	5539632	14760331.00
2024/06/27	2.661	2.699	2.651	2.689	1406240	3754722.00
2024/06/28	2.676	2.691	2.676	2.681	438609	1177569.00
2024/07/01	2.680	2.682	2.661	2.674	135663	362603.00
2024/07/02	2.683	2.685	2.661	2.685	619722	1659711.00
2024/07/03	2.679	2.705	2.679	2.698	1164652	3137126.00
2024/07/04	2.696	2.697	2.670	2.687	699893	1880873.00
2024/07/05	2.694	2.695	2.670	2.682	137424	368497.00
2024/07/08	2.681	2.682	2.670	2.682	41528	110990.00
2024/07/09	2.685	2.718	2.670	2.671	1228583	3305226.00
2024/07/10	2.657	2.685	2.657	2.684	47932	128398.00
2024/07/11	2.683	2.683	2.666	2.681	282077	755428.00
2024/07/12	2.650	2.680	2.650	2.679	424002	1134329.00
2024/07/15	2.679	2.681	2.670	2.678	1004733	2687645.00
2024/07/16	2.672	2.682	2.670	2.674	582166	1558390.00
2024/07/17	2.694	2.694	2.671	2.673	697142	1866108.00
2024/07/18	2.674	2.682	2.674	2.681	1162156	3113450.00
2024/07/19	2.664	2.680	2.664	2.678	199880	535039.00
2024/07/22	2.672	2.679	2.669	2.677	436725	1168479.00
2024/07/23	2.667	2.678	2.667	2.675	227194	607650.00
2024/07/24	2.672	2.680	2.661	2.664	910627	2427743.00
2024/07/25	2.666	2.666	2.653	2.657	457052	1216656.00
2024/07/26	2.667	2.671	2.661	2.667	610998	1629138.00
2024/07/29	2.667	2.678	2.663	2.667	630900	1685199.00
2024/07/30	2.638	2.715	2.638	2.704	1891016	5073965.00
2024/07/31	2.705	2.714	2.672	2.708	946567	2560732.00
2024/08/01	2.687	2.724	2.687	2.709	1615854	4367480.00
2024/08/02	2.705	2.733	2.685	2.716	1581905	4284168.00
2024/08/05	2.680	2.749	2.680	2.744	1200099	3270935.00
2024/08/06	2.727	2.747	2.727	2.732	1671999	4569144.00
2024/08/07	2.727	2.797	2.718	2.781	2043241	5653795.00
2024/08/08	2.780	2.823	2.730	2.750	2980589	8292434.00
2024/08/09	2.712	2.750	2.712	2.733	1137219	3103151.00
2024/08/12	2.716	2.747	2.715	2.737	988056	2704621.00
2024/08/13	2.737	2.740	2.725	2.731	975614	2663690.00
2024/08/14	2.699	2.699	2.668	2.675	1551904	4158863.00
2024/08/15	2.672	2.680	2.659	2.663	1298161	3462106.00
2024/08/16	2.660	2.676	2.644	2.652	1538219	4090865.00
2024/08/19	2.651	2.670	2.635	2.642	891843	2362021.00
2024/08/20	2.611	2.646	2.603	2.626	842277	2209077.00
2024/08/21	2.625	2.637	2.604	2.614	1284100	3357846.00
2024/08/22	2.655	2.655	2.583	2.619	1412723	3675193.00
2024/08/23	2.590	2.664	2.590	2.654	1358352	3564669.00
2024/08/26	2.657	2.657	2.635	2.636	1391100	3675220.00
2024/08/27	2.630	2.630	2.603	2.603	522000	1363289.00
2024/08/28	2.603	2.640	2.594	2.638	1351609	3536173.00
2024/08/29	2.638	2.660	2.615	2.635	1122888	2963881.00
2024/08/30	2.637	2.637	2.622	2.635	1883008	4955002.00
2024/09/02	2.532	2.646	2.532	2.634	644211	1701573.00
2024/09/03	2.633	2.633	2.615	2.630	510439	1338895.00
2024/09/04	2.629	2.630	2.616	2.620	1080052	2829148.00
2024/09/05	2.619	2.650	2.616	2.650	835461	2196199.00
2024/09/06	2.649	2.659	2.634	2.640	1219372	3222721.00
2024/09/09	2.640	2.659	2.610	2.641	909952	2383739.00
2024/09/10	2.638	2.662	2.629	2.637	2162456	5718528.00
2024/09/11	2.640	2.640	2.612	2.613	650552	1703460.00
