508018 华夏中国交建REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/04/28	9.898	10.121	9.399	9.606	72112168	698756864.00
2022/04/29	9.600	9.878	9.415	9.790	26586802	256008608.00
2022/05/05	9.794	9.794	9.601	9.699	10417874	100755424.00
2022/05/06	9.628	9.648	9.530	9.596	6315210	60577440.00
2022/05/09	9.596	9.596	9.548	9.552	4796532	45850520.00
2022/05/10	9.542	9.597	9.505	9.566	5572865	53249464.00
2022/05/11	9.566	9.595	9.552	9.563	6798111	65052912.00
2022/05/12	9.563	9.566	9.550	9.561	2778458	26564880.00
2022/05/13	9.561	9.568	9.561	9.561	4141997	39615980.00
2022/05/16	9.564	9.578	9.559	9.577	3477670	33261516.00
2022/05/17	9.578	9.582	9.556	9.564	5050259	48322324.00
2022/05/18	9.561	9.570	9.551	9.561	3095790	29586992.00
2022/05/19	9.557	9.557	9.540	9.544	2515649	24007588.00
2022/05/20	9.543	9.563	9.539	9.562	3038909	29018544.00
2022/05/23	9.561	9.561	9.538	9.539	4137477	39483928.00
2022/05/24	9.539	9.539	9.505	9.506	3232081	30768134.00
2022/05/25	9.502	9.504	9.470	9.479	4206613	39889500.00
2022/05/26	9.479	9.487	9.476	9.482	3367977	31930570.00
2022/05/27	9.480	9.486	9.479	9.481	2929278	27778220.00
2022/05/30	9.481	9.488	9.481	9.482	2359377	22374208.00
2022/05/31	9.482	9.485	9.453	9.457	4542579	42965368.00
2022/06/01	9.457	9.457	9.428	9.429	5323049	50219016.00
2022/06/02	9.429	9.447	9.426	9.427	4145323	39091920.00
2022/06/06	9.427	9.508	9.425	9.504	4434830	41902332.00
2022/06/07	9.499	9.630	9.478	9.610	6026426	57641380.00
2022/06/08	9.609	9.609	9.521	9.548	3698975	35314716.00
2022/06/09	9.543	9.560	9.510	9.549	3121826	29739848.00
2022/06/10	9.545	9.547	9.510	9.535	3111496	29665568.00
2022/06/13	9.518	9.522	9.502	9.522	2822896	26854780.00
2022/06/14	9.520	9.535	9.494	9.515	3217086	30617852.00
2022/06/15	9.513	9.521	9.507	9.512	3817817	36334464.00
2022/06/16	9.512	9.518	9.495	9.501	2958980	28121292.00
