508019 中金湖北科投光谷 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2023/06/30	2.580	2.580	2.161	2.460	65050039	155957072.00
2023/07/03	2.460	2.462	2.335	2.397	13512431	32215456.00
2023/07/04	2.375	2.404	2.332	2.400	2932845	6971251.00
2023/07/05	2.376	2.398	2.361	2.396	1147937	2743855.00
2023/07/06	2.396	2.420	2.396	2.416	3789707	9130181.00
2023/07/07	2.417	2.468	2.417	2.458	5388076	13171817.00
2023/07/10	2.462	2.488	2.462	2.484	5748280	14208730.00
2023/07/11	2.485	2.499	2.447	2.474	7981660	19727356.00
2023/07/12	2.475	2.482	2.450	2.474	3732856	9210244.00
2023/07/13	2.470	2.497	2.457	2.493	3773180	9393848.00
2023/07/14	2.495	2.529	2.487	2.510	5499859	13832963.00
2023/07/17	2.529	2.529	2.510	2.517	3560059	8973782.00
2023/07/18	2.516	2.600	2.512	2.599	10109576	25816752.00
2023/07/19	2.599	2.610	2.559	2.573	5413178	13923801.00
2023/07/20	2.573	2.573	2.526	2.547	4682939	11936417.00
2023/07/21	2.545	2.562	2.524	2.557	5327863	13556636.00
2023/07/24	2.556	2.574	2.531	2.553	5078899	12923398.00
2023/07/25	2.538	2.592	2.525	2.564	6325270	16208473.00
2023/07/26	2.560	2.561	2.501	2.544	6474474	16422014.00
2023/07/27	2.541	2.552	2.510	2.545	5349973	13533670.00
2023/07/28	2.545	2.545	2.511	2.541	2489123	6292857.00
2023/07/31	2.541	2.590	2.514	2.589	7027888	17928000.00
2023/08/01	2.586	2.635	2.560	2.610	6940134	18086166.00
2023/08/02	2.612	2.612	2.580	2.608	7392908	19258304.00
2023/08/03	2.604	2.624	2.581	2.617	4882403	12705150.00
2023/08/04	2.616	2.616	2.592	2.610	2673724	6958589.00
2023/08/07	2.608	2.608	2.572	2.588	3181564	8239185.00
2023/08/08	2.588	2.606	2.569	2.598	5631511	14597420.00
2023/08/09	2.598	2.600	2.571	2.595	1979886	5123067.00
2023/08/10	2.595	2.609	2.571	2.606	3590231	9292679.00
2023/08/11	2.605	2.610	2.588	2.591	3280533	8512691.00
2023/08/14	2.592	2.592	2.570	2.582	4178539	10788531.00
2023/08/15	2.582	2.595	2.573	2.589	3817613	9877844.00
2023/08/16	2.586	2.594	2.576	2.587	3700432	9576767.00
2023/08/17	2.585	2.594	2.574	2.587	4636762	11976146.00
2023/08/18	2.586	2.592	2.578	2.587	3407010	8813374.00
2023/08/21	2.588	2.594	2.564	2.579	2799674	7221022.00
2023/08/22	2.580	2.586	2.549	2.566	4073441	10467966.00
2023/08/23	2.566	2.566	2.538	2.554	977877	2493020.00
2023/08/24	2.553	2.555	2.536	2.552	1875451	4771078.00
2023/08/25	2.551	2.551	2.520	2.548	2839523	7209742.00
2023/08/28	2.555	2.573	2.521	2.541	5848345	14860682.00
2023/08/29	2.539	2.539	2.515	2.521	2697367	6819520.00
2023/08/30	2.520	2.535	2.500	2.520	4268836	10740557.00
2023/08/31	2.517	2.527	2.510	2.521	2768736	6970723.00
2023/09/01	2.513	2.526	2.511	2.518	3442540	8665113.00
2023/09/04	2.519	2.521	2.509	2.516	1925026	4839286.00
2023/09/05	2.521	2.523	2.510	2.518	2189337	5510417.00
2023/09/06	2.530	2.535	2.506	2.530	5472595	13809192.00
2023/09/07	2.528	2.540	2.520	2.540	2466242	6238394.00
2023/09/08	2.538	2.546	2.532	2.545	3094008	7859731.00
2023/09/11	2.545	2.547	2.537	2.545	2540951	6464473.00
2023/09/12	2.545	2.550	2.540	2.545	2347268	5971959.00
2023/09/13	2.545	2.554	2.540	2.545	2292307	5839219.00
2023/09/14	2.545	2.550	2.533	2.540	2860118	7280933.00
2023/09/15	2.530	2.541	2.530	2.539	2670736	6778923.00
2023/09/18	2.524	2.539	2.524	2.534	2030162	5136653.00
2023/09/19	2.531	2.545	2.522	2.529	733497	1858503.00
2023/09/20	2.529	2.541	2.513	2.517	1953851	4927925.00
2023/09/21	2.517	2.525	2.510	2.514	1465786	3684061.00
2023/09/22	2.514	2.519	2.502	2.506	1275006	3195343.00
2023/09/25	2.502	2.517	2.502	2.513	1235245	3100693.00
2023/09/26	2.502	2.521	2.502	2.516	794334	1998564.00
2023/09/27	2.519	2.528	2.507	2.514	1803693	4537850.00
2023/09/28	2.513	2.549	2.513	2.538	1799774	4552330.00
2023/10/09	2.537	2.544	2.519	2.526	1985787	5017928.00
2023/10/10	2.520	2.525	2.485	2.510	2058952	5157541.00
2023/10/11	2.510	2.510	2.480	2.493	1245861	3107370.00
2023/10/12	2.493	2.499	2.471	2.481	2701983	6710445.00
2023/10/13	2.478	2.478	2.461	2.466	1657180	4087596.00
2023/10/16	2.464	2.478	2.451	2.459	1207472	2972391.00
2023/10/17	2.459	2.465	2.429	2.431	1022749	2494790.00
2023/10/18	2.430	2.449	2.420	2.427	1019369	2478763.00
2023/10/19	2.427	2.435	2.401	2.401	924395	2232441.00
2023/10/20	2.402	2.406	2.347	2.376	1438845	3419913.00
2023/10/23	2.371	2.371	2.320	2.320	933493	2175858.00
2023/10/24	2.325	2.367	2.310	2.367	3191648	7444281.00
2023/10/25	2.358	2.415	2.358	2.382	1889250	4521472.00
2023/10/26	2.382	2.404	2.323	2.365	4536637	10701246.00
2023/10/27	2.356	2.386	2.326	2.370	2223095	5245039.00
2023/10/30	2.370	2.370	2.350	2.365	697114	1642125.00
2023/10/31	2.350	2.360	2.345	2.351	697013	1641186.00
2023/11/01	2.356	2.374	2.305	2.330	2775435	6487499.00
2023/11/02	2.330	2.337	2.315	2.337	1689501	3926057.00
2023/11/03	2.349	2.369	2.309	2.321	3157184	7337813.00
2023/11/06	2.319	2.328	2.309	2.327	1035003	2404371.00
2023/11/07	2.326	2.345	2.288	2.292	2115089	4895602.00
2023/11/08	2.295	2.314	2.295	2.303	684094	1575379.00
2023/11/09	2.310	2.328	2.303	2.307	1580291	3656425.00
2023/11/10	2.315	2.315	2.296	2.298	449528	1033339.00
2023/11/13	2.298	2.300	2.282	2.286	1000317	2288746.00
2023/11/14	2.285	2.289	2.270	2.272	1180418	2694097.00
2023/11/15	2.272	2.280	2.231	2.240	993117	2244987.00
2023/11/16	2.234	2.242	2.234	2.240	492357	1101653.00
2023/11/17	2.237	2.243	2.232	2.233	412458	922798.00
2023/11/20	2.232	2.246	2.213	2.242	1482627	3292907.00
2023/11/21	2.260	2.260	2.215	2.221	1385010	3073868.00
2023/11/22	2.214	2.214	2.166	2.200	3026580	6607726.00
2023/11/23	2.199	2.199	2.129	2.140	3085484	6624310.00
2023/11/24	2.136	2.136	2.063	2.066	4328710	8997486.00
2023/11/27	2.068	2.086	2.018	2.034	3848911	7853594.00
2023/11/28	2.027	2.027	1.999	2.005	1797700	3614613.00
2023/11/29	2.010	2.010	1.982	1.999	3729754	7438064.00
2023/11/30	1.999	2.038	1.996	2.035	4738455	9576219.00
2023/12/01	2.040	2.046	2.022	2.043	3016662	6116145.00
2023/12/04	2.045	2.057	2.041	2.056	2964092	6073972.00
2023/12/05	2.075	2.075	1.983	1.998	2969602	6040392.00
2023/12/06	1.998	2.018	1.989	2.018	3035553	6088922.00
2023/12/07	2.017	2.017	1.988	1.989	3636183	7257271.00
2023/12/08	1.993	1.999	1.988	1.999	2580318	5141017.00
2023/12/11	1.990	2.037	1.987	2.037	2180269	4357487.00
2023/12/12	2.037	2.037	1.993	2.018	1721507	3460668.00
2023/12/13	1.997	2.017	1.982	1.994	735814	1467382.00
2023/12/14	1.994	2.030	1.988	1.997	1678007	3339965.00
2023/12/15	2.002	2.002	1.986	1.993	1047319	2087132.00
2023/12/18	1.993	2.006	1.977	2.002	1618416	3208923.00
2023/12/19	2.002	2.002	1.968	1.981	1619669	3204806.00
2023/12/20	1.969	2.009	1.944	2.002	3530457	6915308.00
2023/12/21	1.997	2.101	1.993	2.091	4177810	8606726.00
2023/12/22	2.091	2.182	2.091	2.157	5823722	12539954.00
2023/12/25	2.157	2.203	2.118	2.203	4919139	10664647.00
2023/12/26	2.203	2.203	2.165	2.189	4043782	8854478.00
2023/12/27	2.181	2.181	2.129	2.171	4167033	8962775.00
2023/12/28	2.131	2.168	2.131	2.140	2340622	5052039.00
2023/12/29	2.140	2.169	2.140	2.162	3617951	7813374.00
2024/01/02	2.153	2.162	2.149	2.154	1886206	4065837.00
2024/01/03	2.154	2.163	2.129	2.135	3543036	7632080.00
2024/01/04	2.128	2.135	2.095	2.130	2882358	6062511.00
2024/01/05	2.126	2.126	2.050	2.072	1624989	3385662.00
2024/01/08	2.082	2.084	2.015	2.016	1748698	3577162.00
2024/01/09	2.001	2.054	1.947	1.960	2778049	5551988.00
2024/01/10	1.946	1.956	1.921	1.924	1782942	3453599.00
2024/01/11	1.922	1.969	1.883	1.909	4171542	7947138.00
2024/01/12	1.909	1.910	1.876	1.888	4599163	8679468.00
2024/01/15	1.889	1.892	1.858	1.887	3206927	6014470.00
2024/01/16	1.884	1.932	1.861	1.931	3412874	6503177.00
2024/01/17	1.930	1.971	1.927	1.968	5417252	10579498.00
2024/01/18	1.960	1.960	1.887	1.894	4837698	9182262.00
2024/01/19	1.894	1.925	1.855	1.921	2802691	5348136.00
2024/01/22	1.925	1.925	1.875	1.880	2412721	4545163.00
2024/01/23	1.861	1.874	1.857	1.864	3475062	6465757.00
2024/01/24	1.864	1.887	1.850	1.856	2322939	4316518.00
2024/01/25	1.855	1.876	1.855	1.872	5935888	11043700.00
2024/01/26	1.870	1.870	1.860	1.867	1455454	2711121.00
2024/01/29	1.867	1.875	1.862	1.869	3492594	6524664.00
2024/01/30	1.866	1.869	1.856	1.868	4239805	7901349.00
2024/01/31	1.865	1.865	1.856	1.859	2691136	5002097.00
2024/02/01	1.856	1.886	1.848	1.884	4299179	7993949.00
2024/02/02	1.889	1.896	1.878	1.889	2694644	5088856.00
2024/02/05	1.888	1.888	1.859	1.866	1741217	3263732.00
