508021 国泰海通临港创新 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/10/13	5.356	5.356	5.356	5.356	17720484	94910912.00
2022/10/14	5.089	5.368	4.820	5.350	14773223	78915616.00
2022/10/17	5.347	5.444	5.230	5.429	4524266	24254704.00
2022/10/18	5.425	5.650	5.425	5.625	4127609	23050636.00
2022/10/19	5.630	5.697	5.585	5.610	1923198	10833885.00
2022/10/20	5.611	5.675	5.610	5.650	2138507	12051012.00
2022/10/21	5.650	5.713	5.650	5.710	3410100	19405888.00
2022/10/24	5.710	5.713	5.580	5.583	3612756	20444516.00
2022/10/25	5.582	5.582	5.470	5.516	5355345	29559312.00
2022/10/26	5.500	5.635	5.493	5.546	4127505	22901528.00
2022/10/27	5.527	5.586	5.527	5.535	1865490	10363955.00
2022/10/28	5.535	5.587	5.450	5.587	4704426	25796700.00
2022/10/31	5.584	5.641	5.489	5.569	5036618	27952818.00
2022/11/01	5.564	5.656	5.521	5.649	4908913	27598640.00
2022/11/02	5.649	5.670	5.619	5.640	4115003	23197128.00
2022/11/03	5.640	5.680	5.582	5.622	3693450	20728368.00
2022/11/04	5.617	5.668	5.608	5.640	5035799	28434512.00
2022/11/07	5.640	5.643	5.500	5.604	4220000	23631012.00
2022/11/08	5.591	5.603	5.552	5.577	5065580	28232084.00
2022/11/09	5.580	5.616	5.510	5.590	3618261	20215580.00
2022/11/10	5.585	5.592	5.552	5.584	3235982	18045924.00
2022/11/11	5.584	5.682	5.506	5.543	6469355	36064464.00
2022/11/14	5.533	5.570	5.513	5.521	4167015	23038240.00
2022/11/15	5.529	5.550	5.508	5.516	2200956	12149591.00
2022/11/16	5.520	5.565	5.482	5.493	3260297	17931928.00
2022/11/17	5.485	5.499	5.392	5.482	4682891	25480760.00
2022/11/18	5.474	5.560	5.415	5.462	3237742	17633628.00
2022/11/21	5.454	5.544	5.418	5.508	2688865	14795532.00
2022/11/22	5.470	5.533	5.470	5.523	2281309	12596525.00
2022/11/23	5.502	5.572	5.502	5.559	3405902	18924704.00
2022/11/24	5.558	5.571	5.520	5.545	4262981	23654678.00
2022/11/25	5.536	5.572	5.505	5.551	2442224	13555638.00
2022/11/28	5.545	5.590	5.500	5.520	4952009	27320872.00
2022/11/29	5.513	5.547	5.500	5.525	4756948	26231116.00
2022/11/30	5.519	5.567	5.501	5.530	2660276	14703010.00
2022/12/01	5.528	5.559	5.525	5.544	2969056	16452525.00
2022/12/02	5.549	5.566	5.519	5.554	3229277	17925514.00
2022/12/05	5.554	5.580	5.525	5.567	4068594	22650720.00
2022/12/06	5.573	5.601	5.534	5.551	3257363	18097952.00
2022/12/07	5.543	5.589	5.513	5.530	3962766	21915012.00
2022/12/08	5.534	5.548	5.506	5.538	3538788	19581960.00
2022/12/09	5.538	5.596	5.509	5.524	1689999	9353355.00
2022/12/12	5.520	5.529	5.498	5.499	1824390	10050776.00
2022/12/13	5.500	5.504	5.466	5.478	3557553	19499594.00
2022/12/14	5.478	5.499	5.451	5.482	4653173	25497660.00
