508022 博时津开产园REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/09/19	2.399	2.420	2.398	2.409	11212880	26946274.00
2024/09/20	2.400	2.413	2.398	2.407	1930754	4635830.00
2024/09/23	2.402	2.406	2.400	2.405	485620	1167165.00
2024/09/24	2.402	2.402	2.356	2.397	3613004	8655204.00
2024/09/25	2.397	2.407	2.357	2.404	3923354	9415143.00
2024/09/26	2.381	2.418	2.381	2.408	3267378	7871918.00
2024/09/27	2.400	2.421	2.385	2.400	210180	503864.00
2024/09/30	2.377	2.410	2.359	2.410	600505	1440936.00
2024/10/08	2.401	2.422	2.394	2.417	1326001	3191025.00
2024/10/09	2.382	2.420	2.382	2.414	442456	1064798.00
2024/10/10	2.414	2.430	2.384	2.421	4969240	12033815.00
2024/10/11	2.421	2.436	2.405	2.430	1190241	2886850.00
2024/10/14	2.429	2.430	2.406	2.420	698345	1689314.00
2024/10/15	2.421	2.430	2.406	2.421	1803816	4366924.00
2024/10/16	2.422	2.422	2.417	2.418	993300	2402983.00
2024/10/17	2.410	2.421	2.410	2.419	972000	2349813.00
2024/10/18	2.420	2.431	2.407	2.424	860688	2083099.00
2024/10/21	2.409	2.433	2.409	2.430	964435	2341738.00
2024/10/22	2.450	2.450	2.421	2.433	1427840	3467589.00
2024/10/23	2.415	2.444	2.415	2.427	2605410	6323968.00
2024/10/24	2.427	2.440	2.422	2.428	1155903	2805112.00
2024/10/25	2.428	2.435	2.416	2.431	505550	1228378.00
2024/10/28	2.419	2.442	2.419	2.440	456329	1111105.00
2024/10/29	2.425	2.475	2.425	2.450	925261	2264207.00
2024/10/30	2.463	2.478	2.450	2.457	92507	227384.00
2024/10/31	2.460	2.495	2.451	2.460	40147	98617.00
2024/11/01	2.478	2.478	2.427	2.456	290265	713991.00
2024/11/04	2.465	2.473	2.451	2.452	148200	363616.00
2024/11/05	2.469	2.469	2.439	2.454	638841	1563922.00
2024/11/06	2.456	2.456	2.434	2.455	45735	111981.00
2024/11/07	2.466	2.482	2.436	2.477	146578	362563.00
2024/11/08	2.477	2.665	2.447	2.465	95273	235197.00
2024/11/11	2.465	2.473	2.460	2.473	584797	1443242.00
2024/11/12	2.480	2.480	2.470	2.475	295290	730321.00
2024/11/13	2.475	2.480	2.449	2.475	858200	2108146.00
2024/11/14	2.467	2.480	2.445	2.450	1702545	4180055.00
2024/11/15	2.449	2.460	2.430	2.448	1163745	2839537.00
2024/11/18	2.466	2.500	2.433	2.445	670952	1643806.00
2024/11/19	2.490	2.679	2.427	2.444	2428953	5941799.00
2024/11/20	2.458	2.458	2.400	2.434	3898298	9452788.00
2024/11/21	2.424	2.478	2.419	2.468	522937	1273225.00
2024/11/22	2.475	2.477	2.436	2.475	178833	442045.00
2024/11/25	2.475	2.488	2.475	2.482	45500	112957.00
2024/11/26	2.490	2.490	2.477	2.484	229979	571532.00
2024/11/27	2.490	2.490	2.480	2.480	572900	1423934.00
2024/11/28	2.480	2.489	2.480	2.489	131100	325979.00
2024/11/29	2.466	2.499	2.450	2.493	162380	404252.00
2024/12/02	2.500	2.508	2.496	2.508	346766	866843.00
2024/12/03	2.494	2.507	2.494	2.500	63398	158599.00
2024/12/04	2.495	2.526	2.495	2.522	287600	723539.00
2024/12/05	2.524	2.544	2.517	2.531	925760	2339958.00
2024/12/06	2.491	2.550	2.491	2.535	438567	1108128.00
2024/12/09	2.544	2.544	2.525	2.535	185400	469892.00
2024/12/10	2.495	2.544	2.495	2.537	479967	1216372.00
2024/12/11	2.534	2.576	2.515	2.576	1427736	3654185.00
2024/12/12	2.576	2.632	2.576	2.626	1560742	4070681.00
2024/12/13	2.606	2.658	2.606	2.650	2603100	6858681.00
2024/12/16	2.636	2.659	2.612	2.654	583715	1547435.00
2024/12/17	2.647	2.660	2.615	2.654	828803	2193189.00
2024/12/18	2.648	2.660	2.614	2.659	932508	2457084.00
2024/12/19	2.655	2.655	2.619	2.620	551700	1453325.00
2024/12/20	2.638	2.661	2.596	2.597	463253	1216294.00
2024/12/23	2.596	2.635	2.581	2.591	109086	281946.00
2024/12/24	2.609	2.630	2.584	2.609	456463	1191112.00
2024/12/25	2.627	2.635	2.603	2.612	143381	374399.00
2024/12/26	2.615	2.621	2.601	2.610	87200	227778.00
2024/12/27	2.595	2.627	2.595	2.621	762626	1995774.00
2024/12/30	2.628	2.630	2.620	2.622	210000	551775.00
2024/12/31	2.625	2.636	2.621	2.625	593000	1557788.00
2025/01/02	2.625	2.627	2.617	2.627	253645	665821.00
2025/01/03	2.627	2.659	2.612	2.657	1722153	4560673.00
2025/01/06	2.653	2.665	2.645	2.655	1217056	3231109.00
2025/01/07	2.654	2.660	2.635	2.641	1047700	2775617.00
2025/01/08	2.635	2.679	2.635	2.675	2571553	6841809.00
2025/01/09	2.675	2.680	2.669	2.678	779500	2085583.00
2025/01/10	2.680	2.690	2.670	2.683	747953	2006803.00
2025/01/13	2.680	2.682	2.661	2.666	882000	2354674.00
2025/01/14	2.670	2.670	2.629	2.632	297900	787600.00
2025/01/15	2.650	2.661	2.631	2.649	154200	408175.00
2025/01/16	2.645	2.645	2.633	2.639	444745	1172909.00
2025/01/17	2.657	2.693	2.636	2.688	350900	934616.00
2025/01/20	2.681	2.688	2.679	2.686	352900	947553.00
2025/01/21	2.680	2.695	2.680	2.693	668535	1798756.00
2025/01/22	2.694	2.710	2.681	2.704	1530179	4121897.00
2025/01/23	2.718	2.880	2.680	2.822	1693064	4701455.00
2025/01/24	2.907	3.000	2.806	2.945	1926836	5569267.00
2025/01/27	2.950	2.955	2.906	2.938	2397133	7056056.00
2025/02/05	2.938	2.960	2.888	2.960	1630346	4799268.00
2025/02/06	2.956	3.008	2.924	2.990	1354437	4040919.00
2025/02/07	3.016	3.016	2.966	2.990	925000	2766630.00
2025/02/10	2.992	3.050	2.992	3.049	1294777	3912819.00
2025/02/11	3.030	3.096	3.009	3.088	5149900	15885615.00
2025/02/12	3.090	3.146	3.090	3.097	3659600	11412967.00
2025/02/13	3.057	3.109	3.057	3.069	1244490	3836613.00
2025/02/14	3.029	3.080	3.029	3.080	1651369	5059018.00
2025/02/17	3.080	3.125	3.079	3.119	2553300	7930144.00
2025/02/18	3.120	3.127	3.108	3.110	1746800	5443236.00
2025/02/19	3.110	3.127	3.071	3.102	855300	2662638.00
2025/02/20	3.120	3.120	3.072	3.096	776900	2405373.00
2025/02/21	3.096	3.128	3.080	3.085	784600	2441666.00
2025/02/24	3.105	3.118	3.045	3.060	353540	1093604.00
2025/02/25	3.040	3.090	2.981	3.050	2132100	6533555.00
2025/02/26	3.049	3.058	3.029	3.057	1120681	3414492.00
2025/02/27	3.079	3.079	3.018	3.047	860500	2626216.00
2025/02/28	3.059	3.080	2.980	3.001	1296533	3913670.00
2025/03/03	3.000	3.050	2.963	3.030	2638977	7927872.00
2025/03/04	3.062	3.118	3.059	3.099	1273145	3922795.00
2025/03/05	3.110	3.110	3.095	3.100	739090	2290958.00
2025/03/06	3.093	3.110	3.046	3.068	533300	1635550.00
2025/03/07	3.068	3.080	3.034	3.046	252000	767908.00
2025/03/10	3.079	3.079	3.028	3.049	1272700	3880606.00
2025/03/11	3.082	3.082	3.010	3.019	1505325	4573705.00
2025/03/12	3.080	3.080	2.990	3.035	1011600	3052580.00
2025/03/13	3.068	3.069	3.029	3.029	589100	1792035.00
2025/03/14	3.062	3.080	3.009	3.030	1430545	4335716.00
2025/03/17	3.059	3.060	3.016	3.048	384300	1168338.00
2025/03/18	3.076	3.076	3.025	3.068	482900	1473106.00
2025/03/19	3.053	3.100	3.029	3.083	1888400	5791335.00
2025/03/20	3.097	3.103	3.082	3.102	352790	1091656.00
2025/03/21	3.100	3.150	3.076	3.085	1456200	4508426.00
2025/03/24	3.100	3.100	3.040	3.059	1346400	4118330.00
2025/03/25	3.055	3.075	3.016	3.055	3045600	9260564.00
2025/03/26	3.050	3.085	3.027	3.052	1461100	4449432.00
2025/03/27	3.050	3.077	3.017	3.053	2889833	8789162.00
2025/03/28	3.068	3.100	3.055	3.079	2129451	6534074.00
2025/03/31	3.083	3.109	3.070	3.105	766611	2371418.00
2025/04/01	3.100	3.126	3.094	3.105	449945	1397816.00
2025/04/02	3.100	3.140	3.100	3.140	1220368	3804919.00
2025/04/03	3.149	3.200	3.129	3.200	1470361	4629537.00
2025/04/07	3.204	3.519	3.100	3.201	1501700	4739502.00
2025/04/08	3.240	3.240	3.138	3.192	1579900	5010995.00
2025/04/09	3.181	3.242	3.121	3.153	1920300	6040327.00
2025/04/10	3.200	3.200	3.114	3.188	1107100	3522963.00
2025/04/11	3.204	3.239	3.202	3.226	368900	1186389.00
2025/04/14	3.220	3.276	3.199	3.232	998600	3227357.00
2025/04/15	3.215	3.269	3.186	3.265	742700	2384423.00
2025/04/16	3.252	3.319	3.245	3.319	570400	1879308.00
2025/04/17	3.319	3.383	3.318	3.359	666400	2241314.00
2025/04/18	3.395	3.409	3.295	3.297	292200	973423.00
2025/04/21	3.294	3.309	3.210	3.302	874600	2831323.00
2025/04/22	3.310	3.334	3.302	3.324	506900	1680003.00
2025/04/23	3.311	3.340	3.310	3.323	615100	2041925.00
2025/04/24	3.334	3.341	3.306	3.321	329000	1093525.00
2025/04/25	3.308	3.308	3.222	3.260	1013300	3287816.00
2025/04/28	3.259	3.259	3.228	3.228	402500	1302084.00
2025/04/29	3.250	3.290	3.229	3.254	374900	1214955.00
