508026 嘉实中国电建清洁 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/03/28	2.740	2.810	2.740	2.769	22487090	62260636.00
2024/03/29	2.769	2.866	2.769	2.848	5027133	14214956.00
2024/04/01	2.848	2.880	2.848	2.861	3032157	8678167.00
2024/04/02	2.861	2.871	2.837	2.860	3373310	9647253.00
2024/04/03	2.861	2.872	2.861	2.870	2441413	6997713.00
2024/04/08	2.870	2.921	2.841	2.907	2661613	7704693.00
2024/04/09	2.911	2.940	2.885	2.920	1425819	4158930.00
2024/04/10	2.920	2.945	2.901	2.930	989569	2905019.00
2024/04/11	2.933	2.980	2.933	2.976	952896	2808644.00
2024/04/12	2.977	3.006	2.977	2.995	1189566	3559970.00
2024/04/15	2.998	3.049	2.925	2.951	4635458	13699538.00
2024/04/16	2.949	2.981	2.891	2.979	943393	2760535.00
2024/04/17	2.984	2.999	2.979	2.993	908591	2718705.00
2024/04/18	3.000	3.002	2.989	3.001	693318	2076840.00
2024/04/19	2.981	3.016	2.981	2.994	1152397	3453996.00
2024/04/22	2.981	2.998	2.931	2.991	794965	2377418.00
2024/04/23	2.991	3.057	2.984	3.032	698203	2104793.00
2024/04/24	3.023	3.041	3.014	3.033	895799	2715347.00
2024/04/25	3.002	3.101	3.002	3.095	538021	1634656.00
2024/04/26	3.096	3.172	3.096	3.166	689882	2179595.00
2024/04/29	3.168	3.250	3.165	3.177	773328	2468796.00
2024/04/30	3.177	3.248	3.122	3.208	562153	1796739.00
2024/05/06	3.214	3.214	3.196	3.205	529640	1698124.00
2024/05/07	3.250	3.250	3.165	3.195	975836	3120151.00
2024/05/08	3.200	3.200	3.177	3.178	1041200	3314635.00
2024/05/09	3.177	3.178	3.174	3.174	300735	954989.00
2024/05/10	3.174	3.192	3.174	3.179	283815	903228.00
2024/05/13	3.205	3.205	3.178	3.187	385126	1226077.00
2024/05/14	3.189	3.203	3.178	3.200	340031	1086851.00
2024/05/15	3.200	3.254	3.200	3.249	1741566	5656484.00
