508027 东吴苏园产业REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/06/21	3.900	4.024	3.876	3.907	42643688	167000016.00
2021/06/22	3.897	3.909	3.800	3.907	14018404	54449232.00
2021/06/23	3.907	3.908	3.881	3.906	5929776	23091724.00
2021/06/24	3.903	3.903	3.881	3.885	2504448	9733670.00
2021/06/25	3.886	3.890	3.879	3.887	3568760	13860653.00
2021/06/28	3.887	3.888	3.878	3.881	2684971	10416494.00
2021/06/29	3.873	3.885	3.867	3.883	2498791	9683533.00
2021/06/30	3.883	3.889	3.875	3.885	1737342	6743078.00
2021/07/01	3.887	3.990	3.881	3.978	4915093	19208964.00
2021/07/02	3.970	3.970	3.880	3.887	1652342	6428158.00
2021/07/05	3.887	3.888	3.877	3.880	1502316	5830241.00
2021/07/06	3.880	3.881	3.872	3.880	1113656	4314799.00
2021/07/07	3.880	3.880	3.870	3.871	904741	3502958.00
2021/07/08	3.870	3.871	3.865	3.867	926875	3583635.00
2021/07/09	3.866	3.867	3.851	3.851	849166	3273051.00
2021/07/12	3.824	3.851	3.824	3.833	1215855	4659799.00
2021/07/13	3.825	3.831	3.809	3.810	1730281	6600881.00
2021/07/14	3.810	3.810	3.799	3.800	1253829	4765126.00
2021/07/15	3.800	3.852	3.799	3.849	1811479	6929791.00
2021/07/16	3.845	3.888	3.814	3.885	2584382	9969946.00
2021/07/19	3.881	3.886	3.870	3.886	8706900	33793876.00
2021/07/20	3.886	3.907	3.879	3.887	2014209	7824850.00
2021/07/21	3.888	3.889	3.878	3.888	1702112	6612533.00
2021/07/22	3.889	3.894	3.884	3.889	1068570	4154946.00
2021/07/23	3.890	3.910	3.890	3.909	4566059	17821024.00
2021/07/26	3.909	3.909	3.858	3.862	1208328	4684725.00
2021/07/27	3.862	3.862	3.806	3.839	1771266	6758700.00
2021/07/28	3.839	3.839	3.809	3.825	879585	3359770.00
2021/07/29	3.825	3.847	3.812	3.833	1380829	5286993.00
2021/07/30	3.830	3.835	3.813	3.834	638805	2443599.00
2021/08/02	3.834	3.862	3.820	3.857	818914	3146734.00
2021/08/03	3.857	3.881	3.851	3.872	1198967	4642080.00
2021/08/04	3.872	3.872	3.852	3.862	1013247	3915966.00
2021/08/05	3.861	3.861	3.850	3.854	1173140	4520951.00
2021/08/06	3.837	3.852	3.837	3.845	745618	2869426.00
2021/08/09	3.845	3.845	3.835	3.838	558058	2142575.00
2021/08/10	3.838	3.845	3.833	3.838	608823	2336771.00
2021/08/11	3.842	3.852	3.835	3.848	709831	2730977.00
2021/08/12	3.849	3.852	3.844	3.848	771104	2966817.00
2021/08/13	3.848	3.859	3.848	3.853	528571	2036390.00
2021/08/16	3.853	3.854	3.836	3.838	823718	3165961.00
2021/08/17	3.838	3.845	3.836	3.838	604140	2318882.00
2021/08/18	3.834	3.843	3.830	3.841	591829	2271224.00
2021/08/19	3.841	3.841	3.831	3.833	915954	3514952.00
2021/08/20	3.833	3.836	3.827	3.829	1183296	4533134.00
2021/08/23	3.829	3.849	3.822	3.836	916131	3517321.00
2021/08/24	3.840	3.860	3.839	3.854	1839170	7089119.00
2021/08/25	3.854	3.866	3.850	3.862	1876783	7246749.00
2021/08/26	3.862	3.888	3.862	3.875	2358081	9135557.00
2021/08/27	3.877	3.896	3.875	3.891	3160685	12289602.00
2021/08/30	3.892	3.925	3.891	3.902	8240678	32220508.00
2021/08/31	3.903	3.909	3.895	3.898	3060471	11933874.00
2021/09/01	3.898	3.904	3.875	3.894	2657814	10345325.00
2021/09/02	3.894	3.896	3.886	3.887	737340	2868889.00
2021/09/03	3.890	3.890	3.884	3.888	687538	2672667.00
2021/09/06	3.887	3.887	3.878	3.884	1038701	4033059.00
2021/09/07	3.883	3.889	3.881	3.885	877681	3409942.00
2021/09/08	3.885	3.895	3.882	3.893	2014633	7839594.00
2021/09/09	3.895	3.906	3.893	3.894	1816953	7083862.00
2021/09/10	3.894	3.900	3.879	3.892	1002253	3899374.00
2021/09/13	3.894	3.903	3.890	3.895	1453046	5661522.00
2021/09/14	3.895	3.900	3.891	3.896	1887314	7352998.00
2021/09/15	3.898	3.913	3.898	3.912	3958097	15470279.00
2021/09/16	3.913	3.915	3.910	3.913	2733246	10693648.00
2021/09/17	3.913	3.921	3.911	3.915	3816698	14945317.00
2021/09/22	3.910	3.921	3.899	3.920	2186589	8556364.00
2021/09/23	3.920	3.955	3.916	3.941	1922468	7570861.00
2021/09/24	3.941	3.963	3.924	3.960	2524060	9982775.00
2021/09/27	3.961	3.988	3.945	3.968	8470956	33657596.00
2021/09/28	3.972	3.972	3.912	3.970	11312894	44718956.00
2021/09/29	3.970	4.003	3.930	3.982	7349079	29299898.00
2021/09/30	3.982	3.998	3.963	3.984	1616646	6449185.00
2021/10/08	3.984	4.000	3.984	3.999	1382799	5525080.00
2021/10/11	3.999	4.010	3.985	3.998	4440760	17757768.00
2021/10/12	3.998	3.998	3.980	3.991	2660529	10616298.00
2021/10/13	3.991	3.995	3.983	3.992	5011175	19990544.00
2021/10/14	3.992	3.997	3.988	3.995	3316664	13247226.00
2021/10/15	3.995	3.997	3.993	3.995	1602193	6400722.00
2021/10/18	3.994	4.001	3.990	3.995	2791618	11156804.00
2021/10/19	3.995	4.001	3.993	3.998	1550989	6200402.00
2021/10/20	3.997	4.003	3.994	4.003	1600338	6400792.00
2021/10/21	4.005	4.042	4.005	4.036	2692141	10853813.00
2021/10/22	4.037	4.069	4.037	4.067	3090943	12566091.00
2021/10/25	4.067	4.116	4.061	4.111	3133191	12859069.00
2021/10/26	4.111	4.145	4.076	4.101	5810470	23973948.00
2021/10/27	4.100	4.141	4.068	4.140	3342797	13756929.00
2021/10/28	4.139	4.252	4.130	4.222	10802313	45498768.00
2021/10/29	4.224	4.350	4.224	4.339	8920989	38561696.00
2021/11/01	4.341	4.449	4.304	4.326	5980802	26007450.00
2021/11/02	4.325	4.326	4.087	4.190	7783866	32642840.00
2021/11/03	4.188	4.260	4.090	4.214	5086718	21260562.00
2021/11/04	4.213	4.213	4.163	4.172	2026050	8477620.00
2021/11/05	4.172	4.200	4.172	4.192	2850721	11953768.00
2021/11/08	4.191	4.250	4.152	4.156	3395529	14158998.00
2021/11/09	4.146	4.159	4.145	4.155	2448178	10163182.00
2021/11/10	4.155	4.157	4.140	4.152	1704315	7072481.00
2021/11/11	4.152	4.167	4.152	4.166	2040150	8491755.00
2021/11/12	4.166	4.212	4.166	4.209	4277970	17913682.00
2021/11/15	4.210	4.222	4.204	4.208	1478459	6223462.00
2021/11/16	4.208	4.231	4.200	4.229	2023349	8534539.00
2021/11/17	4.229	4.256	4.217	4.248	6367202	26932440.00
2021/11/18	4.248	4.266	4.231	4.265	2510077	10687811.00
2021/11/19	4.265	4.293	4.255	4.270	2645528	11295267.00
2021/11/22	4.270	4.298	4.245	4.252	3123066	13346115.00
2021/11/23	4.252	4.260	4.230	4.255	3067284	13027633.00
2021/11/24	4.256	4.283	4.235	4.270	2231375	9511452.00
2021/11/25	4.269	4.280	4.265	4.267	1807774	7716056.00
2021/11/26	4.267	4.272	4.259	4.267	782542	3338660.00
2021/11/29	4.260	4.282	4.220	4.273	3328903	14215673.00
