508028 中信建投国家电投 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2023/03/29	9.889	10.260	9.889	9.990	52238439	525120864.00
2023/03/30	10.005	10.020	9.969	9.990	8140627	81363136.00
2023/03/31	9.995	10.004	9.981	10.000	4988076	49863160.00
2023/04/03	10.003	10.016	9.982	9.999	4445037	44411540.00
2023/04/04	9.999	9.999	9.951	9.968	3502047	34904436.00
2023/04/06	9.968	9.968	9.896	9.919	5885769	58389604.00
2023/04/07	9.910	9.926	9.893	9.907	7330742	72636856.00
2023/04/10	9.905	9.907	9.888	9.897	6365469	62984436.00
2023/04/11	9.897	9.898	9.863	9.884	5906780	58402880.00
2023/04/12	9.883	9.883	9.852	9.858	3670478	36203168.00
2023/04/13	9.856	9.856	9.826	9.837	7842246	77118408.00
2023/04/14	9.836	9.848	9.821	9.827	7295402	71744080.00
2023/04/17	9.829	9.905	9.829	9.900	5462640	53901884.00
2023/04/18	9.902	9.954	9.896	9.933	3450148	34283552.00
2023/04/19	9.931	9.939	9.891	9.918	5228085	51848264.00
2023/04/20	9.918	9.930	9.898	9.907	2446799	24253506.00
2023/04/21	9.908	9.911	9.860	9.870	2415116	23875852.00
2023/04/24	9.870	9.898	9.813	9.829	3276717	32212516.00
2023/04/25	9.829	9.839	9.813	9.826	2595826	25492754.00
2023/04/26	9.820	9.838	9.815	9.821	1997264	19614744.00
2023/04/27	9.813	9.826	9.793	9.807	4047330	39683056.00
2023/04/28	9.806	9.887	9.801	9.879	3027288	29797900.00
2023/05/04	9.878	9.888	9.850	9.867	2909461	28720256.00
2023/05/05	9.875	9.875	9.826	9.838	2607570	25653652.00
2023/05/08	9.838	9.856	9.835	9.837	2245595	22102120.00
2023/05/09	9.836	9.857	9.830	9.853	2438112	23989550.00
2023/05/10	9.854	9.928	9.838	9.921	4062020	40225360.00
2023/05/11	9.957	9.957	9.892	9.899	1865814	18477960.00
2023/05/12	9.899	9.899	9.852	9.871	1404243	13861598.00
2023/05/15	9.872	9.881	9.841	9.875	825890	8135383.00
2023/05/16	9.875	9.955	9.844	9.951	4147985	41141080.00
2023/05/17	9.892	9.955	9.892	9.915	2604590	25864548.00
2023/05/18	9.912	9.919	9.889	9.919	2956451	29277360.00
2023/05/19	9.917	9.917	9.888	9.900	2637749	26110928.00
2023/05/22	9.900	9.919	9.882	9.909	2494242	24710064.00
2023/05/23	9.916	9.916	9.891	9.903	2294157	22708312.00
2023/05/24	9.903	9.949	9.867	9.920	4360821	43216872.00
2023/05/25	9.921	9.951	9.893	9.937	4542104	45118832.00
2023/05/26	9.956	9.958	9.900	9.908	4270544	42371684.00
2023/05/29	9.901	9.928	9.900	9.916	3510615	34789312.00
2023/05/30	9.916	9.916	9.875	9.905	3634878	35959796.00
2023/05/31	9.908	9.911	9.875	9.908	2363512	23379888.00
2023/06/01	9.905	9.905	9.869	9.890	3076972	30416988.00
2023/06/02	9.890	9.893	9.866	9.875	2552336	25205584.00
2023/06/05	9.870	9.874	9.804	9.814	2251397	22190754.00
2023/06/06	9.814	9.816	9.000	9.777	13798616	132373736.00
2023/06/07	9.700	9.806	9.511	9.800	5877076	57225468.00
2023/06/08	9.810	9.853	9.763	9.838	4332995	42483692.00
2023/06/09	9.839	9.845	9.800	9.803	3286470	32289732.00
2023/06/12	9.763	9.795	9.725	9.773	3264822	31873776.00
2023/06/13	9.746	9.792	9.720	9.746	3643764	35531244.00
2023/06/14	9.731	9.799	9.731	9.760	3221441	31421456.00
2023/06/15	9.760	9.786	9.741	9.759	5062672	49382716.00
2023/06/16	9.760	9.760	9.745	9.753	2456234	23956800.00
2023/06/19	9.758	9.767	9.699	9.720	2865988	27916738.00
2023/06/20	9.730	9.738	9.690	9.721	5425426	52722028.00
2023/06/21	9.721	9.725	9.692	9.723	2747203	26655664.00
2023/06/26	9.723	9.724	9.654	9.675	5451546	52861028.00
2023/06/27	9.675	9.675	9.598	9.635	3930217	37846048.00
2023/06/28	9.635	9.635	9.411	9.500	6246422	59427672.00
2023/06/29	9.500	9.500	9.436	9.447	3679737	34780816.00
2023/06/30	9.435	9.990	9.435	9.849	5864560	55837788.00
2023/07/03	9.805	9.805	9.548	9.558	2379069	22770188.00
2023/07/04	9.546	9.549	9.457	9.493	1776820	16841472.00
2023/07/05	9.500	9.570	9.428	9.450	2995847	28370516.00
2023/07/06	9.449	9.522	9.430	9.511	2957043	28044658.00
2023/07/07	9.547	9.750	9.501	9.607	3580200	34563104.00
2023/07/10	9.607	9.644	9.570	9.630	3688347	35478500.00
2023/07/11	9.630	9.669	9.590	9.598	2377860	22877348.00
2023/07/12	9.596	9.629	9.528	9.548	1889581	18078120.00
2023/07/13	9.548	9.613	9.548	9.607	2786636	26709716.00
2023/07/14	9.607	9.727	9.598	9.686	3391985	32834850.00
2023/07/17	9.686	9.770	9.680	9.752	3192415	31092872.00
2023/07/18	9.752	9.898	9.727	9.880	5277955	52032088.00
2023/07/19	9.874	9.900	9.769	9.793	2806182	27568672.00
2023/07/20	9.793	9.850	9.698	9.720	1318533	12901576.00
2023/07/21	9.720	9.780	9.720	9.780	1778382	17331512.00
2023/07/24	9.780	9.847	9.761	9.808	3291318	32292436.00
