508029 中信建投沈阳国际 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2025/11/06	3.661	3.665	3.590	3.660	21368527	77570800.00
2025/11/07	3.600	3.616	3.591	3.600	5293252	19064664.00
2025/11/10	3.599	3.601	3.588	3.596	2384212	8575092.00
2025/11/11	3.597	3.597	3.542	3.548	5603900	19965630.00
2025/11/12	3.544	3.604	3.542	3.591	5949324	21345936.00
2025/11/13	3.596	3.619	3.593	3.617	1091674	3937837.00
2025/11/14	3.619	3.626	3.609	3.621	837837	3032785.00
2025/11/17	3.625	3.625	3.610	3.617	688520	2488684.00
2025/11/18	3.622	3.622	3.591	3.597	901371	3244748.00
2025/11/19	3.599	3.600	3.581	3.589	1021002	3670993.00
2025/11/20	3.589	3.589	3.584	3.588	277579	995796.00
2025/11/21	3.595	3.601	3.580	3.597	909278	3266474.00
2025/11/24	3.596	3.602	3.586	3.589	1461169	5255581.00
2025/11/25	3.595	3.603	3.585	3.589	2005831	7201864.00
2025/11/26	3.593	3.600	3.571	3.600	897152	3217697.00
2025/11/27	3.586	3.600	3.579	3.596	1412690	5077951.00
2025/11/28	3.599	3.601	3.574	3.583	1969342	7086927.00
2025/12/01	3.590	3.594	3.584	3.593	167774	601754.00
2025/12/02	3.584	3.599	3.584	3.598	183777	660306.00
2025/12/03	3.599	3.600	3.582	3.590	1137318	4078845.00
2025/12/04	3.590	3.600	3.579	3.585	1472049	5282127.00
2025/12/05	3.583	3.590	3.579	3.588	266226	953940.00
2025/12/08	3.579	3.588	3.576	3.576	722665	2586920.00
2025/12/09	3.584	3.730	3.571	3.586	1718959	6229642.00
2025/12/10	3.590	3.602	3.581	3.597	2125900	7640087.00
2025/12/11	3.597	3.600	3.585	3.589	1783802	6420432.00
2025/12/12	3.587	3.597	3.587	3.590	276796	994288.00
2025/12/15	3.596	3.600	3.578	3.585	1437916	5159672.00
2025/12/16	3.582	3.588	3.553	3.569	906347	3236747.00
2025/12/17	3.584	3.590	3.571	3.585	1460929	5238442.00
2025/12/18	3.584	3.585	3.549	3.564	2763952	9853642.00
2025/12/19	3.570	3.581	3.561	3.571	1095207	3911912.00
2025/12/22	3.570	3.590	3.557	3.560	251143	896422.00
2025/12/23	3.554	3.580	3.554	3.566	1065142	3798054.00
2025/12/24	3.560	3.591	3.560	3.582	890972	3192533.00
2025/12/25	3.580	3.593	3.576	3.578	496408	1779898.00
2025/12/26	3.578	3.590	3.576	3.579	502129	1798252.00
2025/12/29	3.580	3.583	3.555	3.579	716501	2562907.00
2025/12/30	3.570	3.578	3.556	3.575	161361	575385.00
2025/12/31	3.568	3.585	3.568	3.582	2559767	9164214.00
2026/01/05	3.575	3.592	3.566	3.585	287028	1028839.00
2026/01/06	3.586	3.595	3.570	3.585	436142	1563987.00
2026/01/07	3.580	3.628	3.580	3.615	1391446	5025154.00
2026/01/08	3.605	3.665	3.601	3.658	2445394	8936837.00
2026/01/09	3.659	3.672	3.641	3.655	1539321	5631376.00
2026/01/12	3.655	3.658	3.618	3.655	1272889	4645338.00
2026/01/13	3.638	3.674	3.623	3.650	1825329	6675393.00
2026/01/14	3.645	3.665	3.630	3.656	310803	1134013.00
2026/01/15	3.635	3.668	3.635	3.652	533406	1950795.00
2026/01/16	3.645	3.680	3.636	3.658	825309	3023627.00
2026/01/19	3.655	3.664	3.643	3.658	289455	1058240.00
2026/01/20	3.645	3.672	3.645	3.659	2156133	7894151.00
2026/01/21	3.673	3.683	3.659	3.675	882483	3243021.00
2026/01/22	3.675	3.790	3.670	3.758	4471256	16784296.00
