508031 国泰海通城投宽庭 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/01/12	3.050	3.061	2.706	3.048	43889139	131675496.00
2024/01/15	2.821	2.910	2.819	2.822	2947497	8409946.00
2024/01/16	2.798	2.900	2.690	2.861	3852042	10790211.00
2024/01/17	2.823	2.860	2.803	2.849	1610801	4564980.00
2024/01/18	2.840	2.840	2.810	2.818	1192196	3356277.00
2024/01/19	2.811	2.825	2.800	2.823	1100046	3095424.00
2024/01/22	2.811	2.811	2.770	2.801	2662649	7442062.00
2024/01/23	2.791	2.810	2.723	2.793	1793283	4992738.00
2024/01/24	2.790	2.793	2.750	2.774	1352307	3754110.00
2024/01/25	2.761	2.830	2.753	2.804	1538261	4286467.00
2024/01/26	2.803	2.820	2.790	2.817	736375	2063146.00
2024/01/29	2.817	2.818	2.799	2.813	513738	1442223.00
2024/01/30	2.800	2.840	2.800	2.808	719128	2025506.00
2024/01/31	2.803	2.810	2.784	2.804	758134	2123165.00
2024/02/01	2.789	2.802	2.779	2.800	231155	645626.00
2024/02/02	2.789	2.808	2.777	2.799	1040689	2910810.00
2024/02/05	2.789	2.803	2.750	2.795	1207659	3348290.00
2024/02/06	2.789	2.800	2.759	2.798	889045	2476850.00
2024/02/07	2.789	2.798	2.769	2.796	663943	1846194.00
2024/02/08	2.779	2.808	2.779	2.801	387061	1083684.00
2024/02/19	2.800	2.908	2.789	2.885	2350346	6705622.00
2024/02/20	2.870	2.923	2.831	2.849	3769411	10845639.00
2024/02/21	2.849	2.869	2.832	2.845	1052149	2994138.00
2024/02/22	2.841	2.855	2.833	2.841	779756	2217232.00
2024/02/23	2.841	3.000	2.841	2.990	6174806	18314996.00
2024/02/26	2.990	3.030	2.980	3.029	2630448	7923157.00
2024/02/27	3.029	3.030	2.987	2.998	4082400	12280642.00
2024/02/28	2.995	3.023	2.951	3.015	1975657	5929442.00
2024/02/29	2.999	3.047	2.979	3.007	2561313	7716931.00
2024/03/01	3.006	3.052	2.999	3.050	4372566	13283651.00
2024/03/04	3.050	3.059	3.040	3.054	11848046	36159520.00
2024/03/05	3.048	3.066	3.013	3.058	7531276	23028684.00
2024/03/06	3.054	3.063	3.021	3.053	2309601	7052413.00
2024/03/07	3.056	3.069	3.036	3.038	3879795	11832905.00
2024/03/08	3.037	3.058	3.024	3.053	1725312	5254575.00
2024/03/11	3.053	3.071	3.051	3.054	2534626	7753307.00
2024/03/12	3.054	3.063	3.047	3.058	2019501	6163424.00
2024/03/13	3.059	3.062	3.040	3.051	1687057	5144616.00
2024/03/14	3.040	3.058	3.040	3.054	1843132	5628580.00
2024/03/15	3.054	3.057	3.039	3.047	1443035	4399352.00
2024/03/18	3.040	3.046	3.021	3.040	1903620	5789292.00
2024/03/19	3.029	3.047	3.000	3.035	1011224	3064086.00
2024/03/20	3.035	3.044	3.019	3.030	579060	1754531.00
2024/03/21	3.019	3.034	2.980	2.980	547767	1649493.00
2024/03/22	2.989	2.989	2.965	2.985	339318	1008987.00
2024/03/25	2.970	2.985	2.970	2.976	270352	803805.00
2024/03/26	2.969	2.999	2.966	2.982	520072	1549627.00
2024/03/27	2.982	3.017	2.978	3.006	441433	1323992.00
2024/03/28	3.006	3.020	2.971	3.001	1433996	4304797.00
2024/03/29	2.999	3.003	2.963	3.000	94132	279571.00
2024/04/01	3.000	3.028	3.000	3.009	1714083	5171630.00
2024/04/02	3.007	3.007	2.971	2.996	740335	2209994.00
2024/04/03	2.996	3.005	2.984	2.996	1722811	5164108.00
2024/04/08	2.996	3.063	2.988	3.049	5037415	15313016.00
2024/04/09	3.045	3.053	3.043	3.043	1554798	4739254.00
2024/04/10	3.039	3.048	3.019	3.030	1726617	5230602.00
2024/04/11	3.030	3.049	3.010	3.021	2884773	8720645.00
2024/04/12	3.019	3.025	2.990	2.997	2812749	8443002.00
2024/04/15	2.990	3.014	2.963	2.991	4195844	12518777.00
2024/04/16	2.990	2.995	2.960	2.990	2660488	7944845.00
2024/04/17	2.976	3.021	2.976	3.006	2219034	6671073.00
2024/04/18	3.006	3.021	2.989	3.009	416874	1252723.00
2024/04/19	3.008	3.022	2.991	3.016	2349713	7062361.00
2024/04/22	3.016	3.016	2.986	3.000	4625187	13879338.00
2024/04/23	3.000	3.015	2.995	3.004	3636994	10928008.00
2024/04/24	2.998	3.036	2.981	3.015	2135688	6444401.00
2024/04/25	3.015	3.050	3.015	3.046	2997725	9127938.00
2024/04/26	3.047	3.076	3.041	3.050	9056008	27700490.00
2024/04/29	3.050	3.057	3.036	3.050	2035544	6206597.00
2024/04/30	3.050	3.063	3.037	3.044	1507946	4598271.00
2024/05/06	3.050	3.055	3.037	3.052	1426716	4352611.00
2024/05/07	3.052	3.075	3.036	3.073	1661452	5094402.00
2024/05/08	3.067	3.101	3.067	3.097	2410993	7451856.00
2024/05/09	3.085	3.121	3.085	3.120	2912714	9047592.00
2024/05/10	3.120	3.123	3.092	3.098	4103540	12738947.00
2024/05/13	3.092	3.174	3.079	3.126	1371238	4291009.00
2024/05/14	3.125	3.164	3.123	3.164	1781468	5626616.00
2024/05/15	3.158	3.173	3.141	3.163	536184	1695289.00
2024/05/16	3.168	3.199	3.147	3.173	822211	2614758.00
2024/05/17	3.173	3.199	3.158	3.165	623533	1978051.00
2024/05/20	3.167	3.185	3.157	3.176	719449	2277192.00
2024/05/21	3.179	3.181	3.156	3.174	507687	1610885.00
2024/05/22	3.173	3.186	2.990	3.160	1449457	4588440.00
2024/05/23	3.140	3.160	3.100	3.130	2745668	8584313.00
2024/05/24	3.108	3.180	3.106	3.165	966345	3057684.00
2024/05/27	3.165	3.182	3.153	3.159	715366	2263596.00
2024/05/28	3.141	3.178	3.141	3.158	876134	2771160.00
2024/05/29	3.158	3.180	3.130	3.142	1584576	4984260.00
2024/05/30	3.142	3.153	3.120	3.129	1528270	4785320.00
2024/05/31	3.138	3.155	3.134	3.154	309777	974953.00
2024/06/03	3.156	3.178	3.128	3.142	1594820	5010758.00
2024/06/04	3.140	3.160	3.124	3.160	750140	2361034.00
2024/06/05	3.163	3.172	3.140	3.159	458240	1445752.00
2024/06/06	3.158	3.168	3.153	3.158	576894	1822498.00
2024/06/07	3.170	3.170	3.129	3.160	2679955	8411639.00
2024/06/11	3.153	3.169	3.134	3.167	374885	1179679.00
2024/06/12	3.155	3.169	3.144	3.165	154265	487116.00
2024/06/13	3.153	3.178	3.153	3.160	1147508	3638527.00
2024/06/14	3.159	3.180	3.155	3.179	635428	2015913.00
2024/06/17	3.182	3.182	3.164	3.174	288145	913554.00
2024/06/18	3.163	3.200	3.163	3.199	315610	1003930.00
2024/06/19	3.199	3.206	3.195	3.196	673158	2155042.00
2024/06/20	3.203	3.208	3.183	3.208	311482	995594.00
2024/06/21	3.193	3.239	3.183	3.234	1092491	3514103.00
2024/06/24	3.232	3.267	3.230	3.256	550704	1790835.00
2024/06/25	3.255	3.286	3.255	3.274	650076	2129131.00
2024/06/26	3.274	3.280	3.256	3.274	703067	2296060.00
2024/06/27	3.280	3.362	3.263	3.355	1928160	6435127.00
2024/06/28	3.334	3.450	3.301	3.322	2471107	8227942.00
2024/07/01	3.314	3.338	3.314	3.329	995524	3310304.00
