508033 易方达深高速REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/03/29	6.826	6.830	6.733	6.828	3121738	21263092.00
2024/04/01	6.829	6.830	6.641	6.825	1650665	11099595.00
2024/04/02	6.808	6.830	6.751	6.825	735575	5011294.00
2024/04/03	6.797	6.820	6.750	6.806	1349246	9177447.00
2024/04/08	6.772	6.805	6.770	6.802	936590	6370930.00
2024/04/09	6.803	6.810	6.798	6.800	960708	6535544.00
2024/04/10	6.802	6.830	6.799	6.830	945360	6434507.00
2024/04/11	6.830	6.855	6.829	6.850	438518	3002938.00
2024/04/12	6.854	6.855	6.831	6.841	1078102	7377386.00
2024/04/15	6.850	6.875	6.822	6.870	714752	4905352.00
2024/04/16	6.870	6.884	6.860	6.865	387045	2659265.00
2024/04/17	6.857	6.968	6.857	6.951	650435	4515109.00
2024/04/18	6.951	7.001	6.951	6.973	726354	5071157.00
2024/04/19	6.933	6.952	6.900	6.947	248111	1722811.00
2024/04/22	6.944	6.978	6.908	6.968	417520	2908032.00
2024/04/23	6.968	7.020	6.915	6.970	1963321	13650280.00
2024/04/24	7.002	7.010	6.985	7.002	1853926	12971669.00
2024/04/25	7.037	7.162	7.037	7.150	1794020	12803194.00
2024/04/26	7.159	7.255	7.159	7.250	1356875	9810771.00
2024/04/29	7.243	7.300	7.121	7.181	1918945	13790545.00
2024/04/30	6.744	6.805	6.728	6.785	2592380	17594448.00
2024/05/06	6.790	6.791	6.740	6.740	1126870	7611803.00
2024/05/07	6.739	6.739	6.725	6.735	1553510	10458240.00
2024/05/08	6.738	6.738	6.701	6.702	836997	5611641.00
2024/05/09	6.705	6.740	6.700	6.730	934571	6289898.00
2024/05/10	6.730	6.755	6.700	6.721	639993	4300369.00
2024/05/13	6.734	6.755	6.649	6.733	989554	6657660.00
2024/05/14	6.732	6.748	6.671	6.719	663962	4459246.00
2024/05/15	6.700	6.720	6.700	6.715	527494	3541973.00
2024/05/16	6.700	6.718	6.700	6.709	742346	4982356.00
2024/05/17	6.708	6.730	6.700	6.710	644005	4326070.00
2024/05/20	6.709	6.735	6.708	6.709	662755	4447182.00
2024/05/21	6.709	6.709	6.669	6.699	904872	6057880.00
2024/05/22	6.690	6.711	6.680	6.680	750178	5018227.00
2024/05/23	6.670	6.682	6.641	6.664	639961	4271427.00
2024/05/24	6.666	6.733	6.640	6.710	655813	4376175.00
2024/05/27	6.710	6.768	6.692	6.692	668155	4488852.00
2024/05/28	6.659	6.690	6.633	6.656	289258	1925998.00
2024/05/29	6.633	6.724	6.633	6.688	653024	4359548.00
2024/05/30	6.720	6.720	6.607	6.633	519733	3451065.00
2024/05/31	6.624	6.661	6.624	6.658	562474	3740391.00
2024/06/03	6.632	6.662	6.601	6.650	792154	5271487.00
2024/06/04	6.643	6.749	6.600	6.621	1809979	12064774.00
2024/06/05	6.638	6.709	6.610	6.620	742451	4930394.00
2024/06/06	6.600	6.615	6.580	6.580	901512	5950386.00
2024/06/07	6.580	6.698	6.580	6.590	1061565	7018921.00
2024/06/11	6.590	6.600	6.536	6.580	751323	4948044.00
2024/06/12	6.574	6.580	6.558	6.561	1011518	6642002.00
2024/06/13	6.560	6.575	6.560	6.564	1173698	7708051.00
2024/06/14	6.564	6.644	6.539	6.560	891767	5850784.00
2024/06/17	6.559	6.595	6.550	6.563	752755	4937638.00
2024/06/18	6.545	6.610	6.545	6.605	1250655	8215759.00
2024/06/19	6.605	6.650	6.580	6.650	783125	5171368.00
2024/06/20	6.650	6.700	6.601	6.662	786014	5197566.00
2024/06/21	6.655	6.695	6.603	6.645	1282658	8532588.00
2024/06/24	6.600	6.686	6.594	6.636	988988	6563595.00
2024/06/25	6.645	6.647	6.594	6.594	1437127	9518851.00
2024/06/26	6.594	6.662	6.570	6.600	1149330	7600831.00
2024/06/27	6.600	6.628	6.596	6.622	1059154	6993565.00
2024/06/28	6.590	6.629	6.590	6.611	1063578	7036249.00
2024/07/01	6.591	6.610	6.591	6.606	1119540	7397155.00
2024/07/02	6.600	6.610	6.600	6.604	1208668	7985914.00
2024/07/03	6.609	6.615	6.601	6.604	1364991	9016773.00
2024/07/04	6.603	6.614	6.590	6.590	668000	4411385.00
2024/07/05	6.589	6.589	6.558	6.561	830092	5449813.00
2024/07/08	6.500	6.625	6.500	6.548	1093490	7158325.00
2024/07/09	6.544	6.555	6.540	6.542	1093747	7158835.00
2024/07/10	6.535	6.536	6.529	6.532	621723	4061423.00
2024/07/11	6.527	6.530	6.509	6.514	715855	4664455.00
2024/07/12	6.500	6.650	6.500	6.583	1092263	7142349.00
2024/07/15	6.571	6.578	6.541	6.560	751663	4929475.00
2024/07/16	6.648	6.648	6.537	6.612	1002025	6593142.00
2024/07/17	6.600	6.625	6.600	6.617	991300	6560841.00
2024/07/18	6.602	6.652	6.602	6.636	897861	5958166.00
2024/07/19	6.636	6.650	6.636	6.650	773936	5140928.00
2024/07/22	6.650	6.670	6.650	6.670	910151	6063531.00
2024/07/23	6.670	6.671	6.641	6.655	1199524	7981396.00
2024/07/24	6.655	6.661	6.596	6.596	760758	5060643.00
2024/07/25	6.595	6.634	6.595	6.609	693862	4583465.00
2024/07/26	6.506	6.636	6.506	6.620	598602	3967113.00
2024/07/29	6.582	6.698	6.582	6.646	871861	5795098.00
2024/07/30	6.698	6.698	6.645	6.655	702770	4676592.00
2024/07/31	6.601	6.660	6.600	6.646	362703	2413163.00
2024/08/01	6.625	6.660	6.618	6.619	764900	5071711.00
2024/08/02	6.646	6.647	6.625	6.632	803963	5332055.00
2024/08/05	6.640	6.674	6.640	6.670	805272	5365998.00
2024/08/06	6.639	6.673	6.639	6.667	1316790	8774142.00
2024/08/07	6.650	6.740	6.650	6.734	1712565	11510578.00
2024/08/08	6.734	6.759	6.726	6.735	1102611	7431799.00
