508036 平安宁波交投REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/12/26	8.780	8.783	8.600	8.605	13431461	116252736.00
2024/12/27	8.654	8.880	8.607	8.869	2560780	22218230.00
2024/12/30	8.869	9.040	8.780	8.801	4939378	43679392.00
2024/12/31	8.819	8.840	8.701	8.774	2897712	25469924.00
2025/01/02	8.799	8.849	8.773	8.821	6412758	56446996.00
2025/01/03	8.811	9.150	8.811	9.099	2040396	18351868.00
2025/01/06	9.160	9.450	9.110	9.237	2430809	22608064.00
2025/01/07	9.237	9.299	8.999	9.191	2147138	19670634.00
2025/01/08	9.191	9.199	9.101	9.185	3191433	29260702.00
2025/01/09	9.171	9.288	9.171	9.211	1482870	13647671.00
2025/01/10	9.211	9.211	9.116	9.208	1000974	9183730.00
2025/01/13	9.208	9.285	9.150	9.153	385539	3537308.00
2025/01/14	9.151	9.165	9.091	9.099	833092	7600828.00
2025/01/15	9.099	9.190	9.028	9.099	611100	5562905.00
2025/01/16	9.111	9.150	9.035	9.120	812710	7381463.00
2025/01/17	9.127	9.200	9.096	9.168	526223	4812480.00
2025/01/20	9.174	9.250	9.100	9.246	418171	3844626.00
2025/01/21	9.223	9.292	9.190	9.241	515978	4772917.00
2025/01/22	9.249	9.300	9.231	9.288	829667	7681759.00
2025/01/23	9.287	9.330	9.243	9.306	615685	5712873.00
2025/01/24	9.313	9.600	9.313	9.537	1270063	11958578.00
2025/01/27	9.538	9.721	9.537	9.721	821364	7935941.00
2025/02/05	9.850	9.850	9.578	9.648	1101900	10626858.00
2025/02/06	9.648	9.745	9.578	9.647	522972	5035998.00
2025/02/07	9.639	9.700	9.358	9.603	476706	4576714.00
2025/02/10	9.585	9.662	9.530	9.637	966418	9288601.00
2025/02/11	9.656	9.827	9.564	9.785	1001753	9770309.00
2025/02/12	9.778	9.880	9.684	9.744	1953742	19102540.00
2025/02/13	9.603	9.800	9.603	9.680	643400	6239164.00
2025/02/14	9.680	9.777	9.662	9.673	733314	7124051.00
2025/02/17	9.525	9.747	9.525	9.609	838266	8077054.00
2025/02/18	9.580	9.663	9.572	9.585	564800	5428650.00
2025/02/19	9.513	9.582	9.511	9.568	1616713	15447424.00
2025/02/20	9.560	9.717	9.531	9.715	2534022	24489800.00
2025/02/21	9.715	9.777	9.696	9.706	2655628	25871460.00
2025/02/24	9.610	9.797	9.610	9.620	887020	8558506.00
2025/02/25	9.619	9.660	9.610	9.643	1002061	9637381.00
2025/02/26	9.658	9.658	9.622	9.649	1164200	11223951.00
2025/02/27	9.625	9.660	9.481	9.600	1537000	14650460.00
2025/02/28	9.598	9.598	9.500	9.555	953601	9113317.00
2025/03/03	9.628	9.640	9.501	9.620	1858001	17848592.00
2025/03/04	9.503	9.715	9.503	9.686	571900	5540918.00
2025/03/05	9.688	9.709	9.659	9.700	510842	4953261.00
2025/03/06	9.666	9.770	9.666	9.722	1125345	10916370.00
2025/03/07	9.611	9.775	9.611	9.666	1644658	15918544.00
2025/03/10	9.612	9.666	9.585	9.628	1279300	12302046.00
2025/03/11	9.696	9.696	9.571	9.611	506700	4865453.00
2025/03/12	9.600	9.637	9.573	9.606	1031400	9906094.00
2025/03/13	9.566	9.649	9.566	9.606	1125600	10806668.00
2025/03/14	9.565	9.650	9.504	9.582	1366558	13095456.00
2025/03/17	9.582	9.608	9.545	9.605	374531	3592835.00
2025/03/18	9.615	9.615	9.586	9.610	770083	7390948.00
2025/03/19	9.610	9.650	9.580	9.650	726308	6977100.00
2025/03/20	9.680	9.697	9.603	9.672	625266	6041731.00
2025/03/21	9.680	9.747	9.611	9.646	1401513	13528769.00
2025/03/24	9.610	9.660	9.605	9.658	659583	6349795.00
2025/03/25	9.658	9.834	9.658	9.767	1047196	10240109.00
2025/03/26	9.757	9.884	9.757	9.849	802400	7898457.00
2025/03/27	9.851	9.979	9.851	9.964	710781	7028554.00
2025/03/28	9.979	10.000	9.912	9.970	1035700	10311217.00
2025/03/31	9.898	9.990	9.898	9.990	422972	4204475.00
2025/04/01	9.990	10.100	9.795	9.950	682036	6800080.00
2025/04/02	9.946	10.005	9.946	10.005	677500	6760373.00
2025/04/03	10.005	10.060	9.926	9.999	1218600	12170794.00
2025/04/07	9.929	10.009	9.899	9.983	688781	6870113.00
2025/04/08	9.984	10.029	9.955	10.000	734400	7337471.00
2025/04/09	10.000	10.003	9.910	10.000	250000	2497093.00
2025/04/10	9.890	10.013	9.890	10.012	554600	5547825.00
2025/04/11	10.048	10.048	10.012	10.040	397131	3982737.00
2025/04/14	9.962	10.080	9.962	10.066	373600	3752692.00
2025/04/15	10.057	10.116	10.057	10.116	501856	5062010.00
2025/04/16	10.117	10.260	10.117	10.224	1228558	12546152.00
2025/04/17	10.224	10.300	10.194	10.200	1452500	14877194.00
2025/04/18	10.239	10.254	10.169	10.209	826173	8433639.00
2025/04/21	9.948	9.950	9.850	9.918	604756	5999908.00
2025/04/22	9.945	9.948	9.848	9.937	574333	5693344.00
2025/04/23	9.897	9.969	9.897	9.965	427543	4253226.00
2025/04/24	9.930	10.014	9.930	10.010	488800	4884119.00
2025/04/25	10.049	10.050	9.989	10.000	465354	4651575.00
2025/04/28	10.040	10.040	9.972	9.998	1308643	13075018.00
2025/04/29	10.002	10.002	9.998	10.000	354526	3545137.00
2025/04/30	9.996	10.066	9.965	9.966	1088006	10898069.00
2025/05/06	10.000	10.000	9.946	9.962	862489	8606686.00
2025/05/07	9.962	10.016	9.960	10.005	718573	7184208.00
2025/05/08	9.971	10.023	9.971	10.018	437800	4379476.00
2025/05/09	10.019	10.021	10.000	10.018	621200	6222693.00
2025/05/12	10.028	10.028	9.979	10.018	739800	7408994.00
2025/05/13	10.017	10.027	10.001	10.021	482100	4829598.00
2025/05/14	10.028	10.109	10.002	10.075	992166	9997045.00
2025/05/15	10.113	10.140	10.066	10.098	282300	2848585.00
2025/05/16	10.058	10.129	10.058	10.090	653700	6595168.00
2025/05/19	10.106	10.212	10.092	10.210	665287	6743348.00
2025/05/20	10.210	10.500	10.210	10.375	861300	8867444.00
2025/05/21	10.334	10.577	10.334	10.552	677800	7136200.00
