508039 创金合信首农REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2025/07/25	4.600	4.791	4.350	4.734	93580541	430858432.00
2025/07/28	4.470	4.724	4.445	4.700	25995125	121561096.00
2025/07/29	4.679	4.705	4.650	4.699	14896209	69902448.00
2025/07/30	4.692	4.740	4.668	4.738	9293902	43679136.00
2025/07/31	4.734	4.909	4.699	4.900	10692406	51575288.00
2025/08/01	4.911	5.050	4.860	4.980	8357630	41441864.00
2025/08/04	4.986	5.040	4.931	4.976	7110002	35364336.00
2025/08/05	4.987	4.999	4.923	4.998	2131767	10585881.00
2025/08/06	4.999	5.050	4.985	5.046	3649336	18245936.00
2025/08/07	5.048	5.077	5.018	5.074	2731612	13798225.00
2025/08/08	5.075	5.112	5.036	5.094	1879491	9547721.00
2025/08/11	5.099	5.106	5.054	5.097	2974236	15128975.00
2025/08/12	5.096	5.100	5.042	5.086	2752390	13979895.00
2025/08/13	5.066	5.092	5.030	5.061	8334945	42160708.00
2025/08/14	5.041	5.052	5.020	5.047	4396829	22156794.00
2025/08/15	5.045	5.045	4.970	4.989	2403745	12027652.00
2025/08/18	4.989	4.989	4.780	4.897	7072136	34389208.00
2025/08/19	4.887	4.900	4.800	4.887	6005704	29119972.00
2025/08/20	4.885	4.977	4.852	4.890	3987707	19626072.00
2025/08/21	4.895	4.949	4.882	4.944	4620012	22720700.00
2025/08/22	4.942	4.952	4.905	4.949	2060654	10135843.00
2025/08/25	4.919	5.034	4.909	4.999	2268223	11315069.00
2025/08/26	4.969	5.047	4.969	5.043	3938622	19784860.00
2025/08/27	5.049	5.052	5.016	5.046	2607682	13144845.00
2025/08/28	5.025	5.033	4.993	5.011	1107195	5553735.00
2025/08/29	5.011	5.011	4.935	4.963	1164781	5792657.00
2025/09/01	4.933	4.979	4.902	4.970	543081	2682657.00
2025/09/02	4.970	5.033	4.960	5.020	1414107	7074711.00
2025/09/03	5.019	5.052	4.983	5.052	633728	3168407.00
2025/09/04	5.040	5.049	5.003	5.036	1761134	8836744.00
2025/09/05	5.031	5.031	4.986	4.987	1084378	5420682.00
2025/09/08	4.957	4.996	4.947	4.994	728337	3613314.00
2025/09/09	4.994	4.994	4.935	4.972	1252592	6223936.00
2025/09/10	4.971	4.971	4.947	4.968	408439	2023007.00
2025/09/11	4.967	4.968	4.911	4.965	761987	3760972.00
2025/09/12	4.940	4.955	4.920	4.953	459630	2272096.00
2025/09/15	4.923	4.969	4.923	4.960	264201	1309180.00
2025/09/16	4.930	4.974	4.916	4.946	789367	3900306.00
2025/09/17	4.947	4.947	4.923	4.937	284809	1403441.00
2025/09/18	4.950	4.951	4.931	4.944	532025	2631533.00
2025/09/19	4.940	4.940	4.918	4.938	661216	3257621.00
2025/09/22	4.938	4.950	4.900	4.946	572398	2816935.00
2025/09/23	4.945	4.990	4.945	4.965	437538	2169639.00
2025/09/24	4.956	4.980	4.935	4.979	764555	3795341.00
2025/09/25	4.949	4.967	4.900	4.926	1986971	9809516.00
2025/09/26	4.901	4.940	4.809	4.937	6064245	29714872.00
2025/09/29	4.907	4.937	4.867	4.933	1150185	5651305.00
2025/09/30	4.905	4.943	4.885	4.931	323076	1589606.00
2025/10/09	4.901	4.931	4.843	4.931	1152698	5648160.00
2025/10/10	4.901	4.925	4.872	4.913	611857	2999237.00
2025/10/13	4.884	4.931	4.845	4.899	1232083	6013765.00
2025/10/14	4.895	4.905	4.879	4.898	707537	3467383.00
2025/10/15	4.890	4.901	4.850	4.898	1708211	8332548.00
2025/10/16	4.869	4.889	4.850	4.863	2042222	9933619.00
2025/10/17	4.850	4.869	4.830	4.857	1343395	6506474.00
2025/10/20	4.886	4.886	4.809	4.857	1993596	9634462.00
2025/10/21	4.828	4.853	4.822	4.830	347568	1678892.00
2025/10/22	4.807	4.858	4.807	4.856	988775	4791714.00
2025/10/23	4.868	4.910	4.835	4.901	605013	2951782.00
2025/10/24	4.900	4.931	4.889	4.930	410146	2016961.00
2025/10/27	4.935	4.950	4.900	4.945	719655	3539171.00
2025/10/28	4.945	5.050	4.945	5.050	1453764	7296367.00
2025/10/29	5.051	5.133	5.012	5.118	1443819	7331240.00
2025/10/30	5.119	5.180	5.100	5.147	2316631	11897305.00
2025/10/31	5.122	5.140	5.064	5.138	2994901	15292315.00
2025/11/03	5.133	5.158	5.104	5.149	2055800	10560128.00
2025/11/04	5.118	5.118	5.057	5.087	449236	2285833.00
2025/11/05	5.060	5.148	5.052	5.073	952758	4872223.00
2025/11/06	5.071	5.108	5.030	5.080	906941	4586500.00
2025/11/07	5.099	5.099	5.028	5.057	317137	1606398.00
2025/11/10	5.027	5.137	5.005	5.130	1248522	6365359.00
2025/11/11	5.160	5.168	5.127	5.150	2156341	11098712.00
2025/11/12	5.119	5.149	5.090	5.100	857087	4385570.00
2025/11/13	5.070	5.108	5.040	5.106	1279005	6485570.00
2025/11/14	5.095	5.111	5.052	5.103	1717121	8753072.00
2025/11/17	5.100	5.120	5.057	5.113	256216	1306567.00
2025/11/18	5.079	5.120	5.077	5.114	829797	4238593.00
2025/11/19	5.103	5.120	5.094	5.119	115910	593406.00
2025/11/20	5.095	5.158	5.094	5.126	155400	797307.00
2025/11/21	5.109	5.119	5.096	5.096	181085	923540.00
2025/11/24	5.065	5.146	5.065	5.107	278469	1424086.00
2025/11/25	5.109	5.158	5.069	5.102	345643	1768339.00
2025/11/26	5.103	5.140	5.095	5.121	208498	1068211.00
2025/11/27	5.121	5.126	5.081	5.126	90275	461996.00
2025/11/28	5.150	5.150	5.085	5.126	290517	1487062.00
2025/12/01	5.095	5.113	5.080	5.113	162243	827636.00
2025/12/02	5.082	5.135	5.082	5.112	10200	52110.00
2025/12/03	5.110	5.120	5.065	5.073	537596	2730407.00
