508048 华安外高桥REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/12/25	2.960	3.074	2.890	3.018	3855838	11404316.00
2024/12/26	3.005	3.038	2.985	3.038	1312545	3927568.00
2024/12/27	3.038	3.122	2.998	3.115	527508	1627330.00
2024/12/30	3.102	3.427	3.101	3.163	1160883	3747457.00
2024/12/31	3.163	3.455	3.033	3.129	724255	2277362.00
2025/01/02	3.125	3.205	3.101	3.204	738639	2350579.00
2025/01/03	3.204	3.284	3.167	3.284	1394212	4529014.00
2025/01/06	3.289	3.308	3.244	3.277	2074068	6839991.00
2025/01/07	3.251	3.276	3.228	3.240	803697	2603727.00
2025/01/08	3.241	3.296	3.201	3.282	379634	1243778.00
2025/01/09	3.282	3.309	3.282	3.298	447200	1474870.00
2025/01/10	3.300	3.360	3.269	3.348	2062721	6860611.00
2025/01/13	3.315	3.350	3.310	3.317	408691	1362859.00
2025/01/14	3.315	3.330	3.284	3.318	230902	764508.00
2025/01/15	3.360	3.360	3.285	3.346	1299324	4343181.00
2025/01/16	3.346	3.346	3.307	3.325	89977	299581.00
2025/01/17	3.294	3.370	3.294	3.360	1650656	5537843.00
2025/01/20	3.359	3.599	3.326	3.372	663653	2237097.00
2025/01/21	3.465	3.465	3.372	3.372	385252	1301992.00
2025/01/22	3.340	3.386	3.340	3.364	765600	2577004.00
2025/01/23	3.370	3.370	3.335	3.359	591188	1984007.00
2025/01/24	3.343	3.372	3.343	3.360	1530776	5147970.00
2025/01/27	3.357	3.369	3.333	3.364	1514451	5086219.00
2025/02/05	3.362	3.505	3.348	3.451	1140787	3909525.00
2025/02/06	3.451	3.570	3.416	3.458	350574	1209180.00
2025/02/07	3.442	3.550	3.423	3.452	311831	1074675.00
2025/02/10	3.430	3.520	3.421	3.498	899550	3123704.00
2025/02/11	3.499	3.700	3.499	3.637	623582	2244659.00
2025/02/12	3.636	3.779	3.602	3.650	2929278	10844933.00
2025/02/13	3.710	3.760	3.574	3.612	1570719	5720808.00
2025/02/14	3.595	3.653	3.558	3.607	289269	1036052.00
2025/02/17	3.607	3.680	3.600	3.608	349820	1263065.00
2025/02/18	3.608	3.628	3.564	3.570	174900	628240.00
2025/02/19	3.568	3.568	3.501	3.525	492035	1734859.00
2025/02/20	3.509	3.561	3.489	3.507	3489718	12248623.00
2025/02/21	3.491	3.520	3.465	3.492	2603581	9085103.00
2025/02/24	3.476	3.528	3.400	3.446	1529851	5305191.00
2025/02/25	3.440	3.482	3.380	3.388	781522	2669316.00
2025/02/26	3.393	3.410	3.323	3.351	1414824	4766989.00
2025/02/27	3.340	3.362	3.261	3.285	2712692	9032358.00
2025/02/28	3.297	3.350	3.261	3.334	843333	2766477.00
2025/03/03	3.344	3.400	3.332	3.393	1005310	3384932.00
2025/03/04	3.408	3.471	3.408	3.431	1442541	4958909.00
2025/03/05	3.420	3.446	3.392	3.424	1466049	4999428.00
2025/03/06	3.394	3.432	3.380	3.380	588500	1998229.00
2025/03/07	3.395	3.413	3.363	3.363	391481	1320834.00
2025/03/10	3.355	3.440	3.355	3.394	1400496	4788329.00
2025/03/11	3.394	3.479	3.376	3.397	485034	1656277.00
2025/03/12	3.467	3.467	3.360	3.373	593351	2012069.00
2025/03/13	3.373	3.409	3.372	3.388	224355	761690.00
2025/03/14	3.407	3.412	3.373	3.384	394700	1338211.00
2025/03/17	3.354	3.450	3.354	3.449	680765	2323311.00
2025/03/18	3.434	3.480	3.420	3.460	298451	1030754.00
2025/03/19	3.469	3.496	3.456	3.488	698055	2423429.00
2025/03/20	3.500	3.529	3.480	3.523	376251	1324805.00
