508050 华夏中核清洁能源 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2026/02/02	6.518	6.518	6.268	6.427	34783156	220101456.00
2026/02/03	6.403	6.426	6.362	6.386	3501369	22320672.00
2026/02/04	6.375	6.490	6.336	6.381	1109982	7088051.00
2026/02/05	6.390	6.410	6.330	6.334	632576	4030840.00
2026/02/06	6.376	6.376	6.300	6.359	424560	2695023.00
2026/02/09	6.354	6.370	6.343	6.360	466695	2966387.00
2026/02/10	6.360	6.406	6.328	6.367	333056	2119628.00
2026/02/11	6.367	6.460	6.367	6.382	863373	5528027.00
2026/02/12	6.385	6.405	6.345	6.393	248869	1587595.00
2026/02/13	6.393	6.405	6.383	6.400	141604	905830.00
2026/02/24	6.400	6.406	6.378	6.401	369206	2363751.00
2026/02/25	6.406	6.406	6.365	6.375	613152	3911692.00
2026/02/26	6.375	6.379	6.350	6.372	254333	1620296.00
2026/02/27	6.345	6.364	6.325	6.347	312222	1981820.00
2026/03/02	6.358	6.371	6.310	6.330	594562	3765079.00
2026/03/03	6.325	6.370	6.318	6.350	863563	5478536.00
2026/03/04	6.350	6.360	6.321	6.351	378448	2403936.00
2026/03/05	6.351	6.379	6.337	6.375	80900	514331.00
2026/03/06	6.375	6.380	6.340	6.360	169500	1079943.00
2026/03/09	6.360	6.380	6.281	6.364	573304	3645312.00
2026/03/10	6.337	6.385	6.337	6.385	591765	3767055.00
2026/03/11	6.383	6.444	6.352	6.430	404404	2588500.00
2026/03/12	6.420	6.420	6.360	6.380	382680	2442871.00
2026/03/13	6.380	6.395	6.360	6.384	69000	440262.00
2026/03/16	6.384	6.400	6.309	6.380	1475459	9374465.00
2026/03/17	6.341	6.384	6.341	6.375	429999	2735534.00
2026/03/18	6.374	6.385	6.356	6.363	736948	4687897.00
2026/03/19	6.359	6.429	6.352	6.380	993362	6328165.00
2026/03/20	6.370	6.419	6.341	6.398	440537	2809281.00
2026/03/23	6.371	6.371	6.337	6.340	371641	2361673.00
2026/03/24	6.343	6.379	6.338	6.338	276400	1754345.00
2026/04/03	6.414	6.439	6.383	6.435	356109	2285380.00
#数据来源:通达信
