508055 汇添富上海地产租 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2025/03/31	3.541	3.541	3.541	3.541	6785095	24026020.00
2025/04/01	3.750	3.892	3.363	3.582	35381623	126932816.00
2025/04/02	3.584	3.648	3.566	3.632	6861373	24807424.00
2025/04/03	3.648	3.749	3.647	3.736	17280426	64064820.00
2025/04/07	3.773	3.892	3.725	3.818	10144938	38413760.00
2025/04/08	3.817	3.817	3.728	3.782	3533391	13318764.00
2025/04/09	3.761	3.782	3.716	3.719	2873411	10741113.00
2025/04/10	3.716	3.750	3.633	3.740	3135245	11606614.00
2025/04/11	3.739	3.780	3.696	3.733	3240579	12167081.00
2025/04/14	3.730	3.757	3.694	3.751	2011608	7514836.00
2025/04/15	3.755	3.773	3.751	3.761	2124682	7990381.00
2025/04/16	3.759	3.773	3.756	3.770	1909735	7187159.00
2025/04/17	3.761	3.819	3.761	3.812	1807272	6874431.00
2025/04/18	3.815	3.852	3.783	3.807	2090963	7974881.00
2025/04/21	3.807	3.830	3.767	3.804	1667770	6315073.00
2025/04/22	3.805	3.830	3.774	3.824	1582920	6021450.00
2025/04/23	3.825	3.835	3.802	3.820	1654642	6327929.00
2025/04/24	3.820	3.836	3.806	3.832	1862220	7113913.00
2025/04/25	3.833	3.850	3.828	3.835	667361	2559203.00
2025/04/28	3.835	3.840	3.778	3.780	874970	3325134.00
2025/04/29	3.776	3.798	3.763	3.796	728823	2762600.00
2025/04/30	3.780	3.833	3.780	3.809	1681849	6413482.00
2025/05/06	3.794	3.840	3.794	3.831	2221307	8479843.00
2025/05/07	3.832	3.850	3.810	3.844	1833565	7037490.00
2025/05/08	3.829	3.876	3.829	3.868	1979361	7645732.00
2025/05/09	3.853	3.919	3.853	3.910	1626176	6323750.00
2025/05/12	3.909	3.948	3.894	3.921	985613	3867654.00
2025/05/13	3.911	3.941	3.889	3.937	1719822	6735655.00
2025/05/14	3.921	4.006	3.921	3.971	1034393	4116497.00
2025/05/15	3.971	4.012	3.965	4.011	1236117	4933351.00
2025/05/16	4.011	4.070	4.001	4.043	1081291	4372821.00
2025/05/19	4.059	4.077	4.028	4.041	1238139	5019154.00
2025/05/20	4.054	4.055	4.021	4.048	1638366	6614171.00
2025/05/21	4.055	4.058	4.000	4.031	1306108	5261308.00
2025/05/22	4.030	4.040	4.002	4.010	1709221	6874571.00
2025/05/23	4.013	4.030	3.983	3.990	1538346	6164152.00
2025/05/26	3.990	4.049	3.971	4.043	1277308	5136559.00
2025/05/27	4.047	4.069	4.014	4.025	1106224	4462108.00
2025/05/28	4.026	4.040	4.014	4.027	477466	1921519.00
2025/05/29	4.030	4.039	4.022	4.030	612908	2470757.00
2025/05/30	4.030	4.042	4.029	4.037	786886	3175176.00
2025/06/03	4.038	4.045	4.032	4.039	337708	1363722.00
2025/06/04	4.041	4.041	4.024	4.031	266267	1074841.00
2025/06/05	4.031	4.035	4.020	4.028	476325	1918650.00
2025/06/06	4.038	4.038	4.011	4.026	497713	2002748.00
2025/06/09	4.027	4.034	3.985	3.990	857696	3428857.00
2025/06/10	3.989	3.999	3.975	3.988	972346	3874500.00
2025/06/11	3.986	3.995	3.985	3.991	1608354	6414981.00
2025/06/12	3.992	3.998	3.974	3.991	361859	1441731.00
2025/06/13	3.982	4.016	3.970	4.012	1877020	7502815.00
2025/06/16	4.015	4.020	3.995	4.011	1100550	4410962.00
2025/06/17	4.011	4.075	4.011	4.060	1796665	7262771.00
2025/06/18	4.060	4.168	4.056	4.154	1230892	5086368.00
2025/06/19	4.155	4.171	4.055	4.144	1371025	5660963.00
2025/06/20	4.144	4.198	4.115	4.180	1548891	6433007.00
2025/06/23	4.180	4.277	4.163	4.269	1369598	5793789.00
2025/06/24	4.269	4.269	4.150	4.223	2001979	8408642.00
2025/06/25	4.222	4.222	4.149	4.189	999812	4193854.00
2025/06/26	4.185	4.202	4.126	4.139	739521	3075212.00
2025/06/27	4.139	4.149	4.070	4.130	5467170	22399620.00
2025/06/30	4.113	4.130	4.060	4.116	2159774	8828530.00
2025/07/01	4.099	4.121	4.080	4.094	634031	2592633.00
2025/07/02	4.095	4.199	4.094	4.180	1678561	6984221.00
2025/07/03	4.180	4.215	4.158	4.178	797655	3331829.00
2025/07/04	4.187	4.187	4.150	4.168	659781	2745171.00
2025/07/07	4.160	4.178	4.140	4.155	377959	1569676.00
2025/07/08	4.155	4.155	4.105	4.105	600597	2469854.00
2025/07/09	4.105	4.111	4.062	4.075	1115904	4545834.00
2025/07/10	4.075	4.092	4.064	4.083	608896	2484344.00
2025/07/11	4.068	4.090	4.040	4.063	1074784	4356945.00
2025/07/14	4.065	4.075	4.047	4.061	344139	1397997.00
2025/07/15	4.061	4.119	4.061	4.118	841280	3441780.00
2025/07/16	4.116	4.130	4.086	4.127	1051660	4320749.00
2025/07/17	4.126	4.139	4.101	4.133	843803	3483977.00
2025/07/18	4.133	4.133	4.076	4.116	965606	3958803.00
2025/07/21	4.097	4.112	4.050	4.061	857114	3484084.00
2025/07/22	4.061	4.061	3.973	3.981	1703664	6806423.00
2025/07/23	3.991	3.997	3.900	3.975	1767262	6972582.00
2025/07/24	3.959	3.974	3.930	3.938	626135	2469220.00
2025/07/25	3.930	3.931	3.905	3.909	679600	2658547.00
2025/07/28	3.911	3.941	3.911	3.934	597927	2352477.00
2025/07/29	3.941	3.947	3.894	3.898	583436	2285798.00
2025/07/30	3.899	3.911	3.894	3.899	1147280	4472661.00
2025/07/31	3.895	4.004	3.895	4.000	1765988	7023162.00
2025/08/01	4.011	4.078	3.953	4.049	1947099	7832330.00
2025/08/04	4.049	4.089	3.984	3.990	706622	2842625.00
2025/08/05	3.974	3.990	3.945	3.981	366299	1454166.00
2025/08/06	3.981	3.997	3.964	3.971	336625	1338568.00
2025/08/07	3.987	3.995	3.961	3.963	354734	1410298.00
2025/08/08	3.947	3.972	3.935	3.967	161567	639547.00
2025/08/11	3.951	3.978	3.938	3.941	214835	847825.00
2025/08/12	3.943	3.965	3.927	3.931	513771	2021606.00
2025/08/13	3.940	3.940	3.910	3.923	505692	1979643.00
2025/08/14	3.923	3.923	3.893	3.900	665515	2596563.00
2025/08/15	3.912	3.912	3.870	3.876	425705	1656502.00
2025/08/18	3.877	3.877	3.745	3.746	1258049	4736252.00
2025/08/19	3.746	3.751	3.603	3.642	3948562	14399648.00
2025/08/20	3.642	3.711	3.626	3.636	842069	3085926.00
2025/08/21	3.640	3.677	3.602	3.650	2180600	7921163.00
2025/08/22	3.650	3.664	3.630	3.657	801984	2926363.00
2025/08/25	3.657	3.740	3.628	3.719	1269346	4654565.00
2025/08/26	3.725	3.858	3.715	3.852	1868411	7110287.00
2025/08/27	3.865	3.865	3.756	3.840	939891	3588732.00
2025/08/28	3.820	3.844	3.780	3.801	727751	2763083.00
2025/08/29	3.778	3.795	3.771	3.785	275109	1039949.00
2025/09/01	3.778	3.778	3.748	3.752	452606	1699175.00
2025/09/02	3.750	3.849	3.734	3.802	800330	3051535.00
2025/09/03	3.800	3.830	3.769	3.812	372543	1413082.00
2025/09/04	3.800	3.979	3.775	3.873	3839986	14910483.00
2025/09/05	3.864	3.864	3.750	3.775	1652345	6301794.00
2025/09/08	3.777	3.790	3.738	3.750	478504	1793806.00
2025/09/09	3.760	3.770	3.750	3.760	258650	973016.00
2025/09/10	3.760	3.776	3.760	3.771	520886	1963188.00
2025/09/11	3.771	3.786	3.732	3.753	276845	1039817.00
2025/09/12	3.740	3.753	3.730	3.740	565303	2111615.00
2025/09/15	3.738	3.752	3.725	3.734	174885	654238.00
2025/09/16	3.732	3.742	3.722	3.729	1259113	4701140.00
2025/09/17	3.730	3.739	3.718	3.726	613033	2283969.00
