508056 中金普洛斯REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/06/21	3.920	4.279	3.920	3.972	75799938	305190784.00
2021/06/22	3.970	3.970	3.770	3.894	21127689	81524000.00
2021/06/23	3.904	3.913	3.889	3.911	5599722	21831176.00
2021/06/24	3.912	3.912	3.895	3.901	2849178	11115732.00
2021/06/25	3.900	3.910	3.890	3.909	4518077	17596258.00
2021/06/28	3.911	3.911	3.897	3.898	1724616	6724854.00
2021/06/29	3.897	3.897	3.891	3.891	1763228	6862738.00
2021/06/30	3.890	3.900	3.890	3.893	854211	3325253.00
2021/07/01	3.895	3.910	3.895	3.904	1295803	5055069.00
2021/07/02	3.900	3.900	3.888	3.896	1952624	7599877.00
2021/07/05	3.895	3.895	3.889	3.891	2581337	10042719.00
2021/07/06	3.890	3.891	3.883	3.886	2679350	10416128.00
2021/07/07	3.886	3.886	3.871	3.872	1782166	6912730.00
2021/07/08	3.872	3.874	3.853	3.855	2425684	9369180.00
2021/07/09	3.855	3.855	3.837	3.845	2041831	7846238.00
2021/07/12	3.845	3.850	3.825	3.832	2130405	8160201.00
2021/07/13	3.831	3.860	3.816	3.846	1538372	5885671.00
2021/07/14	3.846	3.849	3.836	3.845	1006719	3869004.00
2021/07/15	3.845	3.882	3.843	3.881	837088	3236441.00
2021/07/16	3.880	3.891	3.877	3.890	2294346	8921184.00
2021/07/19	3.890	3.890	3.870	3.884	2689227	10436429.00
2021/07/20	3.884	3.884	3.878	3.882	1530971	5941883.00
2021/07/21	3.880	3.884	3.875	3.879	1297013	5031668.00
2021/07/22	3.877	3.897	3.875	3.896	798496	3106524.00
2021/07/23	3.895	3.914	3.887	3.909	919730	3591221.00
2021/07/26	3.908	3.908	3.859	3.865	2978016	11525389.00
2021/07/27	3.865	3.871	3.851	3.855	1110183	4280288.00
2021/07/28	3.855	3.880	3.831	3.870	1322903	5084927.00
2021/07/29	3.868	3.892	3.855	3.889	1204265	4671501.00
2021/07/30	3.889	3.890	3.871	3.889	2424815	9419409.00
2021/08/02	3.889	3.906	3.883	3.898	4397407	17133160.00
2021/08/03	3.898	3.915	3.895	3.901	2547009	9949386.00
2021/08/04	3.901	3.911	3.895	3.903	4235675	16542573.00
2021/08/05	3.903	3.909	3.903	3.907	1936662	7566831.00
2021/08/06	3.907	3.921	3.900	3.915	2492324	9757827.00
