508058 中金厦门安居REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/08/31	3.380	3.380	3.304	3.380	33592635	113169712.00
2022/09/01	3.381	3.690	3.380	3.457	29425704	102164232.00
2022/09/02	3.466	3.483	3.407	3.420	7269431	24898220.00
2022/09/05	3.420	3.430	3.391	3.400	2213642	7531431.00
2022/09/06	3.401	3.405	3.380	3.388	3477468	11789012.00
2022/09/07	3.389	3.400	3.366	3.394	1831152	6212445.00
2022/09/08	3.370	3.400	3.370	3.390	3404798	11547386.00
2022/09/09	3.391	3.438	3.380	3.429	4182231	14235004.00
2022/09/13	3.439	3.459	3.403	3.447	3443543	11863296.00
2022/09/14	3.447	3.470	3.420	3.454	4295074	14821948.00
2022/09/15	3.455	3.480	3.436	3.454	2537046	8749355.00
2022/09/16	3.450	3.470	3.443	3.448	1956555	6748870.00
2022/09/19	3.450	3.469	3.443	3.445	1910797	6595266.00
2022/09/20	3.444	3.455	3.425	3.440	906809	3124893.00
2022/09/21	3.440	3.450	3.424	3.428	1837660	6307806.00
2022/09/22	3.429	3.444	3.420	3.443	1961824	6742378.00
2022/09/23	3.444	3.459	3.440	3.455	4165111	14378283.00
2022/09/26	3.457	3.463	3.455	3.461	3501562	12116989.00
2022/09/27	3.462	3.467	3.435	3.453	4542641	15677120.00
2022/09/28	3.450	3.468	3.418	3.460	2062339	7123515.00
2022/09/29	3.459	3.460	3.448	3.453	1053028	3635690.00
2022/09/30	3.447	3.461	3.435	3.446	1891674	6522957.00
2022/10/10	3.445	3.445	3.390	3.403	2741495	9355478.00
2022/10/11	3.414	3.414	3.330	3.349	4260459	14298026.00
2022/10/12	3.335	3.360	3.331	3.344	1519444	5076373.00
2022/10/13	3.344	3.355	3.338	3.346	1926359	6444354.00
2022/10/14	3.346	3.366	3.339	3.351	1307256	4378581.00
2022/10/17	3.351	3.355	3.334	3.337	2268862	7586761.00
2022/10/18	3.337	3.355	3.336	3.338	1955886	6540693.00
2022/10/19	3.337	3.343	3.317	3.317	1569645	5228653.00
2022/10/20	3.314	3.329	3.281	3.291	1828245	6034393.00
2022/10/21	3.290	3.299	3.251	3.261	2054081	6705852.00
2022/10/24	3.256	3.280	3.206	3.227	1722365	5589188.00
2022/10/25	3.217	3.217	3.160	3.189	3005978	9549680.00
2022/10/26	3.184	3.194	3.175	3.177	927421	2952389.00
2022/10/27	3.177	3.192	3.172	3.184	1272520	4051130.00
2022/10/28	3.181	3.239	3.173	3.237	3477226	11071961.00
2022/10/31	3.235	3.236	3.178	3.183	3834861	12227639.00
2022/11/01	3.180	3.216	3.161	3.192	2640584	8428698.00
2022/11/02	3.181	3.238	3.181	3.216	2067597	6649468.00
2022/11/03	3.216	3.270	3.216	3.261	5350389	17402672.00
2022/11/04	3.261	3.321	3.261	3.304	2200689	7262351.00
2022/11/07	3.304	3.309	3.282	3.298	3886842	12820966.00
2022/11/08	3.299	3.307	3.208	3.276	1970924	6471353.00
2022/11/09	3.276	3.286	3.224	3.260	2865091	9331476.00
2022/11/10	3.245	3.271	3.234	3.263	1720290	5614432.00
2022/11/11	3.263	3.284	3.245	3.277	1623860	5313341.00
2022/11/14	3.279	3.290	3.255	3.278	2339840	7668785.00
2022/11/15	3.276	3.279	3.256	3.267	1221789	3991133.00
2022/11/16	3.260	3.278	3.190	3.205	2250686	7294283.00
2022/11/17	3.205	3.229	3.150	3.176	3823431	12146307.00
2022/11/18	3.176	3.192	3.133	3.157	3992582	12554590.00
2022/11/21	3.155	3.186	3.130	3.156	5499396	17386012.00
2022/11/22	3.156	3.165	3.135	3.139	2608105	8212416.00
2022/11/23	3.140	3.165	3.130	3.139	1729992	5428863.00
2022/11/24	3.136	3.167	3.123	3.135	2609429	8187654.00
2022/11/25	3.125	3.157	3.125	3.137	2395143	7519679.00
2022/11/28	3.136	3.142	3.124	3.136	2266252	7103176.00
2022/11/29	3.135	3.153	3.130	3.147	2046635	6434067.00
2022/11/30	3.147	3.162	3.144	3.150	1980892	6237306.00
2022/12/01	3.145	3.174	3.145	3.166	3501836	11060605.00
2022/12/02	3.166	3.190	3.122	3.183	2395173	7613362.00
2022/12/05	3.183	3.213	3.163	3.200	4198507	13419757.00
2022/12/06	3.201	3.209	3.180	3.197	2095877	6701314.00
2022/12/07	3.197	3.197	3.167	3.173	1746093	5545257.00
2022/12/08	3.173	3.181	3.169	3.170	961588	3051761.00
2022/12/09	3.170	3.175	3.151	3.157	1617107	5115887.00
2022/12/12	3.156	3.157	3.136	3.137	1623836	5106161.00
2022/12/13	3.130	3.136	3.120	3.124	2116427	6613373.00
2022/12/14	3.124	3.135	3.106	3.118	2088308	6511026.00
2022/12/15	3.115	3.122	3.086	3.112	1392933	4333630.00
2022/12/16	3.112	3.120	3.096	3.104	1433936	4450667.00
2022/12/19	3.104	3.111	3.101	3.107	2832515	8796824.00
2022/12/20	3.107	3.124	3.010	3.050	5067010	15522637.00
2022/12/21	3.067	3.067	2.952	2.991	3667402	11013469.00
2022/12/22	2.992	2.993	2.962	2.990	3642599	10841038.00
2022/12/23	3.044	3.044	2.781	3.005	3038296	9122136.00
2022/12/26	3.020	3.020	2.996	3.000	1778142	5338445.00
2022/12/27	3.024	3.024	2.701	2.976	1911265	5693708.00
2022/12/28	2.974	2.974	2.886	2.910	2936247	8567553.00
2022/12/29	2.935	2.935	2.860	2.890	3644582	10548752.00
2022/12/30	2.880	2.905	2.874	2.901	2143995	6190250.00
2023/01/03	2.904	2.904	2.859	2.880	1832542	5263189.00
2023/01/04	2.876	2.900	2.850	2.870	1580616	4538983.00
2023/01/05	2.870	2.890	2.801	2.853	2123970	6042230.00
2023/01/06	2.853	2.924	2.821	2.918	2872564	8238730.00
2023/01/09	2.918	2.918	2.892	2.912	1219360	3535784.00
2023/01/10	2.925	2.925	2.880	2.885	3620310	10481081.00
2023/01/11	2.885	2.900	2.830	2.831	4264084	12208279.00
2023/01/12	2.830	2.852	2.821	2.845	2199849	6244911.00
2023/01/13	2.846	2.860	2.817	2.832	2832570	8046894.00
2023/01/16	2.832	2.848	2.824	2.832	2596643	7351873.00
2023/01/17	2.834	2.834	2.809	2.817	1937799	5463827.00
2023/01/18	2.818	2.853	2.807	2.853	2793598	7905089.00
2023/01/19	2.857	2.858	2.822	2.849	3909872	11110379.00
2023/01/20	2.858	2.878	2.833	2.872	2411213	6888231.00
2023/01/30	2.867	2.908	2.867	2.894	3428069	9919274.00
2023/01/31	2.897	2.944	2.897	2.928	4394653	12850506.00
2023/02/01	2.928	2.973	2.928	2.964	5284616	15592430.00
2023/02/02	2.968	2.980	2.937	2.958	2110480	6239260.00
2023/02/03	2.958	2.971	2.950	2.968	3998212	11847677.00
2023/02/06	2.969	2.992	2.943	2.964	3620323	10770844.00
2023/02/07	2.964	2.972	2.946	2.959	3382851	10005921.00
2023/02/08	2.950	2.977	2.950	2.963	2195210	6509054.00
2023/02/09	2.963	2.972	2.950	2.966	2013689	5967346.00
2023/02/10	2.966	2.986	2.961	2.973	3016232	8973414.00
2023/02/13	2.973	2.988	2.973	2.983	1568486	4679577.00
2023/02/14	2.983	3.035	2.982	3.013	2545002	7649998.00
2023/02/15	3.014	3.044	3.000	3.010	3148682	9522778.00
2023/02/16	3.011	3.014	2.996	3.009	2063260	6200171.00
2023/02/17	3.009	3.032	2.986	3.020	3766196	11376450.00
2023/02/20	2.999	3.022	2.999	3.017	2628381	7931336.00
2023/02/21	3.018	3.039	3.017	3.017	3394301	10268639.00
2023/02/22	3.017	3.032	2.999	3.009	1690445	5092078.00
2023/02/23	3.023	3.023	2.982	2.999	1808859	5422937.00
