508060 南方万国数据中心 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2025/08/08	3.879	3.900	3.729	3.900	60860261	234222720.00
2025/08/11	3.900	4.187	3.900	4.095	36522018	146355536.00
2025/08/12	4.078	4.147	4.013	4.137	14051447	57574972.00
2025/08/13	4.107	4.138	4.080	4.098	11055079	45448188.00
2025/08/14	4.079	4.121	4.065	4.120	13471605	55227432.00
2025/08/15	4.119	4.124	4.081	4.118	7622598	31342370.00
2025/08/18	4.116	4.116	4.002	4.054	9903871	40107240.00
2025/08/19	4.000	4.050	3.994	4.039	6315834	25420888.00
2025/08/20	4.032	4.109	4.028	4.078	9962191	40568680.00
2025/08/21	4.078	4.119	4.060	4.111	5276736	21626396.00
2025/08/22	4.115	4.119	4.081	4.116	4776284	19605708.00
2025/08/25	4.116	4.135	4.090	4.129	5939091	24468832.00
2025/08/26	4.130	4.189	4.119	4.179	6429603	26669424.00
2025/08/27	4.180	4.217	4.160	4.160	2986983	12515589.00
2025/08/28	4.160	4.187	4.138	4.180	5488036	22813456.00
2025/08/29	4.185	4.185	4.155	4.176	2501814	10443339.00
2025/09/01	4.171	4.193	4.144	4.180	3376488	14101233.00
2025/09/02	4.155	4.219	4.155	4.180	4805519	20099408.00
2025/09/03	4.183	4.193	4.168	4.190	2674350	11198970.00
2025/09/04	4.194	4.200	4.169	4.189	2949245	12346116.00
2025/09/05	4.189	4.195	4.136	4.159	2466025	10304617.00
2025/09/08	4.159	4.159	4.109	4.125	3601182	14901661.00
2025/09/09	4.125	4.140	4.095	4.134	3301032	13609364.00
2025/09/10	4.134	4.142	4.110	4.140	2879481	11867318.00
2025/09/11	4.110	4.148	4.110	4.148	1163656	4801357.00
2025/09/12	4.149	4.154	4.123	4.151	2622121	10875361.00
2025/09/15	4.151	4.188	4.131	4.181	4206429	17566372.00
2025/09/16	4.163	4.190	4.163	4.180	3316806	13847033.00
2025/09/17	4.171	4.189	4.167	4.177	3007574	12566222.00
2025/09/18	4.177	4.220	4.171	4.210	2671682	11196390.00
2025/09/19	4.213	4.218	4.186	4.199	2463655	10362965.00
2025/09/22	4.198	4.210	4.170	4.198	3351654	14063844.00
2025/09/23	4.206	4.280	4.177	4.210	3718056	15682674.00
2025/09/24	4.209	4.210	4.190	4.202	2636001	11077719.00
2025/09/25	4.202	4.202	4.156	4.165	1838434	7676579.00
2025/09/26	4.169	4.189	4.141	4.166	2191186	9147255.00
2025/09/29	4.145	4.204	4.131	4.180	2512922	10494708.00
2025/09/30	4.160	4.200	4.160	4.183	1283870	5353208.00
2025/10/09	4.200	4.200	4.150	4.181	2102444	8783730.00
2025/10/10	4.180	4.191	4.160	4.183	1466898	6129969.00
2025/10/13	4.152	4.198	4.146	4.195	2692850	11273679.00
2025/10/14	4.180	4.230	4.170	4.202	2088497	8740366.00
2025/10/15	4.223	4.223	4.166	4.182	2369010	9925453.00
2025/10/16	4.182	4.185	4.166	4.181	2302229	9608416.00
2025/10/17	4.187	4.198	4.165	4.189	2526289	10568847.00
2025/10/20	4.194	4.200	4.160	4.176	3456399	14439862.00
2025/10/21	4.161	4.178	4.152	4.166	2002668	8335093.00
2025/10/22	4.155	4.179	4.132	4.172	3434400	14271606.00
2025/10/23	4.164	4.204	4.148	4.186	2729891	11401554.00
2025/10/24	4.186	4.260	4.168	4.229	2891922	12200976.00
2025/10/27	4.229	4.255	4.200	4.248	1583498	6694785.00
2025/10/28	4.246	4.388	4.246	4.369	2408579	10345474.00
2025/10/29	4.384	4.521	4.330	4.384	5598813	24799412.00
2025/10/30	4.389	4.437	4.346	4.393	4719437	20718484.00
2025/10/31	4.367	4.417	4.354	4.402	3059696	13365174.00
2025/11/03	4.411	4.428	4.260	4.403	4294567	18923148.00
2025/11/04	4.373	4.403	4.325	4.355	3363056	14608646.00
2025/11/05	4.330	4.385	4.303	4.362	2154721	9379592.00
2025/11/06	4.362	4.389	4.337	4.385	2056322	9001322.00
2025/11/07	4.382	4.421	4.360	4.411	1759379	7747014.00
2025/11/10	4.409	4.411	4.385	4.404	2281570	10029666.00
2025/11/11	4.400	4.456	4.399	4.430	2460373	10904459.00
2025/11/12	4.430	4.440	4.408	4.430	2886674	12795374.00
2025/11/13	4.430	4.436	4.351	4.427	2948599	13042927.00
2025/11/14	4.428	4.428	4.351	4.380	5948645	26014372.00
2025/11/17	4.378	4.418	4.356	4.384	1449687	6359951.00
2025/11/18	4.398	4.398	4.360	4.375	1480739	6468237.00
2025/11/19	4.354	4.373	4.302	4.337	2564042	11169762.00
2025/11/20	4.311	4.338	4.311	4.322	2913530	12595163.00
2025/11/21	4.301	4.344	4.250	4.297	2930414	12576016.00
2025/11/24	4.271	4.375	4.233	4.350	3697441	15781884.00
2025/11/25	4.350	4.384	4.288	4.379	2350017	10225355.00
2025/11/26	4.349	4.396	4.301	4.365	2478297	10837420.00
2025/11/27	4.351	4.373	4.326	4.369	2318276	10091087.00
2025/11/28	4.360	4.370	4.330	4.368	2038904	8885444.00
2025/12/01	4.342	4.458	4.306	4.412	1480071	6459349.00
2025/12/02	4.424	4.425	4.383	4.411	2026500	8934961.00
2025/12/03	4.385	4.410	4.368	4.409	2033371	8947871.00
2025/12/04	4.383	4.409	4.350	4.376	2543626	11139133.00
2025/12/05	4.375	4.380	4.351	4.366	1453991	6352389.00
2025/12/08	4.351	4.423	4.300	4.366	2704827	11818375.00
2025/12/09	4.340	4.364	4.340	4.362	1800706	7831612.00
2025/12/10	4.336	4.400	4.336	4.398	2404831	10475103.00
2025/12/11	4.394	4.400	4.380	4.399	1893354	8323622.00
2025/12/12	4.390	4.408	4.337	4.407	2540503	11173935.00
2025/12/15	4.407	4.408	4.340	4.385	1249706	5463197.00
2025/12/16	4.345	4.399	4.345	4.378	1344070	5852811.00
2025/12/17	4.388	4.400	4.309	4.376	1563493	6839157.00
2025/12/18	4.376	4.376	4.325	4.358	2271405	9863187.00
2025/12/19	4.358	4.358	4.310	4.340	2360721	10228247.00
2025/12/22	4.337	4.398	4.292	4.329	2794756	12120958.00
2025/12/23	4.328	4.348	4.278	4.310	3315292	14252995.00
2025/12/24	4.288	4.424	4.280	4.412	3489143	15245171.00
2025/12/25	4.409	4.435	4.340	4.418	2954153	13053562.00
2025/12/26	4.380	4.418	4.371	4.411	2678460	11792318.00
2025/12/29	4.371	4.410	4.371	4.398	2651494	11636922.00
