508066 华泰江苏交控REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/11/15	7.635	7.646	7.301	7.639	28583883	216361696.00
2022/11/16	7.635	7.635	7.485	7.510	3248100	24419330.00
2022/11/17	7.489	7.489	7.423	7.446	1482059	11043405.00
2022/11/18	7.438	7.438	7.334	7.343	2332734	17165638.00
2022/11/21	7.341	7.565	7.306	7.553	3296533	24628040.00
2022/11/22	7.550	7.575	7.479	7.555	1394597	10515612.00
2022/11/23	7.560	7.593	7.515	7.591	1500111	11367954.00
2022/11/24	7.592	7.636	7.592	7.606	1651888	12582146.00
2022/11/25	7.606	7.632	7.606	7.619	2079195	15842837.00
2022/11/28	7.619	7.630	7.528	7.629	1837101	13963654.00
2022/11/29	7.614	7.656	7.589	7.635	2612532	19947324.00
2022/11/30	7.632	7.646	7.618	7.628	2228178	17007844.00
2022/12/01	7.633	7.652	7.627	7.632	3403153	26004488.00
2022/12/02	7.630	7.646	7.625	7.632	2697077	20589548.00
2022/12/05	7.630	7.694	7.626	7.675	3648832	27996360.00
2022/12/06	7.682	7.738	7.676	7.736	4752345	36644296.00
2022/12/07	7.736	7.736	7.660	7.670	3663491	28113782.00
2022/12/08	7.649	7.688	7.634	7.675	1543114	11840090.00
2022/12/09	7.675	7.694	7.673	7.679	2700586	20741700.00
2022/12/12	7.676	7.682	7.639	7.678	944900	7253840.00
2022/12/13	7.679	7.679	7.635	7.635	3208726	24592504.00
2022/12/14	7.635	7.653	7.635	7.640	1612812	12330451.00
2022/12/15	7.640	7.656	7.635	7.642	1215268	9297109.00
2022/12/16	7.642	7.656	7.638	7.653	1344420	10286680.00
2022/12/19	7.654	7.659	7.620	7.651	1594855	12201546.00
2022/12/20	7.636	7.686	7.636	7.649	1546066	11833829.00
2022/12/21	7.644	7.679	7.644	7.645	1617335	12379371.00
2022/12/22	7.645	7.685	7.644	7.673	1952224	14974254.00
2022/12/23	7.673	7.705	7.673	7.704	1653097	12720725.00
2022/12/26	7.700	7.701	7.640	7.696	1575326	12119576.00
2022/12/27	7.645	7.700	7.645	7.684	1227944	9436347.00
2022/12/28	7.684	7.704	7.656	7.690	767325	5905388.00
2022/12/29	7.695	7.715	7.646	7.660	2000281	15383938.00
2022/12/30	7.652	7.724	7.652	7.708	833021	6400881.00
2023/01/03	7.707	7.711	7.650	7.707	1009387	7778068.00
2023/01/04	7.707	7.715	7.649	7.671	1728902	13297400.00
2023/01/05	7.671	7.694	7.660	7.680	1138707	8745114.00
2023/01/06	7.680	7.703	7.651	7.690	1339558	10307558.00
2023/01/09	7.693	7.693	7.652	7.686	1295651	9958172.00
2023/01/10	7.676	7.693	7.656	7.687	1503061	11553334.00
2023/01/11	7.687	7.707	7.681	7.701	1613400	12423869.00
2023/01/12	7.699	7.702	7.681	7.700	874034	6729800.00
2023/01/13	7.686	7.706	7.682	7.693	699014	5379329.00
2023/01/16	7.675	7.692	7.675	7.682	1132896	8705987.00
2023/01/17	7.680	7.685	7.674	7.678	925601	7107162.00
2023/01/18	7.681	7.693	7.675	7.688	1429885	10992061.00
2023/01/19	7.685	7.687	7.670	7.686	2289658	17596584.00
2023/01/20	7.686	7.695	7.686	7.693	1839085	14138615.00
2023/01/30	7.691	7.706	7.686	7.695	1722849	13261262.00
2023/01/31	7.696	7.727	7.653	7.726	3391675	26147244.00
2023/02/01	7.726	7.728	7.720	7.724	1246213	9627390.00
2023/02/02	7.720	7.720	7.700	7.707	1823974	14053086.00
2023/02/03	7.707	7.744	7.685	7.723	1610820	12415975.00
2023/02/06	7.723	7.749	7.674	7.685	2645636	20407992.00
2023/02/07	7.680	7.706	7.664	7.680	2309678	17760770.00
2023/02/08	7.678	7.679	7.668	7.676	1160606	8907975.00
2023/02/09	7.673	7.706	7.662	7.686	1772493	13607092.00
2023/02/10	7.685	7.713	7.675	7.688	2690088	20706272.00
2023/02/13	7.688	7.690	7.671	7.688	1710258	13142190.00
2023/02/14	7.688	7.706	7.688	7.702	2227676	17149372.00
2023/02/15	7.700	7.720	7.685	7.694	1907322	14707935.00
2023/02/16	7.680	7.704	7.680	7.702	1746796	13448039.00
2023/02/17	7.693	7.723	7.693	7.721	2011660	15516634.00
2023/02/20	7.719	7.737	7.700	7.727	2454874	18972752.00
2023/02/21	7.724	7.761	7.724	7.753	2223904	17216982.00
2023/02/22	7.751	7.778	7.700	7.774	1444376	11217588.00
2023/02/23	7.774	7.791	7.740	7.773	1128914	8783732.00
2023/02/24	7.790	7.790	7.720	7.761	569460	4425620.00
2023/02/27	7.746	7.762	7.720	7.738	1020015	7909695.00
2023/02/28	7.738	7.745	7.720	7.744	1076914	8328881.00
2023/03/01	7.744	7.777	7.730	7.742	1222827	9473295.00
2023/03/02	7.742	7.749	7.730	7.731	1627059	12590320.00
2023/03/03	7.731	7.747	7.731	7.747	982423	7601815.00
2023/03/06	7.749	7.755	7.745	7.753	611627	4740794.00
2023/03/07	7.752	7.756	7.750	7.753	539847	4185837.00
2023/03/08	7.754	7.756	7.714	7.736	639776	4957962.00
2023/03/09	7.736	7.756	7.736	7.743	766970	5939787.00
2023/03/10	7.743	7.750	7.743	7.743	989223	7662733.00
2023/03/13	7.743	7.755	7.736	7.736	1399713	10845215.00
2023/03/14	7.736	7.749	7.735	7.738	1460465	11304196.00
2023/03/15	7.738	7.751	7.736	7.740	1380934	10687438.00
2023/03/16	7.749	7.749	7.737	7.737	1137242	8802576.00
2023/03/17	7.660	7.743	7.660	7.726	1051456	8133134.00
2023/03/20	7.725	7.730	7.698	7.713	815032	6291476.00
2023/03/21	7.713	7.717	7.698	7.702	1083665	8354074.00
2023/03/22	7.702	7.702	7.681	7.693	989505	7615884.00
2023/03/23	7.697	7.701	7.681	7.694	1359989	10464327.00
2023/03/24	7.690	7.696	7.680	7.685	1312171	10089937.00
2023/03/27	7.685	7.699	7.673	7.687	1959564	15052280.00
2023/03/28	7.687	7.780	7.300	7.654	1656325	12666643.00
2023/03/29	7.654	7.655	7.598	7.600	821457	6256185.00
2023/03/30	7.614	7.664	7.530	7.569	1842568	13936386.00
2023/03/31	7.569	7.607	7.561	7.604	1695274	12879703.00
2023/04/03	7.599	7.608	7.599	7.605	1209372	9198290.00
2023/04/04	7.564	7.606	7.564	7.599	1014076	7705952.00
2023/04/06	7.598	7.601	7.590	7.599	935777	7111473.00
2023/04/07	7.600	7.649	7.599	7.601	1222385	9294065.00
2023/04/10	7.606	7.606	7.559	7.595	1307463	9928188.00
2023/04/11	7.595	7.595	7.560	7.566	943150	7145876.00
2023/04/12	7.560	7.560	7.536	7.538	936853	7067693.00
2023/04/13	7.526	7.530	7.471	7.485	1850938	13872064.00
2023/04/14	7.498	7.540	7.451	7.491	1513496	11333755.00
2023/04/17	7.490	7.520	7.445	7.506	1787162	13404856.00
2023/04/18	7.520	7.565	7.507	7.564	1631615	12310272.00
2023/04/19	7.564	7.640	7.564	7.583	1198859	9092790.00
2023/04/20	7.564	7.585	7.525	7.550	1414745	10703980.00
2023/04/21	7.550	7.639	7.487	7.548	1522522	11478144.00
2023/04/24	7.548	7.640	7.548	7.575	1540305	11641761.00
2023/04/25	7.575	7.636	7.573	7.595	1197232	9077254.00
2023/04/26	7.535	7.611	7.535	7.605	792850	6016825.00
2023/04/27	7.396	7.396	7.226	7.285	1083737	7923477.00
2023/04/28	7.297	7.297	7.265	7.279	655080	4765950.00
2023/05/04	7.279	7.297	7.260	7.288	443935	3232578.00
2023/05/05	7.288	7.349	7.280	7.280	1289424	9422344.00
2023/05/08	7.280	7.350	7.280	7.292	657491	4796837.00
2023/05/09	7.285	7.339	7.281	7.324	1615217	11800235.00
2023/05/10	7.290	7.390	7.290	7.376	1820705	13412180.00
2023/05/11	7.381	7.405	7.360	7.392	1257431	9284138.00
2023/05/12	7.392	7.392	7.330	7.370	957059	7052288.00
2023/05/15	7.330	7.370	7.325	7.331	767231	5628744.00
2023/05/16	7.330	7.398	7.270	7.379	1222264	8917696.00
2023/05/17	7.379	7.400	7.304	7.365	938595	6924249.00
2023/05/18	7.339	7.365	7.310	7.339	593031	4340694.00
2023/05/19	7.339	7.339	7.305	7.314	565720	4136912.00
2023/05/22	7.314	7.314	7.291	7.304	946433	6904366.00
2023/05/23	7.281	7.317	7.281	7.294	775278	5670586.00
2023/05/24	7.290	7.297	7.254	7.297	882129	6433092.00
2023/05/25	7.298	7.318	7.261	7.301	421987	3084787.00
