508068 华夏北京保障房RE 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/08/31	3.263	3.263	3.263	3.263	19047281	62151280.00
2022/09/01	3.360	3.450	3.263	3.414	47591543	160928336.00
2022/09/02	3.415	3.418	3.387	3.389	8889313	30197000.00
2022/09/05	3.391	3.400	3.357	3.378	3099496	10469980.00
2022/09/06	3.376	3.376	3.350	3.372	3839828	12926218.00
2022/09/07	3.380	3.386	3.370	3.381	1849114	6250318.00
2022/09/08	3.385	3.390	3.385	3.387	2367302	8019731.00
2022/09/09	3.387	3.406	3.387	3.402	2025895	6881873.00
2022/09/13	3.406	3.417	3.391	3.395	2586328	8801267.00
2022/09/14	3.391	3.407	3.377	3.392	2984159	10124567.00
2022/09/15	3.391	3.400	3.386	3.393	2304182	7811116.00
2022/09/16	3.393	3.399	3.387	3.391	3390412	11500387.00
2022/09/19	3.391	3.399	3.379	3.385	2692533	9123958.00
2022/09/20	3.385	3.391	3.373	3.374	3381454	11429760.00
2022/09/21	3.373	3.376	3.356	3.373	3090268	10416239.00
2022/09/22	3.373	3.380	3.366	3.379	1589918	5367991.00
2022/09/23	3.379	3.394	3.372	3.387	3274979	11086225.00
2022/09/26	3.389	3.391	3.375	3.379	2784705	9410865.00
2022/09/27	3.379	3.385	3.368	3.382	5082311	17154716.00
2022/09/28	3.382	3.390	3.368	3.383	1798764	6085197.00
2022/09/29	3.383	3.387	3.372	3.374	3167232	10702152.00
2022/09/30	3.374	3.393	3.370	3.380	2833239	9577284.00
2022/10/10	3.380	3.380	3.330	3.342	2226413	7469917.00
2022/10/11	3.342	3.350	3.263	3.282	3026686	9917508.00
2022/10/12	3.276	3.285	3.262	3.277	1903979	6232042.00
2022/10/13	3.258	3.300	3.258	3.292	2156968	7074237.00
2022/10/14	3.288	3.321	3.263	3.301	1305279	4294333.00
2022/10/17	3.302	3.319	3.302	3.302	785274	2595796.00
2022/10/18	3.302	3.310	3.298	3.302	1139065	3763102.00
2022/10/19	3.301	3.308	3.288	3.291	865365	2853667.00
2022/10/20	3.290	3.308	3.266	3.271	1357838	4467168.00
2022/10/21	3.271	3.272	3.235	3.240	2084904	6778296.00
2022/10/24	3.240	3.269	3.195	3.215	2136246	6862091.00
2022/10/25	3.231	3.231	3.178	3.188	1362114	4348298.00
2022/10/26	3.187	3.211	3.100	3.185	1328506	4228070.00
2022/10/27	3.191	3.293	3.191	3.233	3632835	11751907.00
2022/10/28	3.233	3.261	3.201	3.210	2095394	6773231.00
2022/10/31	3.210	3.226	3.128	3.199	3328688	10536198.00
2022/11/01	3.195	3.241	3.166	3.219	1532753	4933369.00
2022/11/02	3.220	3.268	3.220	3.256	1210394	3926468.00
2022/11/03	3.256	3.262	3.217	3.241	1739442	5642316.00
2022/11/04	3.241	3.297	3.241	3.290	2869445	9397909.00
2022/11/07	3.286	3.305	3.266	3.279	2079651	6838094.00
2022/11/08	3.278	3.286	3.249	3.272	717325	2345163.00
2022/11/09	3.272	3.307	3.247	3.255	1698615	5583376.00
2022/11/10	3.253	3.263	3.240	3.262	787945	2558145.00
2022/11/11	3.270	3.300	3.240	3.264	1108281	3617198.00
2022/11/14	3.246	3.259	3.228	3.245	1275631	4136848.00
2022/11/15	3.245	3.260	3.203	3.206	1106945	3573567.00
2022/11/16	3.204	3.205	2.950	3.035	2763150	8726210.00
2022/11/17	3.126	3.201	3.051	3.156	4927564	15587659.00
2022/11/18	3.149	3.149	3.055	3.136	2566060	7968500.00
2022/11/21	3.100	3.153	3.100	3.137	932295	2919693.00
2022/11/22	3.134	3.151	3.097	3.121	484749	1518325.00
2022/11/23	3.121	3.122	3.099	3.101	834798	2594298.00
2022/11/24	3.101	3.101	3.068	3.075	1461248	4513493.00
2022/11/25	3.075	3.098	3.075	3.081	1004559	3098711.00
2022/11/28	3.081	3.085	3.073	3.074	359674	1107023.00
2022/11/29	3.074	3.089	3.064	3.078	1378367	4243441.00
2022/11/30	3.077	3.077	3.066	3.070	447982	1376057.00
2022/12/01	3.070	3.094	3.060	3.085	726116	2237976.00
2022/12/02	3.084	3.131	3.084	3.116	1578280	4905730.00
2022/12/05	3.115	3.200	3.115	3.168	1387338	4392150.00
2022/12/06	3.168	3.189	3.152	3.166	1553429	4918278.00
2022/12/07	3.167	3.170	3.151	3.156	891240	2811431.00
2022/12/08	3.156	3.191	3.147	3.156	1311588	4142058.00
2022/12/09	3.155	3.158	3.133	3.137	968521	3043706.00
2022/12/12	3.133	3.133	3.117	3.119	718944	2244165.00
2022/12/13	3.119	3.119	3.088	3.093	743978	2305320.00
2022/12/14	3.089	3.095	3.085	3.086	283778	876089.00
2022/12/15	3.085	3.096	3.085	3.091	336113	1038744.00
2022/12/16	3.091	3.093	3.075	3.092	471695	1457546.00
2022/12/19	3.092	3.092	3.056	3.059	1028555	3153605.00
2022/12/20	3.059	3.059	2.991	3.000	1768991	5325102.00
2022/12/21	3.000	3.000	2.916	2.934	3529117	10424458.00
2022/12/22	2.934	2.934	2.916	2.929	3560928	10423571.00
2022/12/23	2.925	2.975	2.920	2.970	2016086	5965815.00
2022/12/26	2.999	2.999	2.959	2.968	2557154	7588805.00
2022/12/27	2.922	2.971	2.922	2.934	3292675	9719743.00
2022/12/28	2.933	2.934	2.906	2.913	3227621	9411211.00
2022/12/29	2.913	2.933	2.819	2.867	4755644	13683299.00
