508069 华夏南京交通高速 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/11/01	5.470	5.480	5.453	5.453	3421272	18687948.00
2024/11/04	5.450	5.471	5.413	5.470	734800	4009453.00
2024/11/05	5.473	5.541	5.452	5.541	685901	3773491.00
2024/11/06	5.501	5.577	5.465	5.559	566759	3143775.00
2024/11/07	5.572	5.572	5.519	5.570	239225	1328806.00
2024/11/08	5.580	5.580	5.532	5.559	163380	907338.00
2024/11/11	5.561	5.561	5.495	5.546	3230480	17855472.00
2024/11/12	5.545	5.615	5.507	5.613	1202434	6724549.00
2024/11/13	5.720	5.720	5.573	5.660	322475	1820965.00
2024/11/14	5.774	5.774	5.652	5.695	940103	5336027.00
2024/11/15	5.696	5.750	5.660	5.726	1122400	6397548.00
2024/11/18	5.726	5.750	5.726	5.744	275295	1579746.00
2024/11/19	5.850	5.850	5.688	5.713	1147110	6560702.00
2024/11/20	5.712	5.746	5.696	5.699	829725	4744177.00
2024/11/21	5.680	5.800	5.659	5.720	57455	328028.00
2024/11/22	5.835	5.835	5.700	5.721	436800	2500711.00
2024/11/25	5.681	5.735	5.681	5.695	48800	278231.00
2024/11/26	5.656	5.750	5.656	5.695	135141	768454.00
2024/11/27	5.675	5.750	5.675	5.703	95300	542780.00
2024/11/28	5.670	5.740	5.670	5.706	13306	75914.00
2024/11/29	5.703	5.736	5.702	5.716	96435	550467.00
2024/12/02	5.700	5.700	5.602	5.623	1348300	7600500.00
2024/12/03	5.600	5.658	5.597	5.624	6076651	34034872.00
2024/12/04	5.600	5.655	5.598	5.650	541457	3045392.00
2024/12/05	5.610	5.655	5.610	5.654	145683	821924.00
2024/12/06	5.614	5.698	5.614	5.671	900986	5115387.00
2024/12/09	5.631	5.710	5.631	5.675	544600	3091306.00
2024/12/10	5.635	5.710	5.635	5.709	2084845	11865074.00
2024/12/11	5.700	5.743	5.671	5.730	1400496	8006122.00
2024/12/12	5.690	5.892	5.690	5.790	1472394	8524229.00
2024/12/13	5.768	5.875	5.750	5.751	491700	2831518.00
2024/12/16	5.719	5.798	5.719	5.750	134100	773933.00
2024/12/17	5.750	5.800	5.712	5.776	635652	3655922.00
2024/12/18	5.768	5.805	5.736	5.797	2010579	11624454.00
2024/12/19	5.757	5.825	5.757	5.799	326651	1886671.00
2024/12/20	5.759	5.825	5.759	5.813	92255	535680.00
2024/12/23	5.773	5.825	5.773	5.816	46900	272571.00
2024/12/24	5.814	5.882	5.800	5.806	54500	317213.00
2024/12/25	5.814	5.814	5.770	5.790	18600	107869.00
2024/12/26	5.845	5.845	5.770	5.790	162305	940413.00
2024/12/27	5.771	5.875	5.771	5.794	506826	2937830.00
2024/12/30	5.804	5.879	5.800	5.800	87108	505908.00
2024/12/31	5.866	5.866	5.782	5.806	139144	808463.00
2025/01/02	5.831	5.864	5.811	5.849	668049	3895913.00
2025/01/03	5.849	6.053	5.849	6.026	726547	4329004.00
2025/01/06	6.110	6.156	6.043	6.114	888812	5427472.00
2025/01/07	6.166	6.166	6.074	6.107	165689	1009174.00
2025/01/08	6.067	6.180	6.067	6.174	84654	521380.00
2025/01/09	6.160	6.224	6.139	6.220	101921	632575.00
2025/01/10	6.281	6.395	6.224	6.327	245900	1554370.00
2025/01/13	6.335	6.354	6.225	6.335	348700	2204489.00
2025/01/14	6.311	6.323	6.130	6.199	790331	4922588.00
2025/01/15	6.200	6.266	6.170	6.245	340851	2113929.00
2025/01/16	6.264	6.264	6.215	6.251	271200	1694277.00
2025/01/17	6.251	6.274	6.202	6.230	217138	1353699.00
2025/01/20	6.229	6.390	6.226	6.389	157300	983182.00
2025/01/21	6.369	6.492	6.216	6.490	252404	1614240.00
2025/01/22	6.493	6.550	6.459	6.530	274282	1780476.00
2025/01/23	6.490	6.661	6.490	6.525	327951	2138310.00
2025/01/24	6.485	6.628	6.485	6.519	150035	977833.00
2025/01/27	6.479	6.619	6.460	6.571	225755	1480661.00
2025/02/05	6.571	6.603	6.500	6.596	333657	2192227.00
2025/02/06	6.596	6.720	6.575	6.678	198008	1314726.00
2025/02/07	6.678	6.726	6.589	6.678	554945	3697187.00
2025/02/10	6.678	6.915	6.639	6.874	308456	2065318.00
2025/02/11	6.834	6.990	6.759	6.942	515513	3579925.00
2025/02/12	6.950	6.950	6.697	6.700	822335	5610880.00
2025/02/13	6.700	6.790	6.682	6.699	690300	4631881.00
2025/02/14	6.736	6.774	6.614	6.721	1033655	6924142.00
2025/02/17	6.722	6.800	6.722	6.787	911815	6176699.00
