508077 华夏基金华润有巢 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/12/09	2.878	2.878	2.780	2.824	65899041	186322128.00
2022/12/12	2.800	2.824	2.770	2.807	7438705	20809262.00
2022/12/13	2.798	2.815	2.767	2.801	8033998	22400704.00
2022/12/14	2.793	2.800	2.521	2.778	2466656	6835020.00
2022/12/15	2.771	2.779	2.746	2.754	1904467	5253600.00
2022/12/16	2.756	2.757	2.729	2.741	2443087	6700919.00
2022/12/19	2.736	2.741	2.702	2.708	2888707	7852290.00
2022/12/20	2.707	2.710	2.669	2.696	3156142	8487718.00
2022/12/21	2.694	2.705	2.670	2.704	5646442	15170212.00
2022/12/22	2.704	2.713	2.666	2.697	4941381	13297816.00
2022/12/23	2.697	2.756	2.685	2.750	5046208	13772253.00
2022/12/26	2.751	2.761	2.724	2.741	1355285	3706972.00
2022/12/27	2.740	2.740	2.700	2.705	1562220	4232486.00
2022/12/28	2.705	2.705	2.624	2.636	4918245	13022272.00
2022/12/29	2.648	2.648	2.578	2.580	3659343	9568844.00
2022/12/30	2.596	2.600	2.561	2.578	3411296	8772384.00
2023/01/03	2.587	2.594	2.550	2.566	1933705	4965924.00
2023/01/04	2.582	2.582	2.558	2.572	2293348	5887350.00
2023/01/05	2.572	2.581	2.562	2.570	3681921	9461406.00
2023/01/06	2.575	2.596	2.551	2.588	5156839	13239501.00
2023/01/09	2.592	2.595	2.560	2.583	1995348	5140993.00
2023/01/10	2.589	2.597	2.579	2.592	3297437	8531559.00
2023/01/11	2.590	2.630	2.590	2.600	4025139	10476364.00
2023/01/12	2.600	2.600	2.592	2.594	1009831	2621009.00
2023/01/13	2.594	2.617	2.555	2.576	2264968	5846710.00
2023/01/16	2.576	2.576	2.555	2.559	2010186	5151678.00
2023/01/17	2.559	2.569	2.556	2.563	747712	1915799.00
2023/01/18	2.563	2.568	2.557	2.564	925802	2373007.00
2023/01/19	2.564	2.569	2.556	2.563	1150165	2946040.00
2023/01/20	2.562	2.587	2.560	2.586	1036591	2666115.00
2023/01/30	2.586	2.612	2.579	2.595	3236526	8406010.00
2023/01/31	2.595	2.638	2.592	2.628	2375498	6200610.00
2023/02/01	2.626	2.650	2.613	2.650	2421401	6364088.00
2023/02/02	2.650	2.650	2.619	2.631	1609519	4229755.00
2023/02/03	2.628	2.631	2.614	2.626	854205	2242047.00
2023/02/06	2.625	2.649	2.611	2.616	1938238	5095984.00
2023/02/07	2.616	2.632	2.608	2.626	1570543	4109105.00
2023/02/08	2.630	2.630	2.610	2.626	1075970	2820349.00
2023/02/09	2.626	2.649	2.610	2.649	1134148	2981740.00
2023/02/10	2.659	2.660	2.636	2.647	1835621	4868742.00
2023/02/13	2.647	2.671	2.647	2.670	2217268	5906951.00
2023/02/14	2.670	2.702	2.660	2.688	4503093	12119082.00
2023/02/15	2.688	2.718	2.666	2.685	6568199	17695426.00
2023/02/16	2.685	2.691	2.675	2.680	1941510	5208087.00
2023/02/17	2.680	2.686	2.668	2.675	2255249	6028018.00
2023/02/20	2.675	2.686	2.640	2.671	2718524	7252059.00
2023/02/21	2.671	2.683	2.668	2.678	2213764	5925395.00
2023/02/22	2.677	2.679	2.666	2.675	1059216	2833758.00
2023/02/23	2.674	2.676	2.660	2.667	1195026	3191450.00
2023/02/24	2.660	2.666	2.645	2.650	1206667	3201555.00
2023/02/27	2.646	2.646	2.631	2.636	1462127	3854675.00
2023/02/28	2.636	2.648	2.636	2.642	569707	1505290.00
2023/03/01	2.632	2.642	2.632	2.640	471214	1244108.00
2023/03/02	2.641	2.654	2.641	2.643	771752	2043198.00
2023/03/03	2.642	2.652	2.635	2.643	1181509	3120425.00
2023/03/06	2.646	2.660	2.646	2.658	741109	1967775.00
2023/03/07	2.658	2.681	2.649	2.662	863278	2296697.00
2023/03/08	2.661	2.703	2.643	2.694	2268226	6060473.00
2023/03/09	2.689	2.693	2.661	2.680	1957145	5244657.00
2023/03/10	2.680	2.696	2.667	2.691	1275361	3413225.00
2023/03/13	2.700	2.700	2.674	2.684	2632015	7065016.00
2023/03/14	2.680	2.680	2.666	2.669	733167	1958573.00
2023/03/15	2.669	2.669	2.656	2.663	1036585	2761455.00
2023/03/16	2.663	2.663	2.640	2.647	657652	1740650.00
2023/03/17	2.648	2.670	2.646	2.666	2030694	5399459.00
2023/03/20	2.666	2.666	2.642	2.659	432757	1151199.00
2023/03/21	2.659	2.659	2.643	2.648	903643	2391186.00
2023/03/22	2.648	2.648	2.640	2.646	369032	976360.00
2023/03/23	2.645	2.649	2.645	2.645	454387	1202595.00
2023/03/24	2.645	2.657	2.631	2.654	1938183	5116187.00
2023/03/27	2.660	2.667	2.648	2.660	921748	2449905.00
2023/03/28	2.660	2.661	2.649	2.651	1155903	3070648.00
2023/03/29	2.641	2.652	2.630	2.635	767082	2026860.00
2023/03/30	2.635	2.669	2.629	2.655	1440937	3815181.00
2023/03/31	2.655	2.680	2.642	2.669	1543279	4119923.00
2023/04/03	2.671	2.675	2.657	2.660	844740	2254322.00
2023/04/04	2.660	2.660	2.642	2.649	464413	1232568.00
2023/04/06	2.649	2.654	2.639	2.647	743773	1969235.00
2023/04/07	2.647	2.654	2.647	2.649	394439	1045323.00
2023/04/10	2.649	2.649	2.636	2.638	631382	1666821.00
2023/04/11	2.638	2.644	2.633	2.634	836463	2206869.00
2023/04/12	2.634	2.652	2.621	2.633	1382284	3637109.00
2023/04/13	2.627	2.627	2.589	2.599	1821795	4744724.00
2023/04/14	2.599	2.602	2.561	2.589	1833511	4740361.00
2023/04/17	2.585	2.605	2.580	2.605	2022511	5256353.00
2023/04/18	2.602	2.628	2.592	2.611	3415117	8911051.00
2023/04/19	2.611	2.623	2.587	2.612	4016984	10493513.00
2023/04/20	2.600	2.615	2.595	2.601	2542808	6627822.00
2023/04/21	2.602	2.624	2.585	2.593	5390826	14021170.00
2023/04/24	2.593	2.623	2.592	2.621	3476952	9084311.00
2023/04/25	2.623	2.629	2.613	2.615	1595666	4184521.00
2023/04/26	2.612	2.615	2.602	2.613	1323303	3454043.00
2023/04/27	2.613	2.616	2.586	2.603	4656419	12118374.00
2023/04/28	2.603	2.603	2.570	2.585	2128143	5503016.00
2023/05/04	2.580	2.580	2.532	2.557	2978227	7608225.00
2023/05/05	2.557	2.557	2.535	2.543	2640377	6720978.00
2023/05/08	2.540	2.540	2.521	2.530	752613	1906060.00
2023/05/09	2.529	2.559	2.522	2.540	2279678	5786464.00
2023/05/10	2.536	2.604	2.536	2.600	3821369	9890643.00
2023/05/11	2.600	2.642	2.600	2.622	4111479	10788489.00
2023/05/12	2.622	2.622	2.586	2.606	3400979	8845036.00
2023/05/15	2.602	2.602	2.563	2.565	1991300	5130903.00
2023/05/16	2.565	2.590	2.561	2.578	1606201	4136710.00
2023/05/17	2.578	2.597	2.541	2.576	3126347	8056083.00
2023/05/18	2.576	2.579	2.553	2.564	1348727	3466851.00
2023/05/19	2.564	2.577	2.552	2.562	2234497	5728491.00
2023/05/22	2.562	2.564	2.549	2.552	1678781	4288951.00
2023/05/23	2.552	2.556	2.536	2.550	1848470	4711366.00
2023/05/24	2.543	2.553	2.522	2.533	2548677	6469634.00
2023/05/25	2.533	2.533	2.511	2.529	1200476	3028297.00
2023/05/26	2.518	2.538	2.516	2.533	1966389	4979543.00
2023/05/29	2.523	2.530	2.516	2.522	818301	2064530.00
2023/05/30	2.521	2.534	2.494	2.498	3242196	8130450.00
2023/05/31	2.499	2.518	2.445	2.448	3326348	8222161.00
2023/06/01	2.465	2.465	2.421	2.423	2344031	5693790.00
2023/06/02	2.425	2.437	2.417	2.422	2098667	5079031.00
2023/06/05	2.419	2.430	2.366	2.373	2688879	6451739.00
2023/06/06	2.373	2.373	2.296	2.354	4584743	10655377.00
2023/06/07	2.347	2.390	2.338	2.390	3053782	7215065.00
2023/06/08	2.390	2.448	2.390	2.443	2034934	4938415.00
2023/06/09	2.450	2.466	2.424	2.455	3331492	8164417.00
2023/06/12	2.450	2.459	2.419	2.438	3496071	8492659.00
2023/06/13	2.437	2.454	2.431	2.452	2735902	6693956.00
2023/06/14	2.452	2.453	2.440	2.443	1128265	2763000.00
2023/06/15	2.409	2.458	2.409	2.439	1815554	4441837.00
2023/06/16	2.439	2.453	2.439	2.445	1254988	3069833.00
2023/06/19	2.419	2.450	2.417	2.424	1209482	2935098.00
2023/06/20	2.434	2.439	2.423	2.425	1136249	2759118.00
2023/06/21	2.429	2.435	2.407	2.425	2063522	4998045.00
2023/06/26	2.430	2.430	2.409	2.411	1278606	3084450.00
2023/06/27	2.411	2.429	2.405	2.422	6416231	15514330.00
2023/06/28	2.424	2.458	2.407	2.450	4562967	11114332.00
2023/06/29	2.450	2.477	2.450	2.466	4564348	11253684.00
