508078 中航易商仓储物流 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2025/01/24	2.890	3.150	2.890	3.030	10218188	30260796.00
2025/01/27	3.025	3.098	2.984	3.069	2047968	6219028.00
2025/02/05	3.070	3.100	3.010	3.060	1970992	6008653.00
2025/02/06	3.051	3.069	3.000	3.049	3521585	10660204.00
2025/02/07	3.033	3.033	3.001	3.015	1719840	5188206.00
2025/02/10	3.006	3.020	2.969	3.008	6265365	18730814.00
2025/02/11	3.008	3.185	2.991	3.124	5616671	17168272.00
2025/02/12	3.116	3.128	3.087	3.100	2818402	8749268.00
2025/02/13	3.095	3.095	3.040	3.054	1721921	5275228.00
2025/02/14	3.030	3.074	3.008	3.068	1889298	5745786.00
2025/02/17	3.068	3.118	3.050	3.083	1248421	3846595.00
2025/02/18	3.070	3.144	3.050	3.066	3213588	9928449.00
2025/02/19	3.061	3.079	3.036	3.049	1383782	4216415.00
2025/02/20	3.050	3.057	3.030	3.030	1412460	4296868.00
2025/02/21	3.042	3.068	3.031	3.045	2130800	6499670.00
2025/02/24	3.045	3.045	2.990	2.993	1821260	5478471.00
2025/02/25	3.000	3.023	2.980	2.991	1860940	5584510.00
2025/02/26	3.010	3.019	2.976	2.984	1195809	3581448.00
2025/02/27	2.992	2.992	2.950	2.969	2087026	6197440.00
2025/02/28	2.957	2.970	2.943	2.949	1455960	4294193.00
2025/03/03	2.968	3.000	2.947	2.997	729901	2175127.00
2025/03/04	3.005	3.042	3.000	3.023	1873211	5672905.00
2025/03/05	3.023	3.032	3.013	3.023	552360	1669761.00
2025/03/06	3.022	3.030	3.002	3.012	561860	1691958.00
2025/03/07	3.019	3.019	3.002	3.004	393100	1181299.00
2025/03/10	3.018	3.018	3.006	3.008	183314	551481.00
2025/03/11	3.010	3.010	3.005	3.008	312600	940344.00
2025/03/12	3.005	3.010	2.997	3.002	791760	2375259.00
2025/03/13	3.006	3.011	2.990	2.998	746900	2240747.00
2025/03/14	3.003	3.003	2.989	3.000	1212700	3634245.00
2025/03/17	2.990	3.003	2.990	3.000	486191	1458325.00
2025/03/18	3.000	3.007	2.995	3.001	799299	2397326.00
2025/03/19	3.006	3.041	2.998	3.040	7593257	23004860.00
2025/03/20	3.045	3.050	3.039	3.041	1999960	6080355.00
2025/03/21	3.044	3.049	3.000	3.044	3305200	10005578.00
2025/03/24	3.029	3.043	3.020	3.035	412597	1250611.00
2025/03/25	3.030	3.051	3.030	3.044	803600	2446008.00
2025/03/26	3.048	3.048	3.015	3.042	1842394	5582169.00
2025/03/27	3.042	3.051	3.035	3.046	11054220	33558312.00
2025/03/28	3.059	3.089	3.030	3.046	2563422	7819717.00
2025/03/31	3.046	3.078	3.045	3.064	962200	2945660.00
2025/04/01	3.053	3.079	3.045	3.070	483000	1483284.00
2025/04/02	3.075	3.099	3.069	3.085	848900	2617279.00
2025/04/03	3.080	3.115	3.075	3.100	1216861	3757917.00
2025/04/07	3.067	3.098	3.000	3.011	2045600	6210590.00
2025/04/08	3.011	3.055	3.011	3.018	2729967	8249441.00
2025/04/09	3.039	3.039	3.009	3.022	612800	1849786.00
2025/04/10	3.040	3.060	3.022	3.059	1553807	4720587.00
2025/04/11	3.060	3.114	3.060	3.102	2308671	7149489.00
2025/04/14	3.102	3.136	3.078	3.112	1183329	3675371.00
2025/04/15	3.096	3.129	3.096	3.121	858221	2674207.00
2025/04/16	3.125	3.135	3.100	3.124	2000298	6247347.00
2025/04/17	3.135	3.200	3.114	3.155	1656800	5215414.00
2025/04/18	3.155	3.180	3.136	3.168	422600	1332432.00
2025/04/21	3.181	3.182	3.129	3.156	772500	2433514.00
2025/04/22	3.150	3.156	3.094	3.115	1635100	5107588.00
2025/04/23	3.115	3.137	3.094	3.113	1024700	3189106.00
2025/04/24	3.125	3.135	3.112	3.125	359500	1122033.00
2025/04/25	3.135	3.138	3.120	3.136	383500	1201412.00
2025/04/28	3.142	3.144	3.040	3.068	2006108	6166837.00
2025/04/29	3.070	3.095	3.066	3.082	641100	1971506.00
