508080 中金亦庄产业园RE 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2025/06/26	3.536	3.536	3.536	3.536	1095875	3875014.00
2025/06/27	3.890	3.890	3.890	3.890	5425733	21106100.00
2025/06/30	4.180	4.279	3.780	3.915	35086136	138075680.00
2025/07/01	3.898	3.916	3.876	3.903	6446412	25151042.00
2025/07/02	3.950	3.950	3.905	3.923	3875788	15212773.00
2025/07/03	3.920	3.924	3.906	3.923	1806365	7075573.00
2025/07/04	3.910	3.959	3.910	3.959	2426785	9547251.00
2025/07/07	3.955	3.989	3.925	3.967	2106984	8376786.00
2025/07/08	3.979	3.979	3.940	3.953	1141952	4512218.00
2025/07/09	3.950	3.968	3.936	3.947	1889764	7453577.00
2025/07/10	3.947	3.947	3.921	3.937	1308888	5147184.00
2025/07/11	3.939	3.939	3.919	3.929	1488859	5846167.00
2025/07/14	3.929	3.929	3.911	3.925	2493686	9784526.00
2025/07/15	3.925	3.949	3.896	3.930	2394556	9408954.00
2025/07/16	3.930	3.943	3.921	3.940	1054527	4151307.00
2025/07/17	3.939	3.946	3.927	3.939	1345402	5297470.00
2025/07/18	3.931	3.941	3.927	3.935	560461	2203997.00
2025/07/21	3.927	3.934	3.912	3.926	1792312	7034626.00
2025/07/22	3.914	3.921	3.911	3.917	1415989	5548561.00
2025/07/23	3.912	3.913	3.833	3.850	3535929	13635557.00
2025/07/24	3.848	3.849	3.785	3.799	3091548	11749825.00
2025/07/25	3.793	3.848	3.732	3.828	3981097	15055602.00
2025/07/28	3.830	3.842	3.784	3.828	2192487	8340620.00
2025/07/29	3.837	3.885	3.815	3.880	2575599	9957522.00
2025/07/30	3.882	3.884	3.856	3.870	1470843	5690904.00
2025/07/31	3.855	3.903	3.855	3.903	2196941	8559752.00
2025/08/01	3.920	3.924	3.863	3.920	1236120	4823456.00
2025/08/04	3.904	3.930	3.890	3.901	1021483	3986720.00
2025/08/05	3.900	3.920	3.860	3.918	520295	2028217.00
2025/08/06	3.915	3.936	3.890	3.930	1106793	4338323.00
2025/08/07	3.931	3.935	3.914	3.921	972352	3814810.00
2025/08/08	3.921	3.921	3.890	3.916	998223	3899393.00
2025/08/11	3.915	3.915	3.878	3.889	402193	1564170.00
2025/08/12	3.889	3.898	3.858	3.892	714175	2770552.00
2025/08/13	3.890	3.890	3.862	3.874	457796	1772217.00
2025/08/14	3.861	3.881	3.851	3.881	1166514	4506768.00
2025/08/15	3.881	3.881	3.790	3.810	1129195	4322201.00
2025/08/18	3.815	3.815	3.724	3.735	871672	3264509.00
2025/08/19	3.730	3.735	3.696	3.721	2842012	10554326.00
