508082 中金唯品会奥莱RE 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2025/09/12	4.251	4.508	4.251	4.413	91494271	401295648.00
2025/09/15	4.350	4.429	4.331	4.400	28410742	124966368.00
2025/09/16	4.381	4.401	4.361	4.389	12641606	55489652.00
2025/09/17	4.381	4.391	4.370	4.388	7167421	31447254.00
2025/09/18	4.380	4.411	4.379	4.401	6026881	26525440.00
2025/09/19	4.388	4.407	4.388	4.398	1776487	7816243.00
2025/09/22	4.398	4.399	4.380	4.395	2094079	9186610.00
2025/09/23	4.381	4.407	4.370	4.391	1137529	5002682.00
2025/09/24	4.391	4.401	4.372	4.397	1390697	6113777.00
2025/09/25	4.397	4.397	4.360	4.377	3295348	14423360.00
2025/09/26	4.351	4.385	4.346	4.377	1805545	7894340.00
2025/09/29	4.360	4.381	4.310	4.359	7694652	33462466.00
2025/09/30	4.333	4.367	4.302	4.345	1139716	4946358.00
2025/10/09	4.319	4.321	4.297	4.307	4555909	19634568.00
2025/10/10	4.311	4.311	4.260	4.274	3609561	15432834.00
2025/10/13	4.270	4.283	4.234	4.280	4179090	17827512.00
2025/10/14	4.274	4.300	4.260	4.281	3742031	15996172.00
2025/10/15	4.281	4.292	4.255	4.275	1517645	6488547.00
2025/10/16	4.260	4.276	4.252	4.260	3255741	13902353.00
2025/10/17	4.250	4.260	4.225	4.250	2947016	12516728.00
2025/10/20	4.225	4.250	4.215	4.230	2216789	9377842.00
2025/10/21	4.235	4.252	4.220	4.227	2737329	11595099.00
2025/10/22	4.221	4.250	4.200	4.236	2019265	8541801.00
2025/10/23	4.236	4.308	4.236	4.284	1747733	7491340.00
2025/10/24	4.284	4.310	4.284	4.300	550550	2369253.00
2025/10/27	4.295	4.299	4.274	4.295	312191	1337661.00
2025/10/28	4.295	4.331	4.285	4.318	2473119	10685734.00
2025/10/29	4.320	4.350	4.301	4.342	1671009	7242834.00
2025/10/30	4.342	4.355	4.322	4.332	1356370	5886048.00
2025/10/31	4.330	4.348	4.256	4.325	2894193	12469219.00
2025/11/03	4.324	4.324	4.284	4.315	1365802	5868091.00
2025/11/04	4.315	4.315	4.285	4.304	943628	4056491.00
2025/11/05	4.280	4.335	4.280	4.324	855395	3696614.00
2025/11/06	4.298	4.348	4.298	4.340	721593	3124506.00
2025/11/07	4.324	4.351	4.320	4.350	1149758	4997654.00
2025/11/10	4.349	4.388	4.305	4.365	1238279	5406081.00
2025/11/11	4.350	4.393	4.350	4.375	511286	2237892.00
2025/11/12	4.378	4.399	4.376	4.394	775258	3405522.00
2025/11/13	4.394	4.398	4.350	4.381	722921	3173249.00
2025/11/14	4.356	4.398	4.356	4.380	333005	1460037.00
2025/11/17	4.380	4.407	4.354	4.379	989686	4341288.00
2025/11/18	4.396	4.425	4.355	4.380	1397939	6128917.00
2025/11/19	4.365	4.390	4.365	4.384	792471	3471430.00
2025/11/20	4.409	4.409	4.373	4.375	246761	1081213.00
2025/11/21	4.365	4.376	4.349	4.374	1515247	6595695.00
2025/11/24	4.355	4.374	4.320	4.350	299287	1298121.00
2025/11/25	4.350	4.410	4.330	4.369	512649	2241686.00
2025/11/26	4.395	4.395	4.348	4.376	456073	1995432.00
2025/11/27	4.350	4.390	4.350	4.375	317965	1392199.00
2025/11/28	4.363	4.398	4.350	4.388	1205555	5271586.00
2025/12/01	4.362	4.385	4.361	4.380	148483	649740.00
2025/12/02	4.380	4.384	4.369	4.379	263049	1151965.00
2025/12/03	4.353	4.379	4.346	4.374	296064	1293190.00
2025/12/04	4.348	4.403	4.339	4.382	1194374	5228412.00
2025/12/05	4.356	4.392	4.200	4.388	756781	3314403.00
2025/12/08	4.400	4.400	4.307	4.345	2490215	10839050.00
2025/12/09	4.344	4.399	4.321	4.363	1748356	7621588.00
2025/12/10	4.347	4.384	4.324	4.366	1228599	5343591.00
2025/12/11	4.363	4.365	4.350	4.361	588049	2559704.00
2025/12/12	4.361	4.390	4.343	4.362	1456642	6351079.00
2025/12/15	4.341	4.361	4.280	4.310	3028195	13014085.00
2025/12/16	4.295	4.337	4.209	4.327	1319957	5635856.00
2025/12/17	4.289	4.350	4.280	4.301	1803277	7771392.00
2025/12/18	4.261	4.330	4.261	4.300	2510104	10762278.00
2025/12/19	4.270	4.333	4.250	4.278	2557502	10957096.00
2025/12/22	4.289	4.299	4.223	4.232	702337	2985835.00
2025/12/23	4.250	4.270	4.214	4.232	1449246	6152379.00
2025/12/24	4.220	4.328	4.220	4.300	1245079	5336844.00
2025/12/25	4.261	4.350	4.261	4.329	1496930	6463248.00
2025/12/26	4.294	4.329	4.294	4.306	636220	2746623.00
2025/12/29	4.351	4.351	4.261	4.263	376081	1611661.00
2025/12/30	4.251	4.309	4.237	4.248	1759068	7501221.00
2025/12/31	4.293	4.293	4.207	4.218	1537531	6484725.00
2026/01/05	4.215	4.332	4.208	4.257	2439888	10458479.00
2026/01/06	4.257	4.380	4.257	4.361	4024815	17345940.00
2026/01/07	4.359	4.400	4.338	4.382	1677616	7359418.00
2026/01/08	4.345	4.409	4.342	4.380	2547319	11155469.00
2026/01/09	4.380	4.400	4.361	4.377	2333786	10221471.00
2026/01/12	4.377	4.390	4.338	4.377	1250392	5478630.00
2026/01/13	4.340	4.385	4.340	4.384	586038	2564363.00
2026/01/14	4.370	4.404	4.370	4.390	2016210	8855616.00
2026/01/15	4.373	4.392	4.346	4.351	884000	3861730.00
2026/01/16	4.336	4.375	4.330	4.363	391810	1707978.00
2026/01/19	4.355	4.390	4.350	4.384	1007327	4416414.00
2026/01/20	4.371	4.420	4.371	4.402	1728225	7603037.00
2026/01/21	4.418	4.493	4.402	4.490	2169007	9670293.00
2026/01/22	4.483	4.581	4.483	4.532	2225262	10126201.00
2026/01/23	4.505	4.588	4.460	4.476	4963830	22561184.00
2026/01/26	4.460	4.574	4.425	4.535	2404346	10870119.00
2026/01/27	4.558	4.558	4.490	4.552	932989	4228521.00
2026/01/28	4.537	4.588	4.537	4.582	1468172	6714180.00
2026/01/29	4.546	4.604	4.546	4.590	1514163	6954126.00
2026/01/30	4.562	4.592	4.506	4.541	2656489	12067432.00
2026/02/02	4.541	4.541	4.400	4.435	4407134	19545338.00
2026/02/03	4.393	4.478	4.393	4.457	756988	3372091.00
2026/02/04	4.431	4.458	4.420	4.451	827067	3676766.00
2026/02/05	4.459	4.473	4.443	4.472	586353	2610368.00
2026/02/06	4.451	4.490	4.451	4.475	521211	2333251.00
2026/02/09	4.475	4.484	4.449	4.473	462763	2066213.00
2026/02/10	4.481	4.499	4.474	4.489	351634	1577232.00
2026/02/11	4.503	4.532	4.414	4.514	1564128	7019909.00
2026/02/12	4.497	4.525	4.484	4.509	1075039	4838013.00
2026/02/13	4.536	4.536	4.505	4.516	190132	858224.00
2026/02/24	4.516	4.547	4.491	4.500	305516	1375854.00
2026/02/25	4.490	4.515	4.469	4.481	373600	1676347.00
2026/02/26	4.500	4.500	4.445	4.450	1380159	6151822.00
2026/02/27	4.455	4.476	4.433	4.449	1064663	4731734.00
2026/03/02	4.449	4.454	4.402	4.426	610984	2711810.00
2026/03/03	4.419	4.501	4.412	4.481	547331	2439767.00
2026/03/04	4.453	4.487	4.416	4.420	826724	3677193.00
2026/03/05	4.411	4.470	4.405	4.438	3033989	13495253.00
2026/03/06	4.438	4.500	4.398	4.430	1420466	6277118.00
2026/03/09	4.390	4.457	4.378	4.429	499448	2207843.00
2026/03/10	4.390	4.498	4.390	4.431	897459	3990263.00
2026/03/11	4.435	4.449	4.384	4.406	845304	3717440.00
2026/03/12	4.378	4.460	4.351	4.375	491838	2151352.00
2026/03/13	4.353	4.400	4.316	4.379	1867813	8157041.00
2026/03/16	4.351	4.398	4.338	4.355	224991	978590.00
2026/03/17	4.321	4.393	4.321	4.380	672827	2939460.00
2026/03/18	4.351	4.432	4.351	4.384	597245	2625805.00
2026/03/19	4.376	4.428	4.376	4.402	807119	3556123.00
2026/03/20	4.376	4.428	4.376	4.404	425048	1874976.00
2026/03/23	4.364	4.399	4.351	4.365	186415	814951.00
2026/03/24	4.364	4.410	4.311	4.390	401300	1748693.00
2026/04/03	4.432	4.520	4.429	4.468	1729481	7749028.00
#数据来源:通达信
