508084 汇添富九州通医药 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2025/02/27	3.764	3.764	3.506	3.712	24234721	90301112.00
2025/02/28	3.550	3.680	3.526	3.542	12588777	45083856.00
2025/03/03	3.526	3.550	3.492	3.530	3889939	13746879.00
2025/03/04	3.528	3.568	3.513	3.562	4741563	16806916.00
2025/03/05	3.567	3.606	3.551	3.604	3392585	12174927.00
2025/03/06	3.604	3.632	3.590	3.616	2162955	7819426.00
2025/03/07	3.626	3.639	3.600	3.612	1051620	3801044.00
2025/03/10	3.618	3.628	3.596	3.625	1088955	3942067.00
2025/03/11	3.629	3.629	3.607	3.610	1082862	3918437.00
2025/03/12	3.601	3.616	3.600	3.608	1087666	3926534.00
2025/03/13	3.596	3.625	3.596	3.625	1360579	4912160.00
2025/03/14	3.625	3.650	3.603	3.646	983917	3581173.00
2025/03/17	3.645	3.660	3.615	3.655	621931	2267564.00
2025/03/18	3.645	3.655	3.626	3.648	960456	3493736.00
2025/03/19	3.648	3.660	3.630	3.653	340600	1242877.00
2025/03/20	3.658	3.669	3.640	3.654	566965	2075689.00
2025/03/21	3.654	3.659	3.634	3.659	1979983	7209646.00
2025/03/24	3.645	3.671	3.645	3.661	403444	1476821.00
2025/03/25	3.656	3.680	3.656	3.677	1110270	4072433.00
2025/03/26	3.682	3.710	3.667	3.704	942799	3477756.00
2025/03/27	3.704	3.722	3.704	3.710	1179394	4383269.00
2025/03/28	3.714	3.749	3.702	3.747	1249217	4660248.00
2025/03/31	3.742	3.764	3.720	3.733	638417	2391383.00
2025/04/01	3.723	3.764	3.723	3.751	638312	2393837.00
2025/04/02	3.752	3.788	3.752	3.783	1309950	4933661.00
2025/04/03	3.799	3.875	3.788	3.873	1438316	5498455.00
2025/04/07	3.863	3.900	3.788	3.816	1343403	5149575.00
2025/04/08	3.810	3.820	3.690	3.803	465177	1755680.00
2025/04/09	3.788	3.788	3.740	3.765	1156115	4342513.00
2025/04/10	3.744	3.810	3.731	3.810	343975	1299203.00
2025/04/11	3.810	3.849	3.802	3.823	199046	763317.00
2025/04/14	3.810	3.920	3.791	3.919	1438414	5525441.00
2025/04/15	3.921	3.921	3.887	3.917	313114	1223325.00
2025/04/16	3.916	4.085	3.898	4.059	542408	2144922.00
2025/04/17	4.040	4.073	3.981	3.993	1362817	5478330.00
2025/04/18	3.977	3.990	3.950	3.965	218285	867011.00
2025/04/21	3.969	3.970	3.899	3.920	329457	1291883.00
2025/04/22	3.909	3.946	3.909	3.927	240910	946943.00
2025/04/23	3.924	3.968	3.909	3.938	497848	1961954.00
2025/04/24	3.931	3.938	3.914	3.928	353268	1384820.00
2025/04/25	3.912	3.942	3.910	3.923	65824	258272.00
2025/04/28	3.922	3.941	3.900	3.912	461676	1807870.00
2025/04/29	3.909	3.960	3.909	3.953	549333	2163318.00
2025/04/30	3.942	4.008	3.942	3.972	302510	1203957.00
2025/05/06	3.975	4.010	3.972	3.999	187422	749172.00
2025/05/07	4.008	4.008	3.986	3.987	97800	390705.00
2025/05/08	3.975	4.000	3.948	3.998	766708	3035348.00
2025/05/09	3.996	3.996	3.933	3.980	569891	2258609.00
2025/05/12	3.973	3.999	3.967	3.999	367272	1464207.00
2025/05/13	4.008	4.017	3.965	3.990	840162	3360933.00
2025/05/14	3.993	4.003	3.968	3.974	643395	2568549.00
2025/05/15	3.975	3.990	3.964	3.965	131258	521552.00
2025/05/16	3.966	4.030	3.955	4.006	1309966	5244563.00
2025/05/19	3.997	4.053	3.977	4.008	922986	3703868.00
2025/05/20	4.019	4.044	4.000	4.044	852259	3440820.00
2025/05/21	4.050	4.121	4.040	4.108	2237022	9134867.00
2025/05/22	4.105	4.106	4.068	4.092	711154	2903992.00
2025/05/23	4.092	4.138	4.000	4.101	825162	3380506.00
2025/05/26	4.073	4.118	4.073	4.104	1066688	4385575.00
2025/05/27	4.105	4.118	4.105	4.107	865863	3558355.00
2025/05/28	4.107	4.129	4.080	4.091	1167400	4780650.00
2025/05/29	4.097	4.147	4.030	4.147	1285670	5304806.00
2025/05/30	4.130	4.150	4.130	4.133	620552	2567651.00
2025/06/03	4.129	4.185	4.107	4.125	1187244	4915715.00
2025/06/04	4.085	4.140	4.085	4.115	564804	2325075.00
2025/06/05	4.118	4.173	4.096	4.105	1332765	5486393.00
2025/06/06	4.105	4.140	4.090	4.127	1907308	7840169.00
2025/06/09	4.129	4.170	4.129	4.154	707817	2940694.00
2025/06/10	4.154	4.230	4.118	4.166	1300128	5424679.00
2025/06/11	4.152	4.200	4.152	4.191	1220142	5096666.00
2025/06/12	4.204	4.238	4.180	4.198	1142642	4800920.00
2025/06/13	4.197	4.235	4.164	4.200	1390054	5836126.00
2025/06/16	4.183	4.262	4.177	4.205	1927424	8091279.00
2025/06/17	4.205	4.226	4.198	4.206	742386	3121458.00
2025/06/18	4.207	4.234	4.182	4.232	395657	1664844.00
2025/06/19	4.232	4.315	4.231	4.303	2564824	11007844.00
2025/06/20	4.340	4.421	4.300	4.394	1332108	5820183.00
2025/06/23	4.346	4.481	4.346	4.395	910441	4014033.00
2025/06/24	4.371	4.435	4.268	4.308	2213430	9569717.00
2025/06/25	4.291	4.353	4.257	4.306	951318	4085122.00
2025/06/26	4.291	4.310	4.280	4.289	990394	4254725.00
2025/06/27	4.289	4.301	4.238	4.253	1635218	6942347.00
2025/06/30	4.252	4.255	4.227	4.249	1484449	6294223.00
2025/07/01	4.254	4.261	4.241	4.255	2112735	8983819.00
