508085 华泰苏州恒泰租赁 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2025/05/21	3.554	3.554	3.554	3.554	1038147	3689574.00
2025/05/22	3.554	3.909	3.554	3.909	7822937	30575130.00
2025/05/23	3.920	4.299	3.909	4.178	25272180	103504704.00
2025/05/26	4.199	4.399	4.075	4.133	8042075	33290480.00
2025/05/27	4.129	4.129	4.000	4.068	10291665	41755608.00
2025/05/28	4.068	4.120	4.038	4.118	5637101	23124564.00
2025/05/29	4.118	4.160	4.096	4.115	3660052	15054615.00
2025/05/30	4.110	4.130	4.095	4.103	4147984	17023624.00
2025/06/03	4.094	4.110	4.090	4.096	2858153	11722021.00
2025/06/04	4.096	4.112	4.095	4.107	4076967	16723119.00
2025/06/05	4.108	4.118	4.095	4.102	2704808	11099216.00
2025/06/06	4.101	4.110	4.094	4.102	2624157	10765304.00
2025/06/09	4.103	4.103	4.090	4.095	3119589	12777528.00
2025/06/10	4.096	4.098	4.085	4.090	2965488	12129426.00
2025/06/11	4.089	4.094	4.075	4.086	1342281	5485239.00
2025/06/12	4.086	4.086	4.068	4.074	1499585	6106239.00
2025/06/13	4.075	4.087	4.060	4.085	1899598	7734340.00
2025/06/16	4.080	4.122	4.072	4.115	3773868	15473193.00
2025/06/17	4.125	4.220	4.104	4.220	3502690	14618824.00
2025/06/18	4.220	4.350	4.220	4.345	3503878	15022096.00
2025/06/19	4.344	4.380	4.285	4.363	5138979	22355668.00
2025/06/20	4.363	4.399	4.323	4.384	2480027	10826762.00
2025/06/23	4.384	4.394	4.360	4.370	1329910	5820663.00
2025/06/24	4.364	4.384	4.188	4.291	5924164	25382468.00
2025/06/25	4.271	4.308	4.206	4.257	1725996	7355417.00
2025/06/26	4.254	4.293	4.226	4.238	1831326	7792917.00
2025/06/27	4.230	4.234	4.170	4.198	3491725	14641442.00
2025/06/30	4.198	4.214	4.160	4.185	2136273	8919540.00
