508086 工银河北高速REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/06/28	5.699	5.711	5.698	5.700	3676469	20954842.00
2024/07/01	5.699	5.713	5.698	5.703	1038161	5917759.00
2024/07/02	5.703	5.703	5.697	5.698	1430800	8153321.00
2024/07/03	5.698	5.700	5.698	5.698	506415	2885587.00
2024/07/04	5.670	5.699	5.670	5.699	972032	5538229.00
2024/07/05	5.695	5.700	5.695	5.696	346385	1973269.00
2024/07/08	5.695	5.698	5.695	5.696	221450	1261333.00
2024/07/09	5.696	5.696	5.695	5.695	190980	1087653.00
2024/07/10	5.695	5.700	5.695	5.699	889399	5067034.00
2024/07/11	5.699	5.699	5.694	5.697	559150	3185963.00
2024/07/12	5.696	5.698	5.695	5.698	675857	3850879.00
2024/07/15	5.694	5.700	5.694	5.699	610960	3481138.00
2024/07/16	5.695	5.699	5.695	5.696	575250	3277599.00
2024/07/17	5.697	5.732	5.693	5.706	887632	5062303.00
2024/07/18	5.705	5.705	5.697	5.700	736145	4196640.00
2024/07/19	5.699	5.719	5.695	5.704	550886	3141231.00
2024/07/22	5.700	5.719	5.696	5.702	878161	5007837.00
2024/07/23	5.702	5.702	5.694	5.698	216460	1233469.00
2024/07/24	5.698	5.698	5.695	5.695	93769	534120.00
2024/07/25	5.693	5.702	5.693	5.697	68876	392527.00
2024/07/26	5.720	5.720	5.695	5.697	124649	710191.00
2024/07/29	5.695	5.700	5.695	5.698	456716	2602358.00
2024/07/30	5.698	5.698	5.696	5.698	475433	2708537.00
2024/07/31	5.697	5.699	5.697	5.698	1465405	8349683.00
2024/08/01	5.698	5.698	5.696	5.697	346900	1976535.00
2024/08/02	5.697	5.699	5.697	5.699	596685	3399913.00
2024/08/05	5.699	5.749	5.695	5.732	2478351	14158072.00
2024/08/06	5.731	5.848	5.702	5.840	3236987	18696178.00
2024/08/07	5.801	5.898	5.720	5.897	1954730	11465908.00
2024/08/08	5.897	5.923	5.873	5.881	1056545	6224955.00
