508087 国泰海通济南能源 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2025/02/17	9.724	9.724	9.724	9.724	138689	1348612.00
2025/02/18	10.696	10.696	10.696	10.696	253085	2706997.00
2025/02/19	11.766	11.766	10.751	11.519	10875364	123685896.00
2025/02/20	11.215	11.489	11.215	11.480	5318033	60448908.00
2025/02/21	11.368	11.500	11.351	11.391	1922865	21891190.00
2025/02/24	11.372	11.387	11.232	11.245	2886106	32616358.00
2025/02/25	11.269	11.294	11.011	11.064	1798039	19909556.00
2025/02/26	11.014	11.113	10.955	11.090	1777700	19667072.00
2025/02/27	11.010	11.100	11.010	11.030	380874	4203612.00
2025/02/28	10.952	11.000	10.790	10.848	1223570	13280168.00
2025/03/03	10.848	11.014	10.802	10.953	1146734	12565666.00
2025/03/04	10.950	11.215	10.950	11.097	1823010	20262500.00
2025/03/05	11.111	11.217	11.039	11.167	969671	10828054.00
2025/03/06	11.167	11.187	11.011	11.132	632712	7032340.00
2025/03/07	11.179	11.180	11.033	11.110	403577	4470664.00
2025/03/10	11.050	11.180	11.050	11.149	757544	8443127.00
2025/03/11	11.020	11.140	11.020	11.122	304622	3382165.00
2025/03/12	11.090	11.120	11.000	11.088	346329	3834024.00
2025/03/13	11.085	11.088	11.021	11.041	420831	4649602.00
2025/03/14	11.041	11.059	11.000	11.039	454280	5017852.00
2025/03/17	10.960	11.038	10.960	11.015	470267	5177282.00
2025/03/18	11.015	11.023	10.966	10.999	528716	5813165.00
2025/03/19	10.992	11.023	10.970	11.023	237841	2616058.00
2025/03/20	11.025	11.130	11.025	11.063	431744	4790414.00
2025/03/21	11.098	11.100	11.015	11.099	255552	2829268.00
2025/03/24	11.129	11.249	11.100	11.248	226588	2531650.00
2025/03/25	11.248	11.335	11.200	11.268	163012	1835446.00
2025/03/26	11.212	11.498	11.212	11.494	778170	8855670.00
2025/03/27	11.442	11.550	11.442	11.500	372114	4276909.00
2025/03/28	11.489	11.550	11.451	11.537	207249	2387554.00
2025/03/31	11.535	11.549	11.278	11.317	410063	4687005.00
2025/04/01	11.267	11.360	11.267	11.300	225895	2559861.00
2025/04/02	11.290	11.530	11.290	11.460	153099	1747807.00
2025/04/03	11.408	11.600	11.408	11.582	222183	2565480.00
2025/04/07	11.579	11.747	11.512	11.731	502051	5836698.00
2025/04/08	11.730	11.750	11.593	11.700	128169	1499114.00
2025/04/09	11.600	11.765	11.600	11.676	421601	4916082.00
2025/04/10	11.320	11.856	11.320	11.833	373315	4396128.00
2025/04/11	11.839	11.839	11.811	11.822	266671	3154544.00
2025/04/14	11.811	11.822	11.745	11.767	516881	6085332.00
2025/04/15	11.770	11.826	11.751	11.824	532397	6272412.00
2025/04/16	11.830	12.050	11.818	12.031	286190	3402392.00
2025/04/17	12.090	12.090	11.940	11.945	922162	11043072.00
2025/04/18	11.975	11.980	11.810	11.870	410008	4875780.00
2025/04/21	11.910	11.948	11.771	11.905	325854	3869645.00
2025/04/22	11.952	11.978	11.853	11.858	58088	690170.00
2025/04/23	11.858	11.900	11.808	11.862	249462	2960915.00
2025/04/24	11.862	11.913	11.793	11.897	66792	792503.00
2025/04/25	11.892	11.892	11.797	11.837	93099	1101261.00
2025/04/28	11.837	11.837	11.560	11.626	264560	3082594.00
2025/04/29	11.620	11.775	11.620	11.731	115337	1352513.00
2025/04/30	11.730	11.769	11.650	11.740	248631	2906300.00
2025/05/06	11.787	11.834	11.780	11.834	191809	2262438.00
2025/05/07	11.500	12.070	11.500	11.998	517566	6202356.00
2025/05/08	11.998	12.187	11.952	12.071	169229	2043849.00
2025/05/09	12.011	12.308	11.899	12.000	121151	1460707.00
2025/05/12	11.952	11.995	11.885	11.980	624365	7477226.00
2025/05/13	11.933	11.980	11.910	11.980	120622	1442942.00
2025/05/14	11.989	12.150	11.989	12.002	55161	664400.00
2025/05/15	12.050	12.098	11.910	11.913	81908	979379.00
2025/05/16	11.910	12.000	11.910	11.996	62637	749091.00
2025/05/19	12.000	12.150	11.950	12.072	46000	550873.00
2025/05/20	12.072	12.206	12.024	12.052	366096	4429637.00
2025/05/21	12.100	12.185	12.007	12.104	195021	2355542.00
2025/05/22	12.152	12.152	12.060	12.063	195328	2361050.00
2025/05/23	12.020	12.063	11.950	11.956	451309	5404461.00
2025/05/26	11.908	11.958	11.908	11.935	94919	1133537.00
2025/05/27	11.910	11.974	11.892	11.896	45900	547069.00
2025/05/28	11.877	11.920	11.877	11.879	179211	2129107.00
2025/05/29	11.848	11.934	11.848	11.921	36490	434632.00
2025/05/30	11.870	11.968	11.870	11.954	33835	404218.00
2025/06/03	11.948	11.958	11.940	11.950	11047	132006.00
2025/06/04	11.998	12.200	11.998	12.200	337673	4082050.00
2025/06/05	12.200	12.539	12.200	12.425	421620	5191893.00
2025/06/06	12.395	12.438	12.244	12.391	285046	3524852.00
2025/06/09	12.408	12.470	12.343	12.410	113813	1413272.00
2025/06/10	12.457	12.457	12.396	12.398	490685	6088608.00
2025/06/11	12.408	12.577	12.408	12.504	337287	4213214.00
2025/06/12	12.454	12.556	12.399	12.505	569382	7073506.00
2025/06/13	12.500	12.668	12.455	12.563	263416	3313607.00
2025/06/16	12.613	12.799	12.563	12.749	1240525	15656448.00
2025/06/18	12.749	13.243	12.691	13.221	834640	10819418.00
2025/06/19	13.221	13.450	13.150	13.399	469526	6261856.00
2025/06/20	13.338	13.622	13.206	13.580	566096	7597949.00
2025/06/23	13.580	13.658	13.478	13.609	1163834	15824451.00
2025/06/24	13.625	13.625	13.416	13.617	1235710	16751287.00
2025/06/25	13.617	13.666	13.523	13.620	1276758	17390018.00
2025/06/26	13.620	13.689	13.557	13.580	1053105	14334134.00
2025/06/27	13.577	13.699	13.317	13.400	1174467	15896140.00
2025/06/30	13.339	13.339	13.172	13.177	333800	4403811.00
2025/07/01	13.177	13.177	13.057	13.078	123958	1627156.00
2025/07/02	13.057	13.310	13.057	13.248	249158	3292114.00
2025/07/03	13.195	13.396	13.195	13.366	363900	4830435.00
2025/07/04	13.337	13.366	13.260	13.279	990210	13205910.00
2025/07/07	13.279	13.316	13.257	13.300	252636	3358430.00
2025/07/08	13.297	13.297	13.160	13.181	319883	4218134.00
2025/07/09	13.177	13.215	13.046	13.099	241802	3178971.00
2025/07/10	13.097	13.097	12.995	13.049	225003	2936463.00
2025/07/11	13.037	13.153	12.946	13.039	188934	2450828.00
2025/07/14	13.000	13.038	13.000	13.037	171613	2231665.00
2025/07/15	13.000	13.247	13.000	13.217	134582	1772404.00
2025/07/16	13.197	13.337	13.197	13.269	402124	5333820.00
2025/07/17	13.277	13.297	13.138	13.261	310008	4108974.00
2025/07/18	13.237	13.237	13.192	13.196	63925	845104.00
2025/07/21	13.196	13.196	13.016	13.067	160740	2100999.00
2025/07/22	13.037	13.037	12.817	12.839	249801	3225475.00
2025/07/23	12.839	12.839	12.669	12.756	1057321	13425464.00
2025/07/24	12.757	12.777	12.610	12.623	868900	10970588.00
2025/07/25	12.623	12.623	12.449	12.513	545046	6806945.00
2025/07/28	12.510	12.917	12.383	12.900	400606	5025409.00
2025/07/29	12.877	12.877	12.697	12.769	169651	2172426.00
2025/07/30	12.711	12.900	12.697	12.860	147211	1888842.00
2025/07/31	12.876	12.958	12.876	12.937	254392	3284088.00
2025/08/01	12.940	13.017	12.940	13.005	468501	6090691.00
2025/08/04	13.017	13.075	12.849	12.849	320120	4166809.00
2025/08/05	12.900	13.036	12.900	13.000	861089	11200041.00
2025/08/06	12.977	13.019	12.977	13.000	694106	9024377.00
2025/08/07	13.010	13.010	12.950	12.999	686647	8903111.00
2025/08/08	12.615	12.615	12.488	12.505	150829	1894206.00
2025/08/11	12.497	12.499	12.355	12.357	198333	2471153.00
2025/08/12	12.377	12.377	12.335	12.350	123135	1519951.00
2025/08/13	12.341	12.357	12.290	12.290	436400	5371333.00
2025/08/14	12.317	12.320	12.040	12.208	1111990	13504289.00
2025/08/15	12.153	12.157	12.120	12.121	450403	5470434.00
2025/08/18	12.156	12.156	11.726	11.790	626950	7386034.00
2025/08/19	11.790	11.957	11.701	11.742	321507	3773853.00
2025/08/20	11.731	11.840	11.731	11.835	383111	4517321.00
2025/08/21	11.817	11.837	11.777	11.807	282123	3331496.00
2025/08/22	11.812	11.817	11.762	11.805	287201	3388515.00
2025/08/25	11.816	11.896	11.778	11.895	255078	3019394.00
2025/08/26	11.895	12.516	11.866	12.293	397611	4790366.00
2025/08/27	12.237	12.585	12.219	12.567	346054	4279745.00
2025/08/28	12.517	12.673	12.497	12.647	400885	5054767.00
2025/08/29	12.618	12.637	12.427	12.478	199100	2491322.00
2025/09/01	12.457	12.457	12.369	12.388	119528	1479106.00
2025/09/02	12.366	12.496	12.357	12.410	108303	1345010.00
2025/09/03	12.409	12.517	12.390	12.516	112100	1392380.00
2025/09/04	12.460	12.610	12.457	12.537	105100	1314749.00
2025/09/05	12.497	12.497	12.317	12.353	151471	1876058.00
2025/09/08	12.357	12.417	12.303	12.336	48210	594112.00
2025/09/09	12.337	12.337	12.300	12.301	114991	1415250.00
2025/09/10	12.297	12.297	12.265	12.270	35756	438939.00
2025/09/11	12.257	12.263	12.140	12.168	84988	1034169.00
2025/09/12	12.142	12.150	12.126	12.137	231403	2809116.00
2025/09/15	12.128	12.255	12.128	12.237	71123	866749.00
2025/09/16	12.257	12.310	12.219	12.257	85449	1048168.00
2025/09/17	12.257	12.285	12.219	12.250	49101	601390.00
2025/09/18	12.277	12.277	12.219	12.219	76944	940545.00
2025/09/19	12.219	12.219	12.190	12.192	114296	1393623.00
2025/09/22	12.217	12.217	12.097	12.150	96784	1172529.00
2025/09/23	12.117	12.135	12.057	12.085	54542	659045.00
2025/09/24	12.077	12.078	11.998	12.043	102351	1230620.00
2025/09/25	12.021	12.032	11.977	11.978	68069	816592.00
2025/09/26	11.997	12.057	11.997	12.020	82064	985945.00
2025/09/29	12.037	12.037	11.897	11.956	189798	2264130.00
2025/09/30	11.957	11.980	11.954	11.980	30429	364411.00
2025/10/09	11.957	11.957	11.877	11.937	35932	428013.00
2025/10/10	11.937	12.080	11.937	12.077	103800	1249983.00
2025/10/13	12.057	12.200	12.037	12.198	227617	2767013.00
2025/10/14	12.177	12.237	12.150	12.150	100749	1226183.00
2025/10/15	12.137	12.144	12.027	12.045	59000	712737.00
2025/10/16	12.057	12.077	11.950	11.950	133200	1596955.00
2025/10/17	11.950	11.956	11.874	11.956	233500	2778524.00
2025/10/20	11.957	11.977	11.955	11.959	14200	169862.00
2025/10/21	11.959	11.961	11.917	11.959	44800	535134.00
2025/10/22	11.937	11.977	11.857	11.860	131300	1562465.00
2025/10/23	11.860	11.937	11.856	11.925	63716	759033.00
2025/10/24	11.957	12.129	11.941	12.126	150400	1815081.00
2025/10/27	12.097	12.097	11.957	12.009	550815	6606897.00
2025/10/28	11.955	12.522	11.955	12.417	456186	5618881.00
2025/10/29	12.378	12.523	12.297	12.442	431201	5361744.00
2025/10/30	12.429	12.508	12.417	12.475	141102	1759289.00
2025/10/31	12.476	12.497	12.397	12.415	16300	202727.00
2025/11/03	12.416	12.455	12.402	12.408	27702	344123.00
2025/11/04	12.409	12.437	12.360	12.383	293787	3641138.00
2025/11/05	12.397	12.457	12.397	12.457	118351	1470885.00
2025/11/06	12.437	12.437	12.400	12.437	115516	1434199.00
2025/11/07	12.417	12.797	12.417	12.694	640744	8084412.00
2025/11/10	12.651	12.694	12.636	12.693	200372	2539106.00
2025/11/11	12.696	12.851	12.657	12.657	199900	2542404.00
2025/11/12	12.659	12.659	12.580	12.607	70601	890290.00
2025/11/13	12.597	12.597	12.457	12.497	93802	1175987.00
2025/11/14	12.495	12.577	12.493	12.573	119800	1505669.00
2025/11/17	12.597	12.597	12.558	12.566	44400	558344.00
2025/11/18	12.597	12.617	12.497	12.500	205083	2569197.00
2025/11/19	12.477	12.505	12.398	12.400	137402	1710678.00
2025/11/20	12.417	12.425	12.308	12.327	133800	1655886.00
2025/11/21	12.297	12.325	12.035	12.197	366159	4427059.00
2025/11/24	12.142	12.157	12.081	12.110	131104	1586407.00
2025/11/25	12.117	12.177	12.117	12.177	414303	5032586.00
2025/11/26	12.157	12.277	12.157	12.273	266309	3259873.00
2025/11/27	12.296	12.297	12.177	12.177	112833	1379248.00
2025/11/28	12.177	12.256	12.157	12.241	329800	4034432.00
2025/12/01	12.217	12.277	12.200	12.237	186291	2279921.00
2025/12/02	12.215	12.237	12.200	12.237	6000	73311.00
2025/12/03	12.237	12.247	12.137	12.185	193813	2360164.00
2025/12/04	12.157	12.197	12.017	12.103	256421	3099736.00
2025/12/05	12.077	12.097	12.011	12.097	122274	1471429.00
2025/12/08	12.058	12.097	12.030	12.051	169081	2038335.00
2025/12/09	12.037	12.156	11.998	12.020	346101	4167181.00
2025/12/10	12.000	12.177	12.000	12.109	288443	3483799.00
2025/12/11	12.110	12.230	12.110	12.228	180343	2192743.00
2025/12/12	12.197	12.357	12.188	12.350	241402	2971121.00
2025/12/15	12.317	12.317	12.183	12.242	97000	1186431.00
2025/12/16	12.245	12.245	12.177	12.215	65916	804259.00
2025/12/17	12.197	12.250	12.043	12.146	249241	3029489.00
2025/12/18	12.117	12.157	11.939	11.972	382805	4592976.00
2025/12/19	11.976	11.977	11.800	11.854	357989	4237720.00
2025/12/22	11.856	11.880	11.779	11.779	314800	3723980.00
2025/12/23	11.828	11.828	11.623	11.623	238693	2792854.00
2025/12/24	11.617	11.820	11.525	11.730	755376	8775280.00
2025/12/25	11.716	11.780	11.598	11.622	596679	6987718.00
2025/12/26	11.602	11.602	10.997	11.334	1134624	12807481.00
2025/12/29	11.278	11.278	10.978	11.037	874504	9660053.00
2025/12/30	10.987	10.996	10.880	10.910	1291400	14082262.00
2025/12/31	10.916	10.916	10.810	10.860	668680	7253737.00
2026/01/05	10.860	10.914	10.857	10.897	375823	4091838.00
2026/01/06	10.917	11.058	10.837	11.055	547593	6012713.00
2026/01/07	11.055	11.276	11.006	11.235	521606	5822578.00
2026/01/08	11.235	11.417	11.177	11.373	287617	3259694.00
2026/01/09	11.333	11.409	11.297	11.363	509540	5788089.00
2026/01/12	11.360	11.377	11.317	11.364	823507	9343354.00
2026/01/13	11.325	11.437	11.325	11.370	272452	3104924.00
2026/01/14	11.357	11.430	11.314	11.371	240892	2740086.00
2026/01/15	11.377	11.397	11.170	11.255	368532	4140739.00
2026/01/16	11.225	11.245	11.154	11.205	350225	3919242.00
2026/01/19	11.200	11.250	11.180	11.237	357816	4007719.00
2026/01/20	11.256	11.350	11.255	11.284	345100	3904265.00
2026/01/21	11.290	11.390	11.286	11.363	173942	1970265.00
2026/01/22	11.377	11.589	11.357	11.544	742990	8540093.00
2026/01/23	11.557	11.797	11.490	11.749	614632	7178459.00
2026/01/26	11.745	11.770	11.679	11.679	237000	2781850.00
2026/01/27	11.717	11.717	11.617	11.656	207516	2419199.00
2026/01/28	11.677	11.677	11.631	11.633	85711	997857.00
2026/01/29	11.630	11.638	11.598	11.637	277327	3225267.00
2026/01/30	11.640	11.706	11.553	11.600	1114700	12960799.00
2026/02/02	11.597	11.597	11.396	11.399	24500	282557.00
2026/02/03	11.449	11.497	11.377	11.495	224936	2573493.00
2026/02/04	11.487	11.625	11.487	11.546	130134	1504461.00
2026/02/05	11.546	11.546	11.478	11.519	47900	550970.00
2026/02/06	11.536	11.536	11.325	11.359	53800	613083.00
2026/02/09	11.337	11.365	11.289	11.298	53901	609226.00
2026/02/10	11.317	11.317	11.257	11.309	62203	702568.00
2026/02/11	11.300	11.417	11.300	11.376	189500	2157024.00
2026/02/12	11.376	11.401	11.370	11.396	410605	4676154.00
2026/02/13	11.417	11.417	11.360	11.362	81200	924173.00
2026/02/24	11.362	11.374	11.357	11.357	22000	250190.00
2026/02/25	11.365	11.377	11.362	11.377	106610	1211885.00
2026/02/26	11.397	11.397	11.358	11.364	191117	2173239.00
2026/02/27	11.358	11.358	11.317	11.323	114717	1300347.00
2026/03/02	11.357	11.357	11.272	11.272	122842	1387461.00
2026/03/03	11.263	11.337	11.055	11.204	806300	9042936.00
2026/03/04	11.177	11.178	11.100	11.129	185300	2060000.00
2026/03/05	11.134	11.160	11.100	11.147	74700	832502.00
2026/03/06	11.147	11.157	11.010	11.098	380240	4216465.00
2026/03/09	11.077	11.117	10.997	11.078	414618	4583679.00
2026/03/10	11.090	11.197	11.080	11.185	428700	4777636.00
2026/03/11	11.145	11.250	11.101	11.160	81500	909594.00
2026/03/12	11.157	11.176	11.132	11.132	8800	98136.00
2026/03/13	11.137	11.319	11.137	11.259	109903	1233361.00
2026/03/16	11.219	11.257	11.105	11.147	181649	2032357.00
2026/03/17	11.177	11.217	11.163	11.170	77600	866958.00
2026/03/18	11.181	11.181	11.116	11.116	357644	3986635.00
2026/03/19	11.117	11.125	11.074	11.116	497000	5518105.00
2026/03/20	11.077	11.117	10.956	10.956	768613	8485638.00
2026/03/23	10.997	10.997	10.722	10.734	879200	9554832.00
2026/03/24	10.782	10.817	10.701	10.797	307900	3316289.00
2026/04/03	10.940	10.996	10.920	10.996	379300	4154594.00
#数据来源:通达信
