508088 国泰海通东久新经 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/10/14	3.946	3.946	3.846	3.859	86593013	339241728.00
2022/10/17	3.859	3.948	3.800	3.936	9717567	37596004.00
2022/10/18	3.937	4.100	3.937	4.072	10792168	43640244.00
2022/10/19	4.072	4.150	4.030	4.069	4341653	17662228.00
2022/10/20	4.069	4.083	4.065	4.071	5862147	23867268.00
2022/10/21	4.072	4.095	4.069	4.086	5383060	21989112.00
2022/10/24	4.086	4.094	4.050	4.067	6353781	25862558.00
2022/10/25	4.061	4.066	4.000	4.035	7578198	30610554.00
2022/10/26	4.037	4.053	4.010	4.051	5143539	20728222.00
2022/10/27	4.050	4.059	4.037	4.054	3472277	14074847.00
2022/10/28	4.055	4.076	3.988	4.058	7235112	29112390.00
2022/10/31	4.058	4.058	4.006	4.051	3647676	14752018.00
2022/11/01	4.046	4.067	4.014	4.060	6477007	26167824.00
2022/11/02	4.055	4.078	4.037	4.066	4138554	16837088.00
2022/11/03	4.066	4.072	4.055	4.066	3094327	12582575.00
2022/11/04	4.066	4.088	4.062	4.082	4669976	19030524.00
2022/11/07	4.083	4.109	4.056	4.082	5598182	22896072.00
2022/11/08	4.078	4.079	4.037	4.043	4582314	18585018.00
2022/11/09	4.040	4.050	4.030	4.042	2989279	12073721.00
2022/11/10	4.046	4.093	4.004	4.011	5005097	20169532.00
2022/11/11	4.011	4.068	4.005	4.016	4913054	19824458.00
2022/11/14	4.017	4.065	4.001	4.006	4032208	16224840.00
2022/11/15	4.009	4.052	3.980	4.015	1916387	7693548.00
2022/11/16	4.018	4.050	4.000	4.005	2828248	11349234.00
2022/11/17	4.004	4.013	3.931	3.992	6190243	24645972.00
2022/11/18	3.986	4.005	3.974	3.986	3954979	15765005.00
2022/11/21	3.982	4.059	3.975	4.052	2760959	11113542.00
2022/11/22	3.994	4.088	3.994	4.034	3092298	12473477.00
2022/11/23	4.030	4.072	4.018	4.039	4172161	16856708.00
2022/11/24	4.039	4.073	4.012	4.030	4333873	17475990.00
2022/11/25	4.023	4.068	4.001	4.035	3428425	13856397.00
2022/11/28	4.034	4.048	3.992	4.040	3598895	14499346.00
2022/11/29	4.039	4.048	4.003	4.043	4201977	16947826.00
2022/11/30	4.042	4.055	4.009	4.038	2814450	11373168.00
2022/12/01	4.038	4.066	4.018	4.049	3499436	14161183.00
2022/12/02	4.049	4.097	4.011	4.061	3350978	13583636.00
2022/12/05	4.064	4.080	4.033	4.069	2315254	9412170.00
2022/12/06	4.069	4.088	4.014	4.059	6565341	26649716.00
2022/12/07	4.057	4.059	4.030	4.030	2854259	11531625.00
2022/12/08	4.030	4.069	4.030	4.049	2533752	10261149.00
2022/12/09	4.046	4.076	4.027	4.029	3593347	14524152.00
2022/12/12	4.028	4.032	3.989	3.998	3758384	15060745.00
2022/12/13	3.998	3.998	3.975	3.977	4848231	19296328.00
2022/12/14	3.977	3.985	3.969	3.979	4641104	18461568.00
2022/12/15	3.980	3.989	3.962	3.973	4251658	16922300.00
2022/12/16	3.973	3.988	3.967	3.979	2857202	11359997.00
2022/12/19	3.979	3.997	3.962	3.969	5336754	21208606.00
2022/12/20	3.964	4.046	3.860	3.884	7583701	29684842.00
2022/12/21	3.877	3.910	3.860	3.869	3691199	14296144.00
2022/12/22	3.869	3.885	3.865	3.880	3046033	11812202.00
2022/12/23	3.882	3.955	3.875	3.955	3919967	15323542.00
2022/12/26	3.954	3.975	3.935	3.948	2313783	9149877.00
2022/12/27	3.947	3.988	3.869	3.940	5867269	23245128.00
2022/12/28	3.951	3.986	3.850	3.850	2805771	11008200.00
2022/12/29	3.888	3.888	3.846	3.852	3095207	11930223.00
2022/12/30	3.852	3.918	3.800	3.850	3862321	14783448.00
2023/01/03	3.850	3.853	3.811	3.827	2429508	9305648.00
2023/01/04	3.845	3.845	3.670	3.757	5991967	22663982.00
2023/01/05	3.844	3.844	3.591	3.640	12813423	46638664.00
2023/01/06	3.627	3.748	3.572	3.745	9245351	33534950.00
2023/01/09	3.790	3.790	3.641	3.746	5407666	20078492.00
2023/01/10	3.726	3.806	3.715	3.801	8547256	32230166.00
2023/01/11	3.798	3.884	3.771	3.819	8169561	31246396.00
2023/01/12	3.809	3.842	3.783	3.817	2734076	10432521.00
2023/01/13	3.823	3.823	3.769	3.810	4095908	15580104.00
2023/01/16	3.810	3.836	3.778	3.829	3306887	12615267.00
2023/01/17	3.820	3.865	3.770	3.831	3278617	12530430.00
2023/01/18	3.821	3.890	3.812	3.844	3949292	15165691.00
2023/01/19	3.844	3.879	3.788	3.866	5859634	22590338.00
2023/01/20	3.866	3.891	3.825	3.880	5889172	22826212.00
