508089 华夏特变电工新能 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/07/02	4.462	4.818	4.462	4.744	19507937	89720504.00
2024/07/03	4.740	4.815	4.602	4.744	2288014	10824013.00
2024/07/04	4.700	4.739	4.700	4.721	1861474	8789132.00
2024/07/05	4.677	4.677	4.607	4.660	8111117	37611984.00
2024/07/08	4.651	4.705	4.638	4.705	4029420	18865844.00
2024/07/09	4.665	4.706	4.663	4.668	2635785	12361798.00
2024/07/10	4.618	4.699	4.618	4.687	2767549	12945109.00
2024/07/11	4.683	4.691	4.642	4.661	1934595	9029215.00
2024/07/12	4.625	4.658	4.624	4.647	2223391	10319255.00
2024/07/15	4.646	4.696	4.624	4.680	2612608	12184101.00
2024/07/16	4.680	4.720	4.666	4.701	2278029	10704867.00
2024/07/17	4.729	4.729	4.700	4.704	1553395	7312128.00
2024/07/18	4.738	4.738	4.670	4.686	2034435	9548836.00
2024/07/19	4.686	4.706	4.668	4.704	1766160	8292309.00
2024/07/22	4.704	4.720	4.702	4.717	1933531	9106710.00
2024/07/23	4.717	4.717	4.697	4.708	2800093	13183757.00
2024/07/24	4.677	4.708	4.677	4.695	1439636	6765408.00
2024/07/25	4.697	4.704	4.685	4.702	2331618	10957210.00
2024/07/26	4.704	4.706	4.667	4.706	2255623	10601365.00
2024/07/29	4.704	4.738	4.691	4.705	2136475	10047587.00
2024/07/30	4.725	4.729	4.702	4.705	1955221	9203927.00
2024/07/31	4.700	4.706	4.689	4.693	1295720	6090740.00
2024/08/01	4.703	4.709	4.681	4.709	868032	4074376.00
2024/08/02	4.728	4.728	4.695	4.703	1633578	7690698.00
2024/08/05	4.710	4.794	4.677	4.777	1316330	6236260.00
2024/08/06	4.748	4.881	4.748	4.845	1258303	6024821.00
2024/08/07	4.877	4.980	4.861	4.878	2971156	14653589.00
2024/08/08	4.928	4.980	4.820	4.839	1139143	5563205.00
2024/08/09	4.839	4.840	4.810	4.823	1153115	5560050.00
