508090 中银中外运仓储物 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2025/07/29	4.000	4.087	3.925	3.929	44586707	177650944.00
2025/07/30	3.914	4.022	3.878	3.966	16930223	66574476.00
2025/07/31	3.951	4.070	3.951	4.061	10383513	41731328.00
2025/08/01	4.052	4.063	4.021	4.050	3341953	13498633.00
2025/08/04	4.040	4.063	4.023	4.047	7084698	28675410.00
2025/08/05	4.027	4.080	4.022	4.064	3827471	15520793.00
2025/08/06	4.064	4.080	4.045	4.070	2888150	11740289.00
2025/08/07	4.067	4.117	4.046	4.113	4528164	18515156.00
2025/08/08	4.120	4.128	4.080	4.116	1612846	6633378.00
2025/08/11	4.128	4.129	4.090	4.110	1823017	7492899.00
2025/08/12	4.099	4.130	4.090	4.111	985618	4052842.00
2025/08/13	4.100	4.149	4.074	4.129	1909746	7843444.00
2025/08/14	4.125	4.146	4.092	4.131	627406	2588986.00
2025/08/15	4.115	4.146	4.100	4.100	1192355	4909211.00
2025/08/18	4.098	4.098	4.005	4.010	2164120	8703586.00
2025/08/19	4.010	4.064	3.931	4.047	1961008	7806064.00
2025/08/20	4.025	4.139	4.025	4.043	1691821	6928391.00
2025/08/21	4.011	4.128	4.011	4.070	852425	3469348.00
2025/08/22	4.079	4.085	4.050	4.067	223630	909649.00
2025/08/25	4.051	4.115	4.036	4.112	1193178	4887878.00
2025/08/26	4.116	4.138	4.087	4.125	854741	3526957.00
2025/08/27	4.103	4.130	4.100	4.116	210474	864501.00
2025/08/28	4.130	4.130	4.097	4.104	657521	2698899.00
2025/08/29	4.079	4.103	4.075	4.091	619928	2536166.00
2025/09/01	4.075	4.139	4.075	4.082	554914	2265056.00
2025/09/02	4.075	4.130	4.075	4.121	836413	3442846.00
2025/09/03	4.081	4.146	4.081	4.140	706174	2909647.00
2025/09/04	4.118	4.153	4.116	4.144	436268	1808145.00
2025/09/05	4.145	4.176	4.100	4.100	256612	1057176.00
2025/09/08	4.082	4.123	4.075	4.116	769167	3156703.00
2025/09/09	4.116	4.118	4.081	4.117	457150	1880696.00
2025/09/10	4.092	4.104	4.090	4.104	444116	1820145.00
2025/09/11	4.088	4.125	4.088	4.119	351692	1444667.00
2025/09/12	4.102	4.143	4.094	4.143	231084	952859.00
2025/09/15	4.143	4.147	4.125	4.145	145518	602696.00
2025/09/16	4.147	4.147	4.106	4.106	208877	860328.00
2025/09/17	4.106	4.118	4.099	4.118	206393	848566.00
2025/09/18	4.100	4.150	4.100	4.140	249305	1027712.00
2025/09/19	4.115	4.149	4.110	4.136	741252	3066084.00
2025/09/22	4.136	4.136	4.099	4.120	251490	1039042.00
2025/09/23	4.100	4.144	4.100	4.123	383547	1580482.00
2025/09/24	4.115	4.128	4.099	4.124	1281869	5275355.00
2025/09/25	4.122	4.145	4.122	4.132	389729	1609832.00
2025/09/26	4.145	4.147	4.131	4.134	201744	833814.00
2025/09/29	4.138	4.147	4.094	4.132	750062	3089184.00
2025/09/30	4.132	4.141	4.108	4.137	414710	1712611.00
2025/10/09	4.112	4.137	4.099	4.110	206216	847458.00
2025/10/10	4.085	4.118	4.080	4.110	124021	509750.00
2025/10/13	4.113	4.137	4.098	4.129	476592	1963075.00
2025/10/14	4.107	4.120	4.103	4.108	130859	537549.00
2025/10/15	4.083	4.119	4.083	4.087	212553	870560.00
2025/10/16	4.087	4.087	4.044	4.086	766177	3125274.00
2025/10/17	4.094	4.120	4.046	4.047	316409	1287314.00
2025/10/20	4.071	4.111	4.000	4.001	577832	2321610.00
2025/10/21	3.988	3.989	3.964	3.964	494093	1964489.00
2025/10/22	3.964	3.980	3.949	3.964	673947	2670744.00
2025/10/23	3.978	3.998	3.953	3.998	295721	1175511.00
2025/10/24	3.998	4.045	3.998	4.039	213879	858597.00
2025/10/27	4.026	4.039	3.991	4.014	248936	998777.00
2025/10/28	4.020	4.082	4.020	4.079	1387966	5648660.00
2025/10/29	4.079	4.135	4.079	4.118	1258680	5160882.00
2025/10/30	4.109	4.135	4.108	4.118	428626	1767715.00
2025/10/31	4.093	4.117	4.068	4.068	258501	1056224.00
2025/11/03	4.092	4.130	4.067	4.085	650764	2650455.00
2025/11/04	4.060	4.128	4.052	4.053	939880	3831259.00
2025/11/05	4.029	4.129	4.029	4.054	792473	3221785.00
2025/11/06	4.054	4.078	4.039	4.064	274039	1111853.00
2025/11/07	4.048	4.088	4.028	4.074	385353	1567547.00
2025/11/10	4.074	4.100	4.067	4.085	363285	1486889.00
2025/11/11	4.090	4.120	4.089	4.118	283047	1159812.00
2025/11/12	4.093	4.160	4.093	4.158	391171	1621664.00
2025/11/13	4.162	4.162	4.122	4.140	82100	340027.00
2025/11/14	4.145	4.148	4.124	4.146	95456	395223.00
2025/11/17	4.121	4.176	4.120	4.122	109429	452670.00
2025/11/18	4.108	4.192	4.102	4.172	409352	1704883.00
2025/11/19	4.173	4.206	4.163	4.172	344034	1438268.00
2025/11/20	4.173	4.216	4.146	4.151	114960	478816.00
2025/11/21	4.146	4.248	4.100	4.137	903334	3765033.00
2025/11/24	4.137	4.219	4.108	4.108	405073	1677636.00
2025/11/25	4.105	4.179	4.080	4.115	380059	1565065.00
2025/11/26	4.090	4.200	4.081	4.200	552386	2284509.00
2025/11/27	4.201	4.226	4.180	4.203	308289	1294734.00
2025/11/28	4.203	4.230	4.179	4.215	752100	3160213.00
2025/12/01	4.216	4.338	4.183	4.205	748618	3184329.00
2025/12/02	4.206	4.271	4.186	4.189	393473	1656660.00
2025/12/03	4.190	4.268	4.180	4.185	480606	2011236.00
2025/12/04	4.190	4.220	4.175	4.197	100138	419874.00
2025/12/05	4.198	4.210	4.180	4.190	63808	267393.00
2025/12/08	4.171	4.190	4.150	4.150	303108	1263984.00
2025/12/09	4.139	4.189	4.068	4.131	462093	1909135.00
2025/12/10	4.105	4.200	4.093	4.181	544258	2266158.00
2025/12/11	4.182	4.229	4.164	4.182	306470	1284233.00
2025/12/12	4.183	4.255	4.160	4.227	609756	2572314.00
2025/12/15	4.208	4.336	4.161	4.180	430344	1819085.00
2025/12/16	4.182	4.200	4.130	4.161	478511	1996003.00
2025/12/17	4.162	4.183	4.155	4.155	160953	671500.00
2025/12/18	4.136	4.151	4.110	4.110	255002	1051324.00
2025/12/19	4.092	4.114	4.069	4.104	371597	1517220.00
2025/12/22	4.104	4.138	4.062	4.067	294685	1205095.00
2025/12/23	4.129	4.130	3.969	4.020	739255	2982442.00
2025/12/24	3.981	4.125	3.981	4.110	821423	3341913.00
2025/12/25	4.071	4.192	4.070	4.154	557905	2320087.00
2025/12/26	4.129	4.165	4.129	4.152	187037	777493.00
2025/12/29	4.129	4.160	4.129	4.130	346852	1437354.00
2025/12/30	4.161	4.161	4.121	4.131	119519	493768.00
2025/12/31	4.111	4.175	4.111	4.149	247266	1025485.00
2026/01/05	4.149	4.218	4.112	4.195	456146	1905446.00
2026/01/06	4.156	4.252	4.156	4.217	747677	3154146.00
2026/01/07	4.217	4.250	4.217	4.247	268468	1136061.00
2026/01/08	4.253	4.299	4.210	4.254	797125	3391835.00
2026/01/09	4.251	4.278	4.210	4.233	918075	3898035.00
2026/01/12	4.233	4.299	4.181	4.203	368771	1559500.00
2026/01/13	4.171	4.248	4.171	4.196	605718	2541677.00
2026/01/14	4.195	4.244	4.190	4.201	441640	1860779.00
2026/01/15	4.228	4.263	4.157	4.210	546601	2293982.00
2026/01/16	4.210	4.235	4.170	4.199	179786	754494.00
2026/01/19	4.210	4.230	4.168	4.220	673809	2835870.00
2026/01/20	4.195	4.270	4.195	4.240	990611	4211564.00
2026/01/21	4.215	4.350	4.215	4.283	1975618	8492590.00
2026/01/22	4.280	4.400	4.267	4.378	907995	3970642.00
2026/01/23	4.352	4.430	4.342	4.398	750583	3303043.00
2026/01/26	4.372	4.430	4.333	4.380	389361	1706783.00
2026/01/27	4.380	4.380	4.310	4.330	501889	2177031.00
2026/01/28	4.343	4.352	4.315	4.322	94100	408204.00
2026/01/29	4.322	4.362	4.313	4.335	274161	1189635.00
2026/01/30	4.361	4.374	4.269	4.280	1068701	4599532.00
2026/02/02	4.256	4.267	4.235	4.247	302936	1287915.00
2026/02/03	4.247	4.306	4.239	4.251	309987	1318420.00
2026/02/04	4.270	4.270	4.186	4.230	1802069	7613063.00
2026/02/05	4.226	4.280	4.222	4.279	967605	4110724.00
2026/02/06	4.253	4.305	4.253	4.305	410957	1757050.00
2026/02/09	4.306	4.356	4.278	4.345	99206	426058.00
2026/02/10	4.326	4.380	4.326	4.379	899376	3907817.00
2026/02/11	4.405	4.430	4.347	4.424	1200821	5264280.00
2026/02/12	4.479	4.479	4.387	4.438	573082	2530271.00
2026/02/13	4.420	4.449	4.399	4.439	46616	206202.00
2026/02/24	4.429	4.429	4.390	4.400	253747	1117995.00
2026/02/25	4.377	4.440	4.363	4.402	371409	1631357.00
2026/02/26	4.365	4.407	4.365	4.406	311016	1360299.00
2026/02/27	4.405	4.406	4.366	4.381	432134	1896365.00
2026/03/02	4.364	4.365	4.330	4.331	250100	1088269.00
2026/03/03	4.320	4.356	4.320	4.340	289650	1254949.00
2026/03/04	4.328	4.350	4.310	4.310	166721	722060.00
2026/03/05	4.320	4.370	4.260	4.270	1658898	7108734.00
2026/03/06	4.270	4.295	4.264	4.265	719453	3076670.00
2026/03/09	4.265	4.277	4.246	4.275	416953	1777619.00
2026/03/10	4.275	4.360	4.275	4.320	1275074	5521383.00
2026/03/11	4.250	4.281	4.202	4.228	533956	2261090.00
