508091 华夏凯德商业REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2025/09/29	6.840	6.840	6.383	6.440	65417656	429094656.00
2025/09/30	6.377	6.470	6.352	6.418	12427370	79717200.00
2025/10/09	6.417	6.417	6.355	6.392	10838270	69113504.00
2025/10/10	6.380	6.406	6.356	6.398	5165044	33005132.00
2025/10/13	6.372	6.453	6.371	6.432	3871463	24830244.00
2025/10/14	6.412	6.440	6.401	6.420	1962859	12606252.00
2025/10/15	6.408	6.420	6.382	6.401	1634019	10465682.00
2025/10/16	6.401	6.411	6.376	6.402	5063144	32402630.00
2025/10/17	6.403	6.410	6.385	6.410	2956222	18919460.00
2025/10/20	6.414	6.414	6.388	6.391	2278259	14564201.00
2025/10/21	6.396	6.396	6.349	6.356	1370121	8713653.00
2025/10/22	6.355	6.383	6.340	6.369	1844128	11712641.00
2025/10/23	6.369	6.414	6.352	6.401	1844308	11795792.00
2025/10/24	6.401	6.454	6.381	6.439	2151384	13813083.00
2025/10/27	6.426	6.438	6.400	6.435	2117657	13567250.00
2025/10/28	6.436	6.509	6.410	6.500	3698411	23920348.00
2025/10/29	6.500	6.588	6.480	6.587	3977058	26018844.00
2025/10/30	6.585	6.588	6.539	6.567	2380406	15626514.00
2025/10/31	6.546	6.591	6.490	6.562	2944129	19299412.00
2025/11/03	6.532	6.609	6.524	6.606	2032773	13364369.00
2025/11/04	6.578	6.581	6.560	6.574	742886	4880843.00
2025/11/05	6.574	6.584	6.500	6.575	1942941	12714442.00
2025/11/06	6.575	6.575	6.535	6.555	350050	2294364.00
2025/11/07	6.531	6.587	6.531	6.584	520912	3425824.00
2025/11/10	6.580	6.614	6.545	6.596	478421	3150303.00
2025/11/11	6.596	6.613	6.569	6.608	493706	3262268.00
2025/11/12	6.581	6.633	6.581	6.632	445296	2946298.00
2025/11/13	6.623	6.658	6.607	6.646	572414	3801081.00
2025/11/14	6.646	6.675	6.631	6.660	621429	4139336.00
2025/11/17	6.676	6.685	6.650	6.660	1197049	7984685.00
2025/11/18	6.656	6.680	6.631	6.654	1055654	7031536.00
2025/11/19	6.649	6.660	6.630	6.650	1202455	7989212.00
2025/11/20	6.621	6.650	6.618	6.643	612135	4063351.00
2025/11/21	6.613	6.651	6.613	6.642	399115	2645235.00
2025/11/24	6.602	6.638	6.575	6.636	298402	1973882.00
2025/11/25	6.629	6.660	6.607	6.654	431033	2860952.00
2025/11/26	6.616	6.675	6.616	6.658	255976	1706215.00
2025/11/27	6.630	6.665	6.608	6.650	1135478	7528469.00
2025/11/28	6.656	6.656	6.621	6.650	295222	1962244.00
2025/12/01	6.663	6.678	6.621	6.660	161114	1071522.00
2025/12/02	6.659	6.660	6.639	6.659	77412	515230.00
2025/12/03	6.631	6.665	6.631	6.640	435424	2898865.00
2025/12/04	6.610	6.660	6.594	6.625	224175	1481667.00
2025/12/05	6.633	6.633	6.533	6.605	728919	4810283.00
2025/12/08	6.580	6.580	6.564	6.572	520479	3419446.00
2025/12/09	6.567	6.619	6.550	6.569	591770	3893953.00
2025/12/10	6.530	6.592	6.530	6.590	493331	3235840.00
2025/12/11	6.589	6.590	6.561	6.587	311218	2047577.00
2025/12/12	6.585	6.629	6.569	6.616	487336	3225029.00
2025/12/15	6.593	6.616	6.585	6.609	97552	643816.00
2025/12/16	6.579	6.622	6.530	6.549	343001	2244344.00
2025/12/17	6.520	6.548	6.496	6.509	492161	3210606.00
2025/12/18	6.505	6.505	6.437	6.499	216326	1400657.00
2025/12/19	6.469	6.512	6.452	6.502	115554	749988.00
2025/12/22	6.498	6.514	6.474	6.510	66078	429747.00
2025/12/23	6.470	6.494	6.398	6.424	763414	4904039.00
2025/12/24	6.400	6.587	6.398	6.572	815393	5332179.00
2025/12/25	6.576	6.661	6.576	6.596	769297	5092109.00
2025/12/26	6.596	6.650	6.555	6.593	569171	3747370.00
2025/12/29	6.555	6.595	6.545	6.564	141190	927079.00
2025/12/30	6.563	6.579	6.503	6.544	271280	1774871.00
2025/12/31	6.504	6.545	6.490	6.525	551162	3587887.00
2026/01/05	6.485	6.604	6.483	6.571	243849	1602174.00
2026/01/06	6.531	6.682	6.500	6.636	2523007	16773288.00
2026/01/07	6.635	6.740	6.609	6.635	2121547	14191806.00
2026/01/08	6.601	6.726	6.601	6.709	1471573	9803068.00
2026/01/09	6.723	6.723	6.680	6.693	1740120	11654390.00
2026/01/12	6.662	6.703	6.653	6.703	161934	1083052.00
2026/01/13	6.702	6.727	6.677	6.682	699027	4675453.00
