508092 华夏金隅智造工场 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2025/02/26	3.691	3.691	3.691	3.691	1109184	4093998.00
2025/02/27	3.322	3.890	3.322	3.684	16052836	58107864.00
2025/02/28	3.401	3.701	3.401	3.686	7037079	25770380.00
2025/03/03	3.650	3.688	3.612	3.676	8181904	29961068.00
2025/03/04	3.637	3.721	3.636	3.718	7839690	28841780.00
2025/03/05	3.700	3.821	3.700	3.815	1757182	6589926.00
2025/03/06	3.815	3.915	3.800	3.890	3727526	14390311.00
2025/03/07	3.887	4.000	3.860	3.974	4073057	15894884.00
2025/03/10	3.955	4.010	3.955	4.008	1900610	7598577.00
2025/03/11	4.010	4.020	3.970	4.003	3517331	14021852.00
2025/03/12	4.010	4.010	3.963	3.991	1773546	7080301.00
2025/03/13	3.989	3.989	3.931	3.975	1873167	7421136.00
2025/03/14	3.970	4.000	3.940	3.990	2642853	10492844.00
2025/03/17	4.000	4.000	3.960	3.981	914969	3642696.00
2025/03/18	3.968	4.000	3.935	3.985	1695653	6732377.00
2025/03/19	3.984	3.998	3.949	3.995	2289415	9101334.00
2025/03/20	3.980	4.069	3.980	4.033	1701488	6824399.00
2025/03/21	4.033	4.060	3.995	4.043	833169	3345635.00
2025/03/24	4.037	4.049	4.028	4.040	417177	1684195.00
2025/03/25	4.023	4.068	4.023	4.064	891474	3614287.00
2025/03/26	4.044	4.123	4.044	4.115	564185	2306467.00
2025/03/27	4.115	4.156	4.105	4.147	821166	3380982.00
2025/03/28	4.150	4.312	4.132	4.277	1196897	4995985.00
2025/03/31	4.265	4.276	4.206	4.259	1034969	4394347.00
2025/04/01	4.258	4.268	4.128	4.177	650249	2711346.00
2025/04/02	4.170	4.207	4.114	4.192	1722848	7214287.00
2025/04/03	4.155	4.221	4.155	4.219	379230	1595553.00
2025/04/07	4.224	4.258	4.011	4.146	1869658	7758075.00
2025/04/08	4.138	4.165	4.106	4.146	562930	2321512.00
2025/04/09	4.107	4.139	4.050	4.119	285239	1170375.00
2025/04/10	4.079	4.160	4.079	4.145	1151467	4744512.00
2025/04/11	4.124	4.200	4.111	4.164	608180	2533861.00
2025/04/14	4.164	4.183	4.155	4.168	93160	388096.00
2025/04/15	4.147	4.200	4.147	4.167	494022	2059608.00
2025/04/16	4.155	4.210	4.155	4.204	236582	992478.00
2025/04/17	4.187	4.291	4.187	4.285	620804	2639116.00
2025/04/18	4.280	4.310	4.181	4.202	1477636	6268082.00
2025/04/21	4.200	4.200	4.135	4.182	460666	1915359.00
2025/04/22	4.180	4.196	4.151	4.188	546618	2281456.00
2025/04/23	4.188	4.228	4.180	4.223	363276	1533323.00
2025/04/24	4.240	4.240	4.194	4.229	141929	598192.00
2025/04/25	4.213	4.240	4.190	4.193	138183	581969.00
2025/04/28	4.193	4.193	4.146	4.183	510051	2122806.00
2025/04/29	4.186	4.186	4.146	4.169	156096	650936.00
2025/04/30	4.169	4.258	4.160	4.254	215776	905166.00
2025/05/06	4.240	4.320	4.215	4.318	452749	1922530.00
2025/05/07	4.318	4.362	4.281	4.358	603142	2611304.00
2025/05/08	4.359	4.399	4.288	4.362	1535461	6688346.00
2025/05/09	4.345	4.388	4.321	4.361	630000	2739369.00
2025/05/12	4.344	4.431	4.334	4.413	1241129	5422107.00
2025/05/13	4.395	4.486	4.388	4.473	1058322	4701133.00
2025/05/14	4.473	4.522	4.444	4.522	1416055	6342807.00
2025/05/15	4.504	4.578	4.486	4.532	802759	3649195.00
2025/05/16	4.550	4.587	4.533	4.563	1928834	8787631.00
2025/05/19	4.581	4.604	4.565	4.600	638885	2936199.00
2025/05/20	4.610	4.738	4.600	4.691	541065	2524597.00
2025/05/21	4.691	4.782	4.691	4.748	897308	4267183.00
2025/05/22	4.748	4.768	4.712	4.735	1233242	5835114.00
2025/05/23	4.716	4.787	4.716	4.760	814227	3876582.00
2025/05/26	4.741	4.833	4.681	4.698	551852	2620638.00
2025/05/27	4.686	4.721	4.575	4.656	1599464	7419795.00
2025/05/28	4.637	4.706	4.605	4.688	1980949	9181385.00
2025/05/29	4.688	4.768	4.642	4.730	2225379	10418766.00
2025/05/30	4.711	4.776	4.674	4.761	1306870	6169846.00
2025/06/03	4.761	4.797	4.695	4.783	915580	4329631.00
2025/06/04	4.782	4.793	4.741	4.771	1134305	5402934.00
2025/06/05	4.771	4.793	4.689	4.776	1761113	8332350.00
2025/06/06	4.757	4.776	4.672	4.710	1722725	8113195.00
2025/06/09	4.708	4.709	4.640	4.696	882401	4110526.00
2025/06/10	4.677	4.734	4.639	4.693	2134035	10003937.00
2025/06/11	4.693	4.749	4.670	4.695	1048168	4923210.00
2025/06/12	4.676	4.700	4.666	4.696	581096	2719824.00
2025/06/13	4.698	4.709	4.656	4.690	856700	4017286.00
2025/06/16	4.700	4.716	4.664	4.692	1135989	5318575.00
2025/06/17	4.700	4.700	4.681	4.694	358225	1680863.00
2025/06/18	4.680	4.694	4.660	4.693	547477	2564690.00
2025/06/19	4.700	4.764	4.673	4.698	1137148	5351024.00
2025/06/20	4.698	4.712	4.666	4.705	536646	2519405.00
2025/06/23	4.704	4.713	4.684	4.707	337280	1584730.00
2025/06/24	4.713	4.713	4.660	4.671	961363	4493531.00
2025/06/25	4.673	4.673	4.613	4.658	2052371	9522557.00
2025/06/26	4.652	4.656	4.571	4.628	1802811	8307832.00
2025/06/27	4.633	4.633	4.575	4.598	1104602	5067292.00
2025/06/30	4.593	4.628	4.558	4.605	541774	2485407.00
2025/07/01	4.605	4.668	4.519	4.655	2961585	13481395.00
2025/07/02	4.596	4.650	4.594	4.647	889249	4104808.00
2025/07/03	4.628	4.628	4.598	4.604	1430996	6592187.00
2025/07/04	4.598	4.640	4.582	4.628	1238378	5715790.00
2025/07/07	4.617	4.661	4.602	4.659	416651	1933445.00
2025/07/08	4.672	4.672	4.561	4.565	544094	2514256.00
2025/07/09	4.566	4.610	4.493	4.545	1301601	5921778.00
2025/07/10	4.553	4.553	4.492	4.493	1242169	5614942.00
2025/07/11	4.493	4.493	4.420	4.445	1058609	4714988.00
2025/07/14	4.433	4.457	4.359	4.420	1578973	6939841.00
2025/07/15	4.393	4.447	4.363	4.416	1761572	7782334.00
2025/07/16	4.419	4.460	4.410	4.451	1389364	6163318.00
2025/07/17	4.450	4.485	4.415	4.420	1560110	6911416.00
2025/07/18	4.433	4.438	4.341	4.366	1274062	5599484.00
2025/07/21	4.353	4.353	4.276	4.303	2707930	11640256.00
2025/07/22	4.299	4.299	4.250	4.278	2543281	10841786.00
2025/07/23	4.278	4.317	4.164	4.301	2836634	11944733.00
2025/07/24	4.293	4.353	4.239	4.324	2630558	11269662.00
2025/07/25	4.333	4.342	4.281	4.303	2448265	10545993.00
2025/07/28	4.287	4.409	4.268	4.324	1366632	5898234.00
2025/07/29	4.315	4.341	4.291	4.318	1499575	6479108.00
2025/07/30	4.318	4.410	4.300	4.389	1813929	7858552.00
2025/07/31	4.389	4.479	4.371	4.475	1189754	5293874.00
2025/08/01	4.485	4.509	4.450	4.456	212600	951929.00
2025/08/04	4.474	4.489	4.404	4.418	1523050	6766397.00
2025/08/05	4.400	4.469	4.385	4.402	406220	1790768.00
2025/08/06	4.410	4.459	4.363	4.427	1091750	4849983.00
2025/08/07	4.440	4.488	4.387	4.421	489106	2171425.00
2025/08/08	4.403	4.488	4.382	4.415	374736	1665777.00
2025/08/11	4.415	4.436	4.390	4.406	265926	1171500.00
2025/08/12	4.419	4.424	4.369	4.410	725478	3183818.00
2025/08/13	4.392	4.449	4.378	4.422	835946	3697495.00
2025/08/14	4.439	4.488	4.404	4.442	968722	4310101.00
2025/08/15	4.425	4.486	4.405	4.411	1087668	4823366.00
2025/08/18	4.393	4.393	4.267	4.279	500635	2151362.00
2025/08/19	4.253	4.330	4.179	4.220	3414308	14363229.00
2025/08/20	4.195	4.327	4.183	4.235	3332433	14238368.00
2025/08/21	4.235	4.265	4.193	4.235	2044543	8604784.00
2025/08/22	4.235	4.271	4.201	4.212	1100965	4669501.00
2025/08/25	4.204	4.238	4.179	4.213	1056093	4436346.00
2025/08/26	4.213	4.340	4.190	4.331	1231911	5302172.00
2025/08/27	4.347	4.450	4.306	4.406	1278743	5624480.00
2025/08/28	4.425	4.440	4.362	4.363	742401	3265542.00
2025/08/29	4.348	4.395	4.288	4.301	1165996	5051136.00
2025/09/01	4.299	4.333	4.263	4.288	252834	1082899.00
2025/09/02	4.279	4.390	4.279	4.374	1616206	7035818.00
2025/09/03	4.362	4.447	4.362	4.431	1539712	6827933.00
2025/09/04	4.449	4.479	4.412	4.435	2000973	8871053.00
2025/09/05	4.448	4.463	4.411	4.428	1962205	8705937.00
2025/09/08	4.390	4.390	4.273	4.277	299301	1281727.00
2025/09/09	4.251	4.370	4.240	4.328	456563	1955966.00
2025/09/10	4.328	4.361	4.295	4.350	432515	1875119.00
2025/09/11	4.310	4.325	4.295	4.312	164018	707592.00
2025/09/12	4.312	4.312	4.286	4.289	301318	1293245.00
2025/09/15	4.282	4.320	4.282	4.290	470800	2022611.00
2025/09/16	4.273	4.300	4.273	4.292	55400	237489.00
2025/09/17	4.299	4.299	4.273	4.286	91223	390346.00
2025/09/18	4.312	4.375	4.246	4.254	194783	840350.00
2025/09/19	4.254	4.316	4.169	4.245	1114960	4706184.00
2025/09/22	4.245	4.250	4.173	4.220	1266265	5367052.00
2025/09/23	4.195	4.250	4.181	4.239	597213	2514547.00
2025/09/24	4.217	4.268	4.217	4.220	55700	235508.00
2025/09/25	4.220	4.235	4.180	4.189	379800	1601564.00
2025/09/26	4.199	4.200	4.168	4.187	673100	2811139.00
2025/09/29	4.162	4.186	4.150	4.152	168624	703181.00
2025/09/30	4.170	4.177	4.131	4.160	1031743	4284497.00
2025/10/09	4.135	4.240	4.119	4.169	652902	2734048.00
2025/10/10	4.144	4.240	4.130	4.203	940451	3933487.00
2025/10/13	4.188	4.248	4.188	4.216	549324	2323113.00
2025/10/14	4.206	4.216	4.178	4.180	802100	3369047.00
2025/10/15	4.205	4.205	4.173	4.174	654500	2735329.00
2025/10/16	4.174	4.174	4.153	4.156	815324	3399322.00
2025/10/17	4.131	4.160	4.127	4.135	921602	3823726.00
2025/10/20	4.160	4.251	4.071	4.131	1173354	4820466.00
2025/10/21	4.124	4.214	4.015	4.074	936852	3814012.00
2025/10/22	4.050	4.120	3.999	4.118	940615	3802202.00
2025/10/23	4.093	4.199	4.067	4.137	835908	3439831.00
2025/10/24	4.112	4.199	4.112	4.186	765003	3192935.00
2025/10/27	4.186	4.210	4.140	4.187	502301	2100408.00
2025/10/28	4.189	4.318	4.176	4.299	1900108	8094412.00
2025/10/29	4.316	4.377	4.279	4.291	831679	3587068.00
2025/10/30	4.297	4.363	4.297	4.299	668486	2877144.00
2025/10/31	4.290	4.300	4.226	4.236	146900	627882.00
2025/11/03	4.221	4.277	4.194	4.217	399600	1686788.00
2025/11/04	4.236	4.236	4.122	4.155	724558	3022922.00
2025/11/05	4.145	4.196	4.140	4.153	293212	1226865.00
2025/11/06	4.153	4.170	4.137	4.142	200003	828725.00
2025/11/07	4.167	4.169	4.103	4.164	449244	1857884.00
2025/11/10	4.152	4.178	4.144	4.148	354000	1472915.00
2025/11/11	4.149	4.234	4.139	4.169	970101	4039005.00
2025/11/12	4.144	4.170	4.144	4.163	490700	2040802.00
2025/11/13	4.165	4.238	4.156	4.160	771724	3215088.00
2025/11/14	4.161	4.230	4.161	4.230	1191804	5008051.00
2025/11/17	4.230	4.314	4.176	4.203	1426701	6018763.00
2025/11/18	4.204	4.285	4.161	4.230	826672	3494333.00
2025/11/19	4.205	4.273	4.205	4.241	851701	3610122.00
2025/11/20	4.242	4.367	4.201	4.243	623800	2643403.00
2025/11/21	4.217	4.275	4.195	4.211	1091969	4616640.00
2025/11/24	4.190	4.370	4.056	4.152	592040	2473041.00
2025/11/25	4.152	4.227	4.100	4.165	452402	1884956.00
2025/11/26	4.166	4.200	4.135	4.183	491300	2046820.00
2025/11/27	4.183	4.228	4.158	4.183	308501	1293289.00
2025/11/28	4.183	4.200	4.171	4.185	136900	573206.00
2025/12/01	4.184	4.200	4.135	4.196	144900	603015.00
2025/12/02	4.196	4.227	4.160	4.196	40900	171543.00
2025/12/03	4.196	4.276	4.130	4.153	185900	776462.00
2025/12/04	4.153	4.153	4.101	4.106	850209	3492866.00
2025/12/05	4.106	4.106	4.051	4.061	428603	1741046.00
2025/12/08	4.061	4.100	4.002	4.040	524253	2121162.00
2025/12/09	4.040	4.091	3.982	4.039	822469	3319718.00
2025/12/10	4.040	4.093	4.011	4.039	995600	4009481.00
2025/12/11	4.039	4.062	4.010	4.037	356741	1434439.00
2025/12/12	4.039	4.063	4.018	4.038	440200	1777630.00
2025/12/15	4.017	4.060	4.017	4.040	131303	529316.00
2025/12/16	4.020	4.020	3.947	3.983	478600	1903625.00
2025/12/17	3.951	3.968	3.852	3.936	1802010	7029695.00
2025/12/18	3.936	3.959	3.850	3.877	1397293	5429800.00
2025/12/19	3.875	3.913	3.798	3.913	666129	2565738.00
2025/12/22	3.913	3.920	3.880	3.892	173008	673362.00
2025/12/23	3.852	3.915	3.849	3.892	259910	1002365.00
2025/12/24	3.855	4.030	3.800	4.030	1275500	5023170.00
2025/12/25	4.094	4.094	4.020	4.038	1860106	7543324.00
2025/12/26	4.002	4.060	3.862	4.011	2027510	7988769.00
2025/12/29	3.997	3.997	3.851	3.955	1735600	6772569.00
2025/12/30	3.915	3.949	3.873	3.934	1721401	6708777.00
2025/12/31	3.894	3.960	3.862	3.892	664711	2596177.00
2026/01/05	3.888	3.970	3.852	3.936	770590	3014373.00
2026/01/06	3.929	4.010	3.911	4.002	924217	3663344.00
2026/01/07	4.003	4.160	4.000	4.072	479413	1963513.00
2026/01/08	4.041	4.300	4.025	4.154	1026382	4242480.00
2026/01/09	4.118	4.150	4.050	4.068	318102	1307943.00
2026/01/12	4.053	4.109	4.007	4.102	922101	3745582.00
2026/01/13	4.106	4.148	4.062	4.116	239900	988232.00
2026/01/14	4.119	4.218	4.073	4.214	765399	3154324.00
2026/01/15	4.189	4.225	4.132	4.165	2500306	10429048.00
2026/01/16	4.165	4.228	4.141	4.158	1680772	7004975.00
2026/01/19	4.163	4.182	4.143	4.146	142243	591922.00
2026/01/20	4.154	4.187	4.115	4.160	915116	3809277.00
2026/01/21	4.185	4.238	4.160	4.220	1619897	6810846.00
2026/01/22	4.226	4.500	4.220	4.277	4869864	21148736.00
2026/01/23	4.251	4.365	4.251	4.358	2507833	10858196.00
2026/01/26	4.380	4.380	4.315	4.330	884026	3836398.00
2026/01/27	4.330	4.340	4.282	4.323	1718930	7405777.00
2026/01/28	4.344	4.344	4.301	4.324	1150476	4972986.00
2026/01/29	4.330	4.355	4.330	4.354	744306	3234956.00
2026/01/30	4.345	4.369	4.314	4.342	79300	344677.00
2026/02/02	4.316	4.316	4.235	4.253	335900	1428927.00
2026/02/03	4.202	4.262	4.202	4.257	739303	3131366.00
2026/02/04	4.231	4.263	4.217	4.259	1528100	6497415.00
2026/02/05	4.246	4.260	4.232	4.236	1048800	4458309.00
2026/02/06	4.196	4.236	4.196	4.201	608457	2561628.00
2026/02/09	4.195	4.205	4.185	4.185	187200	785064.00
2026/02/10	4.174	4.183	4.158	4.164	668500	2784973.00
2026/02/11	4.166	4.230	4.154	4.197	885386	3708628.00
2026/02/12	4.199	4.199	4.135	4.139	1260500	5222721.00
2026/02/13	4.133	4.139	4.114	4.139	44201	182481.00
2026/02/24	4.152	4.168	4.125	4.166	210712	873626.00
2026/02/25	4.167	4.167	4.124	4.140	725114	3004784.00
2026/02/26	4.147	4.147	4.118	4.118	342700	1411896.00
2026/02/27	4.143	4.199	4.080	4.083	913800	3740587.00
2026/03/02	4.085	4.130	4.070	4.080	1276872	5222751.00
2026/03/03	4.104	4.204	4.104	4.180	1349601	5612134.00
2026/03/04	4.167	4.167	4.082	4.123	105900	434058.00
2026/03/05	4.129	4.180	4.121	4.130	227300	942426.00
2026/03/06	4.136	4.155	4.100	4.100	381000	1575269.00
2026/03/09	4.109	4.119	4.065	4.085	913562	3723508.00
2026/03/10	4.104	4.148	4.079	4.091	682484	2796794.00
2026/03/11	4.098	4.098	4.066	4.086	340100	1386399.00
2026/03/12	4.090	4.140	4.065	4.076	952193	3876397.00
2026/03/13	4.079	4.087	4.031	4.076	141508	576739.00
2026/03/16	4.075	4.140	4.015	4.064	615900	2498210.00
2026/03/17	4.089	4.140	4.055	4.063	38889	158448.00
2026/03/18	4.073	4.097	4.047	4.051	859900	3487875.00
2026/03/19	4.086	4.112	4.011	4.098	127506	516893.00
2026/03/20	4.106	4.106	4.055	4.066	68946	280437.00
2026/03/23	4.062	4.062	3.975	4.004	944462	3771590.00
2026/03/24	4.053	4.053	3.989	3.990	192000	766172.00
2026/04/03	3.929	3.929	3.900	3.913	65600	256919.00
#数据来源:通达信
