508096 中航京能国际能源 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2023/03/29	10.798	11.249	10.740	10.992	21410941	233750256.00
2023/03/30	10.995	11.000	10.870	10.909	2225125	24299704.00
2023/03/31	10.898	10.981	10.851	10.952	1892609	20697486.00
2023/04/03	10.948	10.950	10.870	10.949	1539026	16770615.00
2023/04/04	10.930	10.930	10.867	10.867	1229047	13367222.00
2023/04/06	10.867	10.869	10.838	10.839	1034369	11236343.00
2023/04/07	10.800	10.833	10.795	10.808	907142	9804905.00
2023/04/10	10.790	10.807	10.722	10.784	1053001	11312435.00
2023/04/11	10.779	10.785	10.746	10.783	528615	5686061.00
2023/04/12	10.784	10.784	10.760	10.768	284252	3061255.00
2023/04/13	10.768	10.768	10.726	10.727	417313	4478892.00
2023/04/14	10.726	10.779	10.698	10.777	435542	4673215.00
2023/04/17	10.777	10.923	10.777	10.915	831548	9009916.00
2023/04/18	10.915	10.927	10.900	10.921	1036031	11307865.00
2023/04/19	10.923	10.924	10.850	10.915	342922	3727533.00
2023/04/20	10.915	10.915	10.850	10.899	311603	3392614.00
2023/04/21	10.900	10.900	10.790	10.853	570518	6182624.00
2023/04/24	10.852	10.852	10.795	10.828	587139	6346848.00
2023/04/25	10.828	10.828	10.746	10.827	448748	4842117.00
2023/04/26	10.818	10.818	10.737	10.754	1617081	17390160.00
2023/04/27	10.751	10.751	10.591	10.606	619080	6588895.00
2023/04/28	10.596	10.640	10.520	10.639	575790	6099685.00
2023/05/04	10.638	10.643	10.381	10.420	1130210	11852608.00
2023/05/05	10.443	10.500	10.200	10.339	712629	7391986.00
2023/05/08	10.339	10.339	10.280	10.293	848062	8745407.00
2023/05/09	10.293	10.293	10.160	10.238	1014783	10377374.00
2023/05/10	10.220	10.366	10.169	10.356	2423067	24911868.00
2023/05/11	10.398	10.520	10.349	10.517	1251697	13055079.00
2023/05/12	10.517	10.616	10.470	10.616	605520	6355228.00
2023/05/15	10.616	10.616	10.501	10.519	515388	5434119.00
2023/05/16	10.519	10.609	10.519	10.569	711198	7491051.00
2023/05/17	10.570	10.570	10.528	10.529	552351	5828140.00
2023/05/18	10.432	10.543	10.430	10.530	588714	6184799.00
2023/05/19	10.500	10.518	10.449	10.518	527628	5537619.00
2023/05/22	10.518	10.518	10.471	10.481	626268	6565459.00
2023/05/23	10.481	10.529	10.481	10.490	537050	5634098.00
2023/05/24	10.434	10.604	10.434	10.568	737198	7736664.00
2023/05/25	10.571	10.628	10.570	10.604	896632	9503730.00
2023/05/26	10.600	10.628	10.557	10.587	1437547	15228050.00
2023/05/29	10.605	10.794	10.583	10.586	1011047	10806994.00
2023/05/30	10.585	10.715	10.546	10.570	482482	5107356.00
2023/05/31	10.569	10.569	10.386	10.421	541409	5661737.00
2023/06/01	10.425	10.425	10.335	10.338	1010430	10453520.00
2023/06/02	10.321	10.397	10.321	10.375	366657	3802722.00
2023/06/05	10.321	10.491	10.321	10.400	431928	4498315.00
2023/06/06	10.434	10.434	10.011	10.061	1226979	12472166.00
2023/06/07	10.047	10.190	10.041	10.113	812256	8209681.00
2023/06/08	10.113	10.430	10.113	10.418	969203	9903435.00
2023/06/09	10.419	10.499	10.300	10.407	1030505	10691182.00
2023/06/12	10.356	10.409	10.199	10.391	547310	5675635.00
2023/06/13	10.397	10.490	10.334	10.426	666313	6947714.00
2023/06/14	10.420	10.490	10.333	10.450	576093	6004537.00
2023/06/15	10.450	10.576	10.400	10.453	142873	1493686.00
2023/06/16	10.454	10.536	10.344	10.527	1031480	10784342.00
2023/06/19	10.527	10.527	10.324	10.460	860938	8984498.00
2023/06/20	10.460	10.490	10.338	10.459	326957	3406589.00
2023/06/21	10.432	10.512	10.380	10.470	380564	3978344.00
2023/06/26	10.464	10.580	10.359	10.431	532699	5555533.00
2023/06/27	10.431	10.489	10.276	10.353	996588	10334825.00
2023/06/28	10.353	10.353	10.160	10.191	475011	4854867.00
2023/06/29	10.184	10.260	10.110	10.159	445564	4515175.00
2023/06/30	10.159	10.194	10.007	10.180	858422	8658226.00
2023/07/03	10.179	10.179	9.990	10.003	1248577	12520461.00
2023/07/04	9.998	10.135	9.985	10.006	929973	9317964.00
2023/07/05	10.006	10.077	9.951	9.967	535279	5335990.00
2023/07/06	9.945	10.298	9.945	10.276	2499200	25319392.00
2023/07/07	10.276	10.467	10.144	10.364	2421905	25086668.00
2023/07/10	10.349	10.482	10.252	10.335	1411523	14641974.00
2023/07/11	10.340	10.435	10.261	10.312	369542	3825307.00
2023/07/12	10.330	10.375	10.190	10.268	713384	7303822.00
