508097 华泰南京建邺REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/12/03	2.599	2.599	2.567	2.595	2635490	6792450.00
2024/12/04	2.595	2.600	2.557	2.600	539059	1397092.00
2024/12/05	2.600	2.600	2.572	2.592	148119	383988.00
2024/12/06	2.592	2.703	2.592	2.694	316454	829019.00
2024/12/09	2.717	2.800	2.717	2.769	762176	2099354.00
2024/12/10	2.769	2.851	2.670	2.770	1152786	3186775.00
2024/12/11	2.773	2.812	2.740	2.773	190786	529029.00
2024/12/12	2.774	2.796	2.767	2.786	186943	519625.00
2024/12/13	2.786	3.000	2.786	2.814	1261308	3648978.00
2024/12/16	2.815	2.950	2.815	2.883	230653	663657.00
2024/12/17	2.883	3.001	2.881	2.921	834302	2445069.00
2024/12/18	2.911	2.960	2.887	2.894	469540	1377186.00
2024/12/19	2.890	2.925	2.848	2.848	324034	928496.00
2024/12/20	2.863	2.863	2.784	2.843	354776	1005214.00
2024/12/23	2.834	2.842	2.793	2.816	123056	347203.00
2024/12/24	2.825	2.860	2.785	2.830	94591	267554.00
2024/12/25	2.814	2.880	2.814	2.820	135376	384107.00
2024/12/26	2.820	2.884	2.790	2.821	141437	398712.00
2024/12/27	2.825	2.848	2.804	2.805	448925	1262889.00
2024/12/30	2.805	2.880	2.730	2.781	358402	1008229.00
2024/12/31	2.789	2.830	2.754	2.768	683725	1905911.00
2025/01/02	2.784	2.851	2.777	2.850	1026738	2885995.00
2025/01/03	2.835	2.966	2.835	2.958	386883	1119212.00
2025/01/06	2.958	2.999	2.949	2.999	165178	494313.00
2025/01/07	2.984	3.010	2.934	2.955	174769	517752.00
2025/01/08	2.939	2.999	2.864	2.989	511244	1520871.00
2025/01/09	3.004	3.020	2.996	3.010	533154	1599928.00
2025/01/10	2.994	3.059	2.958	3.040	121050	367806.00
2025/01/13	2.999	3.140	2.999	3.037	242255	736905.00
2025/01/14	3.021	3.140	3.000	3.045	111265	338392.00
2025/01/15	3.061	3.081	3.020	3.058	297324	904559.00
2025/01/16	3.100	3.100	3.060	3.073	221561	682425.00
2025/01/17	3.165	3.165	3.073	3.099	19342	59983.00
2025/01/20	3.091	3.182	3.064	3.155	64250	198437.00
2025/01/21	3.249	3.249	3.156	3.198	178822	568418.00
2025/01/22	3.199	3.293	3.194	3.212	208624	673578.00
2025/01/23	3.201	3.260	3.138	3.214	129240	414525.00
2025/01/24	3.172	3.268	3.169	3.235	173341	558698.00
2025/01/27	3.235	3.279	3.235	3.260	106938	348684.00
2025/02/05	3.271	3.398	3.206	3.349	375651	1233655.00
2025/02/06	3.302	3.475	3.302	3.458	351410	1189347.00
2025/02/07	3.475	3.687	3.390	3.581	773326	2742357.00
2025/02/10	3.608	3.671	3.577	3.671	530936	1923376.00
2025/02/11	3.671	3.895	3.671	3.795	952657	3613208.00
2025/02/12	3.800	3.814	3.690	3.710	1084302	4081010.00
2025/02/13	3.710	3.788	3.495	3.540	596022	2140560.00
2025/02/14	3.522	3.556	3.442	3.520	1157479	4056373.00
2025/02/17	3.474	3.511	3.474	3.487	478169	1669556.00
