508098 嘉实京东仓储基础 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2023/02/08	3.862	4.000	3.845	3.923	49620561	193031600.00
2023/02/09	3.917	3.952	3.890	3.942	8262884	32423618.00
2023/02/10	3.945	4.076	3.945	4.025	12434506	50043756.00
2023/02/13	4.025	4.082	4.018	4.039	6037981	24452832.00
2023/02/14	4.041	4.117	4.041	4.104	7165664	29208560.00
2023/02/15	4.113	4.238	4.113	4.184	10672861	44582492.00
2023/02/16	4.189	4.235	4.114	4.151	7906768	32968156.00
2023/02/17	4.150	4.151	4.080	4.118	7019797	28850500.00
2023/02/20	4.108	4.146	4.090	4.144	4532352	18672738.00
2023/02/21	4.144	4.181	4.134	4.169	3882305	16181010.00
2023/02/22	4.169	4.187	4.150	4.162	3865864	16132618.00
2023/02/23	4.162	4.176	4.125	4.154	2969339	12323591.00
2023/02/24	4.154	4.154	4.133	4.140	1643604	6802969.00
2023/02/27	4.140	4.147	4.130	4.135	1822383	7545498.00
2023/02/28	4.135	4.135	4.120	4.125	2129298	8784946.00
2023/03/01	4.123	4.133	4.096	4.110	2665168	10947698.00
2023/03/02	4.108	4.108	4.092	4.102	1879639	7708196.00
2023/03/03	4.100	4.106	4.054	4.092	3042242	12407390.00
2023/03/06	4.080	4.090	4.071	4.085	1919044	7833887.00
2023/03/07	4.084	4.098	4.080	4.093	1165303	4766663.00
2023/03/08	4.094	4.109	4.094	4.106	1274895	5229338.00
2023/03/09	4.107	4.110	4.092	4.098	852972	3495434.00
2023/03/10	4.098	4.100	4.080	4.100	1909220	7803552.00
2023/03/13	4.099	4.109	4.080	4.100	2512696	10301501.00
2023/03/14	4.100	4.100	4.080	4.084	2161382	8835968.00
2023/03/15	4.082	4.097	4.074	4.079	1455013	5935980.00
2023/03/16	4.079	4.082	4.050	4.066	2770959	11255871.00
2023/03/17	4.075	4.078	4.050	4.070	2042578	8307537.00
2023/03/20	4.071	4.071	4.056	4.059	748664	3040017.00
2023/03/21	4.059	4.067	4.049	4.064	1637942	6641918.00
2023/03/22	4.060	4.067	4.051	4.066	1826107	7408462.00
2023/03/23	4.067	4.067	4.052	4.062	1815836	7373220.00
2023/03/24	4.060	4.062	4.049	4.060	1273211	5161558.00
2023/03/27	4.062	4.068	4.054	4.060	645082	2618376.00
2023/03/28	4.059	4.066	4.046	4.059	1145928	4647759.00
2023/03/29	4.059	4.059	4.011	4.029	812031	3270940.00
2023/03/30	4.019	4.025	4.010	4.015	905739	3637430.00
2023/03/31	4.015	4.030	4.011	4.022	1462998	5885857.00
2023/04/03	4.022	4.023	4.000	4.011	1799771	7224942.00
2023/04/04	4.010	4.010	3.971	3.985	1510157	6019496.00
2023/04/06	3.987	3.988	3.907	3.927	3561207	13977792.00
2023/04/07	3.924	3.944	3.910	3.931	1726082	6782794.00
2023/04/10	3.930	3.942	3.920	3.934	1623585	6390308.00
2023/04/11	3.934	3.947	3.930	3.938	939732	3700516.00
2023/04/12	3.941	3.948	3.939	3.945	516784	2037688.00
2023/04/13	3.945	3.945	3.928	3.941	1056543	4161090.00
2023/04/14	3.938	3.956	3.920	3.954	1137008	4470471.00
2023/04/17	3.955	3.969	3.933	3.966	1178610	4655373.00
2023/04/18	3.967	3.997	3.962	3.989	1073606	4280302.00
2023/04/19	3.980	3.998	3.950	3.968	1216476	4828472.00
2023/04/20	3.968	3.976	3.949	3.967	927915	3677603.00
2023/04/21	3.965	3.975	3.933	3.935	604505	2384713.00
2023/04/24	3.935	3.967	3.934	3.947	681616	2689333.00
2023/04/25	3.936	3.947	3.912	3.935	714092	2804419.00
2023/04/26	3.935	3.941	3.913	3.918	492265	1932192.00
2023/04/27	3.915	3.919	3.900	3.907	254098	992239.00
2023/04/28	3.907	3.920	3.900	3.920	640531	2505375.00
2023/05/04	3.926	3.926	3.891	3.894	611359	2385163.00
2023/05/05	3.906	3.906	3.888	3.891	368571	1434676.00
2023/05/08	3.891	3.915	3.869	3.872	584524	2271242.00
2023/05/09	3.871	3.871	3.832	3.838	974656	3742567.00
2023/05/10	3.825	3.925	3.806	3.924	2101337	8156812.00
2023/05/11	3.926	3.946	3.912	3.925	495860	1945723.00
2023/05/12	3.925	3.930	3.909	3.919	679498	2665646.00
2023/05/15	3.919	3.919	3.860	3.900	791896	3077317.00
2023/05/16	3.900	3.928	3.866	3.920	533083	2077326.00
2023/05/17	3.925	3.946	3.908	3.914	901026	3537055.00
2023/05/18	3.916	3.924	3.886	3.916	521745	2037035.00
2023/05/19	3.915	3.916	3.895	3.907	170212	664354.00
2023/05/22	3.906	3.927	3.861	3.898	1343332	5230613.00
2023/05/23	3.898	3.898	3.870	3.880	906227	3519173.00
2023/05/24	3.880	3.882	3.841	3.873	670043	2586899.00
2023/05/25	3.872	3.872	3.837	3.852	985655	3794169.00
2023/05/26	3.852	3.871	3.826	3.854	262500	1011564.00
2023/05/29	3.850	3.850	3.830	3.831	599996	2301854.00
2023/05/30	3.835	3.849	3.788	3.800	969818	3689524.00
2023/05/31	3.799	3.799	3.722	3.730	737936	2756390.00
2023/06/01	3.730	3.753	3.700	3.709	919484	3433529.00
2023/06/02	3.709	3.735	3.694	3.731	659482	2441935.00
2023/06/05	3.731	3.731	3.667	3.680	1162502	4281543.00
2023/06/06	3.677	3.677	3.508	3.595	3332721	11866804.00
2023/06/07	3.592	3.611	3.548	3.610	894466	3198089.00
2023/06/08	3.611	3.711	3.606	3.706	836685	3058875.00
2023/06/09	3.711	3.750	3.680	3.684	685704	2544258.00
2023/06/12	3.689	3.700	3.631	3.693	861333	3154151.00
2023/06/13	3.688	3.701	3.653	3.700	316122	1168776.00
2023/06/14	3.700	3.718	3.660	3.678	423181	1558746.00
2023/06/15	3.678	3.678	3.650	3.673	612799	2244452.00
2023/06/16	3.672	3.697	3.660	3.695	895714	3295398.00
2023/06/19	3.694	3.694	3.653	3.657	309474	1132806.00
2023/06/20	3.657	3.675	3.650	3.660	629805	2306175.00
2023/06/21	3.661	3.695	3.631	3.661	418748	1533575.00
2023/06/26	3.661	3.675	3.624	3.631	192947	702295.00
2023/06/27	3.626	3.631	3.590	3.594	280044	1010063.00
2023/06/28	3.594	3.594	3.475	3.552	3912689	13740081.00
2023/06/29	3.552	3.576	3.511	3.541	2150948	7632753.00
2023/06/30	3.544	3.567	3.526	3.529	203955	720840.00
2023/07/03	3.531	3.549	3.508	3.520	882166	3111476.00
2023/07/04	3.519	3.538	3.518	3.534	1140222	4016400.00
2023/07/05	3.534	3.534	3.520	3.530	150075	529466.00
2023/07/06	3.528	3.605	3.518	3.596	1883731	6692535.00
2023/07/07	3.596	3.650	3.596	3.629	1161193	4211233.00
2023/07/10	3.629	3.632	3.607	3.626	404288	1462293.00
2023/07/11	3.630	3.648	3.606	3.630	1218439	4412385.00
2023/07/12	3.630	3.630	3.595	3.608	545837	1967327.00
2023/07/13	3.610	3.622	3.568	3.622	673841	2431792.00
2023/07/14	3.622	3.690	3.610	3.673	1328476	4857432.00
2023/07/17	3.673	3.796	3.650	3.791	1532302	5698319.00
2023/07/18	3.796	3.846	3.751	3.830	1786767	6823791.00
2023/07/19	3.824	3.841	3.751	3.795	1645680	6221948.00
2023/07/20	3.771	3.771	3.701	3.753	936731	3500538.00
2023/07/21	3.713	3.790	3.712	3.777	1339152	5042292.00
2023/07/24	3.758	3.817	3.703	3.798	1300076	4908068.00
2023/07/25	3.759	3.857	3.742	3.847	1428578	5454380.00
2023/07/26	3.838	3.845	3.800	3.835	1184306	4527383.00
2023/07/27	3.810	3.867	3.810	3.829	1378803	5277630.00
2023/07/28	3.800	3.861	3.800	3.830	600792	2297793.00
2023/07/31	3.816	3.865	3.801	3.849	2683878	10292738.00
2023/08/01	3.839	3.894	3.790	3.803	3808909	14621103.00
2023/08/02	3.797	3.857	3.780	3.820	2878560	10980490.00
2023/08/03	3.808	3.845	3.792	3.820	1368582	5218172.00
2023/08/04	3.820	3.850	3.796	3.838	1353010	5174496.00
2023/08/07	3.837	3.870	3.812	3.863	1734142	6651758.00
2023/08/08	3.863	3.901	3.825	3.897	2081588	8071438.00
2023/08/09	3.898	3.953	3.877	3.952	1288028	5048873.00
2023/08/10	3.952	3.984	3.936	3.968	1078146	4275121.00
2023/08/11	3.968	3.989	3.939	3.966	903202	3582024.00
2023/08/14	3.956	3.956	3.894	3.949	1229206	4812542.00
2023/08/15	3.939	3.967	3.913	3.942	1249299	4932332.00
2023/08/16	3.920	3.953	3.918	3.936	726349	2852441.00
2023/08/17	3.936	3.945	3.905	3.943	395500	1552222.00
2023/08/18	3.933	3.949	3.929	3.944	1068456	4209337.00
2023/08/21	3.949	3.949	3.909	3.917	887258	3477926.00
2023/08/22	3.917	3.939	3.859	3.917	3267761	12807447.00
2023/08/23	3.899	3.910	3.870	3.886	3571730	13904529.00
2023/08/24	3.880	3.948	3.869	3.937	3712254	14496829.00
2023/08/25	3.929	3.950	3.917	3.929	4478832	17616928.00
2023/08/28	3.929	3.950	3.916	3.938	3754646	14752465.00
2023/08/29	3.937	3.953	3.913	3.924	3446364	13555575.00
2023/08/30	3.924	3.946	3.901	3.912	3470108	13619897.00
2023/08/31	3.912	3.927	3.877	3.891	4005995	15635859.00
2023/09/01	3.891	3.891	3.853	3.870	3052154	11816870.00
2023/09/04	3.870	3.870	3.849	3.850	1040177	4006436.00
2023/09/05	3.851	3.881	3.850	3.853	3849907	14855825.00
2023/09/06	3.853	3.864	3.844	3.851	2913623	11222643.00
2023/09/07	3.850	3.864	3.839	3.854	3024483	11654605.00
2023/09/08	3.854	3.866	3.825	3.838	3481679	13408946.00
2023/09/11	3.838	3.922	3.826	3.911	4406360	16995696.00
2023/09/12	3.911	3.920	3.899	3.915	2731577	10684896.00
2023/09/13	3.915	3.915	3.899	3.900	1814235	7078436.00
2023/09/14	3.900	3.900	3.876	3.887	3475106	13513073.00
2023/09/15	3.889	3.899	3.858	3.877	2473627	9600999.00
2023/09/18	3.877	3.883	3.855	3.863	2425926	9373050.00
2023/09/19	3.859	3.877	3.850	3.857	2882692	11125604.00
2023/09/20	3.871	3.879	3.820	3.879	3542938	13641884.00
2023/09/21	3.879	3.900	3.840	3.881	3382505	13099266.00
2023/09/22	3.881	3.900	3.858	3.897	3779689	14687612.00
2023/09/25	3.897	3.899	3.872	3.899	3961571	15405245.00
2023/09/26	3.862	3.932	3.862	3.904	3258799	12718931.00
2023/09/27	3.904	3.904	3.888	3.890	2544120	9914149.00
2023/09/28	3.890	3.912	3.874	3.899	3103738	12092501.00
2023/10/09	3.899	3.908	3.899	3.902	1431176	5584394.00
2023/10/10	3.903	3.905	3.870	3.895	1588512	6185512.00
2023/10/11	3.895	3.895	3.871	3.885	2150358	8344640.00
