508099 建信中关村REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/12/17	4.160	4.160	4.160	4.160	8086315	33639072.00
2021/12/20	4.575	4.576	4.380	4.462	83441418	380064736.00
2021/12/21	4.462	4.490	4.160	4.309	25804203	111199496.00
2021/12/22	4.298	4.400	4.171	4.342	19290244	81956144.00
2021/12/23	4.345	4.515	4.345	4.490	12609542	56244904.00
2021/12/24	4.491	4.538	4.431	4.483	8026868	35926536.00
2021/12/27	4.483	4.500	4.440	4.487	4251060	19023072.00
2021/12/28	4.487	4.490	4.474	4.478	4549094	20376032.00
2021/12/29	4.478	4.480	4.450	4.451	4123985	18387228.00
2021/12/30	4.456	4.463	4.400	4.406	5701407	25204132.00
2021/12/31	4.405	4.453	4.395	4.448	4561019	20157442.00
2022/01/04	4.449	4.476	4.449	4.457	4632167	20668536.00
2022/01/05	4.458	4.458	4.444	4.448	3255553	14480562.00
2022/01/06	4.448	4.451	4.442	4.445	2391754	10632552.00
2022/01/07	4.445	4.450	4.429	4.431	3536539	15683243.00
2022/01/10	4.431	4.431	4.418	4.420	3236833	14307887.00
2022/01/11	4.419	4.425	4.399	4.425	5071145	22335502.00
2022/01/12	4.430	4.503	4.425	4.495	8480112	37989376.00
2022/01/13	4.493	4.549	4.460	4.499	7612464	34317280.00
2022/01/14	4.496	4.498	4.466	4.483	6082025	27241770.00
2022/01/17	4.483	4.522	4.483	4.520	6063488	27383208.00
2022/01/18	4.518	4.519	4.479	4.486	5336347	23949672.00
2022/01/19	4.486	4.508	4.477	4.490	4754349	21340702.00
2022/01/20	4.490	4.507	4.487	4.498	6959953	31276404.00
2022/01/21	4.499	4.545	4.499	4.544	6367252	28822170.00
2022/01/24	4.547	4.725	4.544	4.640	12543749	58144144.00
2022/01/25	4.642	4.680	4.589	4.603	6602750	30468708.00
2022/01/26	4.595	4.634	4.555	4.614	5722176	26346548.00
2022/01/27	4.612	4.612	4.580	4.593	5586333	25670412.00
2022/01/28	4.594	4.685	4.594	4.679	5265252	24436484.00
2022/02/07	4.679	4.876	4.679	4.872	8270574	39613296.00
2022/02/08	4.872	5.140	4.872	5.103	17422414	88065824.00
2022/02/09	5.100	5.100	4.970	5.069	10911967	54671780.00
2022/02/10	5.056	5.172	4.972	5.112	10261704	52484344.00
2022/02/11	5.120	5.445	5.100	5.433	12246036	64994084.00
2022/02/14	5.432	5.800	5.160	5.555	15573355	86724592.00
2022/02/16	5.555	5.555	5.280	5.417	17034705	92458856.00
2022/02/17	5.418	5.448	5.116	5.250	19858154	104645304.00
2022/02/18	5.239	5.350	5.099	5.312	15651180	81539064.00
2022/02/21	5.314	5.459	5.314	5.401	9626772	51858084.00
2022/02/22	5.393	5.393	5.160	5.191	11593977	60632500.00
2022/02/23	5.180	5.200	4.990	5.147	10278579	52327272.00
2022/02/24	5.085	5.137	5.010	5.029	9296374	47014324.00
2022/02/25	5.030	5.150	5.030	5.106	5863744	29948226.00
2022/02/28	5.106	5.151	5.060	5.070	4489655	22836094.00
2022/03/01	5.065	5.065	4.846	4.878	12794392	62795996.00
2022/03/02	4.850	5.011	4.682	4.997	11356102	55327208.00
2022/03/03	4.997	5.116	4.900	5.111	7848728	39746524.00
2022/03/04	5.112	5.190	5.021	5.066	8733400	44480232.00
2022/03/07	5.000	5.046	4.910	4.962	6836654	34035424.00
2022/03/08	4.960	4.960	4.830	4.832	7076554	34477884.00
2022/03/09	4.800	4.900	4.728	4.790	13432659	64196636.00
2022/03/10	4.889	4.889	4.768	4.796	10374473	49956880.00
2022/03/11	4.732	4.803	4.700	4.801	7433350	35260372.00
2022/03/14	4.745	4.771	4.710	4.727	3551053	16842756.00
2022/03/15	4.725	4.725	4.550	4.559	10184406	46988792.00
2022/03/16	4.551	4.740	4.480	4.735	10060584	46081916.00
2022/03/17	4.766	4.816	4.732	4.735	8589145	40974504.00
2022/03/18	4.735	4.736	4.636	4.710	3857871	18118504.00
2022/03/21	4.712	4.800	4.710	4.779	7814793	37143900.00
