180101 博时蛇口产园REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/06/21	2.541	2.771	2.500	2.650	103900628	275910240.00
2021/06/22	2.650	2.650	2.385	2.464	38270728	94072624.00
2021/06/23	2.460	2.460	2.356	2.393	23856033	57129352.00
2021/06/24	2.393	2.412	2.393	2.400	16630074	39906524.00
2021/06/25	2.401	2.407	2.396	2.407	8095253	19417728.00
2021/06/28	2.407	2.407	2.395	2.398	6892330	16522414.00
2021/06/29	2.397	2.397	2.356	2.373	11198426	26566976.00
2021/06/30	2.373	2.374	2.358	2.374	6012969	14205479.00
2021/07/01	2.374	2.448	2.374	2.443	8408823	20368164.00
2021/07/02	2.440	2.440	2.376	2.395	9720981	23267530.00
2021/07/05	2.394	2.394	2.386	2.387	3568118	8519052.00
2021/07/06	2.387	2.387	2.379	2.381	4886458	11639656.00
2021/07/07	2.381	2.382	2.372	2.374	5764587	13698620.00
2021/07/08	2.373	2.373	2.362	2.364	4931346	11659134.00
2021/07/09	2.363	2.363	2.357	2.359	4355162	10271856.00
2021/07/12	2.358	2.363	2.351	2.351	8025130	18898160.00
2021/07/13	2.351	2.351	2.336	2.338	5455057	12754672.00
2021/07/14	2.338	2.338	2.331	2.332	4189240	9773245.00
2021/07/15	2.332	2.332	2.328	2.332	4433655	10330176.00
2021/07/16	2.332	2.364	2.331	2.363	4991203	11725049.00
2021/07/19	2.363	2.382	2.362	2.375	7293422	17317512.00
2021/07/20	2.376	2.376	2.353	2.367	3785559	8954617.00
2021/07/21	2.367	2.367	2.352	2.361	2964994	6996349.50
2021/07/22	2.361	2.363	2.350	2.361	4163176	9815320.00
2021/07/23	2.361	2.379	2.351	2.373	4715131	11158355.00
2021/07/26	2.373	2.374	2.357	2.358	4457324	10526159.00
2021/07/27	2.358	2.358	2.340	2.341	2943931	6915308.00
2021/07/28	2.341	2.341	2.326	2.335	3498326	8151651.00
2021/07/29	2.335	2.349	2.330	2.346	2756444	6466300.50
2021/07/30	2.345	2.345	2.333	2.341	2928438	6845591.50
2021/08/02	2.340	2.342	2.331	2.340	2759474	6450344.50
2021/08/03	2.340	2.347	2.335	2.345	3607640	8449714.00
2021/08/04	2.345	2.348	2.345	2.345	1928563	4525011.00
2021/08/05	2.345	2.345	2.344	2.344	1422357	3334388.25
2021/08/06	2.342	2.348	2.341	2.347	4363544	10227807.00
