180102 华夏合肥高新REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/10/10	2.847	2.847	2.847	2.847	32944545	93793120.00
2022/10/11	2.902	2.902	2.656	2.665	46590865	127475000.00
2022/10/12	2.665	2.735	2.613	2.719	18922379	50817384.00
2022/10/13	2.704	2.729	2.680	2.710	8198337	22163622.00
2022/10/14	2.703	2.713	2.661	2.673	10037875	27018560.00
2022/10/17	2.673	2.673	2.659	2.669	2530369	6743297.00
2022/10/18	2.670	2.714	2.666	2.686	7542627	20299516.00
2022/10/19	2.685	2.694	2.663	2.666	4178127	11172840.00
2022/10/20	2.666	2.670	2.643	2.651	5244472	13912519.00
2022/10/21	2.651	2.657	2.606	2.638	12765954	33531766.00
2022/10/24	2.631	2.631	2.590	2.594	6096487	15921971.00
2022/10/25	2.594	2.594	2.551	2.574	8519023	21863974.00
2022/10/26	2.573	2.607	2.550	2.574	9534352	24534884.00
2022/10/27	2.577	2.604	2.556	2.578	9681042	25011592.00
2022/10/28	2.578	2.600	2.575	2.588	5717442	14757691.00
2022/10/31	2.589	2.596	2.551	2.582	4027474	10402204.00
2022/11/01	2.582	2.620	2.582	2.608	5473712	14215267.00
2022/11/02	2.608	2.669	2.600	2.656	6607815	17465720.00
2022/11/03	2.656	2.663	2.639	2.654	7719886	20485826.00
2022/11/04	2.654	2.699	2.640	2.688	11186238	29977258.00
2022/11/07	2.688	2.699	2.670	2.688	9354783	25115902.00
2022/11/08	2.685	2.685	2.631	2.659	8091071	21495584.00
2022/11/09	2.655	2.658	2.627	2.640	5039728	13312081.00
2022/11/10	2.642	2.644	2.621	2.635	10383721	27282802.00
2022/11/11	2.635	2.660	2.635	2.651	5385394	14285619.00
2022/11/14	2.650	2.656	2.633	2.642	2383007	6306917.00
2022/11/15	2.670	2.670	2.600	2.618	2839342	7442450.50
2022/11/16	2.618	2.632	2.598	2.605	5261469	13741394.00
2022/11/17	2.601	2.611	2.588	2.611	8066150	20959508.00
2022/11/18	2.608	2.618	2.583	2.606	5757630	14969883.00
2022/11/21	2.602	2.649	2.583	2.649	8207480	21454052.00
2022/11/22	2.649	2.650	2.620	2.638	1381782	3647254.50
2022/11/23	2.638	2.648	2.620	2.636	7268685	19151336.00
2022/11/24	2.636	2.647	2.626	2.640	2636148	6949214.00
2022/11/25	2.641	2.659	2.641	2.654	4805125	12745781.00
2022/11/28	2.654	2.661	2.624	2.661	4181816	11074622.00
2022/11/29	2.652	2.678	2.650	2.676	5206408	13870839.00
2022/11/30	2.669	2.679	2.653	2.666	7723940	20603762.00
2022/12/01	2.650	2.681	2.650	2.680	6125871	16387139.00
2022/12/02	2.680	2.686	2.667	2.678	7114957	19050508.00
2022/12/05	2.660	2.695	2.660	2.680	5178160	13895996.00
2022/12/06	2.680	2.692	2.665	2.670	7073340	18934148.00
2022/12/07	2.668	2.668	2.650	2.660	7592236	20189508.00
2022/12/08	2.655	2.667	2.644	2.650	8428683	22364148.00
2022/12/09	2.650	2.650	2.638	2.641	3130212	8272003.50
2022/12/12	2.640	2.646	2.631	2.636	7099577	18723464.00
2022/12/13	2.636	2.636	2.617	2.620	8263213	21722960.00
2022/12/14	2.620	2.632	2.607	2.610	4229524	11038247.00
2022/12/15	2.611	2.618	2.608	2.617	6311397	16497543.00
2022/12/16	2.617	2.620	2.608	2.618	8192295	21422098.00
2022/12/19	2.618	2.623	2.610	2.619	4643688	12154830.00
2022/12/20	2.619	2.628	2.581	2.589	6125774	15894052.00
2022/12/21	2.589	2.589	2.573	2.584	3501755	9041132.00
2022/12/22	2.581	2.598	2.579	2.595	2760836	7144023.00
2022/12/23	2.603	2.608	2.594	2.606	3984529	10366707.00
2022/12/26	2.606	2.616	2.588	2.600	6526619	16974778.00
2022/12/27	2.597	2.601	2.556	2.557	3105395	8026976.50
2022/12/28	2.560	2.561	2.427	2.472	8579211	21281546.00
2022/12/29	2.461	2.461	2.398	2.450	5649568	13665290.00
2022/12/30	2.449	2.454	2.398	2.445	8220737	19843994.00
2023/01/03	2.434	2.434	2.377	2.395	5660855	13581059.00
2023/01/04	2.400	2.400	2.373	2.378	5942420	14157023.00
2023/01/05	2.383	2.385	2.332	2.356	4392277	10343253.00
2023/01/06	2.356	2.392	2.330	2.391	7377405	17353926.00
2023/01/09	2.390	2.405	2.371	2.404	6952957	16595954.00
2023/01/10	2.408	2.437	2.398	2.433	4842649	11731240.00
2023/01/11	2.435	2.463	2.423	2.455	8061340	19750918.00
2023/01/12	2.454	2.463	2.443	2.450	995259	2444199.75
2023/01/13	2.450	2.451	2.430	2.436	1404075	3426335.75
2023/01/16	2.435	2.458	2.432	2.436	3332843	8134158.50
2023/01/17	2.436	2.445	2.417	2.421	2827550	6857231.00
2023/01/18	2.421	2.437	2.421	2.435	2143898	5201450.50
2023/01/19	2.434	2.439	2.421	2.438	2757624	6713666.50
2023/01/20	2.439	2.454	2.439	2.452	879010	2153166.00
2023/01/30	2.453	2.470	2.453	2.460	1978515	4870697.00
2023/01/31	2.470	2.500	2.451	2.494	2397570	5954355.00
2023/02/01	2.508	2.520	2.490	2.506	3966349	9966203.00
2023/02/02	2.507	2.523	2.491	2.499	1582705	3955553.50
2023/02/03	2.499	2.508	2.483	2.507	3130124	7829925.00
2023/02/06	2.501	2.518	2.481	2.506	7054028	17727224.00
2023/02/07	2.506	2.508	2.489	2.508	3604614	9003629.00
2023/02/08	2.498	2.508	2.490	2.502	1921850	4807534.50
2023/02/09	2.490	2.501	2.486	2.495	2369244	5912011.50
2023/02/10	2.495	2.517	2.494	2.508	4953613	12402202.00
2023/02/13	2.508	2.530	2.500	2.524	4175386	10526884.00
2023/02/14	2.524	2.542	2.520	2.542	3549824	8991236.00
2023/02/15	2.542	2.570	2.529	2.548	4054144	10343156.00
2023/02/16	2.548	2.564	2.545	2.561	4316195	11036015.00
2023/02/17	2.562	2.569	2.556	2.566	2683391	6878177.00
2023/02/20	2.566	2.590	2.560	2.583	6477679	16679738.00
2023/02/21	2.583	2.595	2.580	2.584	2976008	7696217.50
