180103 华夏和达高科REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/12/27	3.000	3.149	3.000	3.059	52842543	163208608.00
2022/12/28	3.040	3.058	3.000	3.040	13630239	41275696.00
2022/12/29	3.035	3.052	3.003	3.049	7963115	24194502.00
2022/12/30	3.049	3.080	3.049	3.069	5620523	17230530.00
2023/01/03	3.069	3.069	3.050	3.067	1757216	5386854.00
2023/01/04	3.067	3.077	3.060	3.070	3333358	10227670.00
2023/01/05	3.070	3.078	3.020	3.047	5991351	18321946.00
2023/01/06	3.046	3.064	3.039	3.060	4341450	13230652.00
2023/01/09	3.057	3.070	3.024	3.064	4408537	13492572.00
2023/01/10	3.064	3.084	3.060	3.070	4297723	13198410.00
2023/01/11	3.075	3.086	3.067	3.086	2874108	8856425.00
2023/01/12	3.086	3.090	3.068	3.069	3182718	9786694.00
2023/01/13	3.069	3.087	3.069	3.074	1168852	3595662.75
2023/01/16	3.074	3.076	3.060	3.074	2634715	8097732.00
2023/01/17	3.074	3.076	3.065	3.074	2194187	6743933.50
2023/01/18	3.073	3.081	3.069	3.077	2251485	6921907.50
2023/01/19	3.076	3.081	3.070	3.080	1925109	5920970.50
2023/01/20	3.079	3.092	3.060	3.079	2127464	6547016.50
2023/01/30	3.080	3.080	3.070	3.072	3060094	9409675.00
2023/01/31	3.072	3.128	3.070	3.111	3160488	9774773.00
2023/02/01	3.114	3.120	3.076	3.120	5126485	15934047.00
2023/02/02	3.200	3.200	3.104	3.113	4651914	14497157.00
2023/02/03	3.113	3.133	3.106	3.132	5496816	17145892.00
2023/02/06	3.132	3.152	3.120	3.133	8819766	27717106.00
2023/02/07	3.133	3.133	3.120	3.126	4295537	13421818.00
2023/02/08	3.126	3.139	3.093	3.138	4319661	13499683.00
2023/02/09	3.136	3.136	3.103	3.129	3053869	9550253.00
2023/02/10	3.129	3.135	3.113	3.131	4365126	13661511.00
2023/02/13	3.132	3.160	3.132	3.148	4912104	15461730.00
2023/02/14	3.148	3.168	3.141	3.164	4560187	14389370.00
2023/02/15	3.164	3.176	3.148	3.156	5651955	17895286.00
2023/02/16	3.149	3.156	3.132	3.154	3579864	11286150.00
2023/02/17	3.140	3.166	3.140	3.156	2321799	7333296.50
2023/02/20	3.157	3.177	3.148	3.151	3582374	11308284.00
2023/02/21	3.160	3.170	3.152	3.161	4200329	13284695.00
