180105 易方达广开产园RE 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/09/23	2.580	2.585	2.450	2.574	19168643	48944444.00
2024/09/24	2.519	2.542	2.500	2.520	1805926	4557476.00
2024/09/25	2.503	2.519	2.450	2.515	2800828	6952590.50
2024/09/26	2.485	2.495	2.470	2.481	1205147	2990269.25
2024/09/27	2.482	2.482	2.411	2.431	5076747	12387501.00
2024/09/30	2.400	2.400	2.206	2.368	3862382	9061495.00
2024/10/08	2.356	2.386	2.330	2.375	3289714	7803374.50
2024/10/09	2.350	2.371	2.330	2.369	1918817	4522415.00
2024/10/10	2.369	2.391	2.337	2.390	1136532	2675051.50
2024/10/11	2.380	2.404	2.351	2.404	801370	1917802.75
2024/10/14	2.402	2.402	2.379	2.390	405852	969858.25
2024/10/15	2.379	2.379	2.345	2.351	1484212	3497761.50
2024/10/16	2.346	2.362	2.334	2.351	787008	1844731.00
2024/10/17	2.338	2.351	2.330	2.350	2455190	5748248.00
2024/10/18	2.339	2.348	2.335	2.345	668574	1565913.50
2024/10/21	2.336	2.349	2.336	2.343	313994	736255.19
2024/10/22	2.332	2.398	2.332	2.390	2859878	6821421.50
2024/10/23	2.398	2.398	2.371	2.384	2154938	5128913.50
2024/10/24	2.376	2.399	2.376	2.386	311319	742119.31
2024/10/25	2.378	2.600	2.337	2.373	2548175	6098631.50
2024/10/28	2.338	2.380	2.338	2.350	1958020	4620039.00
2024/10/29	2.343	2.353	2.341	2.346	1254197	2940137.00
2024/10/30	2.341	2.346	2.332	2.340	1958156	4582278.50
2024/10/31	2.362	2.362	2.335	2.342	418673	980728.00
2024/11/01	2.342	2.342	2.332	2.334	820900	1917863.63
2024/11/04	2.331	2.341	2.326	2.333	999723	2330910.00
2024/11/05	2.330	2.336	2.323	2.328	1474471	3433979.25
2024/11/06	2.332	2.332	2.318	2.321	695539	1615440.50
2024/11/07	2.321	2.330	2.321	2.326	822939	1914924.75
2024/11/08	2.329	2.333	2.313	2.314	763669	1775203.88
2024/11/11	2.301	2.328	2.300	2.326	904234	2094949.38
2024/11/12	2.325	2.338	2.308	2.319	1117131	2600242.75
2024/11/13	2.307	2.355	2.307	2.349	1948852	4548249.00
2024/11/14	2.338	2.373	2.337	2.371	710135	1676122.38
2024/11/15	2.372	2.376	2.352	2.360	269311	637275.94
2024/11/18	2.361	2.365	2.358	2.358	308144	726743.94
2024/11/19	2.351	2.365	2.351	2.363	607808	1435106.00
2024/11/20	2.355	2.362	2.355	2.357	385900	909981.81
2024/11/21	2.351	2.361	2.351	2.353	2007408	4726655.00
2024/11/22	2.347	2.356	2.332	2.332	404300	946717.50
2024/11/25	2.332	2.332	2.303	2.330	452455	1047107.44
2024/11/26	2.327	2.330	2.316	2.330	408400	949313.31
2024/11/27	2.311	2.350	2.311	2.340	1165681	2722931.50
2024/11/28	2.340	2.351	2.323	2.346	637104	1492041.38
2024/11/29	2.326	2.337	2.326	2.331	59912	139817.02
2024/12/02	2.342	2.353	2.321	2.352	436506	1020552.50
2024/12/03	2.353	2.359	2.336	2.351	299791	703653.88
2024/12/04	2.354	2.358	2.336	2.352	1911481	4490276.50
2024/12/05	2.331	2.368	2.331	2.355	1658741	3910241.50
2024/12/06	2.335	2.358	2.335	2.356	1072208	2520900.00
2024/12/09	2.356	2.375	2.344	2.350	532011	1249364.75
2024/12/10	2.380	2.380	2.340	2.351	375838	883504.63
2024/12/11	2.342	2.368	2.341	2.352	764704	1799488.63
2024/12/12	2.361	2.361	2.344	2.356	2951991	6944930.50
2024/12/13	2.347	2.359	2.347	2.355	411355	968945.38
2024/12/16	2.355	2.361	2.349	2.350	1561707	3676144.75
2024/12/17	2.353	2.353	2.345	2.345	2181412	5125972.50
2024/12/18	2.349	2.352	2.340	2.345	1613359	3784183.00
2024/12/19	2.344	2.350	2.343	2.345	192366	451187.19
2024/12/20	2.346	2.350	2.346	2.350	179942	422799.88
2024/12/23	2.349	2.357	2.347	2.356	1200581	2822592.75
2024/12/24	2.381	2.381	2.334	2.351	929441	2185401.25
2024/12/25	2.344	2.364	2.344	2.352	2512583	5915712.00
2024/12/26	2.350	2.360	2.349	2.352	474004	1115321.00
2024/12/27	2.352	2.360	2.350	2.350	501171	1179597.75
2024/12/30	2.350	2.377	2.350	2.366	1921500	4546761.50
2024/12/31	2.356	2.369	2.352	2.364	379804	896521.25
2025/01/02	2.365	2.395	2.353	2.370	2779820	6603180.00
2025/01/03	2.372	2.458	2.358	2.457	4875613	11868338.00
2025/01/06	2.460	2.506	2.419	2.476	7475253	18525678.00
2025/01/07	2.470	2.470	2.376	2.422	2299216	5545449.00
2025/01/08	2.383	2.468	2.383	2.461	5326260	13048623.00
2025/01/09	2.453	2.485	2.431	2.485	3591308	8880368.00
2025/01/10	2.485	2.500	2.460	2.500	5634967	14019018.00
2025/01/13	2.483	2.514	2.428	2.446	3724340	9249048.00
2025/01/14	2.430	2.452	2.399	2.408	2096908	5087355.00
2025/01/15	2.408	2.464	2.398	2.456	2351204	5741937.50
2025/01/16	2.443	2.462	2.438	2.462	874720	2148487.75
2025/01/17	2.447	2.455	2.437	2.439	1324200	3239140.25
2025/01/20	2.424	2.458	2.424	2.457	1796916	4384929.00
2025/01/21	2.448	2.464	2.434	2.462	3569710	8776423.00
2025/01/22	2.462	2.476	2.452	2.473	955408	2354604.75
2025/01/23	2.459	2.489	2.458	2.473	1628631	4018389.50
