180106 广发成都高投产业 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/12/19	3.250	3.474	3.250	3.399	4196008	14065561.00
2024/12/20	3.394	3.445	3.353	3.421	2288237	7730236.50
2024/12/23	3.428	3.450	3.364	3.420	942473	3202310.25
2024/12/24	3.420	3.420	3.375	3.396	2140143	7239022.50
2024/12/25	3.400	3.400	3.341	3.389	1007802	3397378.25
2024/12/26	3.380	3.400	3.350	3.400	1785270	6015722.00
2024/12/27	3.398	3.421	3.362	3.421	774881	2636210.75
2024/12/30	3.421	3.452	3.381	3.444	2982111	10260231.00
2024/12/31	3.445	3.499	3.440	3.473	1680911	5798236.50
2025/01/02	3.472	3.472	3.435	3.468	2124966	7349653.00
2025/01/03	3.466	3.555	3.436	3.555	4694397	16438924.00
2025/01/06	3.660	3.660	3.515	3.609	2725745	9819273.00
2025/01/07	3.619	3.970	3.519	3.570	1647627	5917455.50
2025/01/08	3.591	3.600	3.575	3.599	1685854	6056270.50
2025/01/09	3.595	3.950	3.595	3.749	2145274	7934379.50
2025/01/10	3.819	3.819	3.713	3.750	1331751	4990722.50
2025/01/13	3.750	3.787	3.740	3.740	690900	2594703.25
2025/01/14	3.776	3.776	3.666	3.732	2426290	9073360.00
2025/01/15	3.749	3.776	3.706	3.722	1786108	6660012.50
2025/01/16	3.770	3.770	3.686	3.718	772616	2860349.25
2025/01/17	3.765	3.765	3.678	3.719	1144332	4249127.00
2025/01/20	3.679	3.760	3.679	3.726	2110224	7851060.50
2025/01/21	3.726	4.098	3.693	3.726	2213800	8243487.50
2025/01/22	3.740	3.750	3.720	3.735	849500	3168227.50
2025/01/23	3.735	3.790	3.700	3.781	2705308	10143794.00
2025/01/24	3.781	3.888	3.770	3.877	1490698	5754034.50
2025/01/27	3.851	4.046	3.851	4.004	760094	3031500.25
2025/02/05	4.004	4.054	3.964	3.996	1173143	4671890.00
2025/02/06	4.036	4.036	3.956	3.998	761540	3035584.00
2025/02/07	4.026	4.380	3.960	4.021	1281494	5106431.00
2025/02/10	4.021	4.088	4.020	4.082	716673	2898939.00
2025/02/11	4.082	4.195	4.082	4.195	1243630	5158580.00
2025/02/12	4.199	4.321	4.129	4.167	1192500	5016842.50
2025/02/13	4.167	4.279	4.057	4.110	2003340	8235603.00
2025/02/14	4.148	4.148	3.981	4.115	2356284	9619357.00
2025/02/17	4.100	4.126	4.079	4.096	1063608	4369046.50
2025/02/18	4.096	4.120	4.018	4.060	2260408	9161750.00
2025/02/19	4.055	4.099	4.016	4.065	1021615	4141217.00
2025/02/20	4.065	4.096	4.020	4.050	1025908	4150671.00
2025/02/21	4.050	4.087	3.987	4.050	1092408	4419135.50
2025/02/24	4.053	4.100	4.000	4.064	1293962	5272308.00
2025/02/25	4.062	4.080	4.035	4.050	405814	1646393.25
2025/02/26	4.060	4.086	4.043	4.049	500226	2029735.88
2025/02/27	4.059	4.061	3.975	4.005	1115130	4466872.50
2025/02/28	4.015	4.025	3.980	3.993	1112188	4441854.50
2025/03/03	3.953	4.050	3.953	3.974	819315	3271018.75
2025/03/04	4.012	4.059	3.979	3.990	1094600	4394772.00
2025/03/05	3.960	4.045	3.960	3.988	507800	2029891.50
2025/03/06	3.965	4.000	3.965	3.978	431608	1716414.38
2025/03/07	3.990	3.990	3.962	3.979	538000	2138312.00
2025/03/10	4.000	4.019	3.995	3.999	1711100	6849960.50
2025/03/11	3.970	4.119	3.970	4.001	737223	2947285.25
2025/03/12	4.035	4.035	3.962	4.002	171700	687878.13
2025/03/13	4.002	4.010	3.989	4.003	337546	1349857.63
2025/03/14	4.052	4.052	3.995	4.004	311222	1245226.88
2025/03/17	4.036	4.064	3.967	4.040	1215131	4905420.50
2025/03/18	4.069	4.069	4.037	4.044	559061	2259081.75
2025/03/19	4.076	4.099	4.050	4.090	997145	4068294.25
2025/03/20	4.123	4.130	4.082	4.110	898414	3686018.00
2025/03/21	4.137	4.137	4.091	4.104	460100	1887098.38
2025/03/24	4.101	4.130	4.063	4.080	725103	2959043.00
2025/03/25	4.083	4.102	4.073	4.089	748345	3058020.25
2025/03/26	4.079	4.106	4.079	4.100	378697	1551547.25
2025/03/27	4.112	4.121	4.098	4.112	741104	3040515.75
2025/03/28	4.133	4.156	4.133	4.138	743700	3078772.00
2025/03/31	4.160	4.160	4.063	4.080	506692	2079719.50
2025/04/01	4.041	4.487	4.030	4.053	662700	2695704.50
2025/04/02	4.085	4.090	4.069	4.088	642600	2619891.00
2025/04/03	4.090	4.149	4.090	4.110	703960	2890960.50
2025/04/07	4.110	4.110	4.054	4.100	1573508	6442600.00
2025/04/08	4.100	4.100	4.080	4.095	439308	1796548.00
2025/04/09	4.143	4.143	4.051	4.065	762208	3097891.50
2025/04/10	4.098	4.098	4.050	4.086	33500	136843.30
2025/04/11	4.106	4.208	4.106	4.200	906337	3790750.25
2025/04/14	4.250	4.250	4.160	4.200	274200	1149346.25
2025/04/15	4.179	4.200	4.167	4.180	626300	2616103.50
2025/04/16	4.197	4.197	4.163	4.172	265734	1108494.63
2025/04/17	4.189	4.206	4.162	4.189	599700	2505942.75
2025/04/18	4.206	4.206	4.150	4.171	162608	677316.00
2025/04/21	4.156	4.167	4.154	4.154	209552	871294.44
2025/04/22	4.154	4.154	4.050	4.075	1017400	4153324.50
2025/04/23	4.075	4.087	4.068	4.070	547000	2228068.50
2025/04/24	4.070	4.086	4.054	4.067	394900	1604566.63
2025/04/25	4.082	4.082	4.049	4.054	433700	1759476.25
2025/04/28	4.054	4.054	3.927	3.938	987900	3920022.00
2025/04/29	3.968	3.999	3.931	3.976	431800	1717053.75
2025/04/30	3.998	4.015	3.937	4.000	745808	2955922.50
2025/05/06	3.984	4.010	3.980	3.980	708500	2823698.00
2025/05/07	3.999	3.999	3.958	3.969	963700	3825050.25
2025/05/08	3.969	3.979	3.962	3.974	769200	3052796.00
2025/05/09	3.963	3.982	3.958	3.959	1909508	7565538.00
2025/05/12	3.951	3.970	3.950	3.965	1224500	4844406.50
2025/05/13	3.965	4.011	3.960	3.997	1203400	4804110.00
2025/05/14	3.981	4.026	3.981	4.020	1016154	4066807.75
2025/05/15	4.004	4.034	3.984	3.984	301700	1206710.00
2025/05/16	3.999	4.005	3.979	3.996	669400	2675918.75
2025/05/19	4.070	4.070	4.000	4.021	1973200	7937650.00
2025/05/20	4.044	4.090	4.023	4.066	2536212	10298153.00
2025/05/21	4.082	4.161	4.080	4.155	1716842	7093952.00
2025/05/22	4.161	4.210	4.145	4.168	2660800	11137621.00
2025/05/23	4.165	4.254	4.129	4.193	753000	3146064.00
2025/05/26	4.210	4.214	4.179	4.194	1383800	5810339.00
2025/05/27	4.208	4.208	4.157	4.188	1293408	5404542.00
2025/05/28	4.188	4.188	4.141	4.153	1237100	5145380.00
2025/05/29	4.137	4.219	4.137	4.190	460822	1931816.50
2025/05/30	4.199	4.205	4.160	4.184	1341800	5614414.50
2025/06/03	4.173	4.200	4.173	4.195	617600	2589256.25
2025/06/04	4.207	4.220	4.192	4.199	930908	3914631.25
2025/06/05	4.216	4.216	4.198	4.200	836000	3513692.75
2025/06/06	4.217	4.234	4.200	4.210	1677400	7064593.00
2025/06/09	4.210	4.300	4.210	4.300	1142087	4876928.00
2025/06/10	4.316	4.316	4.237	4.250	487200	2080089.63
2025/06/11	4.233	4.344	4.233	4.270	1260005	5412843.50
2025/06/12	4.275	4.275	4.240	4.256	1190400	5070304.50
2025/06/13	4.264	4.290	4.243	4.290	649508	2770112.25
2025/06/16	4.305	4.305	4.276	4.289	458108	1963326.63
2025/06/17	4.297	4.336	4.281	4.298	691008	2972072.50
2025/06/18	4.298	4.351	4.277	4.310	695200	3000267.50
2025/06/19	4.298	4.346	4.298	4.320	462815	1999189.25
2025/06/20	4.331	4.352	4.303	4.323	583600	2521659.00
2025/06/23	4.323	4.376	4.304	4.318	708165	3064270.25
2025/06/24	4.306	4.360	4.214	4.270	725800	3096273.00
2025/06/25	4.265	4.350	4.233	4.241	346930	1475186.13
2025/06/26	4.237	4.366	4.169	4.169	346000	1460814.88
2025/06/27	4.186	4.202	4.101	4.156	1171846	4833822.00
2025/06/30	4.139	4.145	4.108	4.120	479400	1976877.88
2025/07/01	4.126	4.127	4.106	4.107	239700	985565.69
2025/07/02	4.119	4.164	4.101	4.163	1368041	5674300.50
2025/07/03	4.163	4.190	4.146	4.185	508800	2125569.00
2025/07/04	4.185	4.229	4.180	4.203	1277908	5374788.00
2025/07/07	4.203	4.225	4.104	4.151	882642	3650359.75
2025/07/08	4.134	4.141	4.119	4.135	140708	581374.44
2025/07/09	4.160	4.180	4.118	4.130	631309	2616835.00
2025/07/10	4.145	4.155	4.128	4.133	2046476	8473194.00
2025/07/11	4.130	4.200	4.115	4.158	1602916	6660155.00
2025/07/14	4.120	4.124	3.994	4.005	727707	2918422.75
2025/07/15	4.021	4.052	4.005	4.052	795247	3212053.75
2025/07/16	4.036	4.052	3.972	4.048	661300	2667135.50
2025/07/17	4.097	4.097	4.030	4.039	562500	2272410.75
2025/07/18	4.023	4.028	3.970	3.997	610700	2436270.25
2025/07/21	3.981	3.981	3.877	3.880	1270734	4954382.50
2025/07/22	3.878	3.878	3.771	3.787	1953600	7421941.50
2025/07/23	3.788	3.797	3.730	3.748	1658831	6201714.50
2025/07/24	3.759	3.763	3.726	3.747	1034315	3862054.00
2025/07/25	3.733	3.769	3.733	3.764	1151600	4323330.00
2025/07/28	3.775	3.866	3.768	3.829	1651314	6332571.50
2025/07/29	3.829	3.850	3.790	3.806	1127900	4316952.00
2025/07/30	3.817	3.863	3.800	3.849	1732814	6624940.50
2025/07/31	3.840	3.870	3.834	3.868	559915	2161785.50
2025/08/01	3.868	3.880	3.840	3.879	526400	2030854.25
2025/08/04	3.891	3.895	3.859	3.875	914600	3537484.75
2025/08/05	3.875	3.875	3.823	3.859	268800	1032984.69
2025/08/06	3.868	3.878	3.829	3.850	310700	1195737.25
2025/08/07	3.835	3.849	3.814	3.836	393000	1504996.75
2025/08/08	3.821	3.845	3.802	3.811	683600	2610171.50
2025/08/11	3.822	3.865	3.814	3.865	51627	197995.38
2025/08/12	3.880	3.899	3.810	3.831	791600	3024804.50
2025/08/13	3.830	3.840	3.800	3.840	210800	803587.13
2025/08/14	3.825	3.856	3.801	3.811	648108	2475180.00
2025/08/15	3.805	3.810	3.701	3.797	1022800	3842036.00
2025/08/18	3.796	3.796	3.701	3.726	228108	851191.06
2025/08/19	3.726	3.726	3.648	3.682	414715	1519054.75
2025/08/20	3.650	3.753	3.650	3.748	905100	3351559.00
2025/08/21	3.778	3.785	3.666	3.714	953800	3533463.00
2025/08/22	3.712	3.749	3.678	3.747	734654	2716962.00
2025/08/25	3.748	3.804	3.735	3.778	1419114	5332190.00
2025/08/26	3.791	3.801	3.745	3.782	943900	3552969.00
2025/08/27	3.790	3.801	3.742	3.785	1103715	4181010.25
2025/08/28	3.785	3.785	3.706	3.720	1543644	5791841.50
