180201 平安广州广河REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/06/21	13.790	13.790	13.029	13.108	18102629	238979024.00
2021/06/22	13.106	13.106	12.576	13.050	3610793	46636672.00
2021/06/23	13.050	13.067	12.960	13.026	2256822	29320408.00
2021/06/24	13.028	13.028	12.956	12.963	1869054	24233048.00
2021/06/25	12.967	13.045	12.930	13.045	1480183	19193278.00
2021/06/28	13.041	13.041	12.958	12.961	1129606	14644387.00
2021/06/29	12.961	12.961	12.909	12.922	1033681	13358300.00
2021/06/30	12.929	12.960	12.909	12.955	707191	9136565.00
2021/07/01	12.955	13.098	12.949	13.044	1087307	14132550.00
2021/07/02	13.040	13.040	12.931	12.956	874909	11337486.00
2021/07/05	12.956	12.956	12.933	12.936	530072	6861273.00
2021/07/06	12.936	12.936	12.911	12.913	770805	9956444.00
2021/07/07	12.913	12.914	12.889	12.890	773215	9971332.00
2021/07/08	12.890	12.890	12.808	12.808	1092297	14008986.00
2021/07/09	12.807	12.808	12.721	12.738	922199	11748048.00
2021/07/12	12.738	12.738	12.688	12.689	1122455	14253325.00
2021/07/13	12.689	12.689	12.590	12.595	1050576	13240844.00
2021/07/14	12.594	12.594	12.500	12.505	1218170	15244623.00
2021/07/15	12.505	12.594	12.505	12.588	1254839	15769945.00
2021/07/16	12.588	12.718	12.570	12.703	1326273	16791294.00
2021/07/19	12.704	12.774	12.704	12.743	1417718	18035346.00
2021/07/20	12.743	12.743	12.690	12.737	889797	11309643.00
2021/07/21	12.736	12.738	12.701	12.710	702307	8930077.00
2021/07/22	12.710	12.710	12.606	12.646	486480	6151105.50
2021/07/23	12.646	12.696	12.646	12.672	665894	8431462.00
2021/07/26	12.672	12.672	12.587	12.615	906550	11438826.00
2021/07/27	12.688	12.688	12.545	12.576	1209440	15244278.00
2021/07/28	12.576	12.576	12.546	12.552	1153738	14492590.00
2021/07/29	12.552	12.574	12.550	12.557	1133542	14239142.00
2021/07/30	12.556	12.556	12.526	12.534	1654445	20737130.00
2021/08/02	12.533	12.533	12.505	12.511	1590821	19905600.00
2021/08/03	12.510	12.520	12.503	12.506	1426437	17846860.00
2021/08/04	12.505	12.520	12.501	12.506	916174	11459716.00
2021/08/05	12.506	12.520	12.502	12.504	1544296	19311910.00
2021/08/06	12.503	12.513	12.490	12.507	2607022	32591256.00
2021/08/09	12.507	12.524	12.507	12.518	1285312	16085712.00
2021/08/10	12.516	12.518	12.506	12.511	1275498	15957589.00
2021/08/11	12.512	12.512	12.506	12.511	1278888	15998559.00
2021/08/12	12.510	12.514	12.503	12.511	1308586	16371688.00
2021/08/13	12.511	12.520	12.502	12.513	936975	11721868.00
2021/08/16	12.513	12.513	12.505	12.507	1458931	18248844.00
2021/08/17	12.507	12.510	12.500	12.501	1538114	19233636.00
2021/08/18	12.500	12.505	12.496	12.500	1303793	16297654.00
2021/08/19	12.499	12.513	12.498	12.513	2025915	25332612.00
2021/08/20	12.513	12.537	12.502	12.536	1664501	20848538.00
2021/08/23	12.537	12.619	12.523	12.605	1149131	14448124.00
2021/08/24	12.603	12.628	12.581	12.624	1509468	19034492.00
2021/08/25	12.625	12.659	12.620	12.656	1439832	18207128.00
2021/08/26	12.656	12.684	12.635	12.680	1970539	24970224.00
2021/08/27	12.680	12.771	12.680	12.767	2987618	38093744.00
2021/08/30	12.767	12.939	12.767	12.895	4147151	53371248.00
2021/08/31	12.896	12.946	12.770	12.933	3227035	41716732.00
2021/09/01	12.933	12.933	12.851	12.857	1359139	17482566.00
2021/09/02	12.856	12.868	12.805	12.824	1309614	16812816.00
2021/09/03	12.824	12.824	12.808	12.820	853161	10936495.00
2021/09/06	12.819	12.829	12.800	12.827	744523	9544362.00
2021/09/07	12.826	12.850	12.771	12.826	1390256	17830676.00
2021/09/08	12.825	12.849	12.825	12.845	547670	7032793.00
2021/09/09	12.845	12.848	12.817	12.827	656530	8429737.00
2021/09/10	12.827	12.827	12.801	12.804	728449	9329778.00
2021/09/13	12.803	12.816	12.791	12.809	1644082	21055078.00
