180202 华夏越秀高速REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/12/14	7.868	9.159	7.868	8.716	33023731	278061184.00
2021/12/15	8.716	9.500	8.716	9.400	11973002	109460352.00
2021/12/16	9.400	10.000	9.400	9.528	11062262	107266056.00
2021/12/17	9.529	9.983	9.529	9.794	7737235	75411944.00
2021/12/20	9.794	9.815	8.950	9.150	6219011	57991468.00
2021/12/21	9.134	9.135	8.700	8.817	3994287	35202292.00
2021/12/22	8.817	8.984	8.700	8.960	3319259	29216836.00
2021/12/23	8.961	9.237	8.961	9.234	3312644	30382474.00
2021/12/24	9.235	9.350	9.110	9.212	2631185	24268928.00
2021/12/27	9.213	9.255	9.157	9.198	1990796	18292868.00
2021/12/28	9.200	9.221	9.178	9.187	1514790	13919060.00
2021/12/29	9.187	9.187	9.090	9.094	2034653	18553934.00
2021/12/30	9.093	9.093	9.000	9.004	1999539	18015840.00
2021/12/31	9.004	9.094	8.943	9.094	1819238	16441035.00
2022/01/04	9.094	9.180	9.091	9.097	1676172	15252491.00
2022/01/05	9.098	9.120	9.066	9.068	1290561	11707008.00
2022/01/06	9.068	9.089	9.030	9.043	1437895	12997759.00
2022/01/07	9.042	9.042	9.001	9.021	1417987	12794696.00
2022/01/10	9.021	9.021	8.990	9.006	1562838	14058685.00
2022/01/11	9.006	9.006	8.986	8.988	1169980	10516620.00
2022/01/12	8.988	9.127	8.988	9.095	2284067	20776344.00
2022/01/13	9.096	9.130	9.063	9.070	1920316	17475078.00
2022/01/14	9.070	9.070	8.990	9.004	1488155	13413540.00
2022/01/17	9.004	9.069	9.000	9.046	1861893	16817998.00
2022/01/18	9.046	9.050	9.022	9.030	1429895	12908206.00
2022/01/19	9.030	9.054	9.018	9.023	1589543	14343986.00
2022/01/20	9.023	9.023	9.015	9.019	1696508	15299139.00
2022/01/21	9.019	9.245	9.014	9.180	3087958	28207852.00
2022/01/24	9.180	9.605	9.180	9.343	4954750	46259788.00
2022/01/25	9.344	9.450	9.111	9.156	2914173	26863662.00
2022/01/26	9.156	9.156	9.029	9.101	2296140	20901132.00
2022/01/27	9.101	9.151	9.071	9.088	2574068	23397204.00
2022/01/28	9.090	9.239	9.090	9.239	2677511	24538834.00
2022/02/07	9.243	9.520	9.243	9.510	3926182	37052380.00
2022/02/08	9.511	9.868	9.511	9.599	5926003	57585016.00
2022/02/09	9.620	9.688	9.333	9.543	5491842	51923788.00
2022/02/10	9.516	9.610	9.370	9.549	3900951	37110536.00
2022/02/11	9.549	9.780	9.519	9.764	5368012	51809056.00
2022/02/14	9.763	9.975	9.703	9.930	6417798	63516684.00
2022/02/15	9.930	10.049	9.788	9.966	6355443	63210784.00
2022/02/16	9.966	9.967	9.585	9.847	4383163	42947800.00
2022/02/17	9.650	9.848	9.585	9.642	4641698	44997652.00
2022/02/18	9.600	9.829	9.450	9.820	5158212	49593992.00
2022/02/21	9.822	9.898	9.715	9.763	3254854	31909966.00
2022/02/22	9.650	9.712	9.460	9.470	3650242	34848520.00
2022/02/23	9.470	9.470	9.201	9.384	3494780	32600288.00
2022/02/24	9.382	9.382	9.109	9.122	2673866	24713054.00
2022/02/25	9.122	9.305	9.122	9.199	3228187	29747982.00
2022/02/28	9.199	9.240	9.160	9.175	1798509	16503133.00
2022/03/01	9.175	9.212	9.032	9.111	2184042	19860264.00
2022/03/02	9.111	9.237	8.961	9.199	2673941	24393548.00
2022/03/03	9.200	9.308	9.200	9.308	2430603	22560002.00
2022/03/04	9.309	9.380	9.193	9.205	2913547	26982180.00
2022/03/07	9.194	9.194	9.010	9.018	2719012	24630334.00
2022/03/08	8.989	8.989	8.910	8.919	2292867	20491854.00
2022/03/09	8.919	9.014	8.728	8.835	2698686	23895626.00
2022/03/10	8.838	8.930	8.838	8.883	2231392	19831732.00
2022/03/11	8.800	8.800	8.700	8.720	2808608	24512556.00
2022/03/14	8.720	8.720	8.530	8.541	2162916	18542618.00
2022/03/15	8.518	8.518	8.040	8.064	4837684	39741764.00
