180203 招商高速公路REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/11/21	6.993	7.000	6.855	6.980	2893119	20139360.00
2024/11/22	6.939	6.979	6.908	6.943	134232	932433.81
2024/11/25	6.908	6.936	6.888	6.895	134467	927026.63
2024/11/26	6.890	6.899	6.888	6.889	139484	961565.50
2024/11/27	6.888	6.923	6.865	6.888	186126	1280867.25
2024/11/28	6.879	6.879	6.850	6.856	129642	890346.94
2024/11/29	6.855	6.855	6.820	6.822	100178	683773.81
2024/12/02	6.857	6.857	6.799	6.805	229979	1566474.25
2024/12/03	6.766	6.818	6.766	6.775	233302	1580259.38
2024/12/04	6.769	6.790	6.698	6.707	891542	5991893.00
2024/12/05	6.706	6.706	6.487	6.599	1245600	8185225.50
2024/12/06	6.565	6.607	6.501	6.590	576648	3794828.75
2024/12/09	6.590	6.648	6.510	6.560	361383	2364653.75
2024/12/10	6.559	6.559	6.523	6.523	1848600	12070634.00
2024/12/11	6.548	6.561	6.530	6.550	1320600	8645608.00
2024/12/12	6.591	6.679	6.550	6.587	933942	6171622.00
2024/12/13	6.580	6.608	6.578	6.587	659111	4341451.00
2024/12/16	6.586	6.587	6.526	6.527	765100	5027164.00
2024/12/17	6.526	6.584	6.508	6.549	559074	3661934.25
2024/12/18	6.588	6.588	6.541	6.548	538000	3523125.50
2024/12/19	6.589	6.589	6.530	6.540	305579	1999122.25
2024/12/20	6.535	6.566	6.525	6.539	692968	4531235.50
2024/12/23	6.510	6.550	6.510	6.547	135442	886075.38
2024/12/24	6.588	6.588	6.527	6.582	705943	4624889.00
2024/12/25	6.589	6.636	6.588	6.609	543233	3594098.00
2024/12/26	6.649	6.669	6.649	6.660	880542	5862850.50
2024/12/27	6.722	6.722	6.661	6.673	437562	2917628.75
2024/12/30	6.679	6.685	6.666	6.675	654760	4370080.50
2024/12/31	6.268	6.351	6.247	6.325	530883	3342898.00
2025/01/02	6.365	6.421	6.337	6.390	930300	5926342.50
2025/01/03	6.350	6.405	6.317	6.320	748923	4761903.50
2025/01/06	6.320	6.323	6.253	6.260	1211042	7601802.00
2025/01/07	6.260	6.260	6.143	6.205	634900	3926648.50
2025/01/08	6.195	6.295	6.195	6.289	2145244	13406598.00
2025/01/09	6.294	6.356	6.271	6.336	447228	2827166.00
2025/01/10	6.336	6.365	6.299	6.342	625976	3966527.00
2025/01/13	6.342	6.400	6.319	6.373	584679	3720970.25
2025/01/14	6.373	6.402	6.373	6.375	370942	2365917.25
2025/01/15	6.420	6.420	6.003	6.410	629700	4027475.50
2025/01/16	6.410	6.427	6.409	6.411	733900	4710659.50
2025/01/17	6.410	6.437	6.377	6.427	1463303	9356185.00
2025/01/20	6.427	6.556	6.427	6.471	604206	3916211.25
2025/01/21	6.480	6.537	6.460	6.512	1185737	7723187.50
2025/01/22	6.544	6.581	6.530	6.550	873875	5736419.50
2025/01/23	6.600	6.600	6.510	6.521	980000	6414795.50
2025/01/24	6.520	6.583	6.520	6.569	485496	3185964.75
2025/01/27	6.622	6.622	6.558	6.585	595100	3915553.50
2025/02/05	6.619	6.619	6.540	6.550	507300	3334847.75
2025/02/06	6.514	6.562	6.514	6.542	1250499	8191763.00
2025/02/07	6.540	6.540	6.476	6.535	577475	3751125.75
2025/02/10	6.535	6.599	6.524	6.595	830884	5444636.00
2025/02/11	6.599	6.663	6.582	6.658	709205	4711953.00
2025/02/12	6.659	6.776	6.658	6.662	1518632	10177888.00
2025/02/13	6.753	6.753	6.665	6.713	1502581	10093524.00
2025/02/14	6.673	6.852	6.592	6.852	1018453	6867571.00
2025/02/17	6.848	6.870	6.774	6.829	1004659	6852211.00
2025/02/18	6.789	6.826	6.700	6.748	1421433	9592515.00
2025/02/19	6.709	6.820	6.708	6.768	1028768	6972843.00
2025/02/20	6.814	7.000	6.802	6.980	1658101	11472125.00
2025/02/21	7.007	7.283	7.007	7.270	1117233	8006535.50
2025/02/24	7.350	7.350	7.190	7.225	1552800	11256533.00
2025/02/25	7.220	7.280	7.025	7.280	984242	7091276.50
2025/02/26	7.280	7.294	7.235	7.241	899542	6515242.00
2025/02/27	7.241	7.350	7.224	7.250	701700	5091521.50
2025/02/28	7.210	7.250	7.121	7.246	748058	5355048.00
2025/03/03	7.236	7.236	7.117	7.228	2287642	16507174.00
2025/03/04	7.211	7.250	7.211	7.250	963200	6976256.00
2025/03/05	7.210	7.291	7.145	7.267	627700	4543510.50
2025/03/06	7.237	7.262	7.212	7.245	1277900	9244204.00
2025/03/07	7.266	7.266	7.191	7.205	513542	3697539.75
2025/03/10	7.206	7.242	7.171	7.225	879800	6326407.50
2025/03/11	7.245	7.249	7.180	7.191	838300	6046717.50
2025/03/12	7.175	7.200	7.093	7.101	1229649	8767057.00
2025/03/13	7.101	7.101	7.050	7.091	743200	5265786.00
2025/03/14	7.051	7.180	7.030	7.155	574959	4109850.75
2025/03/17	7.118	7.273	7.115	7.265	871500	6284792.50
2025/03/18	7.265	7.265	7.239	7.251	837600	6073769.00
2025/03/19	7.251	7.253	7.180	7.182	804042	5802048.50
2025/03/20	7.182	7.270	7.182	7.228	822704	5940759.50
2025/03/21	7.193	7.260	7.193	7.259	831286	5999436.00
2025/03/24	7.259	7.270	7.242	7.268	890715	6467039.50
2025/03/25	7.268	7.268	7.229	7.261	539903	3913695.00
2025/03/26	7.261	7.261	7.222	7.244	922200	6674880.00
2025/03/27	7.226	7.259	7.226	7.250	640500	4641710.00
2025/03/28	7.233	7.421	7.233	7.421	553142	4062423.25
2025/03/31	7.421	7.453	7.281	7.358	763642	5605198.00
2025/04/01	7.358	7.358	7.266	7.272	364200	2665133.00
2025/04/02	7.272	7.330	7.272	7.296	661542	4831790.50
2025/04/03	7.300	7.450	7.258	7.330	334430	2451298.25
2025/04/07	7.290	7.350	7.206	7.241	570100	4132704.50
2025/04/08	7.206	7.350	7.206	7.342	670353	4913035.00
2025/04/09	7.342	7.385	7.253	7.297	475000	3485613.25
2025/04/10	7.301	7.401	7.260	7.398	582451	4291231.00
2025/04/11	7.400	7.472	7.400	7.450	489042	3644443.75
2025/04/14	7.428	7.575	7.428	7.482	284800	2129578.75
2025/04/15	7.487	7.487	7.452	7.479	162030	1211842.38
2025/04/16	7.458	7.506	7.442	7.450	154330	1151829.13
2025/04/17	7.440	7.479	7.419	7.450	431942	3222834.50
2025/04/18	7.429	7.459	7.388	7.400	289700	2153028.50
2025/04/21	7.400	7.420	7.368	7.390	356500	2636446.00
2025/04/22	7.360	7.381	7.347	7.370	395100	2908107.75
2025/04/23	7.347	7.421	7.347	7.397	178842	1323076.50
2025/04/24	7.367	7.382	7.320	7.366	173221	1274773.25
2025/04/25	7.366	7.410	7.366	7.382	518000	3822434.50
2025/04/28	7.375	7.402	7.375	7.381	567100	4187501.25
2025/04/29	7.381	7.381	7.341	7.380	227860	1676190.50
2025/04/30	7.380	7.420	7.380	7.395	398500	2947835.00
2025/05/06	7.395	7.417	7.362	7.380	994500	7341635.00
2025/05/07	7.362	7.384	7.362	7.365	270000	1989156.00
2025/05/08	7.366	7.366	7.260	7.270	313200	2287829.25
2025/05/09	7.270	7.290	7.154	7.188	871399	6296728.50
2025/05/12	7.209	7.289	7.185	7.247	498300	3618535.50
2025/05/13	7.247	7.300	7.247	7.280	481500	3506464.25
2025/05/14	7.309	7.343	7.306	7.307	567581	4153728.50
2025/05/15	7.326	7.332	7.270	7.271	490300	3586423.00
2025/05/16	7.271	7.315	7.251	7.255	455200	3313883.50
2025/05/19	7.255	7.342	7.251	7.326	1555195	11364541.00
2025/05/20	7.303	7.480	7.300	7.479	2077779	15476727.00
2025/05/21	7.500	7.741	7.500	7.731	2651600	20291298.00
2025/05/22	7.731	7.916	7.731	7.849	1752300	13758246.00
2025/05/23	7.849	8.095	7.849	8.092	2495589	19980444.00
2025/05/26	8.060	8.377	8.059	8.197	1848458	15189060.00
2025/05/27	7.989	7.989	7.825	7.981	2448610	19367374.00
2025/05/28	7.949	7.985	7.835	7.985	619530	4871774.50
2025/05/29	7.985	8.061	7.857	8.016	666946	5308899.50
2025/05/30	7.984	8.047	7.964	8.030	566738	4541859.50
2025/06/03	8.025	8.299	7.996	8.275	836592	6772838.00
2025/06/04	8.365	8.560	8.280	8.560	717000	6049483.00
2025/06/05	8.594	8.831	8.594	8.798	898833	7865096.00
2025/06/06	8.836	8.980	8.613	8.669	1257205	10945068.00
2025/06/09	8.666	8.670	8.375	8.539	652973	5567008.50
2025/06/10	8.505	8.618	8.375	8.570	529172	4525098.00
2025/06/11	8.570	8.590	8.537	8.569	376200	3223597.50
2025/06/12	8.535	8.545	8.509	8.539	420979	3590759.50
2025/06/13	8.507	8.560	8.483	8.533	492500	4189271.50
2025/06/16	8.567	8.689	8.540	8.615	501115	4308319.50
2025/06/17	8.620	8.665	8.497	8.501	471258	4065185.25
2025/06/18	8.497	8.559	8.469	8.480	314979	2670786.50
2025/06/19	8.514	8.550	8.480	8.484	354000	3013627.25
2025/06/20	8.518	8.644	8.451	8.521	451200	3863779.25
2025/06/23	8.521	8.649	8.488	8.507	486997	4148537.50
2025/06/24	8.488	8.521	8.400	8.430	372000	3135716.75
2025/06/25	8.430	8.430	8.305	8.319	157900	1317386.00
2025/06/26	8.286	8.303	8.128	8.190	637746	5213168.50
2025/06/27	8.222	8.354	8.008	8.354	1586810	12834182.00
2025/06/30	8.507	8.507	8.310	8.380	1512200	12668889.00
2025/07/01	8.414	8.450	8.313	8.446	563900	4726146.00
2025/07/02	8.449	8.520	8.441	8.510	479300	4060192.00
2025/07/03	8.547	8.599	8.470	8.574	316700	2713844.25
2025/07/04	8.560	8.615	8.535	8.565	362837	3116321.50
2025/07/07	8.541	8.589	8.541	8.578	447139	3828398.25
2025/07/08	8.664	8.664	8.569	8.580	296979	2555599.75
2025/07/09	8.606	8.606	8.460	8.495	397300	3382741.00
2025/07/10	8.461	8.536	8.425	8.449	399300	3381679.50
2025/07/11	8.441	8.502	8.388	8.421	293300	2482558.00
2025/07/14	8.387	8.455	8.386	8.420	355700	2999226.00
2025/07/15	8.386	8.480	8.350	8.419	550515	4613377.50
2025/07/16	8.443	8.469	8.346	8.439	1336400	11218444.00
2025/07/17	8.429	8.500	8.399	8.500	769200	6484634.50
2025/07/18	8.476	8.534	8.425	8.430	351400	2980099.50
2025/07/21	8.396	8.396	8.276	8.350	509400	4236013.00
2025/07/22	8.317	8.418	8.300	8.317	281100	2353674.50
2025/07/23	8.317	8.317	8.218	8.280	209900	1729500.25
2025/07/24	8.247	8.499	8.247	8.314	312600	2596813.00
2025/07/25	8.347	8.362	8.320	8.328	269400	2244397.50
2025/07/28	8.295	8.314	8.216	8.304	296700	2458182.00
2025/07/29	8.329	8.398	8.265	8.271	315300	2611657.50
2025/07/30	8.238	8.270	8.238	8.249	292442	2414595.50
2025/07/31	8.237	8.262	8.230	8.261	382500	3156171.50
2025/08/01	8.261	8.261	8.230	8.232	418600	3450167.50
2025/08/04	8.257	8.359	8.218	8.225	610400	5051021.00
2025/08/05	8.180	8.300	8.151	8.151	466000	3810097.00
2025/08/06	8.184	8.250	8.149	8.157	326300	2670308.75
2025/08/07	8.178	8.178	8.128	8.146	633300	5165055.50
2025/08/08	8.146	8.146	8.015	8.081	440800	3558979.00
2025/08/11	8.049	8.049	7.930	7.930	492700	3939826.50
2025/08/12	7.987	7.987	7.929	7.951	435800	3470199.50
2025/08/13	7.983	7.983	7.906	7.906	347200	2750519.50
2025/08/14	7.908	7.908	7.761	7.830	694500	5416393.50
2025/08/15	7.820	7.820	7.689	7.710	1583158	12241962.00
2025/08/18	7.730	7.730	7.570	7.610	945800	7186242.50
2025/08/19	7.570	7.570	7.519	7.551	821100	6199841.50
2025/08/20	7.600	7.642	7.574	7.642	745158	5667435.00
2025/08/21	7.642	7.712	7.642	7.709	780429	6003301.00
2025/08/22	7.721	7.730	7.669	7.685	494800	3800421.25
2025/08/25	7.676	7.730	7.639	7.682	332279	2549043.00
2025/08/26	7.682	7.810	7.637	7.688	1023800	7897995.50
2025/08/27	7.688	7.748	7.688	7.712	864600	6660824.00
2025/08/28	7.712	7.745	7.705	7.712	1042100	8040363.00
2025/08/29	7.702	7.747	7.702	7.732	740146	5707057.00
2025/09/01	7.692	7.772	7.596	7.612	521700	4014234.75
2025/09/02	7.612	7.699	7.612	7.633	418100	3204731.25
2025/09/03	7.633	7.699	7.632	7.684	726500	5573033.50
2025/09/04	7.699	7.766	7.699	7.740	823500	6367756.00
2025/09/05	7.740	7.740	7.680	7.723	478900	3684095.25
2025/09/08	7.723	7.752	7.680	7.750	459100	3547310.00
2025/09/09	7.750	7.790	7.727	7.782	701400	5452113.00
2025/09/10	7.782	7.784	7.740	7.740	748900	5822852.00
2025/09/11	7.700	7.785	7.500	7.685	778000	5988842.50
2025/09/12	7.680	7.698	7.648	7.665	414500	3184637.25
2025/09/15	7.665	7.725	7.640	7.679	350646	2695002.50
2025/09/16	7.680	7.719	7.660	7.719	425546	3266815.00
2025/09/17	7.719	7.790	7.719	7.772	445400	3455417.75
2025/09/18	7.773	7.800	7.759	7.795	334100	2599811.50
2025/09/19	7.800	7.810	7.771	7.810	429200	3347907.50
2025/09/22	7.701	7.825	7.701	7.766	426300	3315924.50
2025/09/23	7.765	7.853	7.726	7.829	587142	4584755.00
2025/09/24	7.829	7.875	7.776	7.835	192200	1505807.00
2025/09/25	7.795	7.899	7.767	7.789	410700	3227763.50
2025/09/26	7.775	7.785	7.712	7.770	374939	2908106.50
2025/09/29	7.768	7.783	7.658	7.694	280800	2162402.75
2025/09/30	7.654	7.699	7.546	7.571	631200	4797014.00
2025/10/09	7.571	7.571	7.503	7.534	428000	3222091.50
2025/10/10	7.500	7.549	7.499	7.522	429500	3229833.25
2025/10/13	7.521	7.521	7.482	7.503	383300	2876098.50
2025/10/14	7.518	7.795	7.518	7.725	672338	5131482.00
2025/10/15	7.725	7.799	7.647	7.710	258938	1995411.75
2025/10/16	7.708	7.890	7.653	7.708	432776	3352575.00
2025/10/17	7.708	7.769	7.344	7.646	646138	4901619.00
2025/10/20	7.606	7.642	7.569	7.570	676700	5132444.00
2025/10/21	7.530	7.567	7.480	7.490	588900	4425745.00
2025/10/22	7.490	7.502	7.434	7.491	371800	2772899.75
2025/10/23	7.469	7.695	7.451	7.545	530700	3974441.25
2025/10/24	7.541	7.640	7.541	7.627	467315	3554597.75
2025/10/27	7.673	7.673	7.544	7.573	596200	4520238.00
2025/10/28	7.573	7.573	7.450	7.508	835600	6281380.00
2025/10/29	7.469	7.503	7.424	7.503	544123	4056469.00
2025/10/30	7.508	7.508	7.485	7.486	573000	4297942.00
2025/10/31	7.504	7.525	7.501	7.503	411300	3089064.50
2025/11/03	7.547	7.590	7.440	7.443	296615	2228003.00
2025/11/04	7.412	7.450	7.354	7.450	695300	5169953.00
2025/11/05	7.486	7.540	7.405	7.538	542900	4064297.50
2025/11/06	7.549	7.549	7.401	7.401	279091	2092953.00
2025/11/07	7.400	7.666	7.400	7.655	544700	4051288.50
2025/11/10	7.655	7.655	7.552	7.595	550673	4186253.50
2025/11/11	7.590	7.590	7.452	7.460	736200	5504474.00
2025/11/12	7.456	7.456	7.419	7.444	748542	5559202.50
2025/11/13	7.444	7.450	7.418	7.441	537800	4001488.75
2025/11/14	7.443	7.664	7.443	7.518	374200	2811747.50
2025/11/17	7.501	7.501	7.401	7.465	450400	3363245.25
2025/11/18	7.438	7.452	7.420	7.420	518400	3855531.25
2025/11/19	7.402	7.403	7.196	7.240	1550500	11257591.00
2025/11/20	7.251	7.251	7.016	7.195	1395484	9964378.00
2025/11/21	7.155	7.238	7.155	7.196	1008700	7275629.00
2025/11/24	7.196	7.200	6.892	7.107	5674600	39681688.00
2025/11/25	6.815	6.821	6.552	6.779	2543400	17047930.00
2025/11/26	6.744	6.890	6.729	6.888	451400	3084934.00
2025/11/27	6.888	6.938	6.848	6.878	937361	6473215.00
2025/11/28	6.838	6.900	6.760	6.879	902400	6161492.50
2025/12/01	6.839	6.887	6.712	6.725	707700	4793378.00
2025/12/02	6.710	6.710	6.616	6.636	1225300	8123115.00
2025/12/03	6.600	6.644	6.600	6.635	370900	2458981.50
2025/12/04	6.645	6.649	6.576	6.600	974000	6432785.00
2025/12/05	6.600	6.680	6.552	6.593	880200	5798864.50
2025/12/08	6.565	6.663	6.565	6.660	688397	4569070.50
2025/12/09	6.660	6.688	6.650	6.651	905683	6038500.00
2025/12/10	6.650	6.700	6.613	6.684	713300	4764381.00
2025/12/11	6.649	6.757	6.648	6.755	1016609	6830829.50
2025/12/12	6.760	6.850	6.700	6.747	1026900	6961156.50
2025/12/15	6.715	6.737	6.601	6.632	552700	3668317.50
2025/12/16	6.600	6.740	6.564	6.587	549500	3618765.75
2025/12/17	6.587	6.593	6.551	6.591	785800	5162898.50
2025/12/18	6.553	6.637	6.502	6.542	973600	6382428.00
2025/12/19	6.649	6.649	6.370	6.448	1242100	7974989.50
2025/12/22	6.446	6.489	6.394	6.399	779900	4996423.50
2025/12/23	6.399	6.399	6.215	6.350	1401700	8803928.00
2025/12/24	6.345	6.563	6.280	6.520	958400	6164757.00
2025/12/25	6.520	6.801	6.519	6.799	1025315	6923947.50
2025/12/26	6.850	6.858	6.701	6.799	763500	5189224.00
2025/12/29	6.799	6.820	6.538	6.670	975800	6480095.50
2025/12/30	6.688	6.797	6.468	6.760	2020100	13403823.00
2025/12/31	6.714	6.780	6.649	6.775	1223700	8222150.00
2026/01/05	6.772	6.825	6.652	6.804	629400	4276972.50
2026/01/06	6.849	6.900	6.765	6.840	506500	3470459.25
2026/01/07	6.830	6.939	6.801	6.935	922900	6363261.00
2026/01/08	6.940	7.016	6.931	6.991	643500	4466016.00
2026/01/09	7.045	7.050	6.952	7.022	1144546	8006454.00
2026/01/12	6.984	7.051	6.984	7.027	1081826	7583071.50
2026/01/13	7.019	7.060	6.831	6.916	1150179	8032590.50
2026/01/14	6.876	6.952	6.867	6.879	452500	3124110.00
2026/01/15	6.873	6.921	6.850	6.920	577300	3977046.50
2026/01/16	6.949	6.950	6.882	6.918	642500	4443839.50
2026/01/19	6.920	6.920	6.850	6.880	437499	3015179.75
2026/01/20	6.880	6.931	6.880	6.920	399079	2761843.75
2026/01/21	6.881	7.000	6.881	6.999	538642	3742936.25
2026/01/22	6.985	7.030	6.985	7.029	225910	1582564.88
2026/01/23	7.029	7.029	6.971	6.971	1118040	7823764.00
2026/01/26	6.931	6.971	6.901	6.967	614800	4269576.50
2026/01/27	6.927	6.932	6.903	6.920	497700	3443421.25
2026/01/28	6.975	6.975	6.901	6.921	712700	4931002.00
2026/01/29	6.900	7.058	6.900	7.041	671535	4677367.00
2026/01/30	7.002	7.199	7.001	7.190	718500	5111014.50
2026/02/02	7.190	7.242	7.110	7.230	687742	4939784.50
2026/02/03	7.232	7.250	7.150	7.192	993000	7155875.50
2026/02/04	7.152	7.200	7.085	7.200	364811	2605928.25
2026/02/05	7.198	7.204	7.141	7.142	480000	3436828.50
2026/02/06	7.125	7.130	7.100	7.130	647800	4610809.00
2026/02/09	7.120	7.134	7.100	7.134	406500	2888526.00
2026/02/10	7.134	7.142	7.098	7.140	365700	2600786.00
2026/02/11	7.132	7.215	7.131	7.198	1096958	7883563.00
2026/02/12	7.200	7.210	7.110	7.200	799839	5757148.00
2026/02/13	7.200	7.200	7.181	7.200	490900	3532419.50
2026/02/24	7.200	7.268	7.189	7.260	558800	4048377.50
2026/02/25	7.250	7.269	7.232	7.232	330600	2399062.25
2026/02/26	7.232	7.320	7.180	7.302	1142400	8318481.50
2026/02/27	7.263	7.345	7.200	7.237	1076500	7848236.50
2026/03/02	7.197	7.298	7.172	7.229	1096900	7942948.50
2026/03/03	7.190	7.270	7.190	7.210	703100	5086050.00
2026/03/04	7.195	7.210	7.170	7.195	434300	3124579.00
2026/03/05	7.155	7.249	7.155	7.242	603800	4347899.50
