180301 红土创新盐田港RE 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/06/21	2.530	2.530	2.330	2.367	50368885	120538192.00
2021/06/22	2.368	2.370	2.130	2.335	12066654	27915408.00
2021/06/23	2.325	2.325	2.303	2.308	7078879	16345059.00
2021/06/24	2.309	2.325	2.309	2.323	8866843	20530464.00
2021/06/25	2.322	2.325	2.310	2.324	5374550	12437919.00
2021/06/28	2.320	2.320	2.310	2.314	3571290	8257688.00
2021/06/29	2.313	2.313	2.301	2.302	2860208	6586921.00
2021/06/30	2.303	2.313	2.301	2.303	1254231	2889069.50
2021/07/01	2.303	2.318	2.301	2.313	1951846	4511232.50
2021/07/02	2.311	2.312	2.304	2.310	2786945	6437066.50
2021/07/05	2.310	2.310	2.300	2.302	3042621	7012100.00
2021/07/06	2.302	2.304	2.295	2.298	2120967	4874702.00
2021/07/07	2.298	2.298	2.290	2.293	1423174	3265340.75
2021/07/08	2.293	2.296	2.290	2.293	1878346	4305138.50
2021/07/09	2.293	2.294	2.288	2.290	1197920	2743576.25
2021/07/12	2.290	2.294	2.282	2.284	1746732	3996008.00
2021/07/13	2.284	2.284	2.266	2.268	1570694	3565351.25
2021/07/14	2.267	2.267	2.252	2.254	1409768	3181127.00
2021/07/15	2.253	2.290	2.250	2.285	1405107	3184848.75
2021/07/16	2.285	2.298	2.280	2.298	1775254	4068369.25
2021/07/19	2.299	2.305	2.298	2.300	3386004	7791828.00
2021/07/20	2.300	2.300	2.296	2.300	894626	2055743.25
2021/07/21	2.299	2.301	2.295	2.296	951617	2186314.75
2021/07/22	2.295	2.295	2.285	2.287	758088	1734608.63
2021/07/23	2.287	2.291	2.283	2.286	1121138	2562271.75
2021/07/26	2.287	2.288	2.277	2.278	1123288	2560331.75
2021/07/27	2.279	2.279	2.270	2.271	1118923	2542788.50
2021/07/28	2.270	2.282	2.248	2.279	1091647	2469121.25
2021/07/29	2.280	2.292	2.278	2.290	1466715	3351431.75
2021/07/30	2.290	2.294	2.277	2.290	1613373	3693248.25
2021/08/02	2.290	2.305	2.281	2.303	2958373	6796586.00
2021/08/03	2.302	2.313	2.297	2.307	2951142	6808164.00
2021/08/04	2.307	2.308	2.303	2.306	974210	2246473.25
2021/08/05	2.305	2.306	2.300	2.302	1127054	2595158.50
2021/08/06	2.296	2.303	2.296	2.302	1512796	3481658.50
2021/08/09	2.302	2.302	2.295	2.300	1369668	3150032.25
2021/08/10	2.300	2.301	2.296	2.301	1128327	2595171.25
2021/08/11	2.301	2.301	2.299	2.300	897949	2065231.63
2021/08/12	2.300	2.301	2.299	2.299	911157	2095392.63
2021/08/13	2.299	2.301	2.298	2.298	661234	1520058.75
2021/08/16	2.299	2.300	2.295	2.297	771420	1771502.75
2021/08/17	2.297	2.297	2.292	2.295	828611	1901966.13
2021/08/18	2.295	2.301	2.292	2.301	1715046	3941255.50
2021/08/19	2.301	2.308	2.296	2.306	2221677	5117276.00
2021/08/20	2.306	2.311	2.306	2.310	1709227	3946393.75
2021/08/23	2.309	2.310	2.302	2.309	1027398	2370550.75
2021/08/24	2.309	2.312	2.305	2.311	1345488	3107785.00
2021/08/25	2.312	2.338	2.305	2.335	4216212	9811420.00
2021/08/26	2.335	2.346	2.330	2.340	6697096	15648647.00
2021/08/27	2.340	2.397	2.338	2.394	4066591	9654062.00
2021/08/30	2.394	2.443	2.394	2.418	6583158	16003698.00
2021/08/31	2.419	2.421	2.368	2.386	2339976	5586017.50
2021/09/01	2.385	2.385	2.348	2.352	3179139	7494994.00
2021/09/02	2.352	2.372	2.346	2.369	1214071	2870262.75
2021/09/03	2.369	2.369	2.357	2.364	1332074	3145947.25
2021/09/06	2.364	2.366	2.360	2.366	1585841	3744312.00
2021/09/07	2.366	2.385	2.365	2.372	3066021	7277090.00
2021/09/08	2.371	2.374	2.367	2.371	2012648	4773047.00
2021/09/09	2.371	2.374	2.370	2.371	3159275	7493012.00
2021/09/10	2.371	2.371	2.364	2.367	857897	2030596.25
2021/09/13	2.367	2.368	2.363	2.366	1593336	3769806.00
2021/09/14	2.366	2.391	2.366	2.388	1418263	3370115.50
2021/09/15	2.390	2.450	2.390	2.433	4393628	10637765.00
2021/09/16	2.436	2.446	2.414	2.420	3028584	7328937.00
2021/09/17	2.420	2.440	2.420	2.421	2835056	6871296.50
2021/09/22	2.422	2.444	2.422	2.440	1758819	4290759.50
2021/09/23	2.440	2.493	2.440	2.493	3142685	7724068.50
2021/09/24	2.496	2.510	2.468	2.474	3423056	8532958.00
2021/09/27	2.474	2.502	2.468	2.473	4216798	10493943.00
2021/09/28	2.473	2.485	2.447	2.475	3916619	9641421.00
2021/09/29	2.475	2.503	2.442	2.477	4121239	10220007.00
2021/09/30	2.477	2.490	2.470	2.479	6098876	15138621.00
2021/10/08	2.480	2.509	2.480	2.509	1535768	3837907.75
2021/10/11	2.509	2.509	2.492	2.501	4030722	10074500.00
2021/10/12	2.498	2.501	2.488	2.501	3340466	8334532.00
2021/10/13	2.501	2.502	2.498	2.502	1465322	3664451.75
2021/10/14	2.502	2.505	2.500	2.504	1409012	3524668.00
2021/10/15	2.504	2.510	2.500	2.506	1131263	2833402.00
2021/10/18	2.506	2.520	2.500	2.518	1319725	3318883.75
2021/10/19	2.518	2.560	2.518	2.555	2516920	6402428.00
2021/10/20	2.555	2.620	2.542	2.599	4151738	10748482.00
2021/10/21	2.599	2.656	2.599	2.656	3119155	8263304.50
2021/10/22	2.656	2.736	2.656	2.692	5529242	14976637.00
2021/10/25	2.693	2.747	2.693	2.725	3831215	10443682.00
2021/10/26	2.770	2.770	2.691	2.727	5434194	14863932.00
2021/10/27	2.727	2.760	2.680	2.760	5048611	13787633.00
2021/10/28	2.760	2.817	2.760	2.817	5538834	15443927.00
2021/10/29	2.817	2.913	2.817	2.888	5921760	17124080.00
2021/11/01	2.890	2.979	2.860	2.889	9172598	26757288.00
2021/11/02	2.889	2.890	2.750	2.792	11242002	31380010.00
2021/11/03	2.791	2.793	2.665	2.754	7649393	21064126.00
2021/11/04	2.752	2.796	2.710	2.795	6136645	16747717.00
2021/11/05	2.785	2.845	2.775	2.844	3325838	9404041.00
2021/11/08	2.845	2.874	2.816	2.836	2266840	6425450.00
2021/11/09	2.836	2.850	2.796	2.812	1501810	4226643.50
2021/11/10	2.811	2.811	2.772	2.801	2409008	6710208.50
2021/11/11	2.801	2.835	2.787	2.834	1976636	5563501.00
2021/11/12	2.834	2.866	2.833	2.849	2876156	8193595.00
2021/11/15	2.849	2.870	2.812	2.826	3209624	9078764.00
2021/11/16	2.826	2.828	2.806	2.820	3004072	8457862.00
2021/11/17	2.820	2.846	2.788	2.841	3938091	11022133.00
2021/11/18	2.838	2.838	2.796	2.828	1261527	3561710.50
2021/11/19	2.828	2.856	2.813	2.825	4651403	13194840.00
2021/11/22	2.825	2.825	2.774	2.786	4877565	13596513.00
2021/11/23	2.787	2.800	2.774	2.786	4787838	13304593.00
2021/11/24	2.786	2.820	2.775	2.815	4170526	11719332.00
2021/11/25	2.815	2.815	2.800	2.808	3336696	9371670.00
2021/11/26	2.818	2.833	2.808	2.830	2690710	7581940.50
2021/11/29	2.830	2.830	2.798	2.823	1221564	3442792.75
2021/11/30	2.823	2.870	2.823	2.868	1896619	5410408.50
2021/12/01	2.869	2.928	2.869	2.926	2058118	5970768.50
2021/12/02	2.929	3.022	2.929	3.013	3702863	11127849.00
2021/12/03	3.013	3.092	2.962	3.003	3945384	11950999.00
2021/12/06	3.003	3.036	2.960	3.025	3547163	10678442.00
2021/12/07	3.024	3.034	3.010	3.034	2300663	6950022.50
2021/12/08	3.034	3.086	3.030	3.086	2298890	7040560.50
2021/12/09	3.086	3.190	3.086	3.188	4222472	13363717.00
2021/12/10	3.188	3.285	3.124	3.279	5319710	16951778.00
