180302 华夏深国际REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/07/09	2.495	2.496	2.418	2.490	9903711	24459858.00
2024/07/10	2.437	2.465	2.367	2.465	2112874	5112369.00
2024/07/11	2.405	2.426	2.405	2.406	904814	2187493.00
2024/07/12	2.406	2.406	2.382	2.382	489884	1172646.50
2024/07/15	2.380	2.400	2.369	2.376	656390	1568095.88
2024/07/16	2.368	2.372	2.269	2.295	1998914	4650578.00
2024/07/17	2.278	2.296	2.233	2.257	6208029	14042019.00
2024/07/18	2.240	2.257	2.236	2.242	3559779	7991281.00
2024/07/19	2.230	2.308	2.210	2.300	4606053	10469128.00
2024/07/22	2.289	2.348	2.280	2.296	1139243	2615602.50
2024/07/23	2.297	2.312	2.255	2.295	638600	1464703.75
2024/07/24	2.299	2.299	2.275	2.288	459700	1050153.00
2024/07/25	2.275	2.290	2.250	2.280	36514	83320.82
2024/07/26	2.290	2.340	2.289	2.337	674443	1562090.25
2024/07/29	2.348	2.352	2.301	2.345	2015508	4720209.50
2024/07/30	2.307	2.397	2.307	2.397	1182200	2804051.25
2024/07/31	2.400	2.406	2.379	2.406	740359	1775441.63
2024/08/01	2.402	2.416	2.370	2.378	586466	1403591.00
2024/08/02	2.378	2.406	2.342	2.401	263257	631003.56
2024/08/05	2.400	2.419	2.363	2.401	1389257	3343505.50
2024/08/06	2.399	2.425	2.395	2.425	1113957	2690851.75
2024/08/07	2.386	2.488	2.386	2.472	2782128	6854289.00
2024/08/08	2.484	2.484	2.428	2.447	1081610	2647486.00
2024/08/09	2.407	2.472	2.407	2.456	674780	1659407.50
2024/08/12	2.456	2.464	2.408	2.417	1998914	4853509.00
2024/08/13	2.381	2.420	2.380	2.384	1957299	4694458.00
2024/08/14	2.381	2.417	2.380	2.383	1633144	3904213.25
2024/08/15	2.408	2.408	2.359	2.372	1216700	2896858.00
2024/08/16	2.368	2.400	2.352	2.375	1406100	3327407.00
2024/08/19	2.371	2.390	2.364	2.367	1018900	2420510.50
2024/08/20	2.414	2.414	2.350	2.370	776900	1846725.38
2024/08/21	2.396	2.396	2.351	2.370	102572	242807.48
2024/08/22	2.385	2.389	2.371	2.376	527700	1255190.75
2024/08/23	2.376	2.400	2.360	2.367	440300	1043173.38
2024/08/26	2.361	2.365	2.339	2.353	704800	1658960.75
2024/08/27	2.353	2.368	2.348	2.360	410659	966530.38
2024/08/28	2.315	2.399	2.315	2.398	645600	1529173.50
2024/08/29	2.398	2.424	2.351	2.369	2938316	6981199.50
2024/08/30	2.348	2.399	2.339	2.374	692100	1635515.25
2024/09/02	2.335	2.387	2.335	2.362	270600	641170.00
2024/09/03	2.323	2.374	2.323	2.336	733000	1713353.88
2024/09/04	2.300	2.360	2.300	2.351	474284	1109949.63
2024/09/05	2.377	2.377	2.348	2.364	546300	1293739.75
2024/09/06	2.325	2.375	2.325	2.342	480100	1129118.38
2024/09/09	2.390	2.390	2.296	2.339	289900	676777.88
2024/09/10	2.297	2.366	2.297	2.338	173914	406819.75
2024/09/11	2.300	2.378	2.300	2.344	1066500	2499016.75
2024/09/12	2.340	2.390	2.328	2.341	227800	533062.19
2024/09/13	2.358	2.358	2.322	2.350	301100	706906.69
2024/09/18	2.352	2.353	2.342	2.352	365200	858353.38
2024/09/19	2.380	2.380	2.300	2.313	1378400	3203019.50
2024/09/20	2.286	2.334	2.286	2.326	1054800	2433137.00
2024/09/23	2.300	2.350	2.300	2.340	1256300	2931293.25
2024/09/24	2.340	2.376	2.321	2.361	1329900	3130746.50
2024/09/25	2.400	2.400	2.342	2.364	798345	1891618.88
2024/09/26	2.364	2.397	2.342	2.380	1553400	3703845.25
2024/09/27	2.373	2.408	2.370	2.407	3010034	7219700.00
2024/09/30	2.380	2.420	2.380	2.402	3667287	8806454.00
2024/10/08	2.402	2.420	2.350	2.401	1296271	3111595.50
2024/10/09	2.394	2.395	2.367	2.382	938685	2231294.25
2024/10/10	2.399	2.399	2.345	2.348	800672	1891578.88
2024/10/11	2.337	2.390	2.337	2.380	420600	1000459.81
2024/10/14	2.379	2.401	2.364	2.385	536500	1282737.25
2024/10/15	2.420	2.420	2.368	2.381	734053	1742903.50
2024/10/16	2.381	2.390	2.369	2.379	153800	366625.50
2024/10/17	2.373	2.389	2.373	2.384	166200	395210.16
2024/10/18	2.389	2.389	2.371	2.380	374000	888718.81
2024/10/21	2.380	2.389	2.371	2.379	239700	569886.63
2024/10/22	2.371	2.385	2.364	2.378	593700	1410965.25
2024/10/23	2.390	2.397	2.374	2.378	130000	309557.50
2024/10/24	2.388	2.388	2.343	2.345	320400	756387.63
2024/10/25	2.344	2.360	2.334	2.346	1095500	2564169.50
2024/10/28	2.387	2.388	2.339	2.351	230572	541907.44
2024/10/29	2.380	2.380	2.350	2.350	192172	452846.22
2024/10/30	2.331	2.364	2.331	2.358	212067	499975.38
2024/10/31	2.358	2.392	2.358	2.383	958214	2279475.25
2024/11/01	2.443	2.454	2.364	2.390	321200	767586.69
2024/11/04	2.430	2.430	2.360	2.364	473000	1122145.50
2024/11/05	2.374	2.389	2.354	2.374	1063814	2530361.50
2024/11/06	2.400	2.400	2.355	2.370	966600	2288740.25
2024/11/07	2.388	2.388	2.368	2.380	627700	1493368.75
2024/11/08	2.399	2.399	2.370	2.371	420314	1000199.88
2024/11/11	2.431	2.442	2.332	2.380	960800	2289829.00
2024/11/12	2.380	2.393	2.344	2.355	1252800	2949513.00
2024/11/13	2.363	2.363	2.353	2.357	817567	1926761.38
2024/11/14	2.417	2.428	2.259	2.350	851500	1999402.50
2024/11/15	2.350	2.368	2.340	2.352	687600	1618392.25
2024/11/18	2.385	2.385	2.323	2.334	514800	1204340.25
2024/11/19	2.334	2.334	2.310	2.323	304400	707918.31
2024/11/20	2.324	2.381	2.312	2.331	516900	1208060.75
2024/11/21	2.323	2.374	2.316	2.352	497646	1167559.88
2024/11/22	2.349	2.355	2.342	2.348	605400	1422258.25
2024/11/25	2.355	2.355	2.340	2.343	82100	192594.09
2024/11/26	2.350	2.354	2.339	2.346	341929	800483.13
2024/11/27	2.342	2.370	2.307	2.326	2196600	5088012.50
2024/11/28	2.324	2.325	2.266	2.279	1803500	4128876.25
2024/11/29	2.274	2.280	2.256	2.264	594200	1343747.13
2024/12/02	2.264	2.264	2.220	2.225	2992300	6687404.00
2024/12/03	2.230	2.230	2.217	2.219	807600	1794733.25
2024/12/04	2.219	2.232	2.212	2.232	1247500	2767131.50
2024/12/05	2.232	2.299	2.229	2.298	2308700	5218718.50
2024/12/06	2.300	2.300	2.274	2.290	1279300	2919724.00
2024/12/09	2.289	2.294	2.272	2.294	480000	1094654.75
2024/12/10	2.301	2.400	2.273	2.311	520516	1202616.38
2024/12/11	2.301	2.373	2.275	2.356	947718	2214321.25
2024/12/12	2.364	2.431	2.323	2.431	1571500	3741678.25
2024/12/13	2.430	2.473	2.390	2.434	1970336	4811880.50
2024/12/16	2.424	2.462	2.401	2.462	596972	1458389.50
2024/12/17	2.450	2.468	2.434	2.439	552517	1352807.88
2024/12/18	2.431	2.437	2.360	2.365	1672200	3998122.25
2024/12/19	2.355	2.415	2.338	2.415	540300	1282727.25
2024/12/20	2.415	2.456	2.409	2.431	837566	2040815.50
2024/12/23	2.430	2.455	2.415	2.430	246900	597235.50
2024/12/24	2.454	2.460	2.394	2.411	861300	2080481.75
2024/12/25	2.411	2.453	2.396	2.453	1025500	2498219.00
2024/12/26	2.469	2.469	2.417	2.430	433158	1056173.63
2024/12/27	2.398	2.450	2.398	2.429	507500	1232505.25
2024/12/30	2.420	2.450	2.389	2.396	919158	2224308.50
2024/12/31	2.409	2.454	2.392	2.429	902000	2190000.00
2025/01/02	2.450	2.450	2.418	2.443	1521872	3714153.00
2025/01/03	2.449	2.469	2.425	2.435	2127700	5186475.00
2025/01/06	2.449	2.455	2.435	2.435	1542042	3768475.00
2025/01/07	2.444	2.444	2.358	2.391	1566800	3739039.25
2025/01/08	2.388	2.438	2.388	2.422	694800	1677987.38
2025/01/09	2.439	2.450	2.424	2.434	1316000	3211753.25
2025/01/10	2.450	2.450	2.423	2.450	1715101	4186860.75
2025/01/13	2.450	2.450	2.414	2.434	999400	2438596.75
2025/01/14	2.430	2.446	2.411	2.441	179200	436873.50
