180303 华泰宝湾物流REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/10/29	4.065	4.075	3.901	4.074	12025862	48652132.00
2024/10/30	3.999	3.999	3.935	3.989	1234316	4908668.00
2024/10/31	3.979	4.015	3.937	4.015	1516598	6038366.00
2024/11/01	3.990	3.990	3.911	3.912	791036	3112007.50
2024/11/04	3.906	3.906	3.802	3.807	1106224	4229105.00
2024/11/05	3.828	3.828	3.739	3.739	1208744	4537921.50
2024/11/06	3.738	3.738	3.693	3.737	930643	3453562.50
2024/11/07	3.700	3.769	3.700	3.751	590723	2216471.50
2024/11/08	3.753	3.769	3.725	3.751	362478	1358523.88
2024/11/11	3.751	3.751	3.718	3.738	308133	1149410.25
2024/11/12	3.737	3.779	3.725	3.761	284219	1064335.75
2024/11/13	3.759	3.759	3.736	3.742	219751	822312.75
2024/11/14	3.730	3.755	3.726	3.736	334863	1251480.13
2024/11/15	3.730	3.743	3.721	3.725	235732	879221.19
2024/11/18	3.759	3.759	3.707	3.723	156526	582642.75
2024/11/19	3.710	3.744	3.710	3.739	157294	586287.88
2024/11/20	3.739	3.739	3.721	3.726	267645	996283.56
2024/11/21	3.725	3.749	3.723	3.747	281889	1054078.75
2024/11/22	3.763	3.763	3.702	3.712	429780	1597781.63
2024/11/25	3.705	3.712	3.690	3.700	245006	906708.69
2024/11/26	3.689	3.698	3.688	3.690	332578	1227157.75
2024/11/27	3.689	3.700	3.660	3.695	206249	760735.25
2024/11/28	3.698	3.760	3.696	3.748	730424	2709962.50
2024/11/29	3.748	3.758	3.701	3.730	194107	724718.44
2024/12/02	3.749	3.749	3.705	3.729	406679	1517044.00
2024/12/03	3.715	3.746	3.715	3.722	432920	1612715.25
2024/12/04	3.722	3.743	3.711	3.724	127356	474243.16
2024/12/05	3.711	3.751	3.710	3.723	475297	1769493.38
2024/12/06	3.711	3.756	3.711	3.736	921493	3433482.50
2024/12/09	3.735	3.760	3.733	3.737	373491	1396484.38
2024/12/10	3.737	3.757	3.721	3.741	421478	1573004.38
2024/12/11	3.731	3.758	3.731	3.749	433869	1622894.13
2024/12/12	3.740	3.786	3.739	3.785	595820	2243744.25
2024/12/13	3.785	3.810	3.737	3.794	484727	1835031.38
2024/12/16	3.784	3.796	3.768	3.778	146617	555334.88
2024/12/17	3.770	3.800	3.770	3.778	131849	498978.28
2024/12/18	3.810	3.810	3.762	3.787	339731	1286882.63
2024/12/19	3.791	3.810	3.760	3.802	395263	1494148.38
2024/12/20	3.784	3.800	3.784	3.792	279683	1059454.88
2024/12/23	3.732	3.789	3.732	3.772	131496	496488.47
2024/12/24	3.771	3.781	3.763	3.764	138305	520888.69
2024/12/25	3.763	3.785	3.664	3.737	1094622	4050893.50
2024/12/26	3.678	3.743	3.665	3.726	365682	1357118.50
2024/12/27	3.724	3.745	3.681	3.740	472907	1765157.63
2024/12/30	3.734	3.860	3.734	3.860	1210377	4582694.00
2024/12/31	3.808	3.900	3.808	3.900	1948682	7532517.00
2025/01/02	3.851	3.889	3.851	3.868	1406135	5443205.00
2025/01/03	3.899	3.899	3.802	3.859	608006	2349209.25
2025/01/06	3.900	3.900	3.772	3.772	1073905	4090807.50
2025/01/07	3.772	3.781	3.731	3.732	364590	1363114.00
2025/01/08	3.735	3.758	3.703	3.753	319717	1195310.63
