180305 南方顺丰物流REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2025/04/21	3.800	3.800	3.640	3.735	67524000	251314080.00
2025/04/22	3.724	3.746	3.695	3.742	20757967	77084184.00
2025/04/23	3.724	3.747	3.722	3.738	11398721	42570508.00
2025/04/24	3.737	3.741	3.728	3.741	20527644	76718816.00
2025/04/25	3.733	3.739	3.714	3.721	7720857	28791860.00
2025/04/28	3.715	3.715	3.650	3.670	14626319	53791448.00
2025/04/29	3.668	3.707	3.662	3.696	5979820	22086604.00
2025/04/30	3.695	3.717	3.695	3.711	5073943	18813258.00
2025/05/06	3.711	3.730	3.700	3.728	7153209	26581584.00
2025/05/07	3.716	3.755	3.713	3.749	7089874	26535404.00
2025/05/08	3.749	3.759	3.738	3.755	6838529	25637140.00
2025/05/09	3.746	3.764	3.745	3.749	3448792	12946505.00
2025/05/12	3.749	3.762	3.746	3.759	3762981	14123108.00
2025/05/13	3.759	3.759	3.748	3.750	2852552	10703335.00
2025/05/14	3.747	3.763	3.747	3.756	5239080	19671602.00
2025/05/15	3.762	3.762	3.737	3.753	3918263	14678121.00
2025/05/16	3.753	3.770	3.746	3.766	4112824	15466729.00
2025/05/19	3.775	3.789	3.763	3.780	3759377	14187914.00
2025/05/20	3.780	3.801	3.780	3.800	6555187	24892660.00
2025/05/21	3.801	3.838	3.784	3.830	4932047	18777182.00
2025/05/22	3.826	3.833	3.814	3.820	2853160	10916347.00
2025/05/23	3.819	3.819	3.785	3.804	3494263	13278339.00
2025/05/26	3.798	3.807	3.785	3.804	3260200	12389058.00
2025/05/27	3.804	3.804	3.790	3.799	2337245	8879388.00
2025/05/28	3.793	3.799	3.791	3.796	2000770	7591845.50
2025/05/29	3.796	3.812	3.796	3.807	3074702	11704776.00
2025/05/30	3.805	3.810	3.796	3.805	3798831	14446815.00
2025/06/03	3.805	3.805	3.790	3.796	3678071	13965420.00
2025/06/04	3.795	3.798	3.788	3.793	3492143	13249151.00
2025/06/05	3.793	3.807	3.793	3.801	2902531	11036720.00
2025/06/06	3.805	3.820	3.800	3.818	2399897	9151707.00
2025/06/09	3.818	3.822	3.800	3.812	1995119	7598520.00
2025/06/10	3.812	3.812	3.803	3.806	2747234	10461843.00
2025/06/11	3.808	3.820	3.797	3.816	3207622	12213946.00
2025/06/12	3.816	3.828	3.807	3.814	2974827	11351257.00
2025/06/13	3.815	3.837	3.811	3.830	4535485	17327948.00
